X72n1439_001:0592a06	 自序	 自 序 
X72n1439_001:0592a08	余住山方三年。其上堂語要。林涵齋居士已序。而刊	余 住 山 方 三 年 其 上 堂 語 要 林 涵 齋 居 士 已 序 而 刊 
X72n1439_001:0592a09	行之。後見法門流獘。日深日下。至不忍聞見。遂辭說	行 之 後 見 法 門 流 獘 日 深 日 下 至 不 忍 聞 見 遂 辭 說 
X72n1439_001:0592a10	法之任。自甘與二三有志衲子。栽田博飯而已。盖不	法 之 任 自 甘 與 二 三 有 志 衲 子 栽 田 博 飯 而 已 盖 不 
X72n1439_001:0592a11	欲混入羣隊也。而諸檀信為法心深。競齎香供入山。	欲 混 入 羣 隊 也 而 諸 檀 信 為 法 心 深 競 齎 香 供 入 山 
X72n1439_001:0592a12	強請陞座。弗獲已隄岸復決。滾滾不休。書記仍錄成	強 請 陞 座 弗 獲 已 隄 岸 復 決 滾 滾 不 休 書 記 仍 錄 成 
X72n1439_001:0592a13	鉅帙。而監院源公。請梓流通。余曰。此乃博飯喫底閑	鉅 帙 而 監 院 源 公 請 梓 流 通 余 曰 此 乃 博 飯 喫 底 閑 
X72n1439_001:0592a14	言語耳。安用刻為。源曰。政當使天下有鼻孔衲僧。嗅	言 語 耳 安 用 刻 為 源 曰 政 當 使 天 下 有 鼻 孔 衲 僧 嗅 
X72n1439_001:0592a15	著飯氣。腦門迸裂。虗心果腹而去。其於法門之獘。庶	著 飯 氣 腦 門 迸 裂 虗 心 果 腹 而 去 其 於 法 門 之 獘 庶 
X72n1439_001:0592a16	有振乎。余聞其言。又不免隨風倒柁。乃以餐香名之。	有 振 乎 余 聞 其 言 又 不 免 隨 風 倒 柁 乃 以 餐 香 名 之 
X72n1439_001:0592a17	而自書諸簡首曰。釋迦掩室。已涉廉纖。淨名杜辭。葛	而 自 書 諸 簡 首 曰 釋 迦 掩 室 已 涉 廉 纖 淨 名 杜 辭 葛 
X72n1439_001:0592a18	藤滿地。山僧今日。向虗空裏安橛。陸地上生波。木札	藤 滿 地 山 僧 今 日 向 虗 空 裏 安 橛 陸 地 上 生 波 木 札 
X72n1439_001:0592a19	羮。鐵釘飯。一齊拈出。可謂是真精進。是名真法供養	羮 鐵 釘 飯 一 齊 拈 出 可 謂 是 真 精 進 是 名 真 法 供 養 
X72n1439_001:0592a20	也。若有咀嚼得下者。負吾負汝。二俱免矣。如或不然。	也 若 有 咀 嚼 得 下 者 負 吾 負 汝 二 俱 免 矣 如 或 不 然 
X72n1439_001:0592a21	山僧自山僧。闍黎自闍黎。且喜不相帶累。	山 僧 自 山 僧 闍 黎 自 闍 黎 且 喜 不 相 帶 累 
X72n1439_001:0592a22	旹	旹 
X72n1439_001:0592a23	康熙六年臘月十日　為霖道人題于聖箭堂	康 熙 六 年 臘 月 十 日 為 霖 道 人 題 于 聖 箭 堂 
X72n1439_001:0592b03	 自序	 自 序 
X72n1439_001:0592b05	余觀今日法門流獘。力辭上堂。盖不欲混入羣隊也。	余 觀 今 日 法 門 流 獘 力 辭 上 堂 盖 不 欲 混 入 羣 隊 也 
X72n1439_001:0592b06	而諸檀信為法心深。競賷香供入山。強請陞座。弗獲	而 諸 檀 信 為 法 心 深 競 賷 香 供 入 山 強 請 陞 座 弗 獲 
X72n1439_001:0592b07	已隄岸復決。滾滾不休。書記錄成鉅帙。而監院源公。	已 隄 岸 復 決 滾 滾 不 休 書 記 錄 成 鉅 帙 而 監 院 源 公 
X72n1439_001:0592b08	請梓流通。余曰。此博飯喫底閑言語耳。安用刻為。源	請 梓 流 通 余 曰 此 博 飯 喫 底 閑 言 語 耳 安 用 刻 為 源 
