T51n2072_001:0126b24	往生集序	往 生 集 序 
T51n2072_001:0126b26	世尊始成正覺。為諸有情普演佛乘。既而機	世 尊 始 成 正 覺 為 諸 有 情 普 演 佛 乘 既 而 機 
T51n2072_001:0126b27	難盡投。由是於一乘中示三乘法。而復於三	難 盡 投 由 是 於 一 乘 中 示 三 乘 法 而 復 於 三 
T51n2072_001:0126b28	乘中出淨土一門。今去佛日遠情塵日滋。進	乘 中 出 淨 土 一 門 今 去 佛 日 遠 情 塵 日 滋 進 
T51n2072_001:0126b29	之不能發神解超聖階。退之倀倀乎有淪墜	之 不 能 發 神 解 超 聖 階 退 之 倀 倀 乎 有 淪 墜 
T51n2072_001:0126c01	之險。而匪仗此門。其何從疾脫生死。大矣	之 險 而 匪 仗 此 門 其 何 從 疾 脫 生 死 大 矣 
T51n2072_001:0126c02	哉。可謂起末世沈疴必効之靈藥也。顧古之	哉 可 謂 起 末 世 沈 疴 必 効 之 靈 藥 也 顧 古 之 
T51n2072_001:0126c03	効多今之効尠。其咎安在。則亦口淨土心娑	効 多 今 之 効 尠 其 咎 安 在 則 亦 口 淨 土 心 娑 
T51n2072_001:0126c04	婆。而堅勇明悟不及前輩云爾。聞昔有傳往	婆 而 堅 勇 明 悟 不 及 前 輩 云 爾 聞 昔 有 傳 往 
T51n2072_001:0126c05	生者。歲久滅沒不可復覩。而斷章遺跡班班。	生 者 歲 久 滅 沒 不 可 復 覩 而 斷 章 遺 跡 班 班 
T51n2072_001:0126c06	互載於內外百家之書。予隨所見輒附筆剳。	互 載 於 內 外 百 家 之 書 予 隨 所 見 輒 附 筆 剳 
T51n2072_001:0126c07	仍摘其因果昭灼者。日積之成編。殆存十一	仍 摘 其 因 果 昭 灼 者 日 積 之 成 編 殆 存 十 一 
T51n2072_001:0126c08	於千百而已。今甲申竊比中峯廛居。掩關於	於 千 百 而 已 今 甲 申 竊 比 中 峯 廛 居 掩 關 於 
T51n2072_001:0126c09	上方。乃取而從其類後先之。又證之以諸聖	上 方 乃 取 而 從 其 類 後 先 之 又 證 之 以 諸 聖 
T51n2072_001:0126c10	同歸。足之以生存感應。計百六十有六條。	同 歸 足 之 以 生 存 感 應 計 百 六 十 有 六 條 
T51n2072_001:0126c11	而間為之贊。以發其隱義。題曰往生集。俾緇	而 間 為 之 贊 以 發 其 隱 義 題 曰 往 生 集 俾 緇 
