T45n1858_001:0150a22	肇論序	肇 論 序 
T45n1858_001:0150a24	小招提寺沙門　慧達　作	小 招 提 寺 沙 門 慧 達 作 
T45n1858_001:0150a25	慧達率愚，通序長安釋僧肇法師所作《宗本》	慧 達 率 愚 通 序 長 安 釋 僧 肇 法 師 所 作 宗 本 
T45n1858_001:0150a26	《物不遷》等四論。但末代弘經，允屬四依菩薩。	 物 不 遷 等 四 論 但 末 代 弘 經 允 屬 四 依 菩 薩 
T45n1858_001:0150a27	爰傳茲土，抑亦其例。至如彌天大德童壽桑	爰 傳 茲 土 抑 亦 其 例 至 如 彌 天 大 德 童 壽 桑 
T45n1858_001:0150a28	門，竝創始命宗，圖辯格致，播揚宣述，所事玄	門 竝 創 始 命 宗 圖 辯 格 致 播 揚 宣 述 所 事 玄 
T45n1858_001:0150a29	虛，唯斯擬聖默之所祖。自降乎已還，歷代古	虛 唯 斯 擬 聖 默 之 所 祖 自 降 乎 已 還 歷 代 古 
T45n1858_001:0150b01	今，凡著名僧傳及傳所不載者，釋僧叡等三	今 凡 著 名 僧 傳 及 傳 所 不 載 者 釋 僧 叡 等 三 
T45n1858_001:0150b02	千餘僧、清信檀越謝靈運等八百許人，至能	千 餘 僧 清 信 檀 越 謝 靈 運 等 八 百 許 人 至 能 
T45n1858_001:0150b03	辯正方言、節文階級、善覈名教、精搜義理。揖	辯 正 方 言 節 文 階 級 善 覈 名 教 精 搜 義 理 揖 
T45n1858_001:0150b04	此群賢語之所統，有美若人，超語兼默，標本	此 群 賢 語 之 所 統 有 美 若 人 超 語 兼 默 標 本 
T45n1858_001:0150b05	則句句深達佛心，明末則言言備通眾教。諒	則 句 句 深 達 佛 心 明 末 則 言 言 備 通 眾 教 諒 
T45n1858_001:0150b06	是大乘懿典、方等博書。自古自今著文著筆，	是 大 乘 懿 典 方 等 博 書 自 古 自 今 著 文 著 筆 
T45n1858_001:0150b07	詳汰名賢所作諸論，或六七宗，爰延十二，竝	詳 汰 名 賢 所 作 諸 論 或 六 七 宗 爰 延 十 二 竝 
T45n1858_001:0150b08	判其臧否、辯其差當，唯此憲章無弊斯咎。良	判 其 臧 否 辯 其 差 當 唯 此 憲 章 無 弊 斯 咎 良 
T45n1858_001:0150b09	由襟情泛若，不知何係。譬彼淵海，數越九	由 襟 情 泛 若 不 知 何 係 譬 彼 淵 海 數 越 九 
T45n1858_001:0150b10	流，挺拔清虛，蕭然物外。知公者希，歸公採	流 挺 拔 清 虛 蕭 然 物 外 知 公 者 希 歸 公 採 
T45n1858_001:0150b11	什，如曰不知，則公貴矣。達猥生天幸，逢此正	什 如 曰 不 知 則 公 貴 矣 達 猥 生 天 幸 逢 此 正 
T45n1858_001:0150b12	音，忻躍弗已，饗讌無疲。每至披尋，不勝手	音 忻 躍 弗 已 饗 讌 無 疲 每 至 披 尋 不 勝 手 
T45n1858_001:0150b13	舞，誓願生生盡命弘述。達於肇之遺文，其猶	舞 誓 願 生 生 盡 命 弘 述 達 於 肇 之 遺 文 其 猶 
T45n1858_001:0150b14	若是，況《中》、《百》、《門》觀，爰洎方等深經，而不至增	若 是 況 中 百 門 觀 爰 洎 方 等 深 經 而 不 至 增 
T45n1858_001:0150b15	乎！世諺咸云：「肇之所作，故是誠實真諦，地	乎 世 諺 咸 云 肇 之 所 作 故 是 誠 實 真 諦 地 
T45n1858_001:0150b16	論通宗，莊老所資猛浪之說。」此實巨蠱之言，	論 通 宗 莊 老 所 資 猛 浪 之 說 此 實 巨 蠱 之 言 
T45n1858_001:0150b17	欺誣亡沒，街巷陋音，未之足拾。夫神道不	欺 誣 亡 沒 街 巷 陋 音 未 之 足 拾 夫 神 道 不 
T45n1858_001:0150b18	形，心敏難繪。既文拘而義遠，故眾端之所詭。	形 心 敏 難 繪 既 文 拘 而 義 遠 故 眾 端 之 所 詭 
T45n1858_001:0150b19	肇之卜意豈徒然哉？良有以也。如復徇狎其	肇 之 卜 意 豈 徒 然 哉 良 有 以 也 如 復 徇 狎 其 
T45n1858_001:0150b20	言，願生生不面，至獲忍心，還度斯下。達留連	言 願 生 生 不 面 至 獲 忍 心 還 度 斯 下 達 留 連 
T45n1858_001:0150b21	講肆二十餘年，頗逢重席，末覩斯論。聊寄	講 肆 二 十 餘 年 頗 逢 重 席 末 覩 斯 論 聊 寄 
T45n1858_001:0150b22	一序，託悟在中。同我賢余，請俟來哲。夫大分	一 序 託 悟 在 中 同 我 賢 余 請 俟 來 哲 夫 大 分 
T45n1858_001:0150b23	深義，厥號本無，故建言宗旨標乎實相。開空	深 義 厥 號 本 無 故 建 言 宗 旨 標 乎 實 相 開 空 
T45n1858_001:0150b24	法道，莫逾真俗，所以次釋二諦，顯佛教門。但	法 道 莫 逾 真 俗 所 以 次 釋 二 諦 顯 佛 教 門 但 
T45n1858_001:0150b25	圓正之因無上般若，至極之果唯有涅槃，故	圓 正 之 因 無 上 般 若 至 極 之 果 唯 有 涅 槃 故 
T45n1858_001:0150b26	末啟重玄，明眾聖之所宅。雖以性空擬本，無	末 啟 重 玄 明 眾 聖 之 所 宅 雖 以 性 空 擬 本 無 
T45n1858_001:0150b27	本可稱；語本絕言，非心行處。然則不遷當	本 可 稱 語 本 絕 言 非 心 行 處 然 則 不 遷 當 
T45n1858_001:0150b28	俗，俗則不生；不真為真，真但名說。若能放曠	俗 俗 則 不 生 不 真 為 真 真 但 名 說 若 能 放 曠 
T45n1858_001:0150b29	蕩然崇茲一道，清耳虛襟無言二諦，斯則淨	蕩 然 崇 茲 一 道 清 耳 虛 襟 無 言 二 諦 斯 則 淨 
T45n1858_001:0150c01	照之功著，故般若無知。無名之德興，而涅	照 之 功 著 故 般 若 無 知 無 名 之 德 興 而 涅 
T45n1858_001:0150c02	槃不稱。余謂此說周圓罄佛淵海，浩博無涯	槃 不 稱 余 謂 此 說 周 圓 罄 佛 淵 海 浩 博 無 涯 
T45n1858_001:0150c03	窮法體相。雖復言約而義豐、文華而理詣，語	窮 法 體 相 雖 復 言 約 而 義 豐 文 華 而 理 詣 語 
T45n1858_001:0150c04	勢連環，意實孤誕。敢是絕妙好辭，莫不竭茲	勢 連 環 意 實 孤 誕 敢 是 絕 妙 好 辭 莫 不 竭 茲 
T45n1858_001:0150c05	洪論。所以童壽歎言：「解空第一，肇公其人。」斯	洪 論 所 以 童 壽 歎 言 解 空 第 一 肇 公 其 人 斯 
T45n1858_001:0150c06	言有由矣，彰在翰牘。但宗本蕭然，莫能致	言 有 由 矣 彰 在 翰 牘 但 宗 本 蕭 然 莫 能 致 
T45n1858_001:0150c07	詰。《不遷》等四論，事開接引，問答析微，所以稱	詰 不 遷 等 四 論 事 開 接 引 問 答 析 微 所 以 稱 
T45n1858_001:0150c08	論。	論 
T45n1858_001:0150c11	肇論	肇 論 
T45n1858_001:0150c13	後秦長安　釋僧肇　作	後 秦 長 安 釋 僧 肇 作 
T45n1858_001:0150c14	宗本義	宗 本 義 
T45n1858_001:0150c15	本無、實相、法性、性空、緣會，一義耳。何則？一	本 無 實 相 法 性 性 空 緣 會 一 義 耳 何 則 一 
T45n1858_001:0150c16	切諸法，緣會而生。緣會而生，則未生無有，緣	切 諸 法 緣 會 而 生 緣 會 而 生 則 未 生 無 有 緣 
T45n1858_001:0150c17	離則滅。如其真有，有則無滅。以此而推，故知	離 則 滅 如 其 真 有 有 則 無 滅 以 此 而 推 故 知 
T45n1858_001:0150c18	雖今現有，有而性常自空。性常自空，故謂之	雖 今 現 有 有 而 性 常 自 空 性 常 自 空 故 謂 之 
T45n1858_001:0150c19	性空。性空故，故曰法性。法性如是，故曰實	性 空 性 空 故 故 曰 法 性 法 性 如 是 故 曰 實 
T45n1858_001:0150c20	相。實相自無，非推之使無，故名本無。言不	相 實 相 自 無 非 推 之 使 無 故 名 本 無 言 不 
T45n1858_001:0150c21	有不無者，不如有見常見之有，邪見斷見之	有 不 無 者 不 如 有 見 常 見 之 有 邪 見 斷 見 之 
T45n1858_001:0150c22	無耳。若以有為有，則以無為無。夫不存無以	無 耳 若 以 有 為 有 則 以 無 為 無 夫 不 存 無 以 
T45n1858_001:0150c23	觀法者，可謂識法實相矣。雖觀有而無所取	觀 法 者 可 謂 識 法 實 相 矣 雖 觀 有 而 無 所 取 
T45n1858_001:0150c24	相，然則法相為無相之相，聖人之心為住無	相 然 則 法 相 為 無 相 之 相 聖 人 之 心 為 住 無 
T45n1858_001:0150c25	所住矣。三乘，等觀性空而得道也。性空者，謂	所 住 矣 三 乘 等 觀 性 空 而 得 道 也 性 空 者 謂 
T45n1858_001:0150c26	諸法實相也。見法實相故云正觀，若其異者	諸法實相 也 見 法 實 相 故 云 正 觀 若 其 異 者 
T45n1858_001:0150c27	便為邪觀。設二乘不見此理，則顛倒也。是	便 為 邪 觀 設 二 乘 不 見 此 理 則 顛 倒 也 是 
T45n1858_001:0150c28	以三乘觀法無異，但心有大小為差耳。漚和	以 三 乘 觀 法 無 異 但 心 有 大 小 為 差 耳 漚 和 
T45n1858_001:0150c29	般若者，大慧之稱也。諸法實相，謂之般若；能	般 若 者 大 慧 之 稱 也 諸法實相 謂 之 般 若 能 
T45n1858_001:0151a01	不形證，漚和功也。適化眾生，謂之漚和；不	不 形 證 漚 和 功 也 適 化 眾 生 謂 之 漚 和 不 
T45n1858_001:0151a02	染塵累，般若力也。然則般若之門觀空，漚和	染 塵 累 般 若 力 也 然 則 般 若 之 門 觀 空 漚 和 
T45n1858_001:0151a03	之門涉有。涉有未始迷虛，故常處有而不染；	之 門 涉 有 涉 有 未 始 迷 虛 故 常 處 有 而 不 染 
T45n1858_001:0151a04	不厭有而觀空，故觀空而不證。是謂一念之	不 厭 有 而 觀 空 故 觀 空 而 不 證 是 謂 一 念 之 
T45n1858_001:0151a05	力權慧具矣。一念之力權慧具矣，好思，歷	力 權 慧 具 矣 一 念 之 力 權 慧 具 矣 好 思 歷 
T45n1858_001:0151a06	然可解。泥洹盡諦者，直結盡而已，則生死永	然 可 解 泥 洹 盡 諦 者 直 結 盡 而 已 則 生 死 永 
T45n1858_001:0151a07	滅，故謂盡耳；無復別有一盡處耳。	滅 故 謂 盡 耳 無 復 別 有 一 盡 處 耳 
T45n1858_001:0151a08	物不遷論第一	物 不 遷 論 第 一 
T45n1858_001:0151a09	夫生死交謝，寒暑迭遷，有物流動。人之常情。	夫 生 死 交 謝 寒 暑 迭 遷 有 物 流 動 人 之 常 情 
T45n1858_001:0151a10	余則謂之不然。何者？《放光》云：「法無去來，無動	余 則 謂 之 不 然 何 者 放 光 云 法 無 去 來 無 動 
T45n1858_001:0151a11	轉者。」尋夫不動之作，豈釋動以求靜？必求靜	轉 者 尋 夫 不 動 之 作 豈 釋 動 以 求 靜 必 求 靜 
T45n1858_001:0151a12	於諸動。必求靜於諸動，故雖動而常靜；不	於 諸 動 必 求 靜 於 諸 動 故 雖 動 而 常 靜 不 
T45n1858_001:0151a13	釋動以求靜，故雖靜而不離動。然則動靜未	釋 動 以 求 靜 故 雖 靜 而 不 離 動 然 則 動 靜 未 
T45n1858_001:0151a14	始異，而惑者不同，緣使真言滯於競辯，宗途	始 異 而 惑 者 不 同 緣 使 真 言 滯 於 競 辯 宗 途 
T45n1858_001:0151a15	屈於好異。所以靜躁之極，未易言也。何者？夫	屈 於 好 異 所 以 靜 躁 之 極 未 易 言 也 何 者 夫 
T45n1858_001:0151a16	談真則逆俗，順俗則違真。違真故迷性而莫	談 真 則 逆 俗 順 俗 則 違 真 違 真 故 迷 性 而 莫 
