T46n1928_001:0704c12	指要鈔序	指 要 鈔 序 
T46n1928_001:0704c14	宋東山沙門遵式述	宋 東 山 沙 門 遵 式 述 
T46n1928_001:0704c15	大教隆夷存乎其人，諸祖既往玄化幾息，時	大 教 隆 夷 存 乎 其 人 諸 祖 既 往 玄 化 幾 息 時 
T46n1928_001:0704c16	不可以久替，必有間世者出焉。四明傳教導	不 可 以 久 替 必 有 間 世 者 出 焉 四 明 傳 教 導 
T46n1928_001:0704c17	師禮公，實教門之偉人也！童子受經便能思	師 禮 公 實 教 門 之 偉 人 也 童 子 受 經 便 能 思 
T46n1928_001:0704c18	義，天機特發不曰生知之上性者乎！及進具	義 天 機 特 發 不 曰 生 知 之 上 性 者 乎 及 進 具 
T46n1928_001:0704c19	稟學於寶雲通師，初預法席，厥父夢其跪于	稟 學 於 寶 雲 通 師 初 預 法 席 厥 父 夢 其 跪 于 
T46n1928_001:0704c20	師前，師執瓶水注於口中，其引若泉、其受若	師 前 師 執 瓶 水 注 於 口 中 其 引 若 泉 其 受 若 
T46n1928_001:0704c21	谷，於是乎天台大教圓頓之旨，一受即了不	谷 於 是 乎 天 台 大 教 圓 頓 之 旨 一 受 即 了 不 
T46n1928_001:0704c22	俟再聞。師謂之曰：「子於吾言無所不達，非助	俟 再 聞 師 謂 之 曰 子 於 吾 言 無 所 不 達 非 助 
T46n1928_001:0704c23	我也。」逮師始滅，公復夢貫師之首擐于左臂	我 也 逮 師 始 滅 公 復 夢 貫 師 之 首 擐 于 左 臂 
T46n1928_001:0704c24	而行。嘻！得非初表受習，若阿難瀉水分瓶之	而 行 嘻 得 非 初 表 受 習 若 阿 難 瀉 水 分 瓶 之 
T46n1928_001:0704c25	莫二也；後表傳持，操師種智之首而行化也。	莫 二 也 後 表 傳 持 操 師 種 智 之 首 而 行 化 也 
T46n1928_001:0704c26	淳化初，郡之乾符寺請開講席，諸子悅隨若	淳 化 初 郡 之 乾 符 寺 請 開 講 席 諸 子 悅 隨 若 
T46n1928_001:0704c27	眾流會海，繇是堂舍側陋門徒漸繁，未幾遂	眾 流 會 海 繇 是 堂 舍 側 陋 門 徒 漸 繁 未 幾 遂 
T46n1928_001:0704c28	遷于保恩院焉。《法華》、《止觀》、《金光明》諸部，連環	遷 于 保 恩 院 焉 法 華 止 觀 金 光 明 諸 部 連 環 
T46n1928_001:0704c29	講貫，歲無虛日。甞勗其徒曰：「吾之或出或處	講 貫 歲 無 虛 日 甞 勗 其 徒 曰 吾 之 或 出 或 處 
T46n1928_001:0705a01	或默或語，未始不以教觀權實之旨，為服味	或 默 或 語 未 始 不 以 教 觀 權 實 之 旨 為 服 味 
T46n1928_001:0705a02	焉、為杖几焉。汝無怠也！」大哉！若夫被寂忍之	焉 為 杖 几 焉 汝 無 怠 也 大 哉 若 夫 被 寂 忍 之 
T46n1928_001:0705a03	衣，據大慈之室，循循善誘不可得而稱矣！《釋	衣 據 大 慈 之 室 循 循 善 誘 不 可 得 而 稱 矣 釋 
T46n1928_001:0705a04	籤》十不二門者，今昔講流以為一難文也，或	籤 十 不 二 門 者 今 昔 講 流 以 為 一 難 文 也 或 
T46n1928_001:0705a05	多註釋各陳異端，孰不自謂握靈蛇之珠、揮	多 註 釋 各 陳 異 端 孰 不 自 謂 握 靈 蛇 之 珠 揮 
T46n1928_001:0705a06	彌天之筆，豈思夫一家教觀，殊不知其啟發	彌 天 之 筆 豈 思 夫 一 家 教 觀 殊 不 知 其 啟 發 
T46n1928_001:0705a07	之所。公覽之再歎，豈但釋文未允，奈何委亂	之 所 公 覽 之 再 歎 豈 但 釋 文 未 允 奈 何 委 亂 
T46n1928_001:0705a08	大綱。山隤角崩良用悲痛，將欲正舉捨我而	大 綱 山 隤 角 崩 良 用 悲 痛 將 欲 正 舉 捨 我 而 
T46n1928_001:0705a09	誰！遂而正析斯文旁援顯據，綽有餘刃兼整	誰 遂 而 正 析 斯 文 旁 援 顯 據 綽 有 餘 刃 兼 整 
T46n1928_001:0705a10	大途，教門權實今時同昧者於茲判矣，別理	大 途 教 門 權 實 今 時 同 昧 者 於 茲 判 矣 別 理 
T46n1928_001:0705a11	隨緣其類也。觀道所託連代共迷者於茲見	隨 緣 其 類 也 觀 道 所 託 連 代 共 迷 者 於 茲 見 
T46n1928_001:0705a12	矣，指要所以其立也。至若《法華》、《止觀》綱格之	矣 指 要 所 以 其 立 也 至 若 法 華 止 觀 綱 格 之 
T46n1928_001:0705a13	文，隱括錯綜略無不在，後之學者足以視近	文 隱 括 錯 綜 略 無 不 在 後 之 學 者 足 以 視 近 
T46n1928_001:0705a14	見遠，染指知味。《易》不云乎：「通天下之志，定天	見 遠 染 指 知 味 易 不 云 乎 通 天 下 之 志 定 天 
T46n1928_001:0705a15	下之業，斷天下之疑。」實此一二萬言得矣。式	下 之 業 斷 天 下 之 疑 實 此 一 二 萬 言 得 矣 式 
T46n1928_001:0705a16	忝同學也，觀者無謂吾之亦有黨乎？取長其	忝 同 學 也 觀 者 無 謂 吾 之 亦 有 黨 乎 取 長 其 
T46n1928_001:0705a17	理、無取長其情，文理明白，誰能隱乎云也。	理 無 取 長 其 情 文 理 明 白 誰 能 隱 乎 云 也 
T46n1928_001:0705a20	十不二門指要鈔卷上	十 不 二 門 指 要 鈔 卷 上 
T46n1928_001:0705a22	宋四明沙門知禮述	宋 四 明 沙 門 知 禮 述 
T46n1928_001:0705a23	十不二門者，本出《釋籤》，豈須鈔解。但斯宗講	十 不 二 門 者 本 出 釋 籤 豈 須 鈔 解 但 斯 宗 講 
T46n1928_001:0705a24	者，或示或註，著述云云，而事理未明、解行無	者 或 示 或 註 著 述 云 云 而 事 理 未 明 解 行 無 
