T48n2010_001:0376b18	信心銘	信 心 銘 
T48n2010_001:0376b20	　至道無難　　唯嫌揀擇　　但莫憎愛	 至 道 無 難 唯 嫌 揀 擇 但 莫 憎 愛 
T48n2010_001:0376b21	　洞然明白　　毫釐有差　　天地懸隔	 洞 然 明 白 毫 釐 有 差 天 地 懸 隔 
T48n2010_001:0376b22	　欲得現前　　莫存順逆　　違順相爭	 欲 得 現 前 莫 存 順 逆 違 順 相 爭 
T48n2010_001:0376b23	　是為心病　　不識玄旨　　徒勞念靜	 是 為 心 病 不 識 玄 旨 徒 勞 念 靜 
T48n2010_001:0376b24	　圓同太虛　　無欠無餘　　良由取捨	 圓 同 太 虛 無 欠 無 餘 良 由 取 捨 
T48n2010_001:0376b25	　所以不如　　莫逐有緣　　勿住空忍	 所 以 不 如 莫 逐 有 緣 勿 住 空 忍 
T48n2010_001:0376b26	　一種平懷　　泯然自盡　　止動歸止	 一 種 平 懷 泯 然 自 盡 止 動 歸 止 
T48n2010_001:0376b27	　止更彌動　　唯滯兩邊　　寧知一種	 止 更 彌 動 唯 滯 兩 邊 寧 知 一 種 
T48n2010_001:0376b28	　一種不通　　兩處失功　　遣有沒有	 一 種 不 通 兩 處 失 功 遣 有 沒 有 
T48n2010_001:0376b29	　從空背空　　多言多慮　　轉不相應	 從 空 背 空 多 言 多 慮 轉 不 相 應 
T48n2010_001:0376c01	　絕言絕慮　　無處不通　　歸根得旨	 絕 言 絕 慮 無 處 不 通 歸 根 得 旨 
T48n2010_001:0376c02	　隨照失宗　　須臾返照　　勝却前空	 隨 照 失 宗 須 臾 返 照 勝 却 前 空 
T48n2010_001:0376c03	　前空轉變　　皆由妄見　　不用求真	 前 空 轉 變 皆 由 妄 見 不 用 求 真 
T48n2010_001:0376c04	　唯須息見　　二見不住　　慎勿追尋	 唯 須 息 見 二 見 不 住 慎 勿 追 尋 
T48n2010_001:0376c05	　纔有是非　　紛然失心　　二由一有	 纔 有 是 非 紛 然 失 心 二 由 一 有 
T48n2010_001:0376c06	　一亦莫守　　一心不生　　萬法無咎	 一 亦 莫 守 一 心 不 生 萬 法 無 咎 
T48n2010_001:0376c07	　無咎無法　　不生不心　　能隨境滅	 無 咎 無 法 不 生 不 心 能 隨 境 滅 
T48n2010_001:0376c08	　境逐能沈　　境由能境　　能由境能	 境 逐 能 沈 境 由 能 境 能 由 境 能 
T48n2010_001:0376c09	　欲知兩段　　元是一空　　一空同兩	 欲 知 兩 段 元 是 一 空 一 空 同 兩 
T48n2010_001:0376c10	　齊含萬像　　不見精麁　　寧有偏黨	 齊 含 萬 像 不 見 精 麁 寧 有 偏 黨 
T48n2010_001:0376c11	　大道體寬　　無易無難　　小見狐疑	 大 道 體 寬 無 易 無 難 小 見 狐 疑 
T48n2010_001:0376c12	　轉急轉遲　　執之失度　　心入邪路	 轉 急 轉 遲 執 之 失 度 心 入 邪 路 
T48n2010_001:0376c13	　放之自然　　體無去住　　任性合道	 放 之 自 然 體 無 去 住 任 性 合 道 
T48n2010_001:0376c14	　逍遙絕惱　　繫念乖真　　沈惛不好	 逍 遙 絕 惱 繫 念 乖 真 沈 惛 不 好 
T48n2010_001:0376c15	　不好勞神　　何用疎親　　欲趣一乘	 不 好 勞 神 何 用 疎 親 欲 趣 一 乘 
T48n2010_001:0376c16	　勿惡六塵　　六塵不惡　　還同正覺	 勿 惡 六 塵 六 塵 不 惡 還 同 正 覺 
T48n2010_001:0376c17	　智者無為　　愚人自縛　　法無異法	 智 者 無 為 愚 人 自 縛 法 無 異 法 
T48n2010_001:0376c18	　妄自愛著　　將心用心　　豈非大錯	 妄 自 愛 著 將 心 用 心 豈 非 大 錯 
T48n2010_001:0376c19	　迷生寂亂　　悟無好惡　　一切二邊	 迷 生 寂 亂 悟 無 好 惡 一 切 二 邊 
T48n2010_001:0376c20	　妄自斟酌　　夢幻空華　　何勞把捉	 妄 自 斟 酌 夢 幻 空 華 何 勞 把 捉 
T48n2010_001:0376c21	　得失是非　　一時放却　　眼若不眠	 得 失 是 非 一 時 放 却 眼 若 不 眠 
T48n2010_001:0376c22	　諸夢自除　　心若不異　　萬法一如	 諸 夢 自 除 心 若 不 異 萬 法 一 如 
T48n2010_001:0376c23	　一如體玄　　兀爾忘緣　　萬法齊觀	 一 如 體 玄 兀 爾 忘 緣 萬 法 齊 觀 
