T85n2774_001:0433a03	維摩經疏	維 摩 經 疏 
T85n2774_001:0433a05	辯才已下嘆有中智。辯才者。言辭清當稱之	辯 才 已 下 嘆 有 中 智 辯 才 者 言 辭 清 當 稱 之 
T85n2774_001:0433a06	為辯。秀覺過物目曰才也。無礙者。世人之才	為 辯 秀 覺 過 物 目 曰 才 也 無 礙 者 世 人 之 才 
T85n2774_001:0433a07	有窮有竭。菩薩辯才無有窮竭。遊戲神通者。	有 窮 有 竭 菩 薩 辯 才 無 有 窮 竭 遊戲神通 者 
T85n2774_001:0433a08	或世人遊戲或山林池沼以適其志。明此大	或 世 人 遊 戲 或 山 林 池 沼 以 適 其 志 明 此 大 
T85n2774_001:0433a09	士五通化物於己心猶若遊戲也。又解。遊戲	士 五 通 化 物 於 己 心 猶 若 遊 戲 也 又 解 遊 戲 
T85n2774_001:0433a10	者。率爾即去不加心力。明菩薩在通不難義	者 率 爾 即 去 不 加 心 力 明 菩 薩 在 通 不 難 義 
T85n2774_001:0433a11	同遊戲。逮諸總持者。得陀羅尼總持。一者聞	同 遊 戲 逮 諸 總 持 者 得陀羅尼 總 持 一 者 聞 
T85n2774_001:0433a12	持。二者義持。聞持者。一逕於耳終不忘失。義	持 二 者 義 持 聞 持 者 一 逕 於 耳 終 不 忘 失 義 
T85n2774_001:0433a13	持者。一領胸衿始終不喪。無所畏者。內德既	持 者 一 領 胸 衿 始 終 不 喪 無 所 畏 者 內 德 既 
T85n2774_001:0433a14	豐故不懼外敵也。又解。菩薩修四無畏。一者	豐 故 不 懼 外 敵 也 又 解 菩 薩 修 四 無 畏 一 者 
T85n2774_001:0433a15	得聞持陀羅尼。二者善別眾生根性。三者無	得 聞持陀羅尼 二 者 善 別 眾 生 根 性 三 者 無 
T85n2774_001:0433a16	有難而不通。四者善決眾疑。第四句降魔勞	有 難 而 不 通 四 者 善 決 眾 疑 第 四 句 降 魔 勞 
T85n2774_001:0433a17	怨者。明其所除。上既備空有二行。自非除於	怨 者 明 其 所 除 上 既 備 空 有 二 行 自 非 除 於 
T85n2774_001:0433a18	四魔。何能備空有之行。故次明斷除四魔。煩	四 魔 何 能 備 空 有 之 行 故 次 明 斷 除 四 魔 煩 
T85n2774_001:0433a19	惱魔者即為因累。陰魔死魔即是果累也。天	惱 魔 者 即 為 因 累 陰 魔 死 魔 即 是 果 累 也 天 
T85n2774_001:0433a20	魔起惡之緣。故宜除遣。第五句入深法門訖	魔 起 惡 之 緣 故 宜 除 遣 第 五 句 入 深 法 門 訖 
T85n2774_001:0433a21	決定大乘。復明空有二行。何以而來。上既明	決 定 大 乘 復 明 空 有 二 行 何 以 而 來 上 既 明 
T85n2774_001:0433a22	除於四魔。若不觀達空境則無以除三魔。自	除 於 四 魔 若 不 觀 達 空 境 則 無 以 除 三 魔 自 
T85n2774_001:0433a23	非有智備足何能除於天魔。所以重明也。此	非 有 智 備 足 何 能 除 於 天 魔 所 以 重 明 也 此 
T85n2774_001:0433a24	理幽邃稱之為深。能軌曰法。通智為門。善契	理 幽 邃 稱 之 為 深 能 軌 曰 法 通 智 為 門 善 契 
T85n2774_001:0433a25	理宗故言入也。此語空境也。善於智度者。即	理 宗 故 言 入 也 此 語 空 境 也 善 於 智 度 者 即 
T85n2774_001:0433a26	是智體。正由智波羅蜜備故能入深法門。通	是 智 體 正 由 智波羅蜜 備 故 能 入 深 法 門 通 
T85n2774_001:0433a27	達方便已下訖決定大乘。明於有行。通達方	達 方 便 已 下 訖 決 定 大 乘 明 於 有 行 通 達 方 
T85n2774_001:0433a28	便者。善巧不著故稱方便。事中無擁稱之為	便 者 善 巧 不 著 故 稱 方 便 事 中 無 擁 稱 之 為 
T85n2774_001:0433a29	通。能有所到故稱達也。大願成就者。菩薩	通 能 有 所 到 故 稱 達 也 大 願 成 就 者 菩 薩 
T85n2774_001:0433b01	仰要佛果願度眾生。明了眾生心之所趣者。	仰 要 佛 果 願 度 眾 生 明 了 眾 生 心 之 所 趣 者 
T85n2774_001:0433b02	善識眾生心趣善惡。又能分別諸根利鈍者。	善 識 眾 生 心 趣 善 惡 又 能 分 別 諸 根 利 鈍 者 
T85n2774_001:0433b03	上中下品機悟萬差悉能了知。即是識病。久	上 中 下 品 機 悟 萬 差 悉 能 了 知 即 是 識 病 久 
T85n2774_001:0433b04	於佛道已下。此明識藥。從初性地訖于法雲	於 佛 道 已 下 此 明 識 藥 從 初 性 地 訖 于 法 雲 
T85n2774_001:0433b05	能通至佛稱為佛道。心已純寂者。寂之言善。	能 通 至 佛 稱 為 佛 道 心 已 純 寂 者 寂 之 言 善 
