T85n2855_001:1304b22	禮懺文	禮 懺 文 
T85n2855_001:1304b24	窺著地兩手抱昧□□□□□□□□□□	窺 著 地 兩 手 抱 昧 
T85n2855_001:1304b25	恭莫以散亂等閑心一心專□□□□□□□	恭 莫 以 散 亂 等 閑 心 一 心 專 
T85n2855_001:1304b26	可是輕處若不止誠慇重□□□□□□□降	可 是 輕 處 若 不 止 誠 慇 重 降 
T85n2855_001:1304b27	赴亦不攝授啟請亦□□□□□□□□滅却	赴 亦 不 攝 授 啟 請 亦 滅 却 
T85n2855_001:1304b28	得輕慢罪當須懃□□□□□□□思冷水如	得 輕 慢 罪 當 須 懃 思 冷 水 如 
T85n2855_001:1304b29	病等良藥醫治而得差□□□弟子某乙等一	病 等 良 藥 醫 治 而 得 差 弟 子 某 乙 等 一 
T85n2855_001:1304c01	心歸命十方三世盡虛空界諸佛世尊大慈悲	心 歸 命 十 方 三 世 盡 虛 空 界 諸佛世尊 大 慈 悲 
T85n2855_001:1304c02	父怜念眾生不捨本願不捨慈悲。如是諸佛以	父 怜 念 眾 生 不 捨 本 願 不 捨 慈 悲 如 是 諸 佛 以 
T85n2855_001:1304c03	於無量無數大劫廣行一切難自利利他難行	於 無量無數 大 劫 廣 行 一 切 難 自利利他 難 行 
T85n2855_001:1304c04	苦行。為我等輩捨頭目髓腦血肉身分國城妻	苦 行 為 我 等 輩 捨 頭 目 髓 腦 血 肉 身 分 國 城 妻 
T85n2855_001:1304c05	子象馬車乘金銀七寶衣被飲食臥具醫藥。	子 象 馬 車 乘 金 銀 七 寶 衣 被 飲 食 臥 具 醫 藥 
T85n2855_001:1304c06	來求索者悉皆施與。無有悋惜心生歡喜。勇	來 求 索 者 悉 皆 施 與 無 有 悋 惜 心生歡喜 勇 
T85n2855_001:1304c07	猛精進修行六度。布施持戒忍辱精進禪定	猛 精 進 修 行 六 度 布 施 持 戒 忍 辱 精 進 禪 定 
T85n2855_001:1304c08	智慧方便願力諸波羅蜜。十二部經甚深正	智慧方便 願 力 諸波羅蜜 十二部經 甚 深 正 
T85n2855_001:1304c09	法。初善中善後善。其義深遠其語功妙。純一	法 初 善 中 善 後 善 其 義 深 遠 其 語 功 妙 純 一 
T85n2855_001:1304c10	無雜具足精白梵行之相。從依諸佛清淨證	無 雜 具 足 精 白 梵 行 之 相 從 依 諸 佛 清 淨 證 
T85n2855_001:1304c11	智同一覺持之所留立。若有眾生受持一四句	智 同 一 覺 持 之 所 留 立 若 有 眾 生 受 持 一 四 句 
T85n2855_001:1304c12	偈。勝異恒沙身命布施。十力無畏大悲三念	偈 勝 異 恒 沙 身 命 布 施 十 力 無 畏 大 悲 三 念 
T85n2855_001:1304c13	四無所畏四無礙解大慈大悲大喜大捨一切	四無所畏 四無礙解 大慈大悲 大 喜 大 捨 一 切 
T85n2855_001:1304c14	神通一切相好一切功德一切智慧一切萬行	神 通 一 切 相 好 一切功德 一 切 智 慧 一 切 萬 行 
T85n2855_001:1304c15	悉皆修學。三乘三藏無漏無為五種淨眼六	悉 皆 修 學 三 乘 三 藏 無 漏 無 為 五 種 淨 眼 六 
T85n2855_001:1304c16	種神通功德智慧已圓滿。以歸成無上正等	種 神 通 功 德 智 慧 已 圓 滿 以 歸 成 無 上 正 等 
T85n2855_001:1304c17	菩提三十二相八十種好金剛不壞堅固之身	菩 提 三十二相 八十種好 金 剛 不 壞 堅 固 之 身 
T85n2855_001:1304c18	法身常身及以化身。三界六道拔濟眾生。眾	法 身 常 身 及 以 化 身 三 界 六 道 拔 濟 眾 生 眾 
