T48n2009_001:0365a08	小室六門	小 室 六 門 
T48n2009_001:0365a10	第一門心經頌	第 一 門 心 經 頌 
T48n2009_001:0365a11	摩訶般若波羅蜜多心經	摩訶般若波羅蜜 多 心 經 
T48n2009_001:0365a12	智慧清淨海。理密義幽深。波羅到彼岸。向道	智 慧 清 淨 海 理 密 義 幽 深 波 羅 到 彼 岸 向 道 
T48n2009_001:0365a13	秖由心。多聞千種意。不離線因針。經花糸一	秖 由 心 多 聞 千 種 意 不 離 線 因 針 經 花 糸 一 
T48n2009_001:0365a14	道。萬劫眾賢欽。	道 萬 劫 眾 賢 欽 
T48n2009_001:0365a15	觀自在菩薩。	觀 自 在 菩 薩 
T48n2009_001:0365a16	菩薩超聖智。六處悉皆同。心空觀自在。無閡	菩 薩 超 聖 智 六 處 悉 皆 同 心 空 觀 自 在 無 閡 
T48n2009_001:0365a17	大神通。禪門入正受。三昧任西東。十方遊歷	大 神 通 禪 門 入 正 受 三 昧 任 西 東 十 方 遊 歷 
T48n2009_001:0365a18	遍。不見佛行蹤。	遍 不 見 佛 行 蹤 
T48n2009_001:0365a19	行深般若波羅蜜多時。	行 深 般 若 波羅蜜多 時 
T48n2009_001:0365a20	六年求大道。行深不離身。智慧心解脫。達彼	六 年 求 大 道 行 深 不 離 身 智 慧 心 解 脫 達 彼 
T48n2009_001:0365a21	岸頭人。聖道空寂寂。如是我今聞。佛行平等	岸 頭 人 聖 道 空 寂 寂 如 是 我 今 聞 佛 行 平 等 
T48n2009_001:0365a22	意。時到自超群。	意 時 到 自 超 群 
T48n2009_001:0365a23	照見五蘊皆空。	照 見 五 蘊 皆 空 
T48n2009_001:0365a24	貪愛成五蘊。假合得為身。血肉連筋骨。皮裏	貪 愛 成 五 蘊 假 合 得 為 身 血 肉 連 筋 骨 皮 裏 
T48n2009_001:0365a25	一堆塵。迷徒生樂著。智者不為親。四相皆歸	一 堆 塵 迷 徒 生 樂 著 智 者 不 為 親 四 相 皆 歸 
T48n2009_001:0365a26	盡。呼甚乃為真。	盡 呼 甚 乃 為 真 
T48n2009_001:0365a27	度一切苦厄。	度 一 切 苦 厄 
T48n2009_001:0365a28	妄繫身為苦。人我心自迷。涅槃清淨道。誰肯	妄 繫 身 為 苦 人 我 心 自 迷 涅 槃 清 淨 道 誰 肯 
T48n2009_001:0365a29	著心依。陰界六塵起。厄難業相隨。若要心無	著 心 依 陰 界 六 塵 起 厄 難 業 相 隨 若 要 心 無 
T48n2009_001:0365b01	苦。聞早悟菩提。	苦 聞 早 悟 菩 提 
T48n2009_001:0365b02	舍利子。	舍 利 子 
T48n2009_001:0365b03	達道由心本。心淨利還多。如蓮華出水。頓覺	達 道 由 心 本 心 淨 利 還 多 如 蓮 華 出 水 頓 覺 
T48n2009_001:0365b04	道源和。常居寂滅相。智慧眾難過。獨超三界	道 源 和 常 居 寂 滅 相 智 慧 眾 難 過 獨 超 三 界 
T48n2009_001:0365b05	外。更不戀娑婆。	外 更 不 戀 娑 婆 
T48n2009_001:0365b06	色不異空空不異色。	色不異空 空不異色 
T48n2009_001:0365b07	色與空一種。未到見兩般。二乘生分別。執相	色 與 空 一 種 未 到 見 兩 般 二 乘 生 分 別 執 相 
T48n2009_001:0365b08	自心謾。空外無別色。非色義能寬。無生清淨	自 心 謾 空 外 無 別 色 非 色 義 能 寬 無 生 清 淨 
T48n2009_001:0365b09	性。悟者即涅槃。	性 悟 者 即 涅 槃 
T48n2009_001:0365b10	色即是空。空即是色。	色 即 是 空 空 即 是 色 
T48n2009_001:0365b11	非空空不有。非色色無形。色空同歸一。淨土	非 空 空 不 有 非 色 色 無 形 色 空 同 歸 一 淨 土 
T48n2009_001:0365b12	得安寧。非空空為妙。非色色分明。色空皆非	得 安 寧 非 空 空 為 妙 非 色 色 分 明 色 空 皆 非 
T48n2009_001:0365b13	相。甚處立身形。	相 甚 處 立 身 形 
T48n2009_001:0365b14	受想行識亦復如是。	受 想 行 識 亦復如是 
T48n2009_001:0365b15	受想納諸緣。行識量能寬。遍計心須滅。我病	受 想 納 諸 緣 行 識 量 能 寬 遍 計 心 須 滅 我 病 
T48n2009_001:0365b16	不相于。解脫心無礙。破執悟心源。故云亦如	不 相 于 解 脫 心 無 礙 破 執 悟 心 源 故 云 亦 如 
T48n2009_001:0365b17	是。性相一般般。	是 性 相 一 般 般 
T48n2009_001:0365b18	舍利子。	舍 利 子 
T48n2009_001:0365b19	說舍論身相。利言一種心。菩薩金剛力。四相	說 舍 論 身 相 利 言 一 種 心 菩 薩 金 剛 力 四 相 
T48n2009_001:0365b20	勿令侵。達道離人執。見性法無音。諸漏皆總	勿 令 侵 達 道 離 人 執 見 性 法 無 音 諸 漏 皆 總 
T48n2009_001:0365b21	盡。遍體是真金。	盡 遍 體 是 真 金 
T48n2009_001:0365b22	是諸法空相。	是 諸 法 空 相 
T48n2009_001:0365b23	諸佛說空法。聲聞有相求。尋經覓道理。何日	諸 佛 說 空 法 聲 聞 有 相 求 尋 經 覓 道 理 何 日 
T48n2009_001:0365b24	學心休。圓成真實相。頓見罷心修。逈然超法	學 心 休 圓 成 真 實 相 頓 見 罷 心 修 逈 然 超 法 
T48n2009_001:0365b25	界。自在更何憂。	界 自 在 更 何 憂 
T48n2009_001:0365b26	不生不滅。	不生不滅 
T48n2009_001:0365b27	盧舍清淨體。無相本來真。如空皆總遍。萬劫	盧 舍 清 淨 體 無 相 本 來 真 如 空 皆 總 遍 萬 劫 
T48n2009_001:0365b28	體長存。不共皆不著。無舊亦無新。和光塵不	體 長 存 不 共 皆 不 著 無 舊 亦 無 新 和 光 塵 不 
T48n2009_001:0365b29	染。三界獨為尊。	染 三 界 獨 為 尊 
T48n2009_001:0365c01	不垢不淨。	不垢不淨 
T48n2009_001:0365c02	真如越三界。垢淨本來無。能仁起方便。說細	真 如 越 三 界 垢 淨 本 來 無 能 仁 起 方 便 說 細 
T48n2009_001:0365c03	及言麁。空界無有法。是現一輪孤。本來無一	及 言 麁 空 界 無 有 法 是 現 一 輪 孤 本 來 無 一 
T48n2009_001:0365c04	物。豈合兩般呼。	物 豈 合 兩 般 呼 
T48n2009_001:0365c05	不增不減。	不增不減 
T48n2009_001:0365c06	如來體無相。滿足十方空。空上難立有。有內	如 來 體 無 相 滿 足 十 方 空 空 上 難 立 有 有 內 
T48n2009_001:0365c07	不見空。看似水中月。聞如耳畔風。法身何增	不 見 空 看 似 水 中 月 聞 如 耳 畔 風 法 身 何 增 
T48n2009_001:0365c08	減。三界號真容。	減 三 界 號 真 容 
T48n2009_001:0365c09	是故空中。	是 故 空 中 
T48n2009_001:0365c10	菩提不在外。中聞覓也難。非相非非相。量	菩 提 不 在 外 中 聞 覓 也 難 非 相 非 非 相 量 
T48n2009_001:0365c11	測失機關。世界非世界。三光照四天。本來無	測 失 機 關 世 界 非 世 界 三 光 照 四 天 本 來 無 
T48n2009_001:0365c12	障閡。甚處有遮欄。	障 閡 甚 處 有 遮 欄 
T48n2009_001:0365c13	無色無受想行識。	無 色 無 受 想 行 識 
T48n2009_001:0365c14	無色本來空。無受意還同。行識無中有。有盡	無 色 本 來 空 無 受 意 還 同 行 識 無 中 有 有 盡 
T48n2009_001:0365c15	却歸空。執有實不有。依空又落空。色空心俱	却 歸 空 執 有 實 不 有 依 空 又 落 空 色 空 心 俱 
T48n2009_001:0365c16	離。方始得神通。	離 方 始 得 神 通 
T48n2009_001:0365c17	無眼耳鼻舌身意。	無 眼 耳 鼻 舌 身 意 
T48n2009_001:0365c18	六根無自性。隨相與安排。色分緣聲響。人我	六 根 無 自 性 隨 相 與 安 排 色 分 緣 聲 響 人 我 
T48n2009_001:0365c19	舌詼諧。鼻或分香臭。身意欲情乖。六處貪愛	舌 詼 諧 鼻 或 分 香 臭 身 意 欲 情 乖 六 處 貪 愛 
T48n2009_001:0365c20	斷。萬劫不輪迴。	斷 萬 劫 不 輪 迴 
T48n2009_001:0365c21	無色聲香味觸法。	無 色聲香味觸 法 
T48n2009_001:0365c22	證智無聲色。香味觸他誰。六塵從妄起。凡心	證 智 無 聲 色 香 味 觸 他 誰 六 塵 從 妄 起 凡 心 
T48n2009_001:0365c23	自惑疑。生死休生死。菩提證此時。法性空無	自 惑 疑 生 死 休 生 死 菩 提 證 此 時 法 性 空 無 
T48n2009_001:0365c24	住。只恐悟他遲。	住 只 恐 悟 他 遲 
T48n2009_001:0365c25	無眼界乃至無意識界。	無 眼 界 乃 至 無 意 識 界 
T48n2009_001:0365c26	六識從妄起。依他性自開。眼耳兼身意。誰肯	六 識 從 妄 起 依 他 性 自 開 眼 耳 兼 身 意 誰 肯 
T48n2009_001:0365c27	自量裁。舌鼻行顛倒。心王却遣回。六識中不	自 量 裁 舌 鼻 行 顛 倒 心 王 却 遣 回 六 識 中 不 
T48n2009_001:0365c28	久。頓悟向如來。	久 頓 悟 向 如 來 
T48n2009_001:0365c29	無無明亦無無明盡乃至無老死亦無老死	無 無 明 亦 無 無 明 盡 乃 至 無 老 死 亦 無 老 死 
T48n2009_001:0366a01	盡。	盡 
T48n2009_001:0366a02	十二因緣有。生下老相隨。有身無明至。二相	十二因緣 有 生 下 老 相 隨 有 身 無 明 至 二 相 
T48n2009_001:0366a03	等頭齊。身盡無明盡。受報却來期。智身如幻	等 頭 齊 身 盡 無 明 盡 受 報 却 來 期 智 身 如 幻 
T48n2009_001:0366a04	化。急急悟無為。	化 急 急 悟 無 為 
T48n2009_001:0366a05	無苦集滅道。	無 苦集滅道 
T48n2009_001:0366a06	四諦興三界。頓教義分明。苦斷集已滅。聖道	四 諦 興 三 界 頓 教 義 分 明 苦 斷 集 已 滅 聖 道 
T48n2009_001:0366a07	自然成。聲聞休妄想。緣覺意安寧。欲知成佛	自 然 成 聲 聞 休 妄 想 緣 覺 意 安 寧 欲 知 成 佛 
T48n2009_001:0366a08	處。心上莫留停。	處 心 上 莫 留 停 
T48n2009_001:0366a09	無智亦無得。	無 智 亦 無 得 
T48n2009_001:0366a10	法本非無有。智慧難測量。歡喜心離垢。發光	法 本 非 無 有 智 慧 難 測 量 歡 喜 心 離 垢 發 光 
T48n2009_001:0366a11	滿十方。難勝於前現。遠行大道場。不動超彼	滿 十 方 難 勝 於 前 現 遠 行 大 道 場 不 動 超 彼 
T48n2009_001:0366a12	岸。善慧法中王。	岸 善 慧 法 中 王 
T48n2009_001:0366a13	以無所得故。	以 無 所 得 故 
T48n2009_001:0366a14	寂滅體無得。真空絕手攀。本來無相貌。權且	寂 滅 體 無 得 真 空 絕 手 攀 本 來 無 相 貌 權 且 
T48n2009_001:0366a15	立三檀。四智開法喻。六度號都關。十地三乘	立 三 檀 四 智 開 法 喻 六 度 號 都 關 十 地 三 乘 
T48n2009_001:0366a16	法。眾聖測他難。	法 眾 聖 測 他 難 
T48n2009_001:0366a17	菩提薩埵。	菩 提 薩 埵 
T48n2009_001:0366a18	佛道真難識。薩埵是凡夫。眾生要見性。敬佛	佛 道 真 難 識 薩 埵 是 凡 夫 眾 生 要 見 性 敬 佛 
