T85n2737_001:0120a03	金剛經疏	金 剛 經 疏 
T85n2737_001:0120a05	念無。舉。須菩提。於意云何。斯陀含。我得	念 無 舉 須 菩 提 於意云何 斯 陀 含 我 得 
T85n2737_001:0120a06	斯陀含果不。是第二問也。須陀洹人。尚不生	斯陀含果 不 是 第 二 問 也 須 陀 洹 人 尚 不 生 
T85n2737_001:0120a07	念。斯陀含人。豈敢生念。斯陀含人。進斷六品	念 斯 陀 含 人 豈 敢 生 念 斯 陀 含 人 進 斷 六 品 
T85n2737_001:0120a08	煩惱。生□二家。即證得二果。我得斯陀含果。	煩 惱 生 二 家 即 證 得 二 果 我 得 斯陀含果 
T85n2737_001:0120a09	無問竟也。答。舉。須菩提言。不也。世尊。是直	無 問 竟 也 答 舉 須 菩 提 言 不 也 世 尊 是 直 
T85n2737_001:0120a10	答也。不能生念。何以故徵。徵以何故。從以	答 也 不 能 生 念 何 以 故 徵 徵 以 何 故 從 以 
T85n2737_001:0120a11	下。斯陀含疎。舉。斯陀含名一往來。而實無往	下 斯 陀 含 疎 舉 斯 陀 含 名 一 往 來 而 實 無 往 
T85n2737_001:0120a12	來。是名斯陀含。斯陀含者。是此西音。此名往	來 是 名 斯 陀 含 斯 陀 含 者 是 此 西 音 此 名 往 
T85n2737_001:0120a13	來。亦名薄貪嗔。貪嗔邪見賊菴儞也。故薄貪	來 亦 名 薄 貪 嗔 貪 嗔 邪 見 賊 菴 儞 也 故 薄 貪 
T85n2737_001:0120a14	嗔欲。似如來大圓鏡智。名一反往來。得無餘	嗔 欲 似 如 來 大圓鏡智 名 一 反 往 來 得 無 餘 
T85n2737_001:0120a15	故。喻趙老停査。合家總滅門。趙老兒。從西征	故 喻 趙 老 停 査 合 家 總 滅 門 趙 老 兒 從 西 征 
T85n2737_001:0120a16	迴。改業治畜。生其大富。後有査還來。趙云。	迴 改 業 治 畜 生 其 大 富 後 有 査 還 來 趙 云 
T85n2737_001:0120a17	且脫菴儞也。斯陀含名。結得成名。上來諸文	且 脫 菴 儞 也 斯 陀 含 名 結 得 成 名 上 來 諸 文 
T85n2737_001:0120a18	不同。斯陀含斯陀含了既不生念。問陀那含	不 同 斯 陀 含 斯 陀 含 了 既 不 生 念 問 陀 那 含 
T85n2737_001:0120a19	人生念無。舉。須菩提於意云何。阿那含。能作	人 生 念 無 舉 須 菩 提 於意云何 阿 那 含 能 作 
T85n2737_001:0120a20	是念。我得阿那含果不者。是第三問也。若一	是 念 我 得 阿那含果 不 者 是 第 三 問 也 若 一 
T85n2737_001:0120a21	來。若一間。總名斯陀含。修斷九品。名阿那	來 若 一 間 總 名 斯 陀 含 修 斷 九 品 名 阿 那 
T85n2737_001:0120a22	含。問竟也。須菩提答。舉。須菩提言。不也世	含 問 竟 也 須 菩 提 答 舉 須 菩 提 言 不 也 世 
T85n2737_001:0120a23	尊。是正答也。不能生念。何以故徵。徵以何	尊 是 正 答 也 不 能 生 念 何 以 故 徵 徵 以 何 
T85n2737_001:0120a24	故。從此以下釋。看舉。阿那含名為不來。而實	故 從 此 以 下 釋 看 舉 阿 那 含 名 為 不 來 而 實 
T85n2737_001:0120a25	無來。是名阿那含者。譯語釋也。臭身者。漏	無 來 是 名 阿 那 含 者 譯 語 釋 也 臭 身 者 漏 
T85n2737_001:0120a26	身也。虫身者。一切虫身也。食身者。阿那含	身 也 虫 身 者 一 切 虫 身 也 食 身 者 阿 那 含 
T85n2737_001:0120a27	人。不食五穀之類也。毒身者。龍蛇蝎等也。更	人 不 食 五 穀 之 類 也 毒 身 者 龍 蛇 蝎 等 也 更 
T85n2737_001:0120a28	不還來欲界受身。欲界攝不得。故名不來。經	不 還 來 欲 界 受 身 欲 界 攝 不 得 故 名 不 來 經 
T85n2737_001:0120a29	云不來相而來。不見相而見。若來以更不來。	云 不 來 相 而 來 不 見 相 而 見 若 來 以 更 不 來 
T85n2737_001:0120b01	若去以更不去。西方名阿那含。此名不來。是	若 去 以 更 不 去 西 方 名 阿 那 含 此 名 不 來 是 
T85n2737_001:0120b02	名阿那含。從實立名。名阿那含阿那含人既	名 阿 那 含 從 實 立 名 名 阿 那 含 阿 那 含 人 既 
T85n2737_001:0120b03	不生念。問阿羅漢人生念無。舉。須菩提。於	不 生 念 問 阿 羅 漢 人 生 念 無 舉 須 菩 提 於 
T85n2737_001:0120b04	意云何。阿羅漢。能作是念。我得阿羅漢道不。	意 云 何 阿 羅 漢 能 作 是 念 我 得阿羅漢 道 不 
T85n2737_001:0120b05	是第四問也問竟。舉。須菩提言。不也世尊。是	是 第 四 問 也 問 竟 舉 須 菩 提 言 不 也 世 尊 是 
T85n2737_001:0120b06	直答也。不能生念。何以故釋。看舉。實無有	直 答 也 不 能 生 念 何 以 故 釋 看 舉 實 無 有 
T85n2737_001:0120b07	法。名阿羅漢。西方名阿羅漢。此名無生。亦名	法 名 阿 羅 漢 西 方 名 阿 羅 漢 此 名 無 生 亦 名 
T85n2737_001:0120b08	無著。我生以盡。不受後有。誦曰。無量劫來為	無 著 我 生 以 盡 不 受 後 有 誦 曰 無 量 劫 來 為 
T85n2737_001:0120b09	恩愛。不能割捨離舉緣還復將身歸惡趣。貪	恩 愛 不 能 割 捨 離 舉 緣 還 復 將 身 歸 惡 趣 貪 
T85n2737_001:0120b10	財競色受諸愆。阿羅漢三名。無賊。賊有三義。	財 競 色 受 諸 愆 阿 羅 漢 三 名 無 賊 賊 有 三 義 
T85n2737_001:0120b11	一密入人家。二偷人財物。三共主啾唧。從此	一 密 入 人 家 二 偷 人 財 物 三 共 主 啾 唧 從 此 
T85n2737_001:0120b12	以下番釋。阿羅漢分疎看舉。世尊若羅漢。作	以 下 番 釋 阿 羅 漢 分 疎 看 舉 世 尊 若 羅 漢 作 
T85n2737_001:0120b13	是念。即著我相。人相眾生相。受者相者。此番	是 念 即 著 我 相 人 相 眾 生 相 受 者 相 者 此 番 
T85n2737_001:0120b14	顯也。總名離一切相。故名羅漢。從此以下引	顯 也 總 名 離一切相 故 名 羅 漢 從 此 以 下 引 
T85n2737_001:0120b15	證看舉。世尊佛說。我得無諍三昧。人中最為	證 看 舉 世 尊 佛 說 我 得 無諍三昧 人 中 最 為 
T85n2737_001:0120b16	第一。是第一離欲。阿羅漢者。用已證成過去	第 一 是 第 一 離 欲 阿 羅 漢 者 用 已 證 成 過 去 
T85n2737_001:0120b17	諸佛。未來諸佛。現在諸佛。入無諍三昧。是羅	諸 佛 未來諸佛 現在諸佛 入 無諍三昧 是 羅 
T85n2737_001:0120b18	漢引證成。諍者啾唧義。羅漢人故名。無諍三	漢 引 證 成 諍 者 啾 唧 義 羅 漢 人 故 名 無 諍 三 
T85n2737_001:0120b19	昧者。西方音。此名等持。平等持心。一境性	昧 者 西 方 音 此 名 等 持 平 等 持 心 一 境 性 
T85n2737_001:0120b20	故。欲界煩惱。故名為諍。沙彌愛味。被海龍之	故 欲 界 煩 惱 故 名 為 諍 沙 彌 愛 味 被 海 龍 之 
T85n2737_001:0120b21	災。比丘愛花。被河神之所罵五欲者。色聲香	災 比 丘 愛 花 被 河 神 之 所 罵 五 欲 者 色 聲 香 
T85n2737_001:0120b22	味觸。非唯離欲。欲而得離欲名。從此下引成。	味 觸 非 唯 離 欲 欲 而 得 離 欲 名 從 此 下 引 成 
T85n2737_001:0120b23	舉。我不作是念。是離欲阿羅漢。世尊者。稱佛	舉 我 不 作 是 念 是 離 欲 阿 羅 漢 世 尊 者 稱 佛 
T85n2737_001:0120b24	所說也。但有證智。無妄念故。從此以下證成。	所 說 也 但 有 證 智 無 妄 念 故 從 此 以 下 證 成 
T85n2737_001:0120b25	看舉。若我作是念。我得阿羅漢道。世尊則不	看 舉 若 我 作 是 念 我 得阿羅漢 道 世 尊 則 不 
T85n2737_001:0120b26	說。佛如實知。無妄語故。從此已下。釋成是羅	說 佛 如 實 知 無 妄 語 故 從 此 已 下 釋 成 是 羅 
T85n2737_001:0120b27	漢無。舉。須菩提。是樂阿蘭那行者。以須菩	漢 無 舉 須 菩 提 是 樂 阿 蘭 那 行 者 以 須 菩 
