X55n0908_001:0666c03	禪門要略	禪 門 要 略 
X55n0908_001:0666c05	天台大師　出	天 台 大 師 出 
X55n0908_001:0666c06	夫人修禪學慧法門。先明方便。後明正觀。方便者凡	夫 人 修 禪 學 慧 法 門 先 明 方 便 後 明 正 觀 方 便 者 凡 
X55n0908_001:0666c07	有五種。初具五緣。一者衣食具足。二者持戒清淨。三	有 五 種 初 具 五 緣 一 者 衣 食 具 足 二 者 持 戒 清 淨 三 
X55n0908_001:0666c08	者閑居靜處。四者息諸緣務。五者親近善知識。五緣	者 閑 居 靜 處 四 者 息 諸 緣 務 五 者 親近善知識 五 緣 
X55n0908_001:0666c09	若闕則妨安心。若無善知識則不知遮障。為此義故	若 闕 則 妨 安 心 若 無 善 知 識 則 不 知 遮 障 為 此 義 故 
X55n0908_001:0666c10	須具五緣也。	須 具 五 緣 也 
X55n0908_001:0666c11	二呵五欲者。謂色．聲．香．味．觸也。此五種能生行人欲	二 呵 五 欲 者 謂 色 聲 香 味 觸 也 此 五 種 能 生 行 人 欲 
X55n0908_001:0666c12	樂之心。貪愛無足。若不呵却則妨正業。故須呵却。	樂 之 心 貪 愛 無 足 若 不 呵 却 則 妨 正 業 故 須 呵 却 
X55n0908_001:0666c13	三棄五盖。此五盖者。一貪欲盖。二嗔恚盖。三睡眠盖。	三 棄 五 盖 此 五 盖 者 一 貪 欲 盖 二 嗔 恚 盖 三 睡 眠 盖 
X55n0908_001:0666c14	四掉悔盖。五疑盖。此五若棄捨。心則得安也。此五在	四 掉 悔 盖 五 疑 盖 此 五 若 棄 捨 心 則 得 安 也 此 五 在 
X55n0908_001:0666c15	心則纏覆不明。	心 則 纏 覆 不 明 
X55n0908_001:0666c16	四調五事者。一調食不飢不飽。二調眼令不節不恣。	四 調 五 事 者 一 調 食 不 飢 不 飽 二 調 眼 令 不 節 不 恣 
X55n0908_001:0666c17	此二就定外調之。三調身。四調息。五調心。此三就定	此 二 就 定 外 調 之 三 調 身 四 調 息 五 調 心 此 三 就 定 
X55n0908_001:0666c18	內調之。調身者。令不寬不急是調身相。次調息者。令	內 調 之 調 身 者 令 不 寬 不 急 是 調 身 相 次 調 息 者 令 
X55n0908_001:0666c19	息出入綿靜細。如有如無。資神安禪。守之心易得定。	息 出 入 綿 靜 細 如 有 如 無 資 神 安 禪 守 之 心 易 得 定 
X55n0908_001:0666c20	舉要言之。不澁不滑是調息相。次調心者。若多覺觀	舉 要 言 之 不 澁 不 滑 是 調 息 相 次 調 心 者 若 多 覺 觀 
X55n0908_001:0666c21	浮動。須繫念在齊中。制諸亂想。若心沈惛。頭低睡熟	浮 動 須 繫 念 在 齊 中 制 諸 亂 想 若 心 沈 惛 頭 低 睡 熟 
X55n0908_001:0666c22	無記者。當繫鼻端。令心在緣無分散意。舉要言之。不	無 記 者 當 繫 鼻 端 令 心 在 緣 無 分 散 意 舉 要 言 之 不 
X55n0908_001:0666c23	沈不浮是調心相。次復正於坐中。若覺身息心三事	沈 不 浮 是 調 心 相 次 復 正 於 坐 中 若 覺 身 息 心 三 事 
X55n0908_001:0666c24	不調者。即須用前法調之。三事若調禪定可獲。次欲	不 調 者 即 須 用 前 法 調 之 三 事 若 調 禪 定 可 獲 次 欲 
X55n0908_001:0667a01	出定時。應前放心異緣。次開口放氣。想從百脉隨意	出 定 時 應 前 放 心 異 緣 次 開 口 放 氣 想 從 百 脉 隨 意 
X55n0908_001:0667a02	有散。次微微動身。次動肩脾手頭頸等。次動兩足膝	有 散 次 微 微 動 身 次 動 肩 脾 手 頭 頸 等 次 動 兩 足 膝 
X55n0908_001:0667a03	等。次以手遍摩諸毛孔。次按兩掌令暖掩兩眼。然後	等 次 以 手 遍 摩 諸 毛 孔 次 按 兩 掌 令 暖 掩 兩 眼 然 後 
X55n0908_001:0667a04	開眼。待身汗燥方可隨意。若不爾者令人作病。	開 眼 待 身 汗 燥 方 可 隨 意 若 不 爾 者 令 人 作 病 
X55n0908_001:0667a05	第五行五法者。謂欲．精進．念．巧慧．一心是也。釋云。欲	第 五 行 五 法 者 謂 欲 精 進 念 巧 慧 一 心 是 也 釋 云 欲 
X55n0908_001:0667a06	者。欲離世間一切妄想顛倒。欲得一切禪定智慧諸	者 欲 離 世 間 一 切 妄 想 顛 倒 欲 得 一 切 禪 定 智 慧 諸 
X55n0908_001:0667a07	法門也。精進者。持戒清淨。初中後夜專精進修習無	法 門 也 精 進 者 持 戒 清 淨 初中後夜 專 精 進 修 習 無 
X55n0908_001:0667a08	上道法[卄/匕]。念者。念世間法治生產業。一色一香無非	上 道 法 [卄匕] 念 者 念 世 間 法 治 生 產 業 一 色 一 香 無 非 
X55n0908_001:0667a09	佛法也。巧慧者。思惟世間陰界入等。一一皆入如實。	佛 法 也 巧 慧 者 思 惟 世 間 陰 界 入 等 一 一 皆 入 如 實 
X55n0908_001:0667a10	令魔界即佛界。為佛事如薩陀波倫也。一心者。既知	令 魔 界 即 佛 界 為 佛 事 如 薩 陀 波 倫 也 一 心 者 既 知 
X55n0908_001:0667a11	世法即是出世法。應當專修定慧二法。令與法性相	世 法 即 是 出 世 法 應 當 專 修 定 慧 二 法 令 與 法 性 相 
X55n0908_001:0667a12	應。心如金剛無能壞者。故名一心也。此上並是坐禪。	應 心如金剛 無 能 壞 者 故 名 一 心 也 此 上 並 是 坐 禪 
X55n0908_001:0667a13	約出入略示此法。夫欲發心學道。先須問路。路有通	約 出 入 略 示 此 法 夫 欲 發 心 學 道 先 須 問 路 路 有 通 
X55n0908_001:0667a14	塞。法有是非。心有邪正。今且約坐禪示其相。餘則可	塞 法 有 是 非 心 有 邪 正 今 且 約 坐 禪 示 其 相 餘 則 可 
X55n0908_001:0667a15	解。塞路者。苦集為塞。道滅為通。無明十二因緣為塞。	解 塞 路 者 苦 集 為 塞 道 滅 為 通 無 明 十二因緣 為 塞 
X55n0908_001:0667a16	無明滅為通。六蔽為塞。六度為通。若有三塞。破之令	無 明 滅 為 通 六 蔽 為 塞 六 度 為 通 若 有 三 塞 破 之 令 
X55n0908_001:0667a17	通也。次簡邪正者。一若為利養破戒等事發心學禪	通 也 次 簡 邪 正 者 一 若 為 利 養 破 戒 等 事 發 心 學 禪 
X55n0908_001:0667a18	者。此發泥梨心。行地獄道。二若求名聞望他稱譽而	者 此 發 泥 梨 心 行 地 獄 道 二 若 求 名 聞 望 他 稱 譽 而 
X55n0908_001:0667a19	學禪者。是發謟曲心。行鬼道。三若為眷屬徒眾多檀	學 禪 者 是 發 謟 曲 心 行 鬼 道 三 若 為 眷 屬 徒 眾 多 檀 
X55n0908_001:0667a20	越等。是發飛走心。行畜生道。四若為勝他妬忌者。是	越 等 是 發 飛 走 心 行 畜 生 道 四 若 為 勝 他 妬 忌 者 是 
X55n0908_001:0667a21	發醜陋心。行修羅道。五若為此生謝後恐失未來人	發 醜 陋 心 行 修 羅 道 五 若 為 此 生 謝 後 恐 失 未 來 人 
X55n0908_001:0667a22	身。兼持戒而發心學禪者。是發欲界下心。行人道。六	身 兼 持 戒 而 發 心 學 禪 者 是 發 欲 界 下 心 行 人 道 六 
X55n0908_001:0667a23	若為求今世後世自然果報。兼修十善。是發欲界上	若 為 求 今 世 後 世 自 然 果 報 兼 修 十 善 是 發 欲 界 上 
X55n0908_001:0667a24	心。行天道。七若為捍伏於他復層自舉。狼踞唐視令	心 行 天 道 七 若 為 捍 伏 於 他 復 層 自 舉 狼 踞 唐 視 令 
X55n0908_001:0667b01	物歸仰者。是發魔羅心。行第六天道。八若為求今世	物 歸 仰 者 是 發 魔 羅 心 行 第 六 天 道 八 若 為 求 今 世 
X55n0908_001:0667b02	後世禪定靜樂者。是發梵心。行色天道。九若為求世	後 世 禪 定 靜 樂 者 是 發 梵 心 行 色 天 道 九 若 為 求 世 
X55n0908_001:0667b03	智辨聰無事不知者。為此學禪者。是發外道心。行無	智 辨 聰 無 事 不 知 者 為 此 學 禪 者 是 發 外 道 心 行 無 
X55n0908_001:0667b04	想行天道。十若為思惟世間生死窂獄甚可猒患。出	想 行 天 道 十 若 為 思 惟 世 間 生 死 窂 獄 甚 可 猒 患 出 
X55n0908_001:0667b05	世涅槃清淨寂滅甚可欣樂。為此發心欲速出三界	世 涅 槃 清 淨 寂 滅 甚 可 欣 樂 為 此 發 心 欲 速 出 三 界 
X55n0908_001:0667b06	者。是發無漏心。行二乘道。非心無量。略示十種非心	者 是 發 無 漏 心 行 二 乘 道 非 心 無 量 略 示 十 種 非 心 
X55n0908_001:0667b07	耳。前九是世間心。是生死心。後一是出世心。是涅槃	耳 前 九 是 世 間 心 是 生 死 心 後 一 是 出 世 心 是 涅 槃 
X55n0908_001:0667b08	心。是聖人心。是解脫心行者。汝學修道應善識邪正。	心 是 聖 人 心 是 解 脫 心 行 者 汝 學 修 道 應 善 識 邪 正 
X55n0908_001:0667b09	莫浪發心。二乘出世間尚簡是非。況前諸心妄謂為	莫 浪 發 心 二 乘 出 世 間 尚 簡 是 非 況 前 諸 心 妄 謂 為 
X55n0908_001:0667b10	是。若欲與理相應者。但首作人事。莫強知他事。即是	是 若 欲 與 理 相 應 者 但 首 作 人 事 莫 強 知 他 事 即 是 
X55n0908_001:0667b11	更相憎恨世世相憎。非但此生無道無果。累及後生。	更 相 憎 恨 世 世 相 憎 非 但 此 生 無 道 無 果 累 及 後 生 
X55n0908_001:0667b12	能閇口合掌塞耳端坐修心者。是出世聖人。若不爾	能 閇 口 合 掌 塞 耳 端 坐 修 心 者 是 出世聖人 若 不 爾 
X55n0908_001:0667b13	者。餓鬼畜生之道難得免離也。	者 餓 鬼 畜 生 之 道 難 得 免 離 也 
X55n0908_001:0667b14	次明修止觀者。先約坐中修者。行人於坐中為亂想	次 明 修 止 觀 者 先 約 坐 中 修 者 行 人 於 坐 中 為 亂 想 
X55n0908_001:0667b15	覺觀修三止。一名繫緣止止者。謂繫心鼻端隔齊間	覺 觀 修 三 止 一 名 繫 緣 止 止 者 謂 繫 心 鼻 端 隔 齊 間 
X55n0908_001:0667b16	等處。繫緣守境。令念心不散。二名制心止止者。隨心	等 處 繫 緣 守 境 令 念 心 不 散 二 名 制 心 止 止 者 隨 心 
X55n0908_001:0667b17	不起。即須制之不馳散也。此二是事止耳。三體真止	不 起 即 須 制 之 不 馳 散 也 此 二 是 事 止 耳 三 體 真 止 
X55n0908_001:0667b18	止者。隨心所念。一切諸法即須體之。知悉從緣生。從	止 者 隨 心 所 念 一切諸法 即 須 體 之 知 悉 從 緣 生 從 
X55n0908_001:0667b19	緣生之法無有自性。既知無性即不取著。以不取故	緣 生 之 法 無 有 自 性 既 知 無 性 即 不 取 著 以 不 取 故 
X55n0908_001:0667b20	妄念心息。是名為止。止心不動名為無為。無為者即	妄 念 心 息 是 名 為 止 止 心 不 動 名 為 無 為 無 為 者 即 
X55n0908_001:0667b21	諸法本源。若能安本源則一切妄想生死業行即皆	諸 法 本 源 若 能 安 本 源 則 一 切 妄 想 生 死 業 行 即 皆 
X55n0908_001:0667b22	空寂。即泥洹道。真法實也。略明三止竟。次作觀者。謂	空 寂 即 泥 洹 道 真 法 實 也 略 明 三 止 竟 次 作 觀 者 謂 
X55n0908_001:0667b23	正觀中道諸法實相智慧也。行者於坐禪中。隨心所	正 觀 中 道 諸法實相 智 慧 也 行 者 於 坐 禪 中 隨 心 所 
X55n0908_001:0667b24	緣一切諸法。若善法。若惡法。若無記法等。隨所緣念	緣 一切諸法 若 善 法 若 惡 法 若 無 記 法 等 隨 所 緣 念 
X55n0908_001:0667c01	念不住。雖如上體真而不止者。即當反觀所起之心	念 不 住 雖 如 上 體 真 而 不 止 者 即 當 反 觀 所 起 之 心 
X55n0908_001:0667c02	從何處生。從過去生耶。現耶。未來耶。若從過去生者。	從 何 處 生 從 過 去 生 耶 現 耶 未 來 耶 若 從 過 去 生 者 
X55n0908_001:0667c03	過去已滅云何能生。若從現在生者。現在念念不住	過 去 已 滅 云 何 能 生 若 從 現 在 生 者 現 在 念 念 不 住 
X55n0908_001:0667c04	云何能生。若從未來生者。未來未至云何能生。三世	云 何 能 生 若 從 未 來 生 者 未 來 未 至 云 何 能 生 三 世 
X55n0908_001:0667c05	求生畢竟不可得。當知此心但有名字。名字之法本	求 生 畢 竟 不 可 得 當 知 此 心 但 有 名 字 名 字 之 法 本 
X55n0908_001:0667c06	自無生。無生故。無滅故。無滅即是中道第一義諦觀	自 無 生 無 生 故 無 滅 故 無 滅 即 是 中 道 第一義諦 觀 
X55n0908_001:0667c07	也。又撿此心為有為無。若心無者。云何有念。心若是	也 又 撿 此 心 為 有 為 無 若 心 無 者 云 何 有 念 心 若 是 
X55n0908_001:0667c08	有者。應當自有。何須緣發始有心生。當知此心非有	有 者 應 當 自 有 何 須 緣 發 始 有 心 生 當 知 此 心 非 有 
X55n0908_001:0667c09	非無。即是中道正觀也。	非 無 即 是 中 道 正 觀 也 
X55n0908_001:0667c10	復次。於禪中沈惛睡熟頭低無記者。即須修觀。分別	復 次 於 禪 中 沈 惛 睡 熟 頭 低 無 記 者 即 須 修 觀 分 別 
X55n0908_001:0667c11	法相。對治沈病。若於坐禪中心散動越逸攀緣萬境。	法 相 對 治 沈 病 若 於 坐 禪 中 心 散 動 越 逸 攀 緣 萬 境 
X55n0908_001:0667c12	即須用止除亂想。一心念之。若修止時心安快樂。即	即 須 用 止 除 亂 想 一 心 念 之 若 修 止 時 心 安 快 樂 即 
X55n0908_001:0667c13	應修止。又修止時能破睡散。即應修止。又修止時豁	應 修 止 又 修 止 時 能 破 睡 散 即 應 修 止 又 修 止 時 豁 
X55n0908_001:0667c14	豁欲想清淨。即應修止。又修觀時心地靜樂。即宜修	豁 欲 想 清 淨 即 應 修 止 又 修 觀 時 心 地 靜 樂 即 宜 修 
X55n0908_001:0667c15	觀。又修觀時道心鬱起。即宜修觀。又修觀時能破煩	觀 又 修 觀 時 道 心 鬱 起 即 宜 修 觀 又 修 觀 時 能 破 煩 
X55n0908_001:0667c16	惱惡見。即宜修觀。觀若有益即常修觀。止若有益即	惱 惡 見 即 宜 修 觀 觀 若 有 益 即 常 修 觀 止 若 有 益 即 
