T54n2126_001:0234a10	僧史略序	僧 史 略 序 
T54n2126_001:0234a12	贊寧姓高氏。其先渤海人。出家杭之祥符。習	贊 寧 姓 高 氏 其 先 渤 海 人 出 家 杭 之 祥 符 習 
T54n2126_001:0234a13	南山律。著述毘尼。時謂律虎。賜號明義宗文。	南 山 律 著 述 毘 尼 時 謂 律 虎 賜 號 明 義 宗 文 
T54n2126_001:0234a14	太平興國三年。太宗聞其名。召對滋福殿。延	太 平 興 國 三 年 太 宗 聞 其 名 召 對 滋 福 殿 延 
T54n2126_001:0234a15	問彌日。更賜通慧。勅住右街天壽寺。命修僧	問 彌 日 更 賜 通 慧 勅 住 右 街 天 壽 寺 命 修 僧 
T54n2126_001:0234a16	史。又詔修大宋高傳三十卷。及三教聖賢事	史 又 詔 修 大 宋 高 傳 三 十 卷 及 三 教 聖 賢 事 
T54n2126_001:0234a17	跡一百卷。又著內典集一百五十卷。外學集	跡 一 百 卷 又 著 內 典 集 一 百 五 十 卷 外 學 集 
T54n2126_001:0234a18	四十九卷。內翰王禹儞作文集序極其贊美。	四 十 九 卷 內 翰 王 禹 儞 作 文 集 序 極 其 贊 美 
T54n2126_001:0234a19	至道中示寂。崇寧四年。加諡圓明。如僧傳	至 道 中 示 寂 崇 寧 四 年 加 諡 圓 明 如 僧 傳 
T54n2126_001:0234a20	排韻第二十四引釋聞正統第三佛祖通載第	排 韻 第 二 十 四 引 釋 聞 正 統 第 三 佛 祖 通 載 第 
T54n2126_001:0234a21	十八稽古略第三。惟夫作者以博達之資列	十 八 稽 古 略 第 三 惟 夫 作 者 以 博 達 之 資 列 
T54n2126_001:0234a22	事物興廢者凡五十九條。以示諸新學。可謂	事 物 興 廢 者 凡 五 十 九 條 以 示 諸 新 學 可 謂 
T54n2126_001:0234a23	千載趙璧矣。從事佛乘者。誰得不仰餘光乎。	千 載 趙 璧 矣 從 事 佛 乘 者 誰 得 不 仰 餘 光 乎 
T54n2126_001:0234a24	然而本書但有慶長舊板一本而已。流行亦	然 而 本 書 但 有 慶 長 舊 板 一 本 而 已 流 行 亦 
T54n2126_001:0234a25	甚寡矣。頒典教社諸士窃慨歎之。將改刻弘	甚 寡 矣 頒 典 教 社 諸 士 窃 慨 歎 之 將 改 刻 弘 
T54n2126_001:0234a26	于世。囑予以校訂。予也拙陋豈能得盡之乎	于 世 囑 予 以 校 訂 予 也 拙 陋 豈 能 得 盡 之 乎 
