T21n1296_001:0382c23	十天儀軌	十 天 儀 軌 
T21n1296_001:0382c25	東北方大自在天印	東 北 方 大 自 在 天 印 
T21n1296_001:0382c26	右手作拳安腰右。左手五指直竪相著。地水	右 手 作 拳 安 腰 右 左 手 五 指 直 竪 相 著 地 水 
T21n1296_001:0382c27	二指屈中節。火風空三指各少相去即成。真	二 指 屈 中 節 火 風 空 三 指 各 少 相 去 即 成 真 
T21n1296_001:0382c28	言曰。	言 曰 
T21n1296_001:0382c29	曩麼三曼跢勃馱南唵伊(去)舍曩(去)曳娑嚩訶	曩 麼 三 曼 跢 勃 馱 南 唵 伊 去 舍 曩 去 曳 娑 嚩 訶 
T21n1296_001:0383a01	唵嚕捺囉耶娑婆訶	唵 嚕 捺 囉 耶 娑 婆 訶 
T21n1296_001:0383a02	東方帝釋天印	東 方 帝 釋 天 印 
T21n1296_001:0383a03	右手同前。左手五指直竪相著。地水二指屈	右 手 同 前 左 手 五 指 直 竪 相 著 地 水 二 指 屈 
T21n1296_001:0383a04	中節。以風著火背。空屈中節。真言曰。	中 節 以 風 著 火 背 空 屈 中 節 真 言 曰 
T21n1296_001:0383a05	唵因捺囉耶娑嚩訶	唵 因 捺 囉 耶 娑 嚩 訶 
T21n1296_001:0383a06	又唵斫羯也娑嚩呵	又 唵 斫 羯 也 娑 嚩 呵 
T21n1296_001:0383a07	東南方火天印	東 南 方 火 天 印 
T21n1296_001:0383a08	左手作拳安腰左。右手五指直竪相著。屈空	左 手 作 拳 安 腰 左 右 手 五 指 直 竪 相 著 屈 空 
T21n1296_001:0383a09	納著掌中。風屈中節。與娑婆訶相招。真言曰。	納 著 掌 中 風 屈 中 節 與 娑 婆 訶 相 招 真 言 曰 
T21n1296_001:0383a10	唵阿哦那曳娑婆訶	唵 阿 哦 那 曳 娑 婆 訶 
T21n1296_001:0383a11	南方焰摩天印	南 方 焰 摩 天 印 
T21n1296_001:0383a12	先合掌二地屈中節背相著。二風亦屈背著。	先 合 掌 二 地 屈 中 節 背 相 著 二 風 亦 屈 背 著 
T21n1296_001:0383a13	以二大指押各風中節即成。真言曰。	以 二 大 指 押 各 風 中 節 即 成 真 言 曰 
T21n1296_001:0383a14	唵焰摩耶娑嚩訶	唵 焰 摩 耶 娑 嚩 訶 
T21n1296_001:0383a15	西南方羅剎天印	西 南 方 羅 剎 天 印 
T21n1296_001:0383a16	右手作拳安腰。右手五指直竪相著。屈地水	右 手 作 拳 安 腰 右 手 五 指 直 竪 相 著 屈 地 水 
T21n1296_001:0383a17	中節。以空端押地水甲即成。真言曰。	中 節 以 空 端 押 地 水 甲 即 成 真 言 曰 
T21n1296_001:0383a18	唵地哩底曳娑嚩訶	唵 地 哩 底 曳 娑 嚩 訶 
T21n1296_001:0383a19	西方水天印	西 方 水 天 印 
T21n1296_001:0383a20	右手如前。左手掘拳。空勿入掌中。風即直竪	右 手 如 前 左 手 掘 拳 空 勿 入 掌 中 風 即 直 竪 
T21n1296_001:0383a21	中節小屈即成。真言曰。	中 節 小 屈 即 成 真 言 曰 
T21n1296_001:0383a22	唵嚩嚕拏耶娑嚩訶	唵 嚩 嚕 拏 耶 娑 嚩 訶 
T21n1296_001:0383a23	西北方風天印	西 北 方 風 天 印 
T21n1296_001:0383a24	右手如前。左手五指直竪相著。地水屈中節	右 手 如 前 左 手 五 指 直 竪 相 著 地 水 屈 中 節 
T21n1296_001:0383a25	即成。真言曰。	即 成 真 言 曰 
T21n1296_001:0383a26	唵嚩耶吠(微曳反)娑嚩訶	唵 嚩 耶 吠 微 曳 反 娑 嚩 訶 
T21n1296_001:0383a27	北方毘沙門天印	北 方 毘 沙 門 天 印 
T21n1296_001:0383a28	先合掌十指內相叉。二水竪頭相柱。二風竪	先 合 掌 十 指 內 相 叉 二 水 竪 頭 相 柱 二 風 竪 
T21n1296_001:0383a29	微屈。左空入右掌中。押左火甲。右空越左空	微 屈 左 空 入 右 掌 中 押 左 火 甲 右 空 越 左 空 
T21n1296_001:0383b01	背。入左掌中押右火甲。二風與訶相招。真言	背 入 左 掌 中 押 右 火 甲 二 風 與 訶 相 招 真 言 
T21n1296_001:0383b02	曰。	曰 
T21n1296_001:0383b03	唵吠室羅嚩拏耶娑嚩訶	唵 吠 室 羅 嚩 拏 耶 娑 嚩 訶 
T21n1296_001:0383b04	上方梵天印	上 方 梵 天 印 
T21n1296_001:0383b05	右手作拳安腰右。左手五指相著竪之小屈。	右 手 作 拳 安 腰 右 左 手 五 指 相 著 竪 之 小 屈 
T21n1296_001:0383b06	其高少許過肩。即成蓮花相真言曰。	其 高 少 許 過 肩 即 成 蓮 花 相 真 言 曰 
T21n1296_001:0383b07	唵沒羅(二合)含摩寧娑嚩訶	唵 沒 羅 二 合 含 摩 寧 娑 嚩 訶 
T21n1296_001:0383b08	下方地天印	下 方 地 天 印 
T21n1296_001:0383b09	先合掌風以下四指頭相柱。前方大開。二空	先 合 掌 風 以 下 四 指 頭 相 柱 前 方 大 開 二 空 
T21n1296_001:0383b10	各著風側。真言曰。	各 著 風 側 真 言 曰 
T21n1296_001:0383b11	唵畢哩體(地以反)微曳娑嚩訶	唵 畢 哩 體 地 以 反 微 曳 娑 嚩 訶 
T21n1296_001:0383b12	日天印	日 天 印 
T21n1296_001:0383b13	不異前地印。但以二空頭各跓水下節。真言	不 異 前 地 印 但 以 二 空 頭 各 跓 水 下 節 真 言 
T21n1296_001:0383b14	曰。	曰 
T21n1296_001:0383b15	唵阿(去)儞底也娑嚩訶	唵 阿 去 儞 底 也 娑 嚩 訶 
T21n1296_001:0383b16	月天印	月 天 印 
T21n1296_001:0383b17	如前梵天印。但作掌中有月潔白相。真言曰。	如 前 梵 天 印 但 作 掌 中 有 月 潔 白 相 真 言 曰 
T21n1296_001:0383b18	唵戰捺羅(去)也娑嚩訶	唵 戰 捺 羅 去 也 娑 嚩 訶 
T21n1296_001:0383b19	七曜印	七 曜 印 
T21n1296_001:0383b20	先合掌十指相著。二風與二空極相開。真言	先 合 掌 十 指 相 著 二 風 與 二 空 極 相 開 真 言 
T21n1296_001:0383b21	曰。	曰 
T21n1296_001:0383b22	孽羅(二合)醯濕嚩(二合)哩耶鉢囉(二合)跛多而偷	孽 羅 二 合 醯 濕 嚩 二 合 哩 耶 鉢 囉 二 合 跛 多 而 偷 
T21n1296_001:0383b23	(二合)底羅摩耶娑嚩訶	 二 合 底 羅 摩 耶 娑 嚩 訶 
T21n1296_001:0383b24	二十八宿印	二 十 八 宿 印 
T21n1296_001:0383b25	先虛心合掌。二火外相叉。二空亦相叉。真言	先 虛 心 合 掌 二 火 外 相 叉 二 空 亦 相 叉 真 言 
T21n1296_001:0383b26	曰。	曰 
T21n1296_001:0383b27	諾乞灑(二合)怛羅(二合)涅(寧去反)蘇那儞曳娑嚩訶	諾 乞 灑 二 合 怛 羅 二 合 涅 寧 去 反 蘇 那 儞 曳 娑 嚩 訶 
T21n1296_001:0383b28	十天供儀軌	十 天 供 儀 軌 
