X65n1289_001:0424b06	禪宗指掌	禪 宗 指 掌 
X65n1289_001:0424b08	後學沙門　行海　述	後 學 沙 門 行 海 述 
X65n1289_001:0424b09	第一篇	第 一 篇 
X65n1289_001:0424b10	蓋聞。處俗者貴乎中庸之理。出塵者全憑般若之功。	蓋 聞 處 俗 者 貴 乎 中 庸 之 理 出 塵 者 全 憑 般 若 之 功 
X65n1289_001:0424b11	處俗乖乎中庸。則事事失準。出塵不得般若。則必成	處 俗 乖 乎 中 庸 則 事 事 失 準 出 塵 不 得 般 若 則 必 成 
X65n1289_001:0424b12	魔道。夫佛法大意。祇是明其中道第一義諦真空妙	魔 道 夫 佛 法 大 意 祇 是 明 其 中 道 第一義諦 真 空 妙 
X65n1289_001:0424b13	理。若非得其般若根本大智。則不能了明第一義諦	理 若 非 得 其 般 若 根 本 大 智 則 不 能 了 明 第一義諦 
X65n1289_001:0424b14	真空妙理也。何為中道第一義諦。真空妙理耶。謂非	真 空 妙 理 也 何 為 中 道 第一義諦 真 空 妙 理 耶 謂 非 
X65n1289_001:0424b15	空非有。不斷不常。無得無失。無凡無聖。無生死。無涅	空 非 有 不 斷 不 常 無 得 無 失 無 凡 無 聖 無 生 死 無 涅 
X65n1289_001:0424b16	槃。總而言之。無一切世出世閒之法。乃至言語道斷。	槃 總 而 言 之 無 一 切 世 出 世 閒 之 法 乃 至 言語道斷 
X65n1289_001:0424b17	心行處滅也。故楞嚴經云。但有言說。都無實義。金剛	心行處滅 也 故 楞 嚴 經 云 但有言說 都 無 實 義 金 剛 
X65n1289_001:0424b18	經云。凡所有相。皆是虗妄。般若經云。設有一法。過涅	經 云 凡 所 有 相 皆 是 虗 妄 般 若 經 云 設 有 一 法 過 涅 
X65n1289_001:0424b19	槃者。我亦說如幻如化。(云云)所以然者。以其唯是獨	槃 者 我 亦 說 如幻如化 云 云 所 以 然 者 以 其 唯 是 獨 
X65n1289_001:0424b20	一真心故也。何則謂世出世閒。一切凡聖之法。皆不	一 真 心 故 也 何 則 謂 世 出 世 閒 一 切 凡 聖 之 法 皆 不 
X65n1289_001:0424b21	出自我一真心故。故海意菩薩所問淨印法門經。第	出 自 我 一 真 心 故 故 海 意 菩 薩 所 問 淨 印 法 門 經 第 
X65n1289_001:0424b22	七云。復次。佛告舍利子言。譬如耆婆醫王。普觀大地。	七 云 復 次 佛 告 舍 利 子 言 譬 如 耆 婆 醫 王 普 觀 大 地 
X65n1289_001:0424b23	一切草木。無非是藥。修行般若波羅蜜多菩薩亦復	一 切 草 木 無 非 是 藥 修 行 般 若 波羅蜜多 菩 薩 亦 復 
X65n1289_001:0424b24	如是。觀一切法。無非菩提。釋曰。菩提者。即真心也。既	如 是 觀 一 切 法 無 非 菩 提 釋 曰 菩 提 者 即 真 心 也 既 
X65n1289_001:0424c01	一切法皆是菩提。則一切法皆真心矣。既一切法皆	一 切 法 皆 是 菩 提 則 一 切 法 皆 真 心 矣 既 一 切 法 皆 
X65n1289_001:0424c02	我真心。則不見一切法矣。故有云。識得自心。大地無	我 真 心 則 不 見 一 切 法 矣 故 有 云 識 得 自 心 大 地 無 
X65n1289_001:0424c03	寸土。即此意也。既萬法皆是自己真心。豈大地非心	寸 土 即 此 意 也 既 萬 法 皆 是 自 己 真 心 豈 大 地 非 心 
X65n1289_001:0424c04	耶。大地即己。全為我之真心。豈更有寸土可得耶。非	耶 大 地 即 己 全 為 我 之 真 心 豈 更 有 寸 土 可 得 耶 非 
X65n1289_001:0424c05	但寸土不可得。乃至一微塵亦不可得也。若有一微	但 寸 土 不 可 得 乃 至 一 微 塵 亦 不 可 得 也 若 有 一 微 
X65n1289_001:0424c06	塵百分之一可得者。則唯心之義不成矣。如大地。一	塵 百 分 之 一 可 得 者 則 唯 心 之 義 不 成 矣 如 大 地 一 
X65n1289_001:0424c07	切法亦然。如是方可稱為最上一乘真空妙理也。故	切 法 亦 然 如 是 方 可 稱 為 最 上 一 乘 真 空 妙 理 也 故 
X65n1289_001:0424c08	二乘拙度。析法明空。墮於偏空。不能即萬法而為自	二 乘 拙 度 析 法 明 空 墮 於 偏 空 不 能 即 萬 法 而 為 自 
X65n1289_001:0424c09	體。教中斥為焦芽敗種。斷佛種性之徒。二乘尚爾。降	體 教 中 斥 為 焦 芽 敗 種 斷 佛 種 性 之 徒 二 乘 尚 爾 降 
X65n1289_001:0424c10	斯可知矣。問曰。上來所說。即萬法為自真心。則心外	斯 可 知 矣 問 曰 上 來 所 說 即 萬 法 為 自 真 心 則 心 外 
X65n1289_001:0424c11	無毫釐許法可得。此理甚明。皎然可見。已無所惑。又	無 毫 釐 許 法 可 得 此 理 甚 明 皎 然 可 見 已 無 所 惑 又 
X65n1289_001:0424c12	云非空非有等。其義何謂。請釋所以。答曰。空者無也。	云 非 空 非 有 等 其 義 何 謂 請 釋 所 以 答 曰 空 者 無 也 
X65n1289_001:0424c13	今既稱一心。豈是空無耶。既惟一心。豈是有耶。夫稱	今 既 稱 一 心 豈 是 空 無 耶 既 惟 一 心 豈 是 有 耶 夫 稱 
X65n1289_001:0424c14	有者。須要二物相對。方可成有。謂能有所有。今唯獨	有 者 須 要 二 物 相 對 方 可 成 有 謂 能 有 所 有 今 唯 獨 
X65n1289_001:0424c15	一真心。對何物而稱有耶。故云非空非有也。不斷者。	一 真 心 對 何 物 而 稱 有 耶 故 云 非 空 非 有 也 不 斷 者 
X65n1289_001:0424c16	謂有一種。不悟自心真空妙理之人。聞說無人無我。	謂 有 一 種 不 悟 自 心 真 空 妙 理 之 人 聞 說 無 人 無 我 
X65n1289_001:0424c17	非色非空。及凡所有相。皆是虗妄等言。以不悟故。妄	非 色 非 空 及 凡 所 有 相 皆 是 虗 妄 等 言 以 不 悟 故 妄 
X65n1289_001:0424c18	謂法身同於虗無。頑空。墮於斷滅。故宗鏡錄九十二	謂 法 身 同 於 虗 無 頑 空 墮 於 斷 滅 故 宗 鏡 錄 九 十 二 
X65n1289_001:0424c19	云。若非色非空。都無分別。不見性之人。到此之時。全	云 若 非 色 非 空 都 無 分 別 不 見 性 之 人 到 此 之 時 全 
X65n1289_001:0424c20	歸斷滅。便同外道拘舍離等。己眼不開。昧為冥諦。以	歸 斷 滅 便 同 外 道 拘 舍 離 等 己 眼 不 開 昧 為 冥 諦 以 
X65n1289_001:0424c21	冥寂闇昧無知。以為至極。從此復立二十五諦。迷真	冥 寂 闇 昧 無 知 以 為 至 極 從 此 復 立 二十五諦 迷 真 
X65n1289_001:0424c22	實心。成外道種。或有禪宗。不得旨者。法學起空見人。	實 心 成 外 道 種 或 有 禪 宗 不 得 旨 者 法 學 起 空 見 人 
X65n1289_001:0424c23	多拂心境俱空。執無分別。將狂解癡盲。以為至道。(云	多 拂 心 境 俱 空 執 無 分 別 將 狂 解 癡 盲 以 為 至 道 云 
X65n1289_001:0424c24	云)今既稱一心。豈同彼虗無頑空斷滅之無耶。故云	云 今 既 稱 一 心 豈 同 彼 虗 無 頑 空 斷 滅 之 無 耶 故 云 
X65n1289_001:0425a01	不斷。不常者。謂有執著。五陰幻身以為真我。墮於常	不 斷 不 常 者 謂 有 執 著 五 陰 幻 身 以 為 真 我 墮 於 常 
X65n1289_001:0425a02	見。流轉生死。及諸外道。執著五陰身中。有個真常之	見 流轉生死 及 諸 外 道 執 著 五 陰 身 中 有 個 真 常 之 
X65n1289_001:0425a03	我。以執著故。不得解脫。今既唯一真心。豈有二物成	我 以 執 著 故 不得解脫 今 既 唯 一 真 心 豈 有 二 物 成 
X65n1289_001:0425a04	執。而墮常見耶。謂凡有執者。必具二物方成執故。謂	執 而 墮 常 見 耶 謂 凡 有 執 者 必 具 二 物 方 成 執 故 謂 
X65n1289_001:0425a05	能執所執。今唯一真心。故不能成執。墮常見也。故云	能 執 所 執 今 唯 一 真 心 故 不 能 成 執 墮 常 見 也 故 云 
X65n1289_001:0425a06	不常。無得者。既唯一心。豈有得耶。夫言得者。必有二	不 常 無 得 者 既 唯 一 心 豈 有 得 耶 夫 言 得 者 必 有 二 
X65n1289_001:0425a07	物相對。方可成得。謂能得人。所得物。今既唯獨一真	物 相 對 方 可 成 得 謂 能 得 人 所 得 物 今 既 唯 獨 一 真 
X65n1289_001:0425a08	心。豈更有外物對待。而成其得耶。故云無得。無失者。	心 豈 更 有 外 物 對 待 而 成 其 得 耶 故 云 無 得 無 失 者 
X65n1289_001:0425a09	既稱唯一真心。獨露堂堂。有何所失耶。故云無失。無	既 稱 唯 一 真 心 獨 露 堂 堂 有 何 所 失 耶 故 云 無 失 無 
X65n1289_001:0425a10	凡等者。凡即六凡。聖即四聖。生死即世閒法。涅槃即	凡 等 者 凡 即 六 凡 聖 即 四 聖 生 死 即 世 閒 法 涅 槃 即 
X65n1289_001:0425a11	出世法。既十法界世出世法。皆即自心。豈更有生死	出 世 法 既 十 法 界 世 出 世 法 皆 即 自 心 豈 更 有 生 死 
X65n1289_001:0425a12	等法可得耶。故一切皆無矣。言語道斷。心行處滅者。	等 法 可 得 耶 故 一 切 皆 無 矣 言語道斷 心行處滅 者 
X65n1289_001:0425a13	既一切世出世閒凡聖之法。空無所有。更有何法可	既 一 切 世 出 世 閒 凡 聖 之 法 空無所有 更 有 何 法 可 
X65n1289_001:0425a14	形具言耶。既唯獨一真心。豈更有第二法。為心所緣	形 具 言 耶 既 唯 獨 一 真 心 豈 更 有 第 二 法 為 心 所 緣 
X65n1289_001:0425a15	耶。夫心不自緣。如眼不自見。指不自觸。刀不自割。必	耶 夫 心 不 自 緣 如 眼 不 自 見 指 不 自 觸 刀 不 自 割 必 
X65n1289_001:0425a16	有一法。為心所緣。心方得起。今唯一真心。更無別法	有 一 法 為 心 所 緣 心 方 得 起 今 唯 一 真 心 更 無 別 法 
X65n1289_001:0425a17	為心所緣。則此心無緣得起。而湛然不動矣。故云言	為 心 所 緣 則 此 心 無 緣 得 起 而 湛然不動 矣 故 云 言 
X65n1289_001:0425a18	語道斷。心行處滅也。又上來。雖說一心之義。然亦無	語 道 斷 心行處滅 也 又 上 來 雖 說 一 心 之 義 然 亦 無 
X65n1289_001:0425a19	心相可得。此依俗諦。不依真諦。以真諦中。言語道斷	心 相 可 得 此 依 俗 諦 不 依 真 諦 以 真 諦 中 言語道斷 
X65n1289_001:0425a20	故。若執實有真心可得。即是邪見。不合正理。問曰。既	故 若 執 實 有 真 心 可 得 即 是 邪 見 不 合 正 理 問 曰 既 
X65n1289_001:0425a21	云真心。為何又不可得耶。答。汝將誰得耶。曰。我將心	云 真 心 為 何 又 不 可 得 耶 答 汝 將 誰 得 耶 曰 我 將 心 
X65n1289_001:0425a22	得。曰。汝將心得。即是以心得心。有是理乎。故文殊菩	得 曰 汝 將 心 得 即 是 以 心 得 心 有 是 理 乎 故 文 殊 菩 
X65n1289_001:0425a23	薩云。我不求菩提。何以故。菩提即我。我即菩提。又經	薩 云 我 不 求 菩 提 何 以 故 菩 提 即 我 我 即 菩 提 又 經 
X65n1289_001:0425a24	云。刀輪害閻浮人頭。其失猶少。有所得心。說大乘者。	云 刀 輪 害 閻 浮 人 頭 其 失 猶 少 有所得心 說 大 乘 者 
X65n1289_001:0425b01	其罪過彼也。又起信論云。所言不空者。已顯法體。空	其 罪 過 彼 也 又 起 信 論 云 所 言 不 空 者 已 顯 法 體 空 
X65n1289_001:0425b02	無妄故。即是真心。常恒不變。淨法滿足。則名不空。亦	無 妄 故 即 是 真 心 常 恒 不 變 淨 法 滿 足 則 名 不 空 亦 
X65n1289_001:0425b03	無有相可取。以離念境界。唯證相應故。	無 有 相 可 取 以 離 念 境 界 唯 證 相 應 故 
X65n1289_001:0425b04	第二篇	第 二 篇 
X65n1289_001:0425b05	有問曰。妙明真心。如何得知。答曰。若能悟空而不墮	有 問 曰 妙 明 真 心 如 何 得 知 答 曰 若 能 悟 空 而 不 墮 
X65n1289_001:0425b06	斷見。知有而不落常見。即是無妄真心之謂。曰。請示	斷 見 知 有 而 不 落 常 見 即 是 無 妄 真 心 之 謂 曰 請 示 
X65n1289_001:0425b07	所以。答。略舉一喻。可以得知。譬如眼不自見。非謂無	所 以 答 略 舉 一 喻 可 以 得 知 譬 如 眼 不 自 見 非 謂 無 
