T85n2853_001:1301b07	布薩文等	布 薩 文 等 
T85n2853_001:1301b09	諸佛現興善權化物。群生瞻奉鄙惑消亡。雖	諸 佛 現 興 善 權 化 物 群 生 瞻 奉 鄙 惑 消 亡 雖 
T85n2853_001:1301b10	法闡三乘戒□□□□□□鈍開合有差。凡	法 闡 三 乘 戒 鈍 開 合 有 差 凡 
T85n2853_001:1301b11	所見聞俱蒙勝益。此會事也時我□□□□	所 見 聞 俱 蒙 勝 益 此 會 事 也 時 我 
T85n2853_001:1301b12	爰及教授闍梨為勸道之主也。將使真風廣	爰 及 教 授 闍 梨 為 勸 道 之 主 也 將 使 真 風 廣 
T85n2853_001:1301b13	扇佛日重明□□□謝之端土庶展聽聞之	扇 佛 日 重 明 謝 之 端 土 庶 展 聽 聞 之 
T85n2853_001:1301b14	福。于時開寶地竪金幢。香煙與瑞□□□□	福 于 時 開 寶 地 竪 金 幢 香 煙 與 瑞 
T85n2853_001:1301b15	清梵共笙歌而合響籌稱解脫頂戴受持戒號	清 梵 共 笙 歌 而 合 響 籌 稱 解 脫 頂 戴 受 持 戒 號 
T85n2853_001:1301b16	防非深□□□菩提藏種霑甘露。以抽芳覺	防 非 深 菩 提 藏 種 霑 甘 露 以 抽 芳 覺 
T85n2853_001:1301b17	樹祥花。結香園之味果。以斯一一□□□□	樹 祥 花 結 香 園 之 味 果 以 斯 一 一 
T85n2853_001:1301b18	先用莊嚴。梵釋諸王龍天八部。惟願身光增	先 用 莊 嚴 梵 釋 諸 王 龍 天 八 部 惟 願 身 光 增 
T85n2853_001:1301b19	益聖力冥□□念含生匡茲教法。使陰陽應	益 聖 力 冥 念 含 生 匡 茲 教 法 使 陰 陽 應 
T85n2853_001:1301b20	序。風雨聲和。稼穡豐登。人民樂業。又□勝福	序 風 雨 聲 和 稼 穡 豐 登 人 民 樂 業 又 勝 福 
T85n2853_001:1301b21	莊嚴聖神贊。伏願壽齊聖石。命等靈椿。官寮	莊 嚴 聖 神 贊 伏 願 壽 齊 聖 石 命 等 靈 椿 官 寮 
T85n2853_001:1301b22	善披無疆尊宿。福資有識。然後兵刀永絕。教	善 披 無 疆 尊 宿 福 資 有 識 然 後 兵 刀 永 絕 教 
T85n2853_001:1301b23	跡流通。凡厥含情俱登覺道。	跡 流 通 凡 厥 含 情 俱 登 覺 道 
T85n2853_001:1301b24	布薩文	布 薩 文 
T85n2853_001:1301b25	夫法王應現威振大千。法教興崇弘通是務。	夫 法 王 應 現 威 振 大 千 法 教 興 崇 弘 通 是 務 
T85n2853_001:1301b26	況宣傳戒藏。每月二時精守不逾福資家國。	況 宣 傳 戒 藏 每 月 二 時 精 守 不 逾 福 資 家 國 
T85n2853_001:1301b27	於是幢鍾召眾奏梵延僧。香騰五雲幡暉眾	於 是 幢 鍾 召 眾 奏 梵 延 僧 香 騰 五 雲 幡 暉 眾 
T85n2853_001:1301b28	綵。總斯多善無限良緣即用莊嚴。上界天仙	綵 總 斯 多 善 無 限 良 緣 即 用 莊 嚴 上 界 天 仙 
T85n2853_001:1301b29	龍神八部。惟願威靈潛衛聖德冥加。使日月	龍 神 八 部 惟 願 威 靈 潛 衛 聖 德 冥 加 使 日 月 
T85n2853_001:1301c01	貞明。陰陽克序。和風應節。甘雨順時。四人	貞 明 陰 陽 克 序 和 風 應 節 甘 雨 順 時 四 人 
T85n2853_001:1301c02	有樂於安邊。萬里無虞於永歲。即願法永扇	有 樂 於 安 邊 萬 里 無 虞 於 永 歲 即 願 法 永 扇 
T85n2853_001:1301c03	釋教弘敷。一切含靈俱登覺道。	釋 教 弘 敷 一 切 含 靈 俱 登 覺 道 
T85n2853_001:1301c04	布薩文	布 薩 文 
T85n2853_001:1301c05	夫竊見流沙一方緇徒累百。其能秉惠炬建	夫 竊 見 流 沙 一 方 緇 徒 累 百 其 能 秉 惠 炬 建 
T85n2853_001:1301c06	法幢。弘志教於即時。竪津梁於來世者。豈非	法 幢 弘 志 教 於 即 時 竪 津 梁 於 來 世 者 豈 非 
T85n2853_001:1301c07	我教授之謂歟。故能使二部律儀策懃而不	我 教 授 之 謂 歟 故 能 使 二 部 律 儀 策 懃 而 不 
T85n2853_001:1301c08	倦三　□躅相繼而無窮。布薩之法洗滌於	倦 三 躅 相 繼 而 無 窮 布 薩 之 法 洗 滌 於 
T85n2853_001:1301c09	煩籠。住持之功繼明於動植。唯願以斯自□	煩 籠 住 持 之 功 繼 明 於 動 植 唯 願 以 斯 自 
T85n2853_001:1301c10	無疆福因先用莊嚴。梵釋四王龍天八部。即	無 疆 福 因 先 用 莊 嚴 梵 釋 四 王 龍 天 八 部 即 
T85n2853_001:1301c11	願福德逾增威光轉盛。消除疫癘利樂生靈。	願 福 德 逾 增 威 光 轉 盛 消 除 疫 癘 利 樂 生 靈 
T85n2853_001:1301c12	三邊無變怪之憂。百穀有豐登之樂。又用功	三 邊 無 變 怪 之 憂 百 穀 有 豐 登 之 樂 又 用 功 
