X57n0955_001:0062b06	復宗集下	復 宗 集 下 
X57n0955_001:0062b08	東掖白蓮　與咸　述	東 掖 白 蓮 與 咸 述 
X57n0955_001:0062b09	教證方便塵沙	教 證 方 便 塵 沙 
X57n0955_001:0062b10	辨淨土修證	辨 淨 土 修 證 
X57n0955_001:0062b11	教證	教 證 
X57n0955_001:0062b12	荊溪有云前之兩教教證俱權圓教教證俱皆是實	荊 溪 有 云 前 之 兩 教 教 證 俱 權 圓 教 教 證 俱 皆 是 實 
X57n0955_001:0062b13	別教教權證實意稍難曉人多迷之是故今家借用	別 教 教 權 證 實 意 稍 難 曉 人 多 迷 之 是 故 今 家 借 用 
X57n0955_001:0062b14	地論教證之義以消別門遂有約行約說四種之相	地 論 教 證 之 義 以 消 別 門 遂 有 約 行 約 說 四 種 之 相 
X57n0955_001:0062b15	原乎山家借用者止為別教教權證實非位難明以	原 乎 山 家 借 用 者 止 為 別 教 教 權 證 實 非 位 難 明 以 
X57n0955_001:0062b16	地論中教道是權證道是實義頗相當可以借用而	地 論 中 教 道 是 權 證 道 是 實 義 頗 相 當 可 以 借 用 而 
X57n0955_001:0062b17	為判釋因例諸教當分行位亦有權實義皆可通故	為 判 釋 因 例 諸 教 當 分 行 位 亦 有 權 實 義 皆 可 通 故 
X57n0955_001:0062b18	義例云教證二道本在別教亦可通用乃分二意約	義 例 云 教 證 二 道 本 在 別 教 亦 可 通 用 乃 分 二 意 約 
X57n0955_001:0062b19	說約證所以通用者教證二道也乃分二意者別教	說 約 證 所 以 通 用 者 教 證 二 道 也 乃 分 二 意 者 別 教 
X57n0955_001:0062b20	之中須明四種也舊來先達說此甚多明之者寡予	之 中 須 明 四 種 也 舊 來 先 達 說 此 甚 多 明 之 者 寡 予 
X57n0955_001:0062b21	於此義遲疑甚久因思而得乃見舊來云云之論皆	於 此 義 遲 疑 甚 久 因 思 而 得 乃 見 舊 來 云 云 之 論 皆 
X57n0955_001:0062b22	所未然舊來分別約行教證皆以地前為教登地為	所 未 然 舊 來 分 別 約 行 教 證 皆 以 地 前 為 教 登 地 為 
X57n0955_001:0062b23	證約說教證莫不皆云為地前說一教始終名約說	證 約 說 教 證 莫 不 皆 云 為 地 前 說 一 教 始 終 名 約 說 
X57n0955_001:0062b24	教道說十地法名約說證道雖各行章藻但約行教	教 道 說 十 地 法 名 約 說 證 道 雖 各 行 章 藻 但 約 行 教 
X57n0955_001:0062c01	證并約說教道眾皆同之唯約說證道或云說十地	證 并 約 說 教 道 眾 皆 同 之 唯 約 說 證 道 或 云 說 十 地 
X57n0955_001:0062c02	圓融或云說十地隔歷此為異爾今之所論與昔永	圓 融 或 云 說 十 地 隔 歷 此 為 異 爾 今 之 所 論 與 昔 永 
