T54n2130_001:0981a05	翻梵語	翻 梵 語 
T54n2130_001:0981a07	今此書也。全部十卷。飛鳥寺信行之撰集。	今 此 書 也 全 部 十 卷 飛 鳥 寺 信 行 之 撰 集 
T54n2130_001:0981a08	世所希也。一日余登醍醐山。於光臺院客亭。	世 所 希 也 一 日 余 登 醍 醐 山 於 光 臺 院 客 亭 
T54n2130_001:0981a09	悉曇字記三教指歸行狀記等講述之日。儻	悉 曇 字 記 三 教 指 歸 行 狀 記 等 講 述 之 日 儻 
T54n2130_001:0981a10	閱此書深賢師之持本。久收箱底。蠧魚甚投。	閱 此 書 深 賢 師 之 持 本 久 收 箱 底 蠧 魚 甚 投 
T54n2130_001:0981a11	携歸。遂返璧之次借覽。游佛國行漢土之思	携 歸 遂 返 璧 之 次 借 覽 游 佛 國 行 漢 土 之 思 
T54n2130_001:0981a12	偏難默止。因茲令宮野常新(即應)謄寫。功了敢	偏 難 默 止 因 茲 令 宮 野 常 新 即 應 謄 寫 功 了 敢 
T54n2130_001:0981a13	正本文字。不分明之趣得而可知耳。況又傳	正 本 文 字 不 分 明 之 趣 得 而 可 知 耳 況 又 傳 
T54n2130_001:0981a14	寫之本。虎變為狗之類亦難免。後昆便覽之	寫 之 本 虎 變 為 狗 之 類 亦 難 免 後 昆 便 覽 之 
T54n2130_001:0981a15	時。得其意以披見可哉。知不許他出。	時 得 其 意 以 披 見 可 哉 知 不 許 他 出 
T54n2130_001:0981a16	勿忽勿忽	勿 忽 勿 忽 
T54n2130_001:0981a17	寬保元醉年八月既望	寬 保 元 醉 年 八 月 既 望 
T54n2130_001:0981a18	(東寺定額僧第二席勸修寺淨土院席)僧正賢賀(俗齒五十八法﨟四十九)	 東 寺 定 額 僧 第 二 席 勸 修 寺 淨 土 院 席 僧 正 賢 賀 俗 齒 五 十 八 法 﨟 四 十 九 
T54n2130_001:0981a22	翻梵語卷第一	翻 梵 語 卷 第 一 
T54n2130_001:0981a24	佛號第一	佛 號 第 一 
T54n2130_001:0981a25	佛名第二	佛 名 第 二 
T54n2130_001:0981a26	佛功德名第三	佛 功 德 名 第 三 
T54n2130_001:0981a27	法名第四	法 名 第 四 
T54n2130_001:0981a28	外道法名第五	外 道 法 名 第 五 
T54n2130_001:0981a29	雜法名第六	雜 法 名 第 六 
T54n2130_001:0981b01	佛號第一	佛 號 第 一 
T54n2130_001:0981b02	多陀阿伽陀(亦云多薩阿竭亦云怛薩阿竭　論曰如法相解諸佛安隱道來不去也)	多 陀 阿 伽 陀 亦 云 多 薩 阿 竭 亦 云 怛 薩 阿 竭 論 曰 如 法 相 解 諸 佛 安 隱 道 來 不 去 也 
T54n2130_001:0981b03	　大智論第二卷	 大 智 論 第 二 卷 
T54n2130_001:0981b04	阿羅呵(亦云阿梨訶　論曰阿羅名賊呵名為殺亦云應供)	阿 羅 呵 亦 云 阿 梨 訶 論 曰 阿 羅 名 賊 呵 名 為 殺 亦 云 應 供 
T54n2130_001:0981b05	三藐三佛陀(亦云三耶三佛　論曰三藐名正三名遍佛名知)	三藐三佛陀 亦 云 三耶三佛 論 曰 三 藐 名 正 三 名 遍 佛 名 知 
T54n2130_001:0981b06	鞞侈遮羅那三般那(應云鞞闍遮羅那三般那　論曰明行足也)	鞞侈遮羅那三般那 應 云 鞞 闍 遮 羅 那 三 般 那 論 曰 明 行 足 也 
T54n2130_001:0981b07	脩伽陀(論曰脩言好伽陀名去亦云說)	脩 伽 陀 論 曰 脩 言 好 伽 陀 名 去 亦 云 說 
T54n2130_001:0981b08	略迦憊(應云路迦鞞陁　論曰路迦言世憊名知也)	略 迦 憊 應 云 路 迦 鞞 陁 論 曰 路 迦 言 世 憊 名 知 也 
T54n2130_001:0981b09	阿耨多羅(論曰无上譯曰无勝)	阿 耨 多 羅 論 曰 无 上 譯 曰 无 勝 
