X62n1183_001:0351c06	淨業知津	淨 業 知 津 
X62n1183_001:0351c08	靈巖山下寶藏僧　悟開　述	靈 巖 山 下 寶 藏 僧 悟 開 述 
X62n1183_001:0351c09	世間稱為苦海者。因其苦處多而樂處少也。雖有樂	世 間 稱 為 苦 海 者 因 其 苦 處 多 而 樂 處 少 也 雖 有 樂 
X62n1183_001:0351c10	處。終不免苦。其實世間。純是一團苦境。所以稱為苦	處 終 不 免 苦 其 實 世 間 純 是 一 團 苦 境 所 以 稱 為 苦 
X62n1183_001:0351c11	海。其苦處之苦。人人皆知。不消再說。其樂處之苦。人	海 其 苦 處 之 苦 人 人 皆 知 不 消 再 說 其 樂 處 之 苦 人 
X62n1183_001:0351c12	多未知。吾今略說。富與貴。所樂也。但富有富的憂愁。	多 未 知 吾 今 略 說 富 與 貴 所 樂 也 但 富 有 富 的 憂 愁 
X62n1183_001:0351c13	貴有貴的憂愁。凡屬憂愁。即是苦。而憂愁之處。一家	貴 有 貴 的 憂 愁 凡 屬 憂 愁 即 是 苦 而 憂 愁 之 處 一 家 
X62n1183_001:0351c14	自有一家之事。千緒萬端。已不消細說。何況越是富	自 有 一 家 之 事 千 緒 萬 端 已 不 消 細 說 何 況 越 是 富 
X62n1183_001:0351c15	貴。造惡業越多。趣大越容易。既造了惡業。轉眼之間	貴 造 惡 業 越 多 趣 大 越 容 易 既 造 了 惡 業 轉 眼 之 間 
X62n1183_001:0351c16	惡報到來。真正苦殺人矣。豈不是苦海。	惡 報 到 來 真 正 苦 殺 人 矣 豈 不 是 苦 海 
X62n1183_001:0351c17	既是得知了世間是箇苦海。何不跳出這苦海去。永	既 是 得 知 了 世 間 是 箇 苦 海 何 不 跳 出 這 苦 海 去 永 
X62n1183_001:0351c18	離苦海。得大安樂乎。儞若要求安樂。必要修行。若肯	離 苦 海 得 大 安 樂 乎 儞 若 要 求 安 樂 必 要 修 行 若 肯 
X62n1183_001:0351c19	修行。必要念佛。	修 行 必 要 念 佛 
X62n1183_001:0351c20	你若肯念佛。只要念南無阿彌陀佛。既念佛。必要發	你 若 肯 念 佛 只 要 念 南 無 阿 彌 陀 佛 既 念 佛 必 要 發 
X62n1183_001:0351c21	箇願。這箇願。不是要求現世好處。亦不是要求來世	箇 願 這 箇 願 不 是 要 求 現 世 好 處 亦 不 是 要 求 來 世 
X62n1183_001:0351c22	好處。何故呢。所說世間總是苦海。我不求苦海中好	好 處 何 故 呢 所 說 世 間 總 是 苦 海 我 不 求 苦 海 中 好 
X62n1183_001:0351c23	處。只求一口氣不來時。仍舊念一句南無阿彌陀佛。	處 只 求 一 口 氣 不 來 時 仍 舊 念 一 句 南 無 阿 彌 陀 佛 
X62n1183_001:0351c24	任他病苦纏身。我只一心念佛。所喫的。所著的。所用	任 他 病 苦 纏 身 我 只 一 心 念 佛 所 喫 的 所 著 的 所 用 
X62n1183_001:0352a01	的。各各置之度外。心中所牽記的人。也不牽記。連自	的 各 各 置 之 度 外 心 中 所 牽 記 的 人 也 不 牽 記 連 自 
X62n1183_001:0352a02	己的身體。也不管賬。生死隨他去。只是一心念佛。儞	己 的 身 體 也 不 管 賬 生 死 隨 他 去 只 是 一 心 念 佛 儞 
X62n1183_001:0352a03	若能如此。西方極樂世界。阿彌陀佛。即放大光明。照	若 能 如 此 西方極樂 世 界 阿 彌 陀 佛 即 放大光明 照 
X62n1183_001:0352a04	著儞。儞便身心清涼。一無罣礙。眼前自見佛光明。如	著 儞 儞 便 身 心 清 涼 一 無 罣 礙 眼 前 自 見 佛 光 明 如 
X62n1183_001:0352a05	同坐在青天白日之中。再亡命念去。更兼平日真切	同 坐 在 青 天 白 日 之 中 再 亡 命 念 去 更 兼 平 日 真 切 
X62n1183_001:0352a06	修行的工夫。這時候。便能大光明中。眼見一朵七寶	修 行 的 工 夫 這 時 候 便 能 大 光 明 中 眼 見 一 朵 七 寶 
X62n1183_001:0352a07	蓮華。近在身邊。遠遠望見金色之身。即是阿彌陀佛	蓮 華 近 在 身 邊 遠 遠 望 見 金 色 之 身 即 是 阿 彌 陀 佛 
X62n1183_001:0352a08	觀世音。大勢至。接引儞往生西方去也。	觀 世 音 大 勢 至 接 引 儞 往 生 西 方 去 也 
X62n1183_001:0352a09	吾如此說。開示念佛修行的法門。儞還信得極麼。信	吾 如 此 說 開 示 念 佛 修 行 的 法 門 儞 還 信 得 極 麼 信 
X62n1183_001:0352a10	得極就如此做去。若有疑惑。吾再與儞講明白。	得 極 就 如 此 做 去 若 有 疑 惑 吾 再 與 儞 講 明 白 
