T32n1660_001:0517b10	菩提資糧論卷第一	菩提資糧論 卷 第 一 
T32n1660_001:0517b12	聖者龍樹本　比丘自在釋	聖 者 龍 樹 本 比 丘 自 在 釋 
T32n1660_001:0517b13	大隋南印度三藏達磨笈多譯	大 隋 南 印 度 三 藏 達 磨 笈 多 譯 
T32n1660_001:0517b14	　今於諸佛所　　合掌而頂敬	 今 於 諸 佛 所 合 掌 而 頂 敬 
T32n1660_001:0517b15	　我當如教說　　佛菩提資糧	 我 當 如 教 說 佛 菩提資糧 
T32n1660_001:0517b16	佛者。於一切所應知中得覺。此為佛義。如	佛 者 於 一 切 所 應 知 中 得 覺 此 為 佛 義 如 
T32n1660_001:0517b17	所應知而知故。又於無智睡眠中覺故。覺者。	所 應 知 而 知 故 又 於 無 智 睡 眠 中 覺 故 覺 者 
T32n1660_001:0517b18	覺寤為義。以離無智睡故。又諸釋梵等不	覺 寤 為 義 以 離 無 智 睡 故 又 諸 釋 梵 等 不 
T32n1660_001:0517b19	覺此覺。唯是名聲普遍三界者。所能覺故。一	覺 此 覺 唯 是 名 聲 普 遍 三 界 者 所 能 覺 故 一 
T32n1660_001:0517b20	切諸佛乃覺此覺。以一切種遍智唯佛所知。	切 諸 佛 乃 覺 此 覺 以 一 切 種 遍 智 唯 佛 所 知 
T32n1660_001:0517b21	非諸聲聞獨覺菩薩。以不共法具足故。諸者。	非 諸 聲聞獨覺 菩 薩 以 不 共 法 具 足 故 諸 者 
T32n1660_001:0517b22	無闕故。謂過去未來現在等。頂者上分故。合	無 闕 故 謂 過去未來現在 等 頂 者 上 分 故 合 
T32n1660_001:0517b23	掌者。攝手故敬者。向禮故。我說者。自分別	掌 者 攝 手 故 敬 者 向 禮 故 我 說 者 自 分 別 
T32n1660_001:0517b24	故。如教者。彼彼經中種種已說。今亦如彼	故 如 教 者 彼 彼 經 中 種 種 已 說 今 亦 如 彼 
T32n1660_001:0517b25	教說故。佛者。離無智故。菩提者。一切智智	教 說 故 佛 者 離 無 智 故 菩 提 者 一切智智 
T32n1660_001:0517b26	故。資糧者。能滿菩提法故。譬如世間瓶盈釜	故 資 糧 者 能 滿 菩 提 法 故 譬 如 世 間 瓶 盈 釜 
