T44n1841_001:0143a24	因明義斷	因 明 義 斷 
T44n1841_001:0143a26	淄洲大雲寺苾芻慧沼撰	淄 洲 大 雲 寺 苾 芻 慧 沼 撰 
T44n1841_001:0143a27	詳夫。因明論者銓衡八藏。繩墨四韋。九十	詳 夫 因 明 論 者 銓 衡 八 藏 繩 墨 四 韋 九 十 
T44n1841_001:0143a28	六道之規模。二十八師之軌轍。宗歸立破。道	六 道 之 規 模 二 十 八 師 之 軌 轍 宗 歸 立 破 道 
T44n1841_001:0143a29	洽自他。寔大夜之玉珠。是長昏之龍燭。故	洽 自 他 寔 大 夜 之 玉 珠 是 長 昏 之 龍 燭 故 
T44n1841_001:0143b01	暢其鴻賾者。乃樹正之司南。控彼宏綱者。誠	暢 其 鴻 賾 者 乃 樹 正 之 司 南 控 彼 宏 綱 者 誠 
T44n1841_001:0143b02	破邪之逐北。是以。法王肇出。初闢幽關。智將	破 邪 之 逐 北 是 以 法 王 肇 出 初 闢 幽 關 智 將 
T44n1841_001:0143b03	嗣生。重開奧府。無著聳八支以立玄極。同八	嗣 生 重 開 奧 府 無 著 聳 八 支 以 立 玄 極 同 八 
T44n1841_001:0143b04	柱以承天。世親陳五分。以顯深幾。若五山	柱 以 承 天 世 親 陳 五 分 以 顯 深 幾 若 五 山 
T44n1841_001:0143b05	而鎮地。復有陳那命世以秀出。舉三立以類	而 鎮 地 復 有 陳 那 命 世 以 秀 出 舉 三 立 以 類 
T44n1841_001:0143b06	三光。天主應時以挺生。張二悟而齊二耀。可	三 光 天 主 應 時 以 挺 生 張 二 悟 而 齊 二 耀 可 
T44n1841_001:0143b07	謂。趨寶山之帝輦。出朽宅之王軒。故用之者	謂 趨 寶 山 之 帝 輦 出 朽 宅 之 王 軒 故 用 之 者 
T44n1841_001:0143b08	稱智雄。述之者標詞傑。所以。演暢之輩。皆	稱 智 雄 述 之 者 標 詞 傑 所 以 演 暢 之 輩 皆 
T44n1841_001:0143b09	吐袪闇之神燈。注述之儔。各奮斬邪之智	吐 袪 闇 之 神 燈 注 述 之 儔 各 奮 斬 邪 之 智 
T44n1841_001:0143b10	劍。故言申即陳立破。開章先辨正邪。紛綸	劍 故 言 申 即 陳 立 破 開 章 先 辨 正 邪 紛 綸 
