X57n0963_001:0122b05	北峰教義	北 峰 教 義 
X57n0963_001:0122b07	三千章十科	三 千 章 十 科 
X57n0963_001:0122b09	一出本文二辨三諦三明事理四簡權實	一 出 本 文 二 辨 三 諦 三 明 事 理 四 簡 權 實 
X57n0963_001:0122b10	五顯體用六述互具七譬喻八示別圓	五 顯 體 用 六 述 互 具 七 譬 喻 八 示 別 圓 
X57n0963_001:0122b11	九對四土十判六即	九 對 四 土 十 判 六 即 
X57n0963_001:0122b13	北峰教義第一	北 峰 教 義 第 一 
X57n0963_001:0122b15	三千	三 千 
X57n0963_001:0122b16	淨覺法師異論起於今對彼十科略亦大義十初出	淨 覺 法 師 異 論 起 於 今 對 彼 十 科 略 亦 大 義 十 初 出 
X57n0963_001:0122b17	本文分二初出經文二出祖文。	本 文 分 二 初 出 經 文 二 出 祖 文 
X57n0963_001:0122b18	初出經文者三千是不思議妙境金錍云指的妙境	初 出 經 文 者 三 千 是 不 思 議 妙 境 金 錍 云 指 的 妙 境 
X57n0963_001:0122b19	出自法華山家學者無不知由法華開顯故也理固	出 自 法 華 山 家 學 者 無 不 知 由 法 華 開 顯 故 也 理 固 
X57n0963_001:0122b20	然矣仍須精究只緣法華開顯二乘作佛十界互具	然 矣 仍 須 精 究 只 緣 法 華 開 顯 二 乘 作 佛 十 界 互 具 
X57n0963_001:0122b21	是故三千之法一念頓圓法華獨妙也如荊谿云二	是 故 三 千 之 法 一 念 頓 圓 法 華 獨 妙 也 如 荊 谿 云 二 
X57n0963_001:0122b22	乘得記一代教門彰灼唯此請搜撿大藏方驗有所	乘 得 記 一 代 教 門 彰 灼 唯 此 請 搜 撿 大 藏 方 驗 有 所 
X57n0963_001:0122b23	歸此義淨覺得之雜編云大師依妙經十如是文并	歸 此 義 淨 覺 得 之 雜 編 云 大 師 依 妙 經 十 如 是 文 并 
X57n0963_001:0122b24	大經大論立三世間總而言之名三千世間金錍乃	大 經 大 論 立 三 世 間 總 而 言 之 名 三 千 世 間 金 錍 乃 
X57n0963_001:0122c01	云雖則通依一切大部指的妙境出自法華應知法	云 雖 則 通 依 一 切 大 部 指 的 妙 境 出 自 法 華 應 知 法 
X57n0963_001:0122c02	華已前諸大乘經雖說諸法實相且非彰灼談此妙	華 已 前 諸 大 乘 經 雖 說 諸法實相 且 非 彰 灼 談 此 妙 
X57n0963_001:0122c03	境以未開顯聲聞緣覺及偏菩薩九界十如具佛界	境 以 未 開 顯 聲 聞 緣 覺 及 偏 菩 薩 九 界 十 如 具 佛 界 
X57n0963_001:0122c04	十如故(文)或破淨覺不合以開權議三千所出以經	十 如 故 文 或 破 淨 覺 不 合 以 開 權 議 三 千 所 出 以 經 
X57n0963_001:0122c05	中十如是顯實故今謂不然妙境出法華乃金錍所	中 十 如 是 顯 實 故 今 謂 不 然 妙 境 出 法 華 乃 金 錍 所 
X57n0963_001:0122c06	判繼自釋云由前四時兼但對帶故推功法華豈非	判 繼 自 釋 云 由 前 四 時 兼 但 對 帶 故 推 功 法 華 豈 非 
X57n0963_001:0122c07	功由開顯無兼帶耶由十如是一經三周開權顯實	功 由 開 顯 無 兼 帶 耶 由 十 如 是 一 經 三 周 開 權 顯 實 
X57n0963_001:0122c08	正體若非開權顯實豈能互具互融乎或破淨覺貶	正 體 若 非 開 權 顯 實 豈 能 互 具 互 融 乎 或 破 淨 覺 貶 
X57n0963_001:0122c09	於昔圓不彰灼談妙今謂不然昔圓互融且是通說	於 昔 圓 不 彰 灼 談 妙 今 謂 不 然 昔 圓 互 融 且 是 通 說 
X57n0963_001:0122c10	不開顯二乘故釋籤(十十三)云又復方等般若中圓何	不 開 顯 二 乘 故 釋 籤 十 十 三 云 又 復 方 等 般 若 中 圓 何 
X57n0963_001:0122c11	曾不明二乘作佛何時不明用毒為藥但不顯露對	曾 不 明 二 乘 作 佛 何 時 不 明 用 毒 為 藥 但 不 顯 露 對 
X57n0963_001:0122c12	二乘說則名為秘(文)即此義也問三千妙境出法華	二 乘 說 則 名 為 秘 文 即 此 義 也 問 三 千 妙 境 出 法 華 
X57n0963_001:0122c13	昔圓有否答既稱圓人即了三千心具色具一即一	昔 圓 有 否 答 既 稱 圓 人 即 了 三 千 心 具 色 具 一 即 一 
X57n0963_001:0122c14	切諸經皆有但未開顯部存偏小偏不能圓約教雖	切 諸 經 皆 有 但 未 開 顯 部 存 偏 小 偏 不 能 圓 約 教 雖 
X57n0963_001:0122c15	妙約部則麤故云今經迹門與諸經有同有異也問	妙 約 部 則 麤 故 云 今 經 迹 門 與 諸 經 有 同 有 異 也 問 
X57n0963_001:0122c16	三千妙境出法華十如為文出耶為義出耶若云義	三 千 妙 境 出 法 華 十 如 為 文 出 耶 為 義 出 耶 若 云 義 
X57n0963_001:0122c17	出昔經亦有何獨法華若云文出經中且無三千之	出 昔 經 亦 有 何 獨 法 華 若 云 文 出 經 中 且 無 三 千 之 
X57n0963_001:0122c18	文答舊云文出過當說義矣如金錍云十如心十界	文 答 舊 云 文 出 過 當 說 義 矣 如 金 錍 云 十 如 心 十 界 
X57n0963_001:0122c19	十界必身土但義之必然何甞有文若十乘三世間	十 界 必 身 土 但 義 之 必 然 何 甞 有 文 若 十 乘 三 世 間 
X57n0963_001:0122c20	則未必十如也今取草庵云但義之存焉耳在昔群	則 未 必 十 如 也 今 取 草 庵 云 但 義 之 存 焉 耳 在 昔 群 
X57n0963_001:0122c21	典雖甞義之而說之不審義之不詳華嚴之心造十	典 雖 甞 義 之 而 說 之 不 審 義 之 不 詳 華 嚴 之 心 造 十 
X57n0963_001:0122c22	界大論之三種世間法華之旨豈缺乎哉故以文會	界 大 論 之 三 種 世 間 法 華 之 旨 豈 缺 乎 哉 故 以 文 會 
X57n0963_001:0122c23	而成顯之也而三種世間心造十界未足以顯十如	而 成 顯 之 也 而 三 種 世 間 心 造 十 界 未 足 以 顯 十 如 
X57n0963_001:0122c24	也但言十如則十法界三世間無不該之也故云十	也 但 言 十 如 則 十 法 界 三 世 間 無 不 該 之 也 故 云 十 
X57n0963_001:0123a01	如必十界十界必身土也出通局篇曉前開顯之說	如 必 十 界 十 界 必 身 土 也 出 通 局 篇 曉 前 開 顯 之 說 
X57n0963_001:0123a02	則義出不言可知矣。	則 義 出 不 言 可 知 矣 
X57n0963_001:0123a03	二出祖文者祖師三大部唯於止觀正修結示三千	二 出 祖 文 者 祖 師 三 大 部 唯 於 止 觀 正 修 結 示 三 千 
X57n0963_001:0123a04	之名妙玄文句並未涉言英法師問三千妙境出自	之 名 妙 玄 文 句 並 未 涉 言 英 法 師 問 三 千 妙 境 出 自 
X57n0963_001:0123a05	法華妙玄文句釋經不說莫有隱經之過否今依四	法 華 妙 玄 文 句 釋 經 不 說 莫 有 隱 經 之 過 否 今 依 四 
X57n0963_001:0123a06	明荊谿則約教釋經略明千法明觀立行廣說三千	明 荊 谿 則 約 教 釋 經 略 明 千 法 明 觀 立 行 廣 說 三 千 
X57n0963_001:0123a07	名目雖然義理齊等故四明云然復應知今明千法	名 目 雖 然 義 理 齊 等 故 四 明 云 然 復 應 知 今 明 千 法 
X57n0963_001:0123a08	即是三千以約三種釋世間故故千法三千但廣略	即 是 三 千 以 約 三 種 釋 世 間 故 故 千 法 三 千 但 廣 略 
X57n0963_001:0123a09	爾又如別行玄記之文故知大部三千有無不出廣	爾 又 如 別 行 玄 記 之 文 故 知 大 部 三 千 有 無 不 出 廣 
X57n0963_001:0123a10	略之義又荊谿云此但正報不語三千名目雖然理	略 之 義 又 荊 谿 云 此 但 正 報 不 語 三 千 名 目 雖 然 理 
X57n0963_001:0123a11	必齊等因必具果正必有依(文出妙樂四卷)此玅樂之文豈	必 齊 等 因 必 具 果 正 必 有 依 文 出 妙 樂 四 卷 此 玅 樂 之 文 豈 
X57n0963_001:0123a12	非名雖廣略義理不二耶然所以名廣略者正由玄	非 名 雖 廣 略 義 理 不 二 耶 然 所 以 名 廣 略 者 正 由 玄 
X57n0963_001:0123a13	句約教釋經止觀明觀立行故也輔行云故至止觀	句 約 教 釋 經 止 觀 明 觀 立 行 故 也 輔 行 云 故 至 止 觀 
X57n0963_001:0123a14	正明觀法並以三千而為指南問玅玄心法妙釋遊	正 明 觀 法 並 以 三 千 而 為 指 南 問 玅 玄 心 法 妙 釋 遊 
X57n0963_001:0123a15	心法界明百界千法三種世間釋籤解云釋遊心等	心 法 界 明 百 界 千 法 三 種 世 間 釋 籤 解 云 釋 遊 心 等 
X57n0963_001:0123a16	即百界千法三千世間假實國土千法皆三故有三	即 百 界 千 法 三 千 世 間 假 實 國 土 千 法 皆 三 故 有 三 
X57n0963_001:0123a17	千(二三十)豈非妙玄已明三千何言略耶答別行玄文	千 二 三 十 豈 非 妙 玄 已 明 三 千 何 言 略 耶 答 別 行 玄 文 
X57n0963_001:0123a18	亦爾故四明云今明千法即是三千固是三千文義	亦 爾 故 四 明 云 今 明 千 法 即 是 三 千 固 是 三 千 文 義 
X57n0963_001:0123a19	已備所以荊溪四明以三千釋之但非正明觀法不	已 備 所 以 荊 溪 四 明 以 三 千 釋 之 但 非 正 明 觀 法 不 
X57n0963_001:0123a20	結三千之名從略且是千法故玄文三妙後料揀亦	結 三 千 之 名 從 略 且 是 千 法 故 玄 文 三 妙 後 料 揀 亦 
X57n0963_001:0123a21	只問一念心云何含受百界千法也。	只 問 一 念 心 云 何 含 受 百 界 千 法 也 
X57n0963_001:0123a22	二辨三諦	二 辨 三 諦 
X57n0963_001:0123a23	分二初四明正說二淨覺異見。	分 二 初 四 明 正 說 二 淨 覺 異 見 
X57n0963_001:0123a24	初四明正說又二初體一互融二名隨德用初體一	初 四 明 正 說 又 二 初 體 一 互 融 二 名 隨 德 用 初 體 一 
X57n0963_001:0123b01	互融者須知偏真法性之理體是空寂故無色心諸	互 融 者 須 知 偏 真 法 性 之 理 體 是 空 寂 故 無 色 心 諸 
X57n0963_001:0123b02	法若圓中法性實相之理體是色心則具色心諸法	法 若 圓 中 法 性 實 相 之 理 體 是 色 心 則 具 色 心 諸 法 
X57n0963_001:0123b03	諸法皆是真如實相實相之體妙不決定即空即假	諸 法 皆 是 真 如 實 相 實 相 之 體 妙 不 決 定 即 空 即 假 
X57n0963_001:0123b04	即中此三即一相其實無有異既一相無異則舉一	即 中 此 三 即 一 相 其 實 無 有 異 既 一 相 無 異 則 舉 一 
X57n0963_001:0123b05	全収空亦具三假亦具三中亦具三今來所論三千	全 収 空 亦 具 三 假 亦 具 三 中 亦 具 三 今 來 所 論 三 千 
X57n0963_001:0123b06	三諦約開顯圓妙究盡諸法無非實相諸法不出十	三 諦 約 開 顯 圓 妙 究 盡 諸 法 無 非 實 相 諸 法 不 出 十 
X57n0963_001:0123b07	界十如互具故成三千世間色心諸法而皆一一體	界 十 如 互 具 故 成 三 千 世 間 色 心 諸 法 而 皆 一 一 體 
X57n0963_001:0123b08	是實相即空假中三千諸法既即三諦乃三德三諦	是 實 相 即 空 假 中 三 千 諸 法 既 即 三 諦 乃 三 德 三 諦 
X57n0963_001:0123b09	之三千也故輔行云十如只是法華實相權實正體	之 三 千 也 故 輔 行 云 十 如 只 是 法 華 實 相 權 實 正 體 
X57n0963_001:0123b10	既云諸法故實相即十即云實相故十即實相實相	既 云 諸 法 故 實 相 即 十 即 云 實 相 故 十 即 實 相 實 相 
X57n0963_001:0123b11	之體三諦具足金錍云而此三千性是中理不當有	之 體 三 諦 具 足 金 錍 云 而 此 三 千 性 是 中 理 不 當 有 
X57n0963_001:0123b12	無有無自爾何以故俱實相故實相法爾具足諸法	無 有 無 自 爾 何 以 故 俱 實 相 故 實 相 法 爾 具 足 諸 法 
X57n0963_001:0123b13	諸法法爾性本無生四明則云圓家明性既非但理	諸 法 法 爾 性 本 無 生 四 明 則 云 圓 家 明 性 既 非 但 理 
X57n0963_001:0123b14	乃具三千之性也此性圓融遍入同居剎那心中此	乃 具 三 千 之 性 也 此 性 圓 融 遍 入 同 居 剎 那 心 中 此 
