T18n0850_001:0065a03	刻密軌序	刻 密 軌 序 
T18n0850_001:0065a05	夫欲長其流者。不可以不深其淵源也。欲久	夫 欲 長 其 流 者 不 可 以 不 深 其 淵 源 也 欲 久 
T18n0850_001:0065a06	其家者。不可以不固其柱礎也。粵有吾祖弘	其 家 者 不 可 以 不 固 其 柱 礎 也 粵 有 吾 祖 弘 
T18n0850_001:0065a07	法大師請來密部若干百軸。則是東寺一家	法 大 師 請 來 密 部 若 干 百 軸 則 是 東 寺 一 家 
T18n0850_001:0065a08	之柱礎。南池兩流之淵源也。所以先師約身	之 柱 礎 南 池 兩 流 之 淵 源 也 所 以 先 師 約 身 
T18n0850_001:0065a09	勉強不舍晝夜。誓心研覈豈敢怠遑。每下校	勉 強 不 舍 晝 夜 誓 心 研 覈 豈 敢 怠 遑 每 下 校 
T18n0850_001:0065a10	閱之帷。時肆講授之席。專精純熟無復與倫。	閱 之 帷 時 肆 講 授 之 席 專 精 純 熟 無 復 與 倫 
T18n0850_001:0065a11	平昔謂門徒曰。今也運膺澆季。人滋窳怯。若	平 昔 謂 門 徒 曰 今 也 運 膺 澆 季 人 滋 窳 怯 若 
T18n0850_001:0065a12	干百軸。孰能書寫。所希壽諸梓以助弘通焉。	干 百 軸 孰 能 書 寫 所 希 壽 諸 梓 以 助 弘 通 焉 
T18n0850_001:0065a13	而聞檗山大藏印版既濟。就撿密部則十得	而 聞 檗 山 大 藏 印 版 既 濟 就 撿 密 部 則 十 得 
T18n0850_001:0065a14	九。我願粗滿何喜加之。更可鍥者凡數十卷	九 我 願 粗 滿 何 喜 加 之 更 可 鍥 者 凡 數 十 卷 
T18n0850_001:0065a15	以厝諸懷。嗚呼。先師報命有涯。未果斯志而	以 厝 諸 懷 嗚 呼 先 師 報 命 有 涯 未 果 斯 志 而 
T18n0850_001:0065a16	既寂矣。余雖不肖。深悲在茲。聿企剞劂事務	既 寂 矣 余 雖 不 肖 深 悲 在 茲 聿 企 剞 劂 事 務 
T18n0850_001:0065a17	遂其遺意云爾。時。	遂 其 遺 意 云 爾 時 
T18n0850_001:0065a18	正德元年龍次辛卯仲秋穀武城靈雲精舍沙	正 德 元 年 龍 次 辛 卯 仲 秋 穀 武 城 靈 雲 精 舍 沙 
T18n0850_001:0065a19	門慧光謹序	門 慧 光 謹 序 
T18n0850_001:0065a21	攝大毘盧遮那成佛神變加持經	攝 大 毘 盧 遮 那 成 佛 神 變 加 持 經 
T18n0850_001:0065a22	入蓮華胎藏海會悲生曼荼攞廣	入 蓮 華 胎 藏 海 會 悲 生 曼 荼 攞 廣 
