T08n0227_001:0536c15	小品經序	小 品 經 序 
T08n0227_001:0536c17	釋僧叡	釋 僧 叡 
T08n0227_001:0536c18	般若波羅蜜經者，窮理盡性之格言，菩薩成	般若波羅蜜經 者 窮 理 盡 性 之 格 言 菩 薩 成 
T08n0227_001:0536c19	佛之弘軌也。軌不弘，則不足以寮群異指其	佛 之 弘 軌 也 軌 不 弘 則 不 足 以 寮 群 異 指 其 
T08n0227_001:0536c20	歸；性不盡，則物何以登道場成正覺。正覺之	歸 性 不 盡 則 物 何 以 登 道 場 成 正 覺 正 覺 之 
T08n0227_001:0536c21	所以成，群異之所以一，何莫由斯道也。是以	所 以 成 群 異 之 所 以 一 何 莫 由 斯 道 也 是 以 
T08n0227_001:0536c22	異教慇懃，三撫以之頻發；功德疊校，九增以	異 教 慇 懃 三 撫 以 之 頻 發 功 德 疊 校 九 增 以 
T08n0227_001:0536c23	之屢至。如〈問相〉摽玄而玄其玄，〈幻品〉忘寄而	之 屢 至 如 問 相 摽 玄 而 玄 其 玄 幻 品 忘 寄 而 
T08n0227_001:0536c24	忘其忘，〈道行〉坦其津，〈難問〉窮其源，〈隨喜〉忘趣	忘 其 忘 道 行 坦 其 津 難 問 窮 其 源 隨 喜 忘 趣 
T08n0227_001:0536c25	以要終，〈照明〉不化以即玄。章雖三十，貫之者	以 要 終 照 明 不 化 以 即 玄 章 雖 三 十 貫 之 者 
T08n0227_001:0536c26	道；言雖十萬，倍之者行。行凝然後無生，道足	道 言 雖 十 萬 倍 之 者 行 行 凝 然 後 無 生 道 足 
T08n0227_001:0536c27	然後補處，及此而變一切智也。《法華》鏡本以	然 後 補 處 及 此 而 變 一 切 智 也 法 華 鏡 本 以 
T08n0227_001:0536c28	凝照，《般若》冥末以解懸。解懸理趣，菩薩道也。	凝 照 般 若 冥 末 以 解 懸 解 懸 理 趣 菩 薩 道 也 
T08n0227_001:0536c29	凝照鏡本，告其終也。終而不泯，則歸途扶疎，	凝 照 鏡 本 告 其 終 也 終 而 不 泯 則 歸 途 扶 疎 
T08n0227_001:0537a01	有三實之跡；權應不夷，則亂緒紛綸，有惑	有 三 實 之 跡 權 應 不 夷 則 亂 緒 紛 綸 有 惑 
T08n0227_001:0537a02	趣之異。是以《法華》、《般若》相待以期終，方便、實	趣 之 異 是 以 法 華 般 若 相 待 以 期 終 方 便 實 
T08n0227_001:0537a03	化冥一以俟盡。論其窮理盡性，夷明萬行，	化 冥 一 以 俟 盡 論 其 窮 理 盡 性 夷 明 萬 行 
T08n0227_001:0537a04	則實不如照；取其大明真化，解本無三，則照	則 實 不 如 照 取 其 大 明 真 化 解 本 無 三 則 照 
T08n0227_001:0537a05	不如實。是故歎深則《般若》之功重，美實則《法	不 如 實 是 故 歎 深 則 般 若 之 功 重 美 實 則 法 
T08n0227_001:0537a06	華》之用微。此經之尊，三撫三囑，未足惑也。有	華 之 用 微 此 經 之 尊 三 撫 三 囑 未 足 惑 也 有 
T08n0227_001:0537a07	秦太子者，寓跡儲宮，擬韻區外，翫味斯經，夢	秦 太 子 者 寓 跡 儲 宮 擬 韻 區 外 翫 味 斯 經 夢 
T08n0227_001:0537a08	想增至，准悟大品，深知譯者之失會。聞究	想 增 至 准 悟 大 品 深 知 譯 者 之 失 會 聞 究 
T08n0227_001:0537a09	摩羅法師，神授其文，真本猶存。以弘始十年	摩 羅 法 師 神 授 其 文 真 本 猶 存 以 弘 始 十 年 
T08n0227_001:0537a10	二月六日，請令出之。至四月三十日校正都	二 月 六 日 請 令 出 之 至 四 月 三 十 日 校 正 都 
T08n0227_001:0537a11	訖。考之舊譯，真若荒田之稼，芸過其半，未詎	訖 考 之 舊 譯 真 若 荒 田 之 稼 芸 過 其 半 未 詎 
T08n0227_001:0537a12	多也。斯經正文，凡有四種，是佛異時適化，廣	多 也 斯 經 正 文 凡 有 四 種 是 佛 異 時 適 化 廣 
