T85n2788_001:0616c14	律戒本疏	律 戒 本 疏 
T85n2788_001:0616c16	謂犯四重戒已捨梵行。聖果涅槃退沒墮落	謂 犯 四 重 戒 已 捨 梵 行 聖 果 涅 槃 退 沒 墮 落 
T85n2788_001:0616c17	永無分也。不可悔除亦名波羅夷。是故說	永 無 分 也 不 可 悔 除 亦 名 波 羅 夷 是 故 說 
T85n2788_001:0616c18	言。若受戒不還戒。戒羸不出行婬欲法犯重	言 若 受 戒 不 還 戒 戒 羸 不 出 行 婬 欲 法 犯 重 
T85n2788_001:0616c19	罪。不應共事。捨戒有十九事。是捨戒餘非捨	罪 不應共事 捨 戒 有 十 九 事 是 捨 戒 餘 非 捨 
T85n2788_001:0616c20	戒。向內五眾及一切在家出家人說。是名捨	戒 向 內 五 眾 及 一 切 在家出家 人 說 是 名 捨 
T85n2788_001:0616c21	戒。言義捨佛法僧辟支佛。捨學說。捨共住共	戒 言 義 捨 佛 法 僧 辟 支 佛 捨 學 說 捨 共 住 共 
T85n2788_001:0616c22	利。捨經論。捨和上。捨比丘沙門釋子。非我比	利 捨 經 論 捨 和 上 捨 比 丘 沙 門 釋 子 非 我 比 
T85n2788_001:0616c23	丘沙門釋子。我是沙彌外道。是俗人。增上戒	丘 沙 門 釋 子 我 是 沙 彌 外 道 是 俗 人 增 上 戒 
T85n2788_001:0616c24	定慧名為學。一切布薩名為說。清淨眾似清	定 慧 名 為 學 一 切 布 薩 名 為 說 清 淨 眾 似 清 
T85n2788_001:0616c25	淨眾共住通名共住。共利法財利名為共利。	淨 眾 共 住 通 名 共 住 共 利 法 財 利 名 為 共 利 
T85n2788_001:0616c26	九部經名經論。若言義捨過去未來佛犯偷	九 部 經 名 經 論 若 言 義 捨 過去未來 佛 犯 偷 
T85n2788_001:0616c27	不名捨戒。若直言捨佛是名捨戒。貪欲捨佛	不 名 捨 戒 若 直 言 捨 佛 是 名 捨 戒 貪 欲 捨 佛 
T85n2788_001:0616c28	假言捨外道佛犯偷。若戲咲越毘尼。捨學捨	假 言 捨 外 道 佛 犯 偷 若 戲 咲 越 毘 尼 捨 學 捨 
T85n2788_001:0616c29	僧捨說捨共住捨共利捨經論捨辟支佛捨和	僧 捨 說 捨 共 住 捨 共 利 捨 經 論 捨 辟 支 佛 捨 和 
T85n2788_001:0617a01	上。如捨佛中說。法是涅槃無三世故。若直言	上 如 捨 佛 中 說 法 是 涅 槃 無 三 世 故 若 直 言 
T85n2788_001:0617a02	捨法。若言捨三世法。是名捨戒。假言捨外道	捨 法 若 言 捨 三 世 法 是 名 捨 戒 假 言 捨 外 道 
T85n2788_001:0617a03	法犯偷若言我捨阿者梨。不捨戒犯偷。若言	法 犯 偷 若 言 我 捨 阿 者 梨 不 捨 戒 犯 偷 若 言 
T85n2788_001:0617a04	我過去未來阿者利越毘尼。若言捨共財利。	我 過去未來 阿 者 利 越 毘 尼 若 言 捨 共 財 利 
T85n2788_001:0617a05	捨眾多比丘比丘尼亦如是。假言捨外道共	捨 眾 多 比 丘 比 丘 尼 亦 如 是 假 言 捨 外 道 共 
T85n2788_001:0617a06	財利犯偷。若言捨一一比丘比丘尼。及捨過	財 利 犯 偷 若 言 捨 一 一 比 丘 比 丘 尼 及 捨 過 
T85n2788_001:0617a07	去未來一一比丘比丘尼越毘尼。一切戲咲	去 未 來 一 一 比 丘 比 丘 尼 越 毘 尼 一 切 戲 咲 
T85n2788_001:0617a08	言捨戒越毘尼。誤說心狂無罪。若心念口言	言 捨 戒 越 毘 尼 誤 說 心 狂 無 罪 若 心 念 口 言 
T85n2788_001:0617a09	說戒戒戒羸事語語犯偷。羸已不捨行欲。罪	說 戒 戒 戒 羸 事 語 語 犯 偷 羸 已 不 捨 行 欲 罪 
T85n2788_001:0617a10	如上說。	如 上 說 
T85n2788_001:0617a11	第二若比丘在聚落或在空地不與物取　有	第 二 若 比 丘 在 聚 落 或 在 空 地 不 與 物 取 有 
T85n2788_001:0617a12	達呢吒比丘。是陶師子。先作草菴為人所壞。	達 呢 吒 比 丘 是 陶 師 子 先 作 草 菴 為 人 所 壞 
T85n2788_001:0617a13	後作瓦色赤嚴好。佛見謙責。令阿難壞之。後	後 作 瓦 色 赤 嚴 好 佛 見 謙 責 令 阿 難 壞 之 後 
T85n2788_001:0617a14	取阿闍世王城守大財欲造大屋。盜至五錢。	取 阿 闍 世 王 城 守 大 財 欲 造 大 屋 盜 至 五 錢 
T85n2788_001:0617a15	依法應死。王將赦之。盜至五錢而死何也。將	依 法 應 死 王 將 赦 之 盜 至 五 錢 而 死 何 也 將 
T85n2788_001:0617a16	以物主惜之。後故取者罪之深。是以王道極	以 物 主 惜 之 後 故 取 者 罪 之 深 是 以 王 道 極 
T85n2788_001:0617a17	其法也。如來隨宜因而制重。依世煩物物無	其 法 也 如 來 隨 宜 因 而 制 重 依 世 煩 物 物 無 
T85n2788_001:0617a18	逆慊。犯罪雖一治之不同。王得自在隨宜量	逆 慊 犯 罪 雖 一 治 之 不 同 王 得 自 在 隨 宜 量 
T85n2788_001:0617a19	斷。或時提為極法。或殺以盡形。或但繫縛。或	斷 或 時 提 為 極 法 或 殺 以 盡 形 或 但 繫 縛 或 
T85n2788_001:0617a20	擯之境外。或輸金贖罪。或苦責而已。此皆盜	擯 之 境 外 或 輸 金 贖 罪 或 苦 責 而 已 此 皆 盜 
T85n2788_001:0617a21	取五錢治之極法。佛悉因之。以定重禁所取	取 五 錢 治 之 極 法 佛 悉 因 之 以 定 重 禁 所 取 
T85n2788_001:0617a22	之物。或在聚落。或空地。聚落多私。空地多	之 物 或 在 聚 落 或 空 地 聚 落 多 私 空 地 多 
T85n2788_001:0617a23	官。隨物所屬則有主也。若二國中間既不屬	官 隨 物 所 屬 則 有 主 也 若 二 國 中 間 既 不 屬 
T85n2788_001:0617a24	人。有不屬非人。斯無主也。若世有轉輪聖	人 有 不 屬 非 人 斯 無 主 也 若 世 有 轉 輪 聖 
T85n2788_001:0617a25	王。隨王所統無物不屬。斯有主也。物或有主	王 隨 王 所 統 無 物 不 屬 斯 有 主 也 物 或 有 主 
T85n2788_001:0617a26	而不守護。而無主。盜心取至五錢及五錢直	而 不 守 護 而 無 主 盜 心 取 至 五 錢 及 五 錢 直 
T85n2788_001:0617a27	捉。選擇時犯偷。離本處犯重。或物在地。或空	捉 選 擇 時 犯 偷 離 本 處 犯 重 或 物 在 地 或 空 
T85n2788_001:0617a28	中。或在器物。或在身上。是名本處界。若曳取	中 或 在 器 物 或 在 身 上 是 名 本 處 界 若 曳 取 
T85n2788_001:0617a29	未出界犯重偷。出此等界犯重。若過戶限。若	未 出 界 犯 重 偷 出 此 等 界 犯 重 若 過 戶 限 若 
T85n2788_001:0617b01	度一橫物及異色地。從高著下。下高上。即是	度 一 橫 物 及 異 色 地 從 高 著 下 下 高 上 即 是 
T85n2788_001:0617b02	出界也。又物在狀。狀為界。在衣衣為果。取他	出 界 也 又 物 在 狀 狀 為 界 在 衣 衣 為 果 取 他 
T85n2788_001:0617b03	器中物。轉上著下。下著上。悉犯重。或盜心在	器 中 物 轉 上 著 下 下 著 上 悉 犯 重 或 盜 心 在 
T85n2788_001:0617b04	物不在器在器不在物。或兩在隨心所在物	物 不 在 器 在 器 不 在 物 或 兩 在 隨 心 所 在 物 
T85n2788_001:0617b05	邊犯重。非所在者後生心時復犯重。凡屬王	邊 犯 重 非 所 在 者 後 生 心 時 復 犯 重 凡 屬 王 
T85n2788_001:0617b06	之物。王護惜所得罪。不護惜取無罪。有三種	之 物 王 護 惜 所 得 罪 不 護 惜 取 無 罪 有 三 種 
T85n2788_001:0617b07	取。自取物教人取遣使取。取時即犯也。盜心	取 自 取 物 教 人 取 遣 使 取 取 時 即 犯 也 盜 心 
T85n2788_001:0617b08	取無主物重偷。取有主非人五錢犯重。無主	取 無 主 物 重 偷 取 有 主 非 人 五 錢 犯 重 無 主 
T85n2788_001:0617b09	重偷。又欲取人五錢而誤得四三二一。重偷。	重 偷 又 欲 取 人 五 錢 而 誤 得 四 三 二 一 重 偷 
T85n2788_001:0617b10	本欲取四三二一而得四三二一。輕偷。取畜	本 欲 取 四 三 二 一 而 得 四 三 二 一 輕 偷 取 畜 
T85n2788_001:0617b11	生寶物五錢重偷。非寶突。取師子殘肉無罪。	生 寶 物 五 錢 重 偷 非 寶 突 取 師 子 殘 肉 無 罪 
T85n2788_001:0617b12	五寶若似寶。眾生非眾生盜心取直五錢悉犯	五 寶 若 似 寶 眾 生 非 眾 生 盜 心 取 直 五 錢 悉 犯 
T85n2788_001:0617b13	重。家鳥銜五寶。若似寶奪取犯重。以物應屬	重 家 鳥 銜 五 寶 若 似 寶 奪 取 犯 重 以 物 應 屬 
T85n2788_001:0617b14	鳥主故重也。鳥隨比丘所屬至處處犯重。至	鳥 主 故 重 也 鳥 隨 比 丘 所 屬 至 處 處 犯 重 至 
T85n2788_001:0617b15	餘處重偷。待鳥時亦重偷。以呪力故令至處	餘 處 重 偷 待 鳥 時 亦 重 偷 以 呪 力 故 令 至 處 
T85n2788_001:0617b16	所也。野鳥銜有主物。奪取五錢直重偷。似鳥	所 也 野 鳥 銜 有 主 物 奪 取 五 錢 直 重 偷 似 鳥 
T85n2788_001:0617b17	心重物。重故不同虎。虎心不重故。鳥隨比丘	心 重 物 重 故 不 同 虎 虎 心 不 重 故 鳥 隨 比 丘 
T85n2788_001:0617b18	所欲至處亦犯重偷。至餘處突。待鳥時亦突。	所 欲 至 處 亦 犯 重 偷 至 餘 處 突 待 鳥 時 亦 突 
T85n2788_001:0617b19	若野鳥奪取家鳥物。即或野鳥物。家鳥奪取	若 野 鳥 奪 取 家 鳥 物 即 或 野 鳥 物 家 鳥 奪 取 
T85n2788_001:0617b20	野鳥物。即或家鳥物。比丘奪取二鳥物亦如	野 鳥 物 即 或 家 鳥 物 比 丘 奪 取 二 鳥 物 亦 如 
T85n2788_001:0617b21	上說。若水中有主物捉留。後水到於處便犯	上 說 若 水 中 有 主 物 捉 留 後 水 到 於 處 便 犯 
T85n2788_001:0617b22	重。若次若舉令離本處悉犯重。若相言若作	重 若 次 若 舉 令 離 本 處 悉 犯 重 若 相 言 若 作 
T85n2788_001:0617b23	樹相取他地五錢犯重。若不得重偷。若為師	樹 相 取 他 地 五 錢 犯 重 若 不 得 重 偷 若 為 師 
T85n2788_001:0617b24	持衣物盜心取。從左手轉著右手犯重。一切	持 衣 物 盜 心 取 從 左 手 轉 著 右 手 犯 重 一 切 
T85n2788_001:0617b25	身分亦如是。若以木石物舉取他物。已離本	身 分 亦 如 是 若 以 木 石 物 舉 取 他 物 已 離 本 
T85n2788_001:0617b26	處。雖還墮本處犯重。關儸不輸稅五錢犯重。	處 雖 還 墮 本 處 犯 重 關 儸 不 輸 稅 五 錢 犯 重 
T85n2788_001:0617b27	若關主與稅不得取。先問。稅物為盡入。盡入	若 關 主 與 稅 不 得 取 先 問 稅 物 為 盡 入 盡 入 
T85n2788_001:0617b28	官者犯。仰限輸不犯。若避稅間道去重偷。為	官 者 犯 仰 限 輸 不 犯 若 避 稅 間 道 去 重 偷 為 
T85n2788_001:0617b29	賈客過物五錢犯重。又賈客令比丘過物。過	賈 客 過 物 五 錢 犯 重 又 賈 客 令 比 丘 過 物 過 
T85n2788_001:0617c01	已或盡與。或半與。稅直取五錢悉犯重。若示	已 或 盡 與 或 半 與 稅 直 取 五 錢 悉 犯 重 若 示 
T85n2788_001:0617c02	道路便過。令官失五錢稅重偷。若關儸處有	道 路 便 過 令 官 失 五 錢 稅 重 偷 若 關 儸 處 有 
T85n2788_001:0617c03	劫盜惡狩飢餓。若自避若示他令過無過罪。	劫 盜 惡 狩 飢 餓 若 自 避 若 示 他 令 過 無 過 罪 
T85n2788_001:0617c04	[口*建]嚫入僧。不入者犯突。有十種物不輸稅無	[口建] 嚫 入 僧 不 入 者 犯 突 有 十 種 物 不 輸 稅 無 
T85n2788_001:0617c05	犯。一佛物。二法物。三僧物。四和上物。五諸	犯 一 佛 物 二 法 物 三 僧 物 四 和 上 物 五 諸 
T85n2788_001:0617c06	師物。六父物。七母物。八欲以此物與他人及	師 物 六 父 物 七 母 物 八 欲 以 此 物 與 他 人 及 
T85n2788_001:0617c07	救罪罰。九為欲還主。十欲作法用物。謂欲作	救 罪 罰 九 為 欲 還 主 十 欲 作 法 用 物 謂 欲 作 
T85n2788_001:0617c08	比丘百一物。異是十物應輸稅。不輸稅罪如	比 丘 百 一 物 異 是 十 物 應 輸 稅 不 輸 稅 罪 如 
T85n2788_001:0617c09	上說。比丘與賊期破諸村落。得五錢分犯重。	上 說 比 丘 與 賊 期 破 諸 村 落 得 五 錢 分 犯 重 
T85n2788_001:0617c10	此謂比丘示語彼村。令賊取之得便。共分之	此 謂 比 丘 示 語 彼 村 令 賊 取 之 得 便 共 分 之 
T85n2788_001:0617c11	偷人有二種。一擔去。二共期。擔去時兩足離	偷 人 有 二 種 一 擔 去 二 共 期 擔 去 時 兩 足 離 
