T22n1424_001:0214a17	彌沙塞羯磨本	彌 沙 塞 羯 磨 本 
T22n1424_001:0214a19	大開業寺沙門愛同錄五分羯磨	大 開 業 寺 沙 門 愛 同 錄 五 分 羯 磨 
T22n1424_001:0214a20	夫羯磨眾軌，溥應聖凡，秉告詳唱，稱為辦事。	夫 羯 磨 眾 軌 溥 應 聖 凡 秉 告 詳 唱 稱 為 辦 事 
T22n1424_001:0214a21	事既塵沙，法寧限局？規猷浩博，豈可勝言？	事 既 塵 沙 法 寧 限 局 規 猷 浩 博 豈 可 勝 言 
T22n1424_001:0214a22	且開十法以總諸務，各依其位具列軌儀。	且 開 十 法 以 總 諸 務 各 依 其 位 具 列 軌 儀 
T22n1424_001:0214a23	　第一作法緣起，　　第二諸界結解，	 第 一 作 法 緣 起 第 二 諸 界 結 解 
T22n1424_001:0214a24	　第三諸戒受捨，　　第四衣藥受淨，	 第 三 諸 戒 受 捨 第 四 衣 藥 受 淨 
T22n1424_001:0214a25	　第五布薩儀軌，　　第六安居法則，	 第 五 布 薩 儀 軌 第 六 安 居 法 則 
T22n1424_001:0214a26	　第七自恣清淨，　　第八受施分衣，	 第 七 自 恣 清 淨 第 八 受 施 分 衣 
T22n1424_001:0214a27	　第九懺悔諸犯，　　第十住持雜法。	 第 九 懺 悔 諸 犯 第 十 住 持 雜 法 
T22n1424_001:0214a28	第一作法緣起(要具七緣，方成羯磨。有不具者，開制故然)。	第 一 作 法 緣 起 要 具 七 緣 方 成 羯 磨 有 不 具 者 開 制 故 然 
T22n1424_001:0214a29	一、量事如非(羯磨既稱辦事，所辦必須如法，違教虧戒聖所未聽。事類雖多，大分三種：一、情，如受	一 量 事 如 非 羯 磨 既 稱 辦 事 所 辦 必 須 如 法 違 教 虧 戒 聖 所 未 聽 事 類 雖 多 大 分 三 種 一 情 如 受 
T22n1424_001:0214b01	戒。第二、非情，如結界。第三、二合，如示處等。或言三者，謂人、法、事也。人即受戒等，法謂自恣等，事謂結淨等。此二三	戒 第 二 非 情 如 結 界 第 三 二 合 如 示 處 等 或 言 三 者 謂 人 法 事 也 人 即 受 戒 等 法 謂 自 恣 等 事 謂 結 淨 等 此 二 三 
T22n1424_001:0214b02	種，稱事並如，或具或單，離合無准，必須約教、不違於戒，無犯。如虧此限，法定不成。法等落非，亦准於此)。	種 稱 事 並 如 或 具 或 單 離 合 無 准 必 須 約 教 不 違 於 戒 無 犯 如 虧 此 限 法 定 不 成 法 等 落 非 亦 准 於 此 
T22n1424_001:0214b03	二、法起假處(《僧祇律》云：「非羯磨地，不得受欲行於僧事。」《四分律》云：「若作羯磨，必先結界。然界有二	二 法 起 假 處 僧 祇 律 云 非 羯 磨 地 不 得 受 欲 行 於 僧 事 四 分 律 云 若 作 羯 磨 必 先 結 界 然 界 有 二 
T22n1424_001:0214b04	種：若自然界，唯秉結界羯磨一法；自餘僧法，並作法界中。若對首、心念二法，則通二界。」)	種 若 自 然 界 唯 秉 結 界 羯 磨 一 法 自 餘 僧 法 並 作 法 界 中 若 對 首 心 念 二 法 則 通 二 界 
T22n1424_001:0214b05	三、集僧分限(法起託處，依界集僧。界有二種：自然作法，二別謂大界戒場。據《四分》中有三小界。此	三 集 僧 分 限 法 起 託 處 依 界 集 僧 界 有 二 種 自 然 作 法 二 別 謂 大 界 戒 場 據 四 分 中 有 三 小 界 此 
T22n1424_001:0214b06	律辯界或有或無，小界一種無外可集，大界戒場盡限集之。若自然界，則四分：聚落、蘭若、道行、水界。聚落有二種：可	律 辯 界 或 有 或 無 小 界 一 種 無 外 可 集 大 界 戒 場 盡 限 集 之 若 自 然 界 則 四 分 聚 落 蘭 若 道 行 水 界 聚 落 有 二 種 可 
T22n1424_001:0214b07	分、不可分。若不可分別，《僧祇》七樹之量，計有六十三步。可分別者，《十誦》盡界集之。蘭若亦二：有難、無難。若無難	分 不 可 分 若 不可分別 僧 祇 七 樹 之 量 計 有 六 十 三 步 可 分 別 者 十 誦 盡 界 集 之 蘭 若 亦 二 有 難 無 難 若 無 難 
T22n1424_001:0214b08	者，此律云：「練若比丘不知己界齊幾許？佛言：『自然界面去身二拘盧舍。』」諸部多云一拘盧舍者，大小不定。且依《雜寶	者 此 律 云 練 若 比 丘 不 知 己 界 齊 幾 許 佛 言 自 然 界 面 去 身 二 拘 盧 舍 諸 部 多 云 一 拘 盧 舍 者 大 小 不 定 且 依 雜 寶 
T22n1424_001:0214b09	藏經》云五里為准。若有難者，如《善見論》七盤陀羅。盤陀羅者，二十八肘，通計而論，五十八步四尺八寸。道行界者，	藏 經 云 五 里 為 准 若 有 難 者 如 善 見 論 七 盤 陀 羅 盤 陀 羅 者 二 十 八 肘 通 計 而 論 五 十 八 步 四 尺 八 寸 道 行 界 者 
T22n1424_001:0214b10	《十誦律》縱廣有六百步。言水界者，此律所明船上作法，以有力人若水若沙擲所及處。此之六種並是自然，皆取	 十 誦 律 縱 廣 有 六 百 步 言 水 界 者 此 律 所 明 船 上 作 法 以 有 力 人 若 水 若 沙 擲 所 及 處 此 之 六 種 並 是 自 然 皆 取 
T22n1424_001:0214b11	身面所向方隅，分限之內僧須盡集。集僧方軌諸教共明。此律集僧自分四別：一、三唱。時至，應使沙彌、守園人於高處	身 面 所 向 方 隅 分 限 之 內 僧 須 盡 集 集 僧 方 軌 諸 教 共 明 此 律 集 僧 自 分 四 別 一 三 唱 時 至 應 使 沙 彌 守 園 人 於 高 處 
T22n1424_001:0214b12	唱。二、打揵搥。除漆樹、毒樹，以鳴木作三打鼓，除金銀，以銅鐵瓦木作。四、吹螺。應吹海螺。然揵搥一種，若也無人，	唱 二 打 揵 搥 除 漆 樹 毒 樹 以 鳴 木 作 三 打 鼓 除 金 銀 以 銅 鐵 瓦 木 作 四 吹 螺 應 吹 海 螺 然 揵 搥 一 種 若 也 無 人 
T22n1424_001:0214b13	比丘打之，亦不得過三通。《付法藏》傳令有長打。三千威儀中具明杵下之數)。	比 丘 打 之 亦 不 得 過 三 通 付 法 藏 傳 令 有 長 打 三 千 威 儀 中 具 明 杵 下 之 數 
T22n1424_001:0214b14	四、簡眾是非(體是比丘，如法清淨，是作法人，餘非此限，故須簡擇。此律有一十三人不足僧數：	四 簡 眾 是 非 體 是 比 丘 如 法 清 淨 是 作 法 人 餘 非 此 限 故 須 簡 擇 此 律 有 一 十 三 人 不 足 僧 數 
T22n1424_001:0214b15	一非人、二白衣、三滅擯、四被舉、五自言、六不同見、七狂、八散亂心人、九病壞心人、十比丘尼、十一式叉摩那、十二	一 非 人 二 白 衣 三 滅 擯 四 被 舉 五 自 言 六 不 同 見 七 狂 八 散 亂 心 人 九 病 壞 心 人 十 比 丘 尼 十 一 式叉摩那 十 二 
T22n1424_001:0214b16	沙彌、十三沙彌尼。然《四分》中具彰四例：一者、得滿數不得呵，謂呵責等四羯磨人是。二者、不得滿數應呵，謂若欲受	沙 彌 十 三 沙 彌 尼 然 四 分 中 具 彰 四 例 一 者 得 滿 數 不 得 呵 謂 呵 責 等 四 羯 磨 人 是 二 者 不 得 滿 數 應 呵 謂 若 欲 受 
T22n1424_001:0214b17	大戒人。三、不得滿數不得呵，謂尼等四眾。十三難人，三舉二滅，若別住、若戒場、若在空，若隱沒、若離見聞、若所為人。此	大 戒 人 三 不 得 滿 數 不 得 呵 謂 尼 等 四 眾 十 三 難 人 三 舉 二 滅 若 別 住 若 戒 場 若 在 空 若 隱 沒 若 離 見 聞 若 所 為 人 此 
T22n1424_001:0214b18	二十八人是。人覆藏等四，及覆藏竟、本日治竟、六夜竟，此上七人不相足數。《十誦律》又云：「睡眠人、亂語人、憒鬧人、入	二 十 八 人 是 人 覆 藏 等 四 及 覆 藏 竟 本 日 治 竟 六 夜 竟 此 上 七 人 不 相 足 數 十 誦 律 又 云 睡 眠 人 亂 語 人 憒 鬧 人 入 
