X24n0470_001:0846c06	 小引	 小 引 
X24n0470_001:0846c08	其金剛經三十二分。皆釋迦佛。與諸弟子。問答之謂	其 金 剛 經 三 十 二 分 皆 釋 迦 佛 與 諸 弟 子 問 答 之 謂 
X24n0470_001:0846c09	也。流傳中國。僧俗諷誦者益廣。每日敬誦。不提正念。	也 流 傳 中 國 僧 俗 諷 誦 者 益 廣 每 日 敬 誦 不 提 正 念 
X24n0470_001:0846c10	惟圖多數。而紀功蹟。不知金剛二字。包含意味無窮	惟 圖 多 數 而 紀 功 蹟 不 知 金 剛 二 字 包 含 意 味 無 窮 
X24n0470_001:0846c11	焉。夫金性剛堅。煆煉不損。是由喻於人之性也。長存	焉 夫 金 性 剛 堅 煆 煉 不 損 是 由 喻 於 人 之 性 也 長 存 
X24n0470_001:0846c12	如在。永劫不磨。雖去而復來。雖來而復去。往往來來。	如 在 永 劫 不 磨 雖 去 而 復 來 雖 來 而 復 去 往 往 來 來 
X24n0470_001:0846c13	何日是了。不識修持。應無所住。何得正道。無去無來	何 日 是 了 不 識 修 持 應 無 所 住 何 得 正 道 無 去 無 來 
X24n0470_001:0846c14	耶。故儒曰。天命之謂性。皆識其中。又曰。中者天下之	耶 故 儒 曰 天 命 之 謂 性 皆 識 其 中 又 曰 中 者 天 下 之 
X24n0470_001:0846c15	正道也。知其中正之道。識其金性之剛堅。予幼失怙。	正 道 也 知 其 中 正 之 道 識 其 金 性 之 剛 堅 予 幼 失 怙 
X24n0470_001:0846c16	少學不敏。甫時時齡。毋志栢舟。今逾四十六載。耆年	少 學 不 敏 甫 時 時 齡 毋 志 栢 舟 今 逾 四 十 六 載 耆 年 
X24n0470_001:0846c17	七十有五。每思老母。操持苦節。報恩何及。(予)因家貧。	七 十 有 五 每 思 老 母 操 持 苦 節 報 恩 何 及 予 因 家 貧 
X24n0470_001:0846c18	客遊天津。幸逢明師。諭我精持齋戒。方能報本。是即	客 遊 天 津 幸 逢 明 師 諭 我 精 持 齋 戒 方 能 報 本 是 即 
