T85n2794_001:0683c03	律抄	律 抄 
T85n2794_001:0683c05	傳受　問。若無比丘可自非□□□□□□	傳 受 問 若 無 比 丘 可 自 非 
T85n2794_001:0683c06	□□□□□□□□□□□□□□須復白生	 須 復 白 生 
T85n2794_001:0683c07	藥草。若種不生者須復不　答。□□□□□	藥 草 若 種 不 生 者 須 復 不 答 
T85n2794_001:0683c08	□□□□□餅果後不囑。復得食不　答。得	 餅 果 後 不 囑 復 得 食 不 答 得 
T85n2794_001:0683c09	食。若正食時更作食意亦□□□□□□竟	食 若 正 食 時 更 作 食 意 亦 竟 
T85n2794_001:0683c10	意乃至飲白飲波逸提　問。非時若洗飲器	意 乃 至 飲 白 飲 波 逸 提 問 非 時 若 洗 飲 器 
T85n2794_001:0683c11	不淨而□□□□□□晝日手受夜分漿得復	不 淨 而 晝 日 手 受 夜 分 漿 得 復 
T85n2794_001:0683c12	至初夜不　答。不得。若中前至中後□□□	至 初 夜 不 答 不 得 若 中 前 至 中 後 
T85n2794_001:0683c13	□□□□不得過時分八種漿無口口受法	 不 得 過 時 分 八 種 漿 無 口 口 受 法 
T85n2794_001:0683c14	　問。如此間作屋柱梁堅□□□□□□答。得	 問 如 此 間 作 屋 柱 梁 堅 答 得 
T85n2794_001:0683c15	看。言兩三重犯者。是壁上桁累耳目物突吉	看 言 兩 三 重 犯 者 是 壁 上 桁 累 耳 目 物 突 吉 
T85n2794_001:0683c16	羅　此物當捨不　答。不須捨　問。衣在此	羅 此 物 當 捨 不 答 不 須 捨 問 衣 在 此 
T85n2794_001:0683c17	房得就餘房。說淨不　答。得說淨　問。淨施	房 得 就 餘 房 說 淨 不 答 得 說 淨 問 淨 施 
T85n2794_001:0683c18	物不盡說頭數。得如法不　答。不須盡說頭	物 不 盡 說 頭 數 得 如 法 不 答 不 須 盡 說 頭 
T85n2794_001:0683c19	數。但言三衣外所有長衣施某甲。便以如法	數 但 言 三 衣 外 所 有 長 衣 施 某 甲 便 以 如 法 
T85n2794_001:0683c20	問。葛得被及行布不　答。不得。著水道服故	問 葛 得 被 及 行 布 不 答 不 得 著 水 道 服 故 
T85n2794_001:0683c21	　問　可得不結聚落作界不　答。不須結	 問 可 得 不 結 聚 落 作 界 不 答 不 須 結 
T85n2794_001:0683c22	　問。住處比丘得持僧食。出界食不　答。乃至	 問 住 處 比 丘 得 持 僧 食 出 界 食 不 答 乃 至 
T85n2794_001:0683c23	行糧亦得　問。置所受鉢暫用他鉢及餘器	行 糧 亦 得 問 置 所 受 鉢 暫 用 他 鉢 及 餘 器 
T85n2794_001:0683c24	食不　答得用。唯不得用白銅鑪食。若非正	食 不 答 得 用 唯 不 得 用 白 銅 鑪 食 若 非 正 
