T24n1464_001:0851a03	鼻奈耶序	鼻 奈 耶 序 
T24n1464_001:0851a05	釋道安述	釋 道 安 述 
T24n1464_001:0851a06	阿難出經，面承聖旨，五百應真更互定察，分	阿 難 出 經 面 承 聖 旨 五 百 應 真 更 互 定 察 分 
T24n1464_001:0851a07	為十二部，於四十九年之誨無片言遺矣。又	為 十 二 部 於 四 十 九 年 之 誨 無 片 言 遺 矣 又 
T24n1464_001:0851a08	抄十二部為四阿含、阿毘曇、鼻奈耶，則三藏	抄 十 二 部 為 四 阿 含 阿 毘 曇 鼻 奈 耶 則 三 藏 
T24n1464_001:0851a09	備也。天竺學士罔弗遵焉，諷之詠之未墜	備 也 天 竺 學 士 罔 弗 遵 焉 諷 之 詠 之 未 墜 
T24n1464_001:0851a10	於地也。其大高座沙門則兼該三藏，中下高	於 地 也 其 大 高 座 沙 門 則 兼 該 三 藏 中 下 高 
T24n1464_001:0851a11	座則通一通二而已耳。經流秦地，有自來	座 則 通 一 通 二 而 已 耳 經 流 秦 地 有 自 來 
T24n1464_001:0851a12	矣。隨天竺沙門所持來經，遇而便出，於十	矣 隨 天 竺 沙 門 所 持 來 經 遇 而 便 出 於 十 
T24n1464_001:0851a13	二部，毘曰羅部最多。以斯邦人莊老教行，	二 部 毘 曰 羅 部 最 多 以 斯 邦 人 莊 老 教 行 
T24n1464_001:0851a14	與方等經兼忘相似，故因風易行也。道安常	與 方 等 經 兼 忘 相 似 故 因 風 易 行 也 道 安 常 
T24n1464_001:0851a15	恨三藏不具，以為闕然。歲在壬午，鳩摩羅佛	恨 三 藏 不 具 以 為 闕 然 歲 在 壬 午 鳩 摩 羅 佛 
T24n1464_001:0851a16	提齎《阿毘曇抄》、《四阿含抄》來至長安。渴仰情	提 齎 阿 毘 曇 抄 四 阿 含 抄 來 至 長 安 渴 仰 情 
T24n1464_001:0851a17	久，即於其夏出《阿毘曇抄》四卷，其冬出《四阿	久 即 於 其 夏 出 阿 毘 曇 抄 四 卷 其 冬 出 四 阿 
T24n1464_001:0851a18	含抄》四卷。又其伴罽賓鼻奈，厥名耶捨，諷	含 抄 四 卷 又 其 伴 罽 賓 鼻 奈 厥 名 耶 捨 諷 
T24n1464_001:0851a19	鼻奈經甚利，即令出之。佛提梵書，佛念為	鼻 奈 經 甚 利 即 令 出 之 佛 提 梵 書 佛 念 為 
T24n1464_001:0851a20	譯，曇景筆受，自正月十二日出，至三月二十	譯 曇 景 筆 受 自 正 月 十 二 日 出 至 三 月 二 十 
T24n1464_001:0851a21	五日乃了，凡為四卷。與往年曇摩寺出戒	五 日 乃 了 凡 為 四 卷 與 往 年 曇 摩 寺 出 戒 
T24n1464_001:0851a22	曲相似，如合符焉。於二百六十事疑礙之滯，	曲 相 似 如 合 符 焉 於 二 百 六 十 事 疑 礙 之 滯 
T24n1464_001:0851a23	都謏然焉。上聞異要，煥乎可觀焉。二年之	都 謏 然 焉 上 聞 異 要 煥 乎 可 觀 焉 二 年 之 
T24n1464_001:0851a24	中於此秦邦三藏具焉。然世尊制戒必有所	中 於 此 秦 邦 三 藏 具 焉 然 世 尊 制 戒 必 有 所 
T24n1464_001:0851a25	因，六群比丘生於貴族，攀龍附鳳，雖貪出家	因 六群比丘 生 於 貴 族 攀 龍 附 鳳 雖 貪 出 家 
T24n1464_001:0851a26	而豪心不盡，鄙悖之行以成斯戒。二人得道、	而 豪 心 不 盡 鄙 悖 之 行 以 成 斯 戒 二 人 得 道 
T24n1464_001:0851a27	二人生天、二人墮龍。一入無擇明恃貴不節，	二 人 生 天 二 人 墮 龍 一 入 無 擇 明 恃 貴 不 節 
T24n1464_001:0851a28	自貽伊戚。向使中門家子遇佛出學，雖不	自 貽 伊 戚 向 使 中 門 家 子 遇 佛 出 學 雖 不 
T24n1464_001:0851a29	能一坐成道，何由如此之困乎？然此經是佛	能 一 坐 成 道 何 由 如 此 之 困 乎 然 此 經 是 佛 
T24n1464_001:0851b01	未制戒時，其人所犯穢陋行多；既制之後，	未 制 戒 時 其 人 所 犯 穢 陋 行 多 既 制 之 後 
T24n1464_001:0851b02	改之可貴。天竺持律不都通視，唯諸十二法	改 之 可 貴 天 竺 持 律 不 都 通 視 唯 諸 十 二 法 
T24n1464_001:0851b03	人堅明之士，乃開緘縢而共相授。耶捨見	人 堅 明 之 士 乃 開 緘 縢 而 共 相 授 耶 捨 見 
T24n1464_001:0851b04	囑見誨諄諄，人可使由之不可使知之，其	囑 見 誨 諄 諄 人 可 使 由 之 不 可 使 知 之 其 
T24n1464_001:0851b05	言切至乃自是也。而今而後，秦土有此一部	言 切 至 乃 自 是 也 而 今 而 後 秦 土 有 此 一 部 
T24n1464_001:0851b06	律矣。唯願同我之人，尤慎所授焉。未滿五歲、	律 矣 唯 願 同 我 之 人 尤 慎 所 授 焉 未 滿 五 歲 
T24n1464_001:0851b07	非持律人，幸勿與之也。	非 持 律 人 幸 勿 與 之 也 
