X40n0715_001:0177a03	釋戒本序	釋 戒 本 序 
X40n0715_001:0177a05	鄞江　道言　述	鄞 江 道 言 述 
X40n0715_001:0177a06	序題號中凡論立題為存簡濫使開卷易明永除疑	序 題 號 中 凡 論 立 題 為 存 簡 濫 使 開 卷 易 明 永 除 疑 
X40n0715_001:0177a07	執今此一題略明三別言四分者五部之別名一宗	執 今 此 一 題 略 明 三 別 言 四 分 者 五 部 之 別 名 一 宗 
X40n0715_001:0177a08	之通號以諸部中各有戒本今特標舉簡異佗宗言	之 通 號 以 諸 部 中 各 有 戒 本 今 特 標 舉 簡 異 佗 宗 言 
X40n0715_001:0177a09	比丘者以比丘尼亦有注戒本其文已亡言含注者	比 丘 者 以 比 丘 尼 亦 有 注 戒 本 其 文 已 亡 言 含 注 者 
X40n0715_001:0177a10	簡異刪定戒本單寫本文被世誦集今文私摘廣律	簡 異 刪 定 戒 本 單 寫 本 文 被 世 誦 集 今 文 私 摘 廣 律 
X40n0715_001:0177a11	注釋正經使戒相通明持犯易識故云含注言戒本	注 釋 正 經 使 戒 相 通 明 持 犯 易 識 故 云 含 注 言 戒 本 
X40n0715_001:0177a12	者疏云顯教體也戒者禁也警也即眾行之所因本	者 疏 云 顯 教 體 也 戒 者 禁 也 警 也 即 眾 行 之 所 因 本 
X40n0715_001:0177a13	者根也從也能生成於道務此戒為道本又戒為行	者 根 也 從 也 能 生 成 於 道 務 此 戒 為 道 本 又 戒 為 行 
X40n0715_001:0177a14	本世出世之行依承之又戒為教本一部廣律止解	本 世 出 世 之 行 依 承 之 又 戒 為 教 本 一 部 廣 律 止 解 
X40n0715_001:0177a15	戒行之文計應名律本今舉行目教也又云戒為說	戒 行 之 文 計 應 名 律 本 今 舉 行 目 教 也 又 云 戒 為 說 
X40n0715_001:0177a16	本在座誡勸有所依承文云半月說戒經中來者豈	本 在 座 誡 勸 有 所 依 承 文 云 半 月 說 戒 經 中 來 者 豈 
X40n0715_001:0177a17	不以所說為傳者之本又云聽者以說為本耳聽心	不 以 所 說 為 傳 者 之 本 又 云 聽 者 以 說 為 本 耳 聽 心 
X40n0715_001:0177a18	納尋說生行上以五義消釋前二約所詮法後三約	納 尋 說 生 行 上 以 五 義 消 釋 前 二 約 所 詮 法 後 三 約 
X40n0715_001:0177a19	能詮文言序者爾雅云東西墻謂之序如世墻序在	能 詮 文 言 序 者 爾 雅 云 東 西 墻 謂 之 序 如 世 墻 序 在 
X40n0715_001:0177a20	堂奧之外即喻序文冠一經之表。	堂 奧 之 外 即 喻 序 文 冠 一 經 之 表 
X40n0715_001:0177a21	太一山者古文以為終南是則二名並山之通號或	太 一 山 者 古 文 以 為 終 南 是 則 二 名 並 山 之 通 號 或 
X40n0715_001:0177a22	疑太一是其別峯言沙門者梵語沙門那此翻勤息	疑 太 一 是 其 別 峯 言 沙 門 者 梵 語 沙 門 那 此 翻 勤 息 
X40n0715_001:0177a23	謂勤行眾善息滅諸惡四十二章經云辭親出家識	謂 勤 行 眾 善 息 滅 諸 惡 四 十 二 章 經 云 辭 親 出 家 識 
X40n0715_001:0177a24	心達本解無為法名曰沙門復標釋者以西土外道	心 達 本 解 無 為 法 名 曰 沙 門 復 標 釋 者 以 西 土 外 道 
X40n0715_001:0177b01	凡出家者皆稱沙門今標釋姓為存簡異述謂相從	凡 出 家 者 皆 稱 沙 門 今 標 釋 姓 為 存 簡 異 述 謂 相 從 
X40n0715_001:0177b02	舊轍詮以成文。	舊 轍 詮 以 成 文 
X40n0715_001:0177b03	序文中初科初句標舉教宗蓋下二句舉因果以歎	序 文 中 初 科 初 句 標 舉 教 宗 蓋 下 二 句 舉 因 果 以 歎 
X40n0715_001:0177b04	上句名因言萬行者此有二釋若就制教謂此戒本	上 句 名 因 言 萬 行 者 此 有 二 釋 若 就 制 教 謂 此 戒 本 
X40n0715_001:0177b05	通收善惡事法以配止作兩行止行斷惡作行修善	通 收 善 惡 事 法 以 配 止 作 兩 行 止 行 斷 惡 作 行 修 善 
X40n0715_001:0177b06	行雖多途無出斯二又若約境而言戒則無量且列	行 雖 多 途 無 出 斯 二 又 若 約 境 而 言 戒 則 無 量 且 列 
X40n0715_001:0177b07	二百五十為持犯蹊徑則知戒文攝一切相經云若	二百五十 為 持 犯 蹊 徑 則 知 戒 文 攝 一 切 相 經 云 若 
X40n0715_001:0177b08	更有餘佛法如何不該次釋通及化教諸行若非此	更 有 餘 佛 法 如 何 不 該 次 釋 通 及 化 教 諸 行 若 非 此 
X40n0715_001:0177b09	戒行檀不淨進忍徒苦禪智不生萬行不出六度六	戒 行 檀 不 淨 進 忍 徒 苦 禪 智 不 生 萬 行 不 出 六 度 六 
X40n0715_001:0177b10	度必戒為本如成實論云道品樓觀以戒為柱禪定	度 必 戒 為 本 如 成 實 論 云 道 品 樓 觀 以 戒 為 柱 禪 定 
X40n0715_001:0177b11	心城以戒為廓此文詮戒故知總攝疏云世出世行	心 城 以 戒 為 廓 此 文 詮 戒 故 知 總 攝 疏 云 世 出 世 行 
X40n0715_001:0177b12	並依承之言通衢者即四達之道以喻此戒本發生	並 依 承 之 言 通 衢 者 即 四 達 之 道 以 喻 此 戒 本 發 生 
X40n0715_001:0177b13	萬行無往不通故鈔云發趣萬行戒為宗主疏云萬	萬 行 無 往 不 通 故 鈔 云 發 趣 萬 行 戒 為 宗 主 疏 云 萬 
X40n0715_001:0177b14	行所資要藉戒而成立。	行 所 資 要 藉 戒 而 成 立 
X40n0715_001:0177b15	下句明果言三乘者即聲聞緣覺及佛能乘人四諦	下 句 明 果 言 三 乘 者 即 聲 聞 緣 覺 及 佛 能 乘 人 四 諦 
X40n0715_001:0177b16	十二因緣六度所乘法也以運載為義謂一切聖人	十二因緣 六 度 所 乘 法 也 以 運 載 為 義 謂 一切聖人 
X40n0715_001:0177b17	無不由戒為初門言正軌者正即簡邪軌即車轍由	無 不 由 戒 為 初 門 言 正 軌 者 正 即 簡 邪 軌 即 車 轍 由 
X40n0715_001:0177b18	前開萬行之衢引入三乘之軌因果二義於茲益明	前 開 萬 行 之 衢 引 入 三 乘 之 軌 因 果 二 義 於 茲 益 明 
X40n0715_001:0177b19	然祖師撰述聖智宏多以數句之言斷盡一經之意	然 祖 師 撰 述 聖 智 宏 多 以 數 句 之 言 斷 盡 一 經 之 意 
X40n0715_001:0177b20	今歎戒本文雖二句因果教行結歎盡矣蓋猶略也	今 歎 戒 本 文 雖 二 句 因 果 教 行 結 歎 盡 矣 蓋 猶 略 也 
X40n0715_001:0177b21	言大略指其綱要不出此也。	言 大 略 指 其 綱 要 不 出 此 也 
X40n0715_001:0177b22	興致中分二初泛出世利機上句敘出世法王即指	興 致 中 分 二 初 泛 出 世 利 機 上 句 敘 出 世 法 王 即 指 
X40n0715_001:0177b23	如來經云我為法王於法自在利見者語出周易乾	如 來 經 云 我 為 法 王 於 法 自 在 利 見 者 語 出 周 易 乾 
X40n0715_001:0177b24	卦二五兩爻皆云利見大人彼明國君出潛登極必	卦 二 五 兩 爻 皆 云 利 見 大 人 彼 明 國 君 出 潛 登 極 必 
X40n0715_001:0177c01	合時心萬物宜觀今謂如來乘時應世機緣成熟眾	合 時 心 萬 物 宜 觀 今 謂 如 來 乘 時 應 世 機 緣 成 熟 眾 
X40n0715_001:0177c02	生宜見故借彼語以明垂應下句明利機謂立教開	生 宜 見 故 借 彼 語 以 明 垂 應 下 句 明 利 機 謂 立 教 開 
X40n0715_001:0177c03	濟種種方便無非為物故云在緣緣即機也或可凡	濟 種 種 方 便 無 非 為 物 故 云 在 緣 緣 即 機 也 或 可 凡 
X40n0715_001:0177c04	所弘闡事不孤起必假因緣以為發端。	所 弘 闡 事 不 孤 起 必 假 因 緣 以 為 發 端 
X40n0715_001:0177c05	程下正示興致又二初敘懷慈愍物言上聖悽惶者	程 下 正 示 興 致 又 二 初 敘 懷 慈 愍 物 言 上 聖 悽 惶 者 
X40n0715_001:0177c06	按說戒揵度爾時世尊在靜處思惟作是念言我與	按 說 戒 揵 度 爾 時 世 尊 在 靜 處 思 惟 作是念言 我 與 
X40n0715_001:0177c07	諸比丘結說戒波羅提木叉中有信心新受戒比丘	諸 比 丘 結 說 戒 波羅提木叉 中 有 信 心 新 受 戒 比 丘 
X40n0715_001:0177c08	未聞戒不知當云何學我今寧可比丘聽集在一處	未 聞 戒 不 知 當 云 何 學 我 今 寧 可 比 丘 聽 集 在 一 處 
X40n0715_001:0177c09	說戒爾時世尊從靜處出以此因緣集諸比丘告言	說 戒 爾 時 世 尊 從 靜 處 出 以 此 因 緣 集 諸 比 丘 告 言 
X40n0715_001:0177c10	乃至云共集一處諸說戒作如是說諸大德我今欲	乃 至 云 共 集 一 處 諸 說 戒 作如是說 諸 大 德 我 今 欲 
X40n0715_001:0177c11	說波羅提木叉(已上律文)今謂上聖即指如來良以靜處	說波羅提木叉 已 上 律 文 今 謂 上 聖 即 指 如 來 良 以 靜 處 
X40n0715_001:0177c12	思惟聖情悽慘愍恤新學故曰悽惶語出文選聖哲	思 惟 聖 情 悽 慘 愍 恤 新 學 故 曰 悽 惶 語 出 文 選 聖 哲 
X40n0715_001:0177c13	之治悽悽惶惶孔席不暖墨突不黔彼謂聖哲之人	之 治 悽 悽 惶 惶 孔 席 不 暖 墨 突 不 黔 彼 謂 聖 哲 之 人 
X40n0715_001:0177c14	行道治世常憂時之不濟故孔子席不暖臥不安也	行 道 治 世 常 憂 時 之 不 濟 故 孔 子 席 不 暖 臥 不 安 也 
X40n0715_001:0177c15	墨翟不黑不暇饌食也今借彼語而意似同程由示	墨 翟 不 黑 不 暇 饌 食 也 今 借 彼 語 而 意 似 同 程 由 示 
X40n0715_001:0177c16	也言小凡者通收內外薄地若據前律意即指新受	也 言 小 凡 者 通 收 內 外 薄 地 若 據 前 律 意 即 指 新 受 
X40n0715_001:0177c17	戒者沉溺謂不知戒相或致違犯而墮惡趣悼謂傷	戒 者 沉 溺 謂 不 知 戒 相 或 致 違 犯 而 墮 惡 趣 悼 謂 傷 
X40n0715_001:0177c18	嘆。	嘆 
X40n0715_001:0177c19	故下次明隨機設教初二句敘結戒不諱門者即戒	故 下 次 明 隨 機 設 教 初 二 句 敘 結 戒 不 諱 門 者 即 戒 
X40n0715_001:0177c20	律也諱猶過也以如來所制戒律盡是指出眾生麤	律 也 諱 猶 過 也 以 如 來 所 制 戒 律 盡 是 指 出 眾 生 麤 
X40n0715_001:0177c21	惡過患以至婬盜等相種種業非示過令知戒令遠	惡 過 患 以 至 婬 盜 等 相 種 種 業 非 示 過 令 知 戒 令 遠 
X40n0715_001:0177c22	離故云不諱闢即開也祕密術者以此戒法唯被內	離 故 云 不 諱 闢 即 開 也 祕 密 術 者 以 此 戒 法 唯 被 內 
X40n0715_001:0177c23	眾以在家人并餘四眾不預聞故鈔引論云何故律	眾 以 在 家 人 并 餘 四 眾 不 預 聞 故 鈔 引 論 云 何 故 律 
X40n0715_001:0177c24	在初集以祕勝故又分別功德論云由勝密故非俗	在 初 集 以 祕 勝 故 又 分 別 功 德 論 云 由 勝 密 故 非 俗 
X40n0715_001:0178a01	人所見故術即道術或音遂即道路也。	人 所 見 故 術 即 道 術 或 音 遂 即 道 路 也 
X40n0715_001:0178a02	張下次明制說又三初示立制本懷無問說者以如	張 下 次 明 制 說 又 三 初 示 立 制 本 懷 無 問 說 者 以 如 
X40n0715_001:0178a03	來說法必先請問以為發端此制說戒乃靜處思惟	來 說 法 必 先 請 問 以 為 發 端 此 制 說 戒 乃 靜 處 思 惟 
X40n0715_001:0178a04	聖心自制則大悲心切為物情深思彼新學不知戒	聖 心 自 制 則 大 悲 心 切 為 物 情 深 思 彼 新 學 不 知 戒 
X40n0715_001:0178a05	相違戒起非故不待問而自制說顯初學者以前所	相 違 戒 起 非 故 不 待 問 而 自 制 說 顯 初 學 者 以 前 所 
X40n0715_001:0178a06	引新受戒者當云何學律塗謂使知戒相持奉皆通	引 新 受 戒 者 當 云 何 學 律 塗 謂 使 知 戒 相 持 奉 皆 通 
X40n0715_001:0178a07	靜處興者亦如前引教源即指說戒一法集眾等者	靜 處 興 者 亦 如 前 引 教 源 即 指 說 戒 一 法 集 眾 等 者 
X40n0715_001:0178a08	前引律文爾時世尊從靜處出以此因緣共集一處	前 引 律 文 爾 時 世 尊 從 靜 處 出 以 此 因 緣 共 集 一 處 
