X17n0323_001:0135a03	 楞伽經序	 楞 伽 經 序 
X17n0323_001:0135a05	朝議大夫直龍圖閣權江淮荊淅等路制	朝 議 大 夫 直 龍 圖 閣 權 江 淮 荊 淅 等 路 制 
X17n0323_001:0135a06	置鹽礬兼發運副使上護軍賜紫金魚袋	置 鹽 礬 兼 發 運 副 使 上 護 軍 賜 紫 金 魚 袋 
X17n0323_001:0135a07	蔣之奇撰	蔣 之 奇 撰 
X17n0323_001:0135a08	之奇嘗苦楞伽經難讀又難得善本會南都太子太	之 奇 嘗 苦 楞 伽 經 難 讀 又 難 得 善 本 會 南 都 太 子 太 
X17n0323_001:0135a09	保致政張公施此經而眉山蘇子瞻為書而刻之板	保 致 政 張 公 施 此 經 而 眉 山 蘇 子 瞻 為 書 而 刻 之 板 
X17n0323_001:0135a10	以為金山常住金山長老佛印大師子元持以見寄	以 為 金 山 常 住 金 山 長 老 佛 印 大 師 子 元 持 以 見 寄 
X17n0323_001:0135a11	之奇為之言曰佛之所說經捴十二部而其多至於	之 奇 為 之 言 曰 佛 之 所 說 經 捴 十 二 部 而 其 多 至 於 
X17n0323_001:0135a12	五千卷方其正法流行之時人有聞半偈得一句而	五 千 卷 方 其 正 法 流 行 之 時 人 有 聞 半 偈 得 一 句 而 
X17n0323_001:0135a13	悟入者盖不可為量數至於像法末法之後去聖既	悟 入 者 盖 不 可 為 量 數 至 於 像 法 末 法 之 後 去 聖 既 
X17n0323_001:0135a14	遠人始溺於文字有入海算沙之困而於一真之體	遠 人 始 溺 於 文 字 有 入 海 算 沙 之 困 而 於 一 真 之 體 
X17n0323_001:0135a15	乃漫不省解於是有祖師出焉直指人心見性成佛	乃 漫 不 省 解 於 是 有 祖 師 出 焉 直 指 人 心 見 性 成 佛 
X17n0323_001:0135a16	以為教外別傳於動容發語之頃而上根利器之人	以 為 教 外 別 傳 於 動 容 發 語 之 頃 而 上 根 利 器 之 人 
X17n0323_001:0135a17	已目擊而得之矣故雲門至於罵佛而藥山至戒人	已 目 擊 而 得 之 矣 故 雲 門 至 於 罵 佛 而 藥 山 至 戒 人 
X17n0323_001:0135a18	不得續經皆此意也由是去佛而謂之禪離義而謂	不 得 續 經 皆 此 意 也 由 是 去 佛 而 謂 之 禪 離 義 而 謂 
X17n0323_001:0135a19	之玄故學佛者必詆禪而諱義者亦必宗玄二家之	之 玄 故 學 佛 者 必 詆 禪 而 諱 義 者 亦 必 宗 玄 二 家 之 
X17n0323_001:0135a20	徒更相非而不知其相為用也且禪者六度之一也	徒 更 相 非 而 不 知 其 相 為 用 也 且 禪 者 六 度 之 一 也 
X17n0323_001:0135a21	顧豈異於佛哉之奇以為禪出於佛而玄出於義不	顧 豈 異 於 佛 哉 之 奇 以 為 禪 出 於 佛 而 玄 出 於 義 不 
