T38n1769_001:0239a13	涅槃宗要	涅 槃 宗 要 
T38n1769_001:0239a15	元曉師撰	元 曉 師 撰 
T38n1769_001:0239a16	是經有其二門。一者略述大意。二者廣開分	是 經 有 其 二 門 一 者 略 述 大 意 二 者 廣 開 分 
T38n1769_001:0239a17	別。述大意者。原夫涅槃之為道也無道而無	別 述 大 意 者 原 夫 涅 槃 之 為 道 也 無 道 而 無 
T38n1769_001:0239a18	非道。無住而無非住。是知其道至近至遠。證	非 道 無 住 而 無 非 住 是 知 其 道 至 近 至 遠 證 
T38n1769_001:0239a19	斯道者彌寂彌暄。彌暄之故普震八聲通虛	斯 道 者 彌 寂 彌 暄 彌 暄 之 故 普 震 八 聲 通 虛 
T38n1769_001:0239a20	空而不息。彌寂之故遠離十相同真際而湛	空 而 不 息 彌 寂 之 故 遠 離 十 相 同 真 際 而 湛 
T38n1769_001:0239a21	然。由至遠故隨教逝之綿歷千劫而不臻。由	然 由 至 遠 故 隨 教 逝 之 綿 歷 千 劫 而 不 臻 由 
T38n1769_001:0239a22	至近故忘言尋之不過一念而自會也。今是	至 近 故 忘 言 尋 之 不 過 一 念 而 自 會 也 今 是 
T38n1769_001:0239a23	經者斯乃佛法之大海方等之祕藏。其為教	經 者 斯 乃 佛 法 之 大 海 方 等 之 祕 藏 其 為 教 
T38n1769_001:0239a24	也難可測量。由良廣蕩無崖甚深無底。以無	也 難 可 測 量 由 良 廣 蕩 無 崖 甚 深 無 底 以 無 
T38n1769_001:0239a25	底故無所不窮。以無崖故無所不該。統眾典	底 故 無 所 不 窮 以 無 崖 故 無 所 不 該 統 眾 典 
T38n1769_001:0239a26	之部分歸萬流之一味。開佛意之至公和百	之 部 分 歸 萬 流 之 一 味 開 佛 意 之 至 公 和 百 
T38n1769_001:0239a27	家之異諍。遂使擾擾四生僉歸無二之實性。	家 之 異 諍 遂 使 擾 擾 四 生 僉 歸 無 二 之 實 性 
T38n1769_001:0239a28	夢夢長睡並到大覺之極果極果之大覺也。	夢 夢 長 睡 並 到 大 覺 之 極 果 極 果 之 大 覺 也 
T38n1769_001:0239a29	體實性而忘心實性之無二。混真忘而為一。	體 實 性 而 忘 心 實 性 之 無 二 混 真 忘 而 為 一 
T38n1769_001:0239b01	既無二也。何得有一真忘混也。孰為其實。斯	既 無 二 也 何 得 有 一 真 忘 混 也 孰 為 其 實 斯 
T38n1769_001:0239b02	即理智都忘名義斯絕。是謂涅槃之玄旨也。	即 理 智 都 忘 名 義 斯 絕 是 謂 涅 槃 之 玄 旨 也 
T38n1769_001:0239b03	但以諸佛證而不位。無所不應無所不說。是	但 以 諸 佛 證 而 不 位 無 所 不 應 無 所 不 說 是 
T38n1769_001:0239b04	謂涅槃之至教也。玄旨已而不甞寂。至教說	謂 涅 槃 之 至 教 也 玄 旨 已 而 不 甞 寂 至 教 說 
T38n1769_001:0239b05	而未甞言。是謂理教之一味也。爾乃聽滿字	而 未 甞 言 是 謂 理 教 之 一 味 也 爾 乃 聽 滿 字 
T38n1769_001:0239b06	者咸蒙毛孔之益。求半偈者不傾骨髓之摧	者 咸 蒙 毛 孔 之 益 求 半 偈 者 不 傾 骨 髓 之 摧 
T38n1769_001:0239b07	造逆罪者信是經而能滅燋。善種者依茲教	造 逆 罪 者 信 是 經 而 能 滅 燋 善 種 者 依 茲 教 
T38n1769_001:0239b08	而還生之矣。所言大般涅槃經者。若也具存	而 還 生 之 矣 所 言 大 般 涅 槃 經 者 若 也 具 存 
T38n1769_001:0239b09	西域之音。應謂摩訶般涅槃那。此土譯之言	西 域 之 音 應 謂 摩訶般涅槃 那 此 土 譯 之 言 
