T46n1917_001:0549a03	六妙法門	六 妙 法 門 
T46n1917_001:0549a05	天台大師於都下瓦官寺略出此法門	天 台 大 師 於 都 下 瓦 官 寺 略 出 此 法 門 
T46n1917_001:0549a06	六妙門者。蓋是內行之根本。三乘得道之要	六 妙 門 者 蓋 是 內 行 之 根 本 三 乘 得 道 之 要 
T46n1917_001:0549a07	逕。故釋迦初詣道樹。跏趺坐草。內思安般。一	逕 故 釋 迦 初 詣 道 樹 跏 趺 坐 草 內 思 安 般 一 
T46n1917_001:0549a08	數。二隨。三止。四觀五還。六淨。因此萬行開	數 二 隨 三 止 四 觀 五 還 六 淨 因 此 萬 行 開 
T46n1917_001:0549a09	發。降魔成道。當知佛為物軌示跡若斯。三乘	發 降 魔 成 道 當 知 佛 為 物 軌 示 跡 若 斯 三 乘 
T46n1917_001:0549a10	正士。豈不同遊此路。所言六者。即是數法。約	正 士 豈 不 同 遊 此 路 所 言 六 者 即 是 數 法 約 
T46n1917_001:0549a11	數明禪。故言六也。如佛或約一數辯禪。所謂	數 明 禪 故 言 六 也 如 佛 或 約 一 數 辯 禪 所 謂 
T46n1917_001:0549a12	一行三昧。或約二數。謂一止。二觀。或約三	一行三昧 或 約 二 數 謂 一 止 二 觀 或 約 三 
T46n1917_001:0549a13	數。謂三三昧。或約四數。所謂四禪。或約五	數 謂 三 三 昧 或 約 四 數 所 謂 四 禪 或 約 五 
T46n1917_001:0549a14	數。謂五門禪。或約六數。謂六妙門。或約七	數 謂 五 門 禪 或 約 六 數 謂 六 妙 門 或 約 七 
T46n1917_001:0549a15	數。謂七依定。或約八數。謂八背捨。或約九	數 謂 七 依 定 或 約 八 數 謂 八 背 捨 或 約 九 
T46n1917_001:0549a16	數。謂九次第定。或約十數。謂十禪支。如是	數 謂 九次第定 或 約 十 數 謂 十 禪 支 如 是 
T46n1917_001:0549a17	等。乃至百千萬億阿僧祇不可說諸三昧門。	等 乃 至 百 千 萬 億 阿 僧 祇 不 可 說 諸 三 昧 門 
T46n1917_001:0549a18	悉是約數說諸禪也。雖數有多少。窮其法相。	悉 是 約 數 說 諸 禪 也 雖 數 有 多 少 窮 其 法 相 
T46n1917_001:0549a19	莫不悉相收攝。以眾生機悟不同故。有增減	莫 不 悉 相 收 攝 以 眾 生 機 悟 不 同 故 有 增 減 
T46n1917_001:0549a20	之數分別利物。今言六者。即是約數法而標	之 數 分 別 利 物 今 言 六 者 即 是 約 數 法 而 標 
T46n1917_001:0549a21	章也。妙者其意乃多。若論正意。即是滅諦涅	章 也 妙 者 其 意 乃 多 若 論 正 意 即 是 滅 諦 涅 
T46n1917_001:0549a22	槃。故滅四行中。言滅止妙離。涅槃非斷非常。	槃 故 滅 四 行 中 言 滅 止 妙 離 涅 槃 非 斷 非 常 
T46n1917_001:0549a23	有而難契。無而易得。故言妙也。六法能通。故	有 而 難 契 無 而 易 得 故 言 妙 也 六 法 能 通 故 
T46n1917_001:0549a24	名為門。門雖有六。會妙不殊故經言泥洹真	名 為 門 門 雖 有 六 會 妙 不 殊 故 經 言 泥 洹 真 
T46n1917_001:0549a25	法寶。眾生從種種門入。此則通釋六妙門之	法 寶 眾 生 從 種 種 門 入 此 則 通 釋 六 妙 門 之 
T46n1917_001:0549a26	大意也。六妙門大意有十。	大 意 也 六 妙 門 大 意 有 十 
T46n1917_001:0549a27	第一歷別對諸禪六妙門　第二次第相生六	第 一 歷 別 對 諸 禪 六 妙 門 第 二 次 第 相 生 六 
T46n1917_001:0549a28	妙門　第三隨便宜六妙門　第四隨對治六	妙 門 第 三 隨 便 宜 六 妙 門 第 四 隨 對 治 六 
T46n1917_001:0549a29	妙門　第五相攝六妙門　第六通別六妙門	妙 門 第 五 相 攝 六 妙 門 第 六 通 別 六 妙 門 
T46n1917_001:0549b01	　第七旋轉六妙門　第八觀心六妙門　第	 第 七 旋 轉 六 妙 門 第 八 觀 心 六 妙 門 第 
T46n1917_001:0549b02	九圓觀六妙門　第十證相六妙門	九 圓 觀 六 妙 門 第 十 證 相 六 妙 門 
T46n1917_001:0549b03	釋第一歷別對諸禪定明六妙門。即為六意。	釋 第 一 歷 別 對 諸 禪 定 明 六 妙 門 即 為 六 意 
T46n1917_001:0549b04	一者依數為妙門。行者因數息故。即能出生	一 者 依 數 為 妙 門 行 者 因 數 息 故 即 能 出 生 
T46n1917_001:0549b05	四禪。四無量心。四無色定。若於最後非非想	四 禪 四無量心 四無色定 若 於 最 後 非 非 想 
T46n1917_001:0549b06	定。能覺知非是涅槃。是人必定得三乘道。何	定 能 覺 知 非 是 涅 槃 是 人 必 定 得 三 乘 道 何 
T46n1917_001:0549b07	以故。此定陰界入和合故有。虛誑不實。雖無	以 故 此 定 陰 界 入 和 合 故 有 虛 誑 不 實 雖 無 
T46n1917_001:0549b08	麁煩惱。而亦成就十種細煩惱。知已破折不	麁 煩 惱 而 亦 成 就 十 種 細 煩 惱 知 已 破 折 不 
T46n1917_001:0549b09	住不著。心得解脫。即證三乘涅槃故。此義	住 不 著 心得解脫 即 證 三 乘 涅 槃 故 此 義 
T46n1917_001:0549b10	如須跋陀羅。佛教斷非非想處惑。即便獲得	如 須 跋 陀 羅 佛 教 斷 非非想處 惑 即 便 獲 得 
T46n1917_001:0549b11	阿羅漢果。數為妙門。意在於此也。二者隨為	阿羅漢果 數 為 妙 門 意 在 於 此 也 二 者 隨 為 
T46n1917_001:0549b12	妙門者。行者因隨息故。即能出生十六特勝。	妙 門 者 行 者 因 隨 息 故 即 能 出 生 十 六 特 勝 
T46n1917_001:0549b13	所謂一知息入。二知息出。三知息長短。四知	所 謂 一 知 息 入 二 知 息 出 三 知 息 長 短 四 知 
T46n1917_001:0549b14	息遍身。五除諸身行。六心爰喜。七心受樂。八	息 遍 身 五 除 諸 身 行 六 心 爰 喜 七 心 受 樂 八 
T46n1917_001:0549b15	受諸心行。九心作喜。十心作攝。十一心作解	受 諸 心 行 九 心 作 喜 十 心 作 攝 十 一 心 作 解 
T46n1917_001:0549b16	脫。十二觀無常。十三觀出散。十四觀離欲。	脫 十 二 觀 無 常 十 三 觀 出 散 十 四 觀 離 欲 
T46n1917_001:0549b17	十五觀滅。十六觀棄捨。云何觀棄捨。此觀破	十 五 觀 滅 十 六 觀 棄 捨 云 何 觀 棄 捨 此 觀 破 
T46n1917_001:0549b18	非想處惑。所以者何。凡夫修非想時。觀有常	非 想 處 惑 所以者何 凡 夫 修 非 想 時 觀 有 常 
T46n1917_001:0549b19	處如癕如瘡。觀無想處如癡也。第一妙定名	處 如 癕 如 瘡 觀 無 想 處 如 癡 也 第 一 妙 定 名 
T46n1917_001:0549b20	曰非想。作是念已。即棄捨有想無想。名非	曰 非 想 作 是 念 已 即 棄 捨 有 想 無 想 名 非 
T46n1917_001:0549b21	有想非無想。故知非想即是兩捨之義。今佛	有 想 非 無 想 故 知 非 想 即 是 兩 捨 之 義 今 佛 
T46n1917_001:0549b22	弟子觀行破折。義如前說。是故深觀棄捨。不	弟 子 觀 行 破 折 義 如 前 說 是 故 深 觀 棄 捨 不 
T46n1917_001:0549b23	著非想能得涅槃。隨為妙門。意在此也。三者	著 非 想 能 得 涅 槃 隨 為 妙 門 意 在 此 也 三 者 
T46n1917_001:0549b24	止為妙門者。行者因止心故。即便次第發五	止 為 妙 門 者 行 者 因 止 心 故 即 便 次 第 發 五 
T46n1917_001:0549b25	輪禪。一者地輪三昧。即未到地。二者水輪三	輪 禪 一 者 地 輪 三 昧 即 未 到 地 二 者 水 輪 三 
T46n1917_001:0549b26	昧。即是種種諸禪定善根發也。三者虛空輪	昧 即 是 種 種 諸 禪 定 善 根 發 也 三 者 虛 空 輪 
T46n1917_001:0549b27	三昧。即五方便人覺因緣無性如虛空。四者	三 昧 即 五 方 便 人 覺 因 緣 無 性 如 虛 空 四 者 
T46n1917_001:0549b28	金沙輪三昧。即是見思解脫。無著正惠如金	金 沙 輪 三 昧 即 是 見 思 解 脫 無 著 正 惠 如 金 
