X62n1192_001:0481c06	 清珠集序	 清 珠 集 序 
X62n1192_001:0481c08	執塗之人。而問之曰。儒與佛異乎。曰異也。柳子有言。	執 塗 之 人 而 問 之 曰 儒 與 佛 異 乎 曰 異 也 柳 子 有 言 
X62n1192_001:0481c09	浮圖之說。推離還源。合於生而靜者。以為不背孔子	浮 圖 之 說 推 離 還 源 合 於 生 而 靜 者 以 為 不 背 孔 子 
X62n1192_001:0481c10	大鑒之道。終始性善。不假耘鋤者。以為不背孟子。然	大 鑒 之 道 終 始 性 善 不 假 耘 鋤 者 以 為 不 背 孟 子 然 
X62n1192_001:0481c11	則瞿曇氏之真詮秘諦。未始不與儒家相契。其持身	則 瞿 曇 氏 之 真 詮 秘 諦 未 始 不 與 儒 家 相 契 其 持 身 
X62n1192_001:0481c12	之嚴。任道之篤。殆亦儒門律師也。拈花微笑宗風邈	之 嚴 任 道 之 篤 殆 亦 儒 門 律 師 也 拈 花 微 笑 宗 風 邈 
X62n1192_001:0481c13	矣。一棒一喝禪旨晦矣。於是依言語立文字。而千七	矣 一 棒 一 喝 禪 旨 晦 矣 於 是 依 言 語 立 文 字 而 千 七 
X62n1192_001:0481c14	百公案。作隨方[媲囟+(色巴+囚)]儗。對人演說。意愈勤而法愈離。駸	百 公 案 作 隨 方 [媲囟色巴囚] 儗 對 人 演 說 意 愈 勤 而 法 愈 離 駸 
X62n1192_001:0481c15	駸至于淨業道微。魔外交作。誠空門之陽九也。釋治	駸 至 于 淨 業 道 微 魔 外 交 作 誠 空 門 之 陽 九 也 釋 治 
X62n1192_001:0481c16	兆。竪幢於淨願之社。結夏三十年。同志緇素。勉思彚	兆 竪 幢 於 淨 願 之 社 結 夏 三 十 年 同 志 緇 素 勉 思 彚 
X62n1192_001:0481c17	征。禪悅之暇。耽賾內典。會稡諸家。摘抉單傳密付之	征 禪 悅 之 暇 耽 賾 內 典 會 稡 諸 家 摘 抉 單 傳 密 付 之 
X62n1192_001:0481c18	義。彚為一書。書成走白足。請敘於余。余儒者徒也。不	義 彚 為 一 書 書 成 走 白 足 請 敘 於 余 余 儒 者 徒 也 不 
X62n1192_001:0481c19	嫺釋氏家言。將何以覷破是卷之有足警惺於大小	嫺 釋 氏 家 言 將 何 以 覷 破 是 卷 之 有 足 警 惺 於 大 小 
X62n1192_001:0481c20	修行人哉。祇見其言簡而意賅。旨精而包廣。未必別	修 行 人 哉 祇 見 其 言 簡 而 意 賅 旨 精 而 包 廣 未 必 別 
X62n1192_001:0481c21	具手眼。已自洞見骨髓。由蹊徑而造堂室。蓮燈指路。	具 手 眼 已 自 洞 見 骨 髓 由 蹊 徑 而 造 堂 室 蓮 燈 指 路 
X62n1192_001:0481c22	寶筏登岸。恍然若參猊座而聆潮音。不其大歡喜歟。	寶 筏 登 岸 恍 然 若 參 猊 座 而 聆 潮 音 不 其 大 歡 喜 歟 
X62n1192_001:0481c23	噫賢劫淪而象教替。未嘗聞有啟扄鐍而數珍寶如	噫 賢 劫 淪 而 象 教 替 未 嘗 聞 有 啟 扄 鐍 而 數 珍 寶 如 
X62n1192_001:0481c24	治兆者焉。治兆持身嚴。而信道篤。自托於觚墨之間。	治 兆 者 焉 治 兆 持 身 嚴 而 信 道 篤 自 托 於 觚 墨 之 間 
X62n1192_001:0482a01	集古德不傳之秘。欲化度一切眾生。則此心良亦苦	集 古 德 不 傳 之 秘 欲 化 度 一 切 眾 生 則 此 心 良 亦 苦 
X62n1192_001:0482a02	矣。庚午仲秋綺樹樓主人少荷居士趙成夏敘	矣 庚 午 仲 秋 綺 樹 樓 主 人 少 荷 居 士 趙 成 夏 敘 
X62n1192_001:0482a06	夫清珠者玻瓈也。此珠投於濁水。則渾濁盡去。徹底	夫 清 珠 者 玻 瓈 也 此 珠 投 於 濁 水 則 渾 濁 盡 去 徹 底 
X62n1192_001:0482a07	澄湛。置之泥淖。則湧出泥上。卓然獨存。且珠體雖極	澄 湛 置 之 泥 淖 則 湧 出 泥 上 卓 然 獨 存 且 珠 體 雖 極 
X62n1192_001:0482a08	瑩澈。然萬象森羅無照無染。惟將二珠相照。則光彩	瑩 澈 然 萬 象 森 羅 無 照 無 染 惟 將 二 珠 相 照 則 光 彩 
X62n1192_001:0482a09	交暎。輝天鑑地。無量壽如來普光明智亦復如是。此	交 暎 輝 天 鑑 地 無 量 壽 如 來 普 光 明 智 亦復如是 此 
X62n1192_001:0482a10	智照處。貪嗔煩惱當下氷消。邪魔外道自然降伏。所	智 照 處 貪 嗔 煩 惱 當 下 氷 消 邪 魔 外 道 自 然 降 伏 所 
X62n1192_001:0482a11	過所存盡化同體。圓融法界。佛佛互現。普光明智亘	過 所 存 盡 化 同 體 圓 融 法 界 佛 佛 互 現 普 光 明 智 亘 
X62n1192_001:0482a12	古亘今。常寂常照。無有邊際。無有窮盡。又如許多雨	古 亘 今 常 寂 常 照 無有邊際 無 有 窮 盡 又 如 許 多 雨 
X62n1192_001:0482a13	滴落於大海。皆為一味海水。一切眾生念佛之念亦	滴 落 於 大 海 皆 為 一 味 海 水 一 切 眾 生 念 佛 之 念 亦 
X62n1192_001:0482a14	復如是。百千萬念皆是真如法界普光明智。乃知此	復 如 是 百 千 萬 念 皆 是 真 如 法 界 普 光 明 智 乃 知 此 
X62n1192_001:0482a15	念佛法門最上頓宗。一超直入佛智勝行。豈不快哉。	念 佛 法 門 最 上 頓 宗 一 超 直 入 佛 智 勝 行 豈不快哉 
X62n1192_001:0482a16	現世以忠孝敬順為基本。慈憐惻隱為當行。時時念	現 世 以 忠 孝 敬 順 為 基 本 慈 憐 惻 隱 為 當 行 時 時 念 
X62n1192_001:0482a17	念。以彌陀普光明智照之。則無一事非真如。無一相	念 以 彌 陀 普 光 明 智 照 之 則 無 一 事 非 真 如 無 一 相 
X62n1192_001:0482a18	非佛智也。今有信士數十人。同願發心。結社念佛。將	非 佛 智 也 今 有 信 士 數 十 人 同 願 發 心 結 社 念 佛 將 
X62n1192_001:0482a19	幻空上人所輯清珠集。刊印流布。欲與法界含識。同	幻 空 上 人 所 輯 清 珠 集 刊 印 流 布 欲 與 法 界 含 識 同 
X62n1192_001:0482a20	圓種智。可謂淤泥蓮華。居塵出塵。甚為希有。若能淨	圓 種 智 可 謂 淤 泥 蓮 華 居 塵 出 塵 甚 為 希 有 若 能 淨 
X62n1192_001:0482a21	念相繼。一心不亂。思專想寂。能所兩忘。則究竟此念。	念 相 繼 一心不亂 思 專 想 寂 能 所 兩 忘 則 究 竟 此 念 
X62n1192_001:0482a22	直入於彌陀法性真如海。同遊於毗盧遮那華藏剎。	直 入 於 彌 陀 法 性 真 如 海 同 遊 於 毗 盧 遮 那 華 藏 剎 
X62n1192_001:0482a23	盡未來際。度脫眾生。無量無邊。是以隨喜。樂為之序。	盡未來際 度 脫 眾 生 無量無邊 是 以 隨 喜 樂 為 之 序 
X62n1192_001:0482a24	歲上章敦牂端陽日法幢山人虗舟堂德真和南	歲 上 章 敦 牂 端 陽 日 法 幢 山 人 虗 舟 堂 德 真 和 南 
X62n1192_001:0482b01	謹書	謹 書 
X62n1192_001:0482b04	 自序	 自 序 
X62n1192_001:0482b06	經曰。人於自衣。繫如意珠。不自覺知。窮露他方。忽有	經 曰 人 於 自 衣 繫 如 意 珠 不 自 覺 知 窮 露 他 方 忽 有 
X62n1192_001:0482b07	智者。指示其珠。所願從心。致大饒富。方悟神珠非從	智 者 指 示 其 珠 所 願 從 心 致 大 饒 富 方 悟 神 珠 非 從 
X62n1192_001:0482b08	外得也。乃知人人分上。各有一顆無價寶珠。玲瓏瑩	外 得 也 乃 知 人 人 分 上 各 有 一 顆 無 價 寶 珠 玲 瓏 瑩 
X62n1192_001:0482b09	澈。常放大光明。故古頌云。般若靈珠妙難測。法性海	澈 常 放大光明 故 古 頌 云 般 若 靈 珠 妙 難 測 法 性 海 
X62n1192_001:0482b10	中親認得。此珠非大亦非小。晝夜光明皆悉照。此之	中 親 認 得 此 珠 非 大 亦 非 小 晝 夜 光 明 皆 悉 照 此 之 
X62n1192_001:0482b11	謂也。至若龍女獻珠。受記莂也。罔象索珠。得無心也。	謂 也 至 若 龍 女 獻 珠 受 記 莂 也 罔 象 索 珠 得 無 心 也 
X62n1192_001:0482b12	魚目作珠。認賊為子也。買櫝還珠。迷妄失真也。又有	魚 目 作 珠 認 賊 為 子 也 買 櫝 還 珠 迷 妄 失 真 也 又 有 
X62n1192_001:0482b13	摩尼珠。帝網珠。髻明珠。在掌珠。種種之珠。無非發明	摩 尼 珠 帝 網 珠 髻 明 珠 在 掌 珠 種 種 之 珠 無 非 發 明 
X62n1192_001:0482b14	此心珠也。故永嘉解珠。丹霞翫珠。關南獲珠。韶山鍊	此 心 珠 也 故 永 嘉 解 珠 丹 霞 翫 珠 關 南 獲 珠 韶 山 鍊 
X62n1192_001:0482b15	珠。先德之汲汲於此珠者。良有以也。余方節錄諸家	珠 先 德 之 汲 汲 於 此 珠 者 良 有 以 也 余 方 節 錄 諸 家 
