T85n2780_001:0536c13	溫室經疏	溫 室 經 疏 
T85n2780_001:0536c15	溫室序	溫 室 序 
T85n2780_001:0536c16	夫溫室經者。斯乃積淨業之善基。蕩塵累之	夫 溫 室 經 者 斯 乃 積 淨 業 之 善 基 蕩 塵 累 之 
T85n2780_001:0536c17	津澤。跨天堂之梯橙越苦海之舟航。囊括因	津 澤 跨 天 堂 之 梯 橙 越 苦 海 之 舟 航 囊 括 因 
T85n2780_001:0536c18	果包舉福惠。理豐言約文遒旨婉。生一念淨	果 包 舉 福 惠 理 豐 言 約 文 遒 旨 婉 生 一 念 淨 
T85n2780_001:0536c19	信終隔四流。起一支善行則卒登十地。醫王	信 終 隔 四 流 起 一 支 善 行 則 卒 登 十 地 醫 王 
T85n2780_001:0536c20	由是創業。法將所以室通。庶得異世共觀津	由 是 創 業 法 將 所 以 室 通 庶 得 異 世 共 觀 津 
T85n2780_001:0536c21	流遠代。佛說溫室洗浴眾僧經者。夫以炬暗	流 遠 代 佛 說 溫 室 洗 浴 眾 僧 經 者 夫 以 炬 暗 
T85n2780_001:0536c22	生死之中。獨秀昏眠之外。既朗萬法。爰悟四	生 死 之 中 獨 秀 昏 眠 之 外 既 朗 萬 法 爰 悟 四 
T85n2780_001:0536c23	生。覺行圓滿。故稱為佛。暢四辯於舌端。流八	生 覺 行 圓 滿 故 稱 為 佛 暢 四 辯 於 舌 端 流 八 
T85n2780_001:0536c24	音聽□□□七階之勝福。發四道之良田。	音 聽 七 階 之 勝 福 發 四 道 之 良 田 
T85n2780_001:0536c25	班自我口通之彼心。故稱為□□□調神為	班 自 我 口 通 之 彼 心 故 稱 為 調 神 為 
T85n2780_001:0536c26	趣。室用蔽形為理。外蕩八塵稱為洗浴。內修	趣 室 用 蔽 形 為 理 外 蕩 八 塵 稱 為 洗 浴 內 修 
T85n2780_001:0536c27	名曰眾僧經。雖五義略二舉二條。一曰湧泉。	名 曰 眾 僧 經 雖 五 義 略 二 舉 二 條 一 曰 湧 泉 
T85n2780_001:0536c28	二稱繩墨。□□則注而無竭。此義可以目	二 稱 繩 墨 則 注 而 無 竭 此 義 可 以 目 
T85n2780_001:0536c29	常繩墨乃楷定正耶。茲理□□□其法故	常 繩 墨 乃 楷 定 正 耶 茲 理 其 法 故 
T85n2780_001:0537a01	曰佛說溫室洗浴眾僧經也。	曰 佛 說 溫 室 洗 浴 眾 僧 經 也 
T85n2780_001:0537a02	經曰阿難曰□□□□□如是一時佛在摩竭	經 曰 阿 難 曰 如 是 一 時 佛 在 摩 竭 
T85n2780_001:0537a03	提國因沙崛山中　通曰。三□二序□□□	提 國 因 沙 崛 山 中 通 曰 三 二 序 
T85n2780_001:0537a04	□□□文勢起盡。臨章別斷。此則證信序	 文 勢 起 盡 臨 章 別 斷 此 則 證 信 序 
T85n2780_001:0537a05	也。阿□□□□□□□□□□佛昆季。宿著	也 阿 佛 昆 季 宿 著 
T85n2780_001:0537a06	因緣。名標起願之初。生交□□□□□□□	因 緣 名 標 起 願 之 初 生 交 
T85n2780_001:0537a07	□□□目類。青蓮能令見者悅神。復使父王	 目 類 青 蓮 能 令 見 者 悅 神 復 使 父 王 
T85n2780_001:0537a08	□□□□□□□□□□阿難。吾從佛聞者。	 阿 難 吾 從 佛 聞 者 
T85n2780_001:0537a09	證聞親承曰我聞。傅受□□□□□□□□	證 聞 親 承 曰 我 聞 傅 受 
T85n2780_001:0537a10	□□□義決定有二。一□。二心。心決定為	 義 決 定 有 二 一 二 心 心 決 定 為 
T85n2780_001:0537a11	信體。□決□□□□□□□□□□初宗智	信 體 決 初 宗 智 
T85n2780_001:0537a12	為究竟之玄述初稱如是。表信□□□□□	為 究 竟 之 玄 述 初 稱 如 是 表 信 
T85n2780_001:0537a13	□□□□□□者化辰也。即法王啟運之日。	 者 化 辰 也 即 法 王 啟 運 之 日 
T85n2780_001:0537a14	大眾嘉之時□□□□□□□□□□□亦	大 眾 嘉 之 時 亦 
T85n2780_001:0537a15	以如上釋。摩竭提國因沙崛山中者。化□□	以 如 上 釋 摩 竭 提 國 因 沙 崛 山 中 者 化 
T85n2780_001:0537a16	□□□□□□之境。山是依止之處。住國	 之 境 山 是 依 止 之 處 住 國 
T85n2780_001:0537a17	為化。在俗之徒。住山為□□□□□□眾。摩	為 化 在 俗 之 徒 住 山 為 眾 摩 
T85n2780_001:0537a18	竭提。此云善勝國。因沙崛山。此云靈鷲山。	竭 提 此 云 善 勝 國 因 沙 崛 山 此 云 靈 鷲 山 
T85n2780_001:0537a19	□□。	 
T85n2780_001:0537a20	□□□舍城內有大長者奈女之子名曰祇域	 舍 城 內 有 大 長 者 奈 女 之 子 名 曰 祇 域 
T85n2780_001:0537a21	為大醫王。□□□□□　通曰。下發起序。自	為 大 醫 王 通 曰 下 發 起 序 自 
T85n2780_001:0537a22	有三節。一序祇域名。二敘祇域□□□□□	有 三 節 一 序 祇 域 名 二 敘 祇 域 
T85n2780_001:0537a23	事。敘名有五。一明處勝。二顯位尊。三明種	事 敘 名 有 五 一 明 處 勝 二 顯 位 尊 三 明 種 
T85n2780_001:0537a24	貴。四指□□□□□王舍城顯處勝也。有大	貴 四 指 王 舍 城 顯 處 勝 也 有 大 
T85n2780_001:0537a25	長者顯位尊也。祇域名高八國□□□人王	長 者 顯 位 尊 也 祇 域 名 高 八 國 人 王 
T85n2780_001:0537a26	於此立舍。法王於中成道。醫王生在其中處。	於 此 立 舍 法 王 於 中 成 道 醫 王 生 在 其 中 處 
T85n2780_001:0537a27	所以為勝也。有大長者顯位尊也祗域。名高	所 以 為 勝 也 有 大 長 者 顯 位 尊 也 祗 域 名 高 
T85n2780_001:0537a28	八國。道冠百王。恩洽幼童之下。德秀朋僚之	八 國 道 冠 百 王 恩 洽 幼 童 之 下 德 秀 朋 僚 之 
T85n2780_001:0537a29	上。既以長者為號。其位所以特尊也。奈女之	上 既 以 長 者 為 號 其 位 所 以 特 尊 也 奈 女 之 
T85n2780_001:0537b01	子明種貴也。奈女者從奈生也。此女稟質異	子 明 種 貴 也 奈 女 者 從 奈 生 也 此 女 稟 質 異 
T85n2780_001:0537b02	凡。降神亦聖託鮮花。而受氣坼妙。實以呈	凡 降 神 亦 聖 託 鮮 花 而 受 氣 坼 妙 實 以 呈 
