X87n1620_001:0179c02	先覺宗乘	先 覺 宗 乘 
X87n1620_001:0179c04	先覺宗乘目錄	先 覺 宗 乘 目 錄 
X87n1620_001:0179c06	卷一	卷 一 
X87n1620_001:0179c07	維摩大士雙林善慧大士傅翕	維 摩 大 士 雙 林 善 慧 大 士 傅 翕 
X87n1620_001:0179c08	龐蘊居士(嗣法馬祖一)	龐 蘊 居 士 嗣 法 馬 祖 一 
X87n1620_001:0179c09	卷二	卷 二 
X87n1620_001:0179c10	甘贄行者(嗣法南泉願)刺史陸亘(嗣法南泉願)	甘 贄 行 者 嗣 法 南 泉 願 刺 史 陸 亘 嗣 法 南 泉 願 
X87n1620_001:0179c11	相國裴休(嗣法黃檗運)常侍王敬初(嗣法溈山祐)	相 國 裴 休 嗣 法 黃 檗 運 常 侍 王 敬 初 嗣 法 溈 山 祐 
X87n1620_001:0179c12	尚書陳操(嗣法陳睦州)駙馬李遵勗(嗣法谷隱聰)	尚 書 陳 操 嗣 法 陳 睦 州 駙 馬 李 遵 勗 嗣 法 谷 隱 聰 
X87n1620_001:0179c13	文公楊億(嗣法廣慧璉)侍郎楊傑(嗣法天衣懷)	文 公 楊 億 嗣 法 廣 慧 璉 侍 郎 楊 傑 嗣 法 天 衣 懷 
X87n1620_001:0179c14	簽判劉經臣(嗣法智海逸)清獻公趙忭(嗣法蔣山泉)	簽 判 劉 經 臣 嗣 法 智 海 逸 清 獻 公 趙 忭 嗣 法 蔣 山 泉 
X87n1620_001:0179c15	丞相張商英(嗣法兜率悅)侍郎李彌遜(嗣法昭覺勤)	丞 相 張 商 英 嗣 法 兜 率 悅 侍 郎 李 彌 遜 嗣 法 昭 覺 勤 
X87n1620_001:0179c16	給事馮楫(嗣法龍門遠)侍郎張九成(嗣法徑山杲)	給 事 馮 楫 嗣 法 龍 門 遠 侍 郎 張 九 成 嗣 法 徑 山 杲 
X87n1620_001:0179c17	知府葛郯(嗣法佛海遠)放牛居士(嗣法無門開)	知 府 葛 郯 嗣 法 佛 海 遠 放 牛 居 士 嗣 法 無 門 開 
X87n1620_001:0179c18	卷三	卷 三 
X87n1620_001:0179c19	侍郎白居易(嗣法佛光滿)刺史李翱(嗣法藥山儼)	侍 郎 白 居 易 嗣 法 佛 光 滿 刺 史 李 翱 嗣 法 藥 山 儼 
X87n1620_001:0179c20	張拙秀才(嗣法石霜諸)相國陸希聲(謁仰山寂)	張 拙 秀 才 嗣 法 石 霜 諸 相 國 陸 希 聲 謁 仰 山 寂 
X87n1620_001:0179c21	太傅王延彬(嗣法長慶稜)真人呂巖(嗣法黃龍機)	太 傅 王 延 彬 嗣 法 長 慶 稜 真 人 呂 巖 嗣 法 黃 龍 機 
X87n1620_001:0179c22	丞相王隨(嗣法首山念)英公夏竦(嗣法谷隱聰)	丞 相 王 隨 嗣 法 首 山 念 英 公 夏 竦 嗣 法 谷 隱 聰 
X87n1620_001:0179c23	節使李端愿(嗣法金山頴)太傅高世則(嗣法芙蓉楷)	節 使 李 端 愿 嗣 法 金 山 頴 太 傅 高 世 則 嗣 法 芙 蓉 楷 
X87n1620_001:0179c24	太守許式(嗣法洞山聰)修撰曾會(嗣法雪竇顯)	太 守 許 式 嗣 法 洞 山 聰 修 撰 曾 會 嗣 法 雪 竇 顯 
X87n1620_001:0180a01	丞相富弼(嗣法投子顒)衛州王大夫(嗣法元豐滿)	丞 相 富 弼 嗣 法 投 子 顒 衛 州 王 大 夫 嗣 法 元 豐 滿 
X87n1620_001:0180a02	太史黃廷堅(嗣法黃龍心)觀文王韶(嗣法黃龍心)	太 史 黃 廷 堅 嗣 法 黃 龍 心 觀 文 王 韶 嗣 法 黃 龍 心 
X87n1620_001:0180a03	秘書吳恂(嗣法黃龍心)內翰蘇軾(嗣法東林總)	秘 書 吳 恂 嗣 法 黃 龍 心 內 翰 蘇 軾 嗣 法 東 林 總 
X87n1620_001:0180a04	參政蘇轍(嗣法上藍順)寺丞戴道純(嗣法黃龍清)	參 政 蘇 轍 嗣 法 上 藍 順 寺 丞 戴 道 純 嗣 法 黃 龍 清 
X87n1620_001:0180a05	文定胡安國(嗣法上封秀)左丞范冲(嗣法圓通旻)	文 定 胡 安 國 嗣 法 上 封 秀 左 丞 范 冲 嗣 法 圓 通 旻 
X87n1620_001:0180a06	諫議彭汝霖(嗣法圓通旻)左司都貺(嗣法圓通旻)	諫 議 彭 汝 霖 嗣 法 圓 通 旻 左 司 都 貺 嗣 法 圓 通 旻 
