T85n2840_001:1293a05	三界圖	三 界 圖 
T85n2840_001:1293a07	無色界&;	無 色 界 
T85n2840_001:1293a08	無明&;慢&;&;貪&;&;&;&;&;&;&;&;修&;	無 明 慢 貪 修 
T85n2840_001:1293a09	無明&;慢&;&;貪&;疑&;戒禁&;見取&;邪見&;&;&;&;道&;	無 明 慢 貪 疑 戒 禁 見 取 邪 見 道 
T85n2840_001:1293a10	無明&;慢&;&;貪&;疑&;&;見取&;邪見&;&;&;&;滅&;	無 明 慢 貪 疑 見 取 邪 見 滅 
T85n2840_001:1293a11	無明&;慢&;&;貪&;疑&;&;見取&;邪見&;&;&;&;集&;	無 明 慢 貪 疑 見 取 邪 見 集 
T85n2840_001:1293a12	無明&;慢&;&;貪&;疑&;戒禁&;見取&;邪見&;邊見&;身見&;&;苦&;	無 明 慢 貪 疑 戒 禁 見 取 邪 見 邊 見 身 見 苦 
T85n2840_001:1293a13	色界&;	色 界 
T85n2840_001:1293a14	無明&;慢&;&;貪&;&;&;&;&;&;&;&;修&;	無 明 慢 貪 修 
T85n2840_001:1293a15	無明&;慢&;&;貪&;疑&;戒禁&;見取&;邪見&;&;&;&;道&;	無 明 慢 貪 疑 戒 禁 見 取 邪 見 道 
T85n2840_001:1293a16	無明&;慢&;&;貪&;疑&;&;見取&;邪見&;&;&;&;滅&;	無 明 慢 貪 疑 見 取 邪 見 滅 
T85n2840_001:1293a17	無明&;慢&;&;貪&;疑&;&;見取&;邪見&;&;&;&;集&;	無 明 慢 貪 疑 見 取 邪 見 集 
T85n2840_001:1293a18	無明&;慢&;&;貪&;疑&;戒禁&;見取&;邪見&;邊見&;身見&;&;苦&;	無 明 慢 貪 疑 戒 禁 見 取 邪 見 邊 見 身 見 苦 
T85n2840_001:1293b01	欲界&;	欲 界 
T85n2840_001:1293b02	無明&;慢&;瞋&;貪&;&;&;&;&;&;&;&;修&;	無 明 慢 瞋 貪 修 
T85n2840_001:1293b03	無明&;慢&;瞋&;貪&;疑&;戒禁&;見取&;邪見&;&;&;&;道&;	無 明 慢 瞋 貪 疑 戒 禁 見 取 邪 見 道 
T85n2840_001:1293b04	無明&;慢&;瞋&;貪&;疑&;&;見取&;邪見&;&;&;&;滅&;	無 明 慢 瞋 貪 疑 見 取 邪 見 滅 
T85n2840_001:1293b05	無明&;慢&;瞋&;貪&;疑&;&;見取&;邪見&;&;&;&;集&;	無 明 慢 瞋 貪 疑 見 取 邪 見 集 
T85n2840_001:1293b06	無明&;慢&;瞋&;貪&;疑&;戒禁&;見取&;邪見&;邊見&;身見&;&;苦&;	無 明 慢 瞋 貪 疑 戒 禁 見 取 邪 見 邊 見 身 見 苦 
T85n2840_001:1293b08	欲界見斷煩惱三十二修斷煩惱有四。	欲 界 見 斷 煩 惱 三 十 二 修 斷 煩 惱 有 四 
T85n2840_001:1293b09	色界見斷二十八修斷有三。	色 界 見 斷 二 十 八 修 斷 有 三 
T85n2840_001:1293b10	無色界亦然。三界共計有九十八。	無 色 界 亦 然 三 界 共 計 有 九 十 八 
T85n2840_001:1293b11	謂彼四諦十六門差別違立名安諦。十六門	謂 彼 四 諦 十 六 門 差 別 違 立 名 安 諦 十 六 門 
T85n2840_001:1293b12	者。即四諦下各四行相。苦諦四者謂即非常	者 即 四 諦 下 各 四 行 相 苦 諦 四 者 謂 即 非 常 
T85n2840_001:1293b13	苦空無我。集諦四者因集生緣。滅諦四者滅	苦 空 無 我 集 諦 四 者 因 集 生 緣 滅 諦 四 者 滅 
T85n2840_001:1293b14	淨妙離。道諦四者道如行出。釋云。有生滅故	淨 妙 離 道 諦 四 者 道 如 行 出 釋 云 有 生 滅 故 
T85n2840_001:1293b15	非常。逼迫性故苦。違我所見故空。違我見故	非 常 逼 迫 性 故 苦 違 我 所 見 故 空 違 我 見 故 
T85n2840_001:1293b16	非我。能生法故因。有多種故集。恒資產故生。	非 我 能 生 法 故 因 有 多 種 故 集 恒 資 產 故 生 
T85n2840_001:1293b17	各別助故緣。諸蘊盡故滅。三相息故淨。無眾	各 別 助 故 緣 諸 蘊 盡 故 滅 三 相 息 故 淨 無 眾 
T85n2840_001:1293b18	患故妙。脫眾災故離。通行義故道。契正理故	患 故 妙 脫 眾 災 故 離 通 行 義 故 道 契 正 理 故 
T85n2840_001:1293b19	如。正趣向故行。能永超故出。	如 正 趣 向 故 行 能 永 超 故 出 
T85n2840_001:1293b20	苦諦有四智。一苦法忍。二苦法智。三苦類忍。	苦 諦 有 四 智 一 苦 法 忍 二 苦 法 智 三 苦 類 忍 
T85n2840_001:1293b21	四苦類智。對治身見等十種煩惱。餘三諦亦	四 苦 類 智 對 治 身 見 等 十 種 煩 惱 餘 三 諦 亦 
T85n2840_001:1293b22	然。集法忍集法智集類忍集類智。對治邪見	然 集 法 忍 集 法 智 集 類 忍 集 類 智 對 治 邪 見 
T85n2840_001:1293b23	等七使。滅法忍滅法智滅類忍滅類智。對治	等 七 使 滅 法 忍 滅 法 智 滅 類 忍 滅 類 智 對 治 
T85n2840_001:1293b24	滅諦煩惱。道法忍道法智道類忍道類智。對	滅 諦 煩 惱 道 法 忍 道 法 智 道 類 忍 道 類 智 對 
T85n2840_001:1293b25	治道諦煩惱。修斷者。於四諦上各各比忍比	治 道 諦 煩 惱 修 斷 者 於 四 諦 上 各 各 比 忍 比 
T85n2840_001:1293b26	智。對治欲界貪瞋慢無明四箇煩惱。	智 對 治 欲 界 貪 瞋 慢 無 明 四 箇 煩 惱 
