T30n1569_001:0167c11	百論序	百 論 序 
T30n1569_001:0167c13	釋僧肇作	釋 僧 肇 作 
T30n1569_001:0167c14	百論者。蓋是通聖心之津塗。開真諦之要	百 論 者 蓋 是 通 聖 心 之 津 塗 開 真 諦 之 要 
T30n1569_001:0167c15	論也。佛泥曰後八百餘年。有出家大士。厥	論 也 佛 泥 曰 後 八 百 餘 年 有 出 家 大 士 厥 
T30n1569_001:0167c16	名提婆。玄心獨悟俊氣高朗。道映當時。神	名 提 婆 玄 心 獨 悟 俊 氣 高 朗 道 映 當 時 神 
T30n1569_001:0167c17	超世表。故能闢三藏之重關。坦十二之幽	超 世 表 故 能 闢 三 藏 之 重 關 坦 十 二 之 幽 
T30n1569_001:0167c18	路。擅步迦夷。為法城塹。于時外道紛然。	路 擅 步 迦 夷 為 法 城 塹 于 時 外 道 紛 然 
T30n1569_001:0167c19	異端競起。邪辯逼真。殆亂正道。乃仰慨聖	異 端 競 起 邪 辯 逼 真 殆 亂 正 道 乃 仰 慨 聖 
T30n1569_001:0167c20	教之陵遲。俯悼群迷之縱惑。將遠拯沈淪。	教 之 陵 遲 俯 悼 群 迷 之 縱 惑 將 遠 拯 沈 淪 
T30n1569_001:0167c21	故作斯論。所以防正閑邪。大明於宗極者	故 作 斯 論 所 以 防 正 閑 邪 大 明 於 宗 極 者 
T30n1569_001:0167c22	矣。是以正化以之而隆。邪道以之而替。非	矣 是 以 正 化 以 之 而 隆 邪 道 以 之 而 替 非 
T30n1569_001:0167c23	夫領括眾妙。孰能若斯。論有百偈。故以百	夫 領 括 眾 妙 孰 能 若 斯 論 有 百 偈 故 以 百 
T30n1569_001:0167c24	為名。理致淵玄。統群籍之要。文旨婉約。窮	為 名 理 致 淵 玄 統 群 籍 之 要 文 旨 婉 約 窮 
T30n1569_001:0167c25	制作之美。然至趣幽簡。尠得其門。有婆藪	制 作 之 美 然 至 趣 幽 簡 尠 得 其 門 有 婆 藪 
T30n1569_001:0167c26	開士者。明慧內融。妙思奇拔。遠契玄蹤。為	開 士 者 明 慧 內 融 妙 思 奇 拔 遠 契 玄 蹤 為 
