X62n1197_001:0577c05	蓮宗必讀	蓮 宗 必 讀 
X62n1197_001:0577c07	蓮宗必讀總序	蓮 宗 必 讀 總 序 
X62n1197_001:0577c08	淨土法門者。乃諸佛究竟之法也。故彌陀因地。觀此	淨 土 法 門 者 乃 諸 佛 究 竟 之 法 也 故 彌 陀 因 地 觀 此 
X62n1197_001:0577c09	理而大誓普收。釋迦果成。稱此理而廣舌深讚。彼則	理 而 大 誓 普 收 釋 迦 果 成 稱 此 理 而 廣 舌 深 讚 彼 則 
X62n1197_001:0577c10	鉅賢至聖。咸舒藻以為盟。此則覺德鴻儒。盡擒毫而	鉅 賢 至 聖 咸 舒 藻 以 為 盟 此 則 覺 德 鴻 儒 盡 擒 毫 而 
X62n1197_001:0577c11	作誓。挺身立行。力修此道者。列宿塵沙。莫況其多也。	作 誓 挺 身 立 行 力 修 此 道 者 列 宿 塵 沙 莫 況 其 多 也 
X62n1197_001:0577c12	下至惡逆凡夫。十念便登寶土。飛禽畜類。隨稱亦達	下 至 惡 逆 凡 夫 十 念 便 登 寶 土 飛 禽 畜 類 隨 稱 亦 達 
X62n1197_001:0577c13	金池。此非彌陀願力。安能若是。經云。末法億億人修	金 池 此 非 彌 陀 願 力 安 能 若 是 經 云 末 法 億 億 人 修 
X62n1197_001:0577c14	行。罕一得道。唯依念佛得度。靈峰云。於念佛法門中。	行 罕 一 得 道 唯 依 念 佛 得 度 靈 峰 云 於 念 佛 法 門 中 
X62n1197_001:0577c15	求其至簡易至直捷者。莫若信願專持名號。是故淨	求 其 至 簡 易 至 直 捷 者 莫 若 信 願 專 持 名 號 是 故 淨 
X62n1197_001:0577c16	土三經並行。古人獨以彌陀經為日課。豈非持名一	土 三 經 並 行 古 人 獨 以 彌 陀 經 為 日 課 豈 非 持 名 一 
X62n1197_001:0577c17	法。普被三根。攝事理無遺。統宗教無外。尤不可思議	法 普 被 三 根 攝 事 理 無 遺 統 宗 教 無 外 尤 不可思議 
X62n1197_001:0577c18	也哉。其名號功德。自何而始。乃因六八大願之所莊	也 哉 其 名 號 功 德 自 何 而 始 乃 因 六 八 大 願 之 所 莊 
X62n1197_001:0577c19	嚴。九品悲心之所成就也。然彼佛願力。雖不可思議。	嚴 九 品 悲 心 之 所 成 就 也 然 彼 佛 願 力 雖 不可思議 
X62n1197_001:0577c20	若厭離不深。則娑婆業繫不脫。故藉五王八苦之緣。	若 厭 離 不 深 則 娑 婆 業 繫 不 脫 故 藉 五 王 八 苦 之 緣 
X62n1197_001:0577c21	以作進修之策。而進修儀軌甚多。唯慈雲行願。最為	以 作 進 修 之 策 而 進 修 儀 軌 甚 多 唯 慈 雲 行 願 最 為 
X62n1197_001:0577c22	切要。其上根之士。一聞便信。中下之輩。多諸疑惑。智	切 要 其 上 根 之 士 一 聞 便 信 中 下 之 輩 多 諸 疑 惑 智 
X62n1197_001:0577c23	者十疑論。統淨宗一切疑問。振菩提大道之綱。斷疑	者 十 疑 論 統 淨 宗 一 切 疑 問 振 菩 提 大 道 之 綱 斷 疑 
X62n1197_001:0577c24	生信。厥功最巨。善導云。修餘行業。迂僻難成。唯此法	生 信 厥 功 最 巨 善 導 云 修 餘 行 業 迂 僻 難 成 唯 此 法 
X62n1197_001:0578a01	門。速超生死。若專修者。十即十生。法照大師。感文殊	門 速 超 生 死 若 專 修 者 十 即 十 生 法 照 大 師 感 文 殊 
