T85n2750_001:0189b24	法華經疏	法 華 經 疏 
T85n2750_001:0189b26	華報。若復有人。於講法處坐。至轉輪王所	華 報 若 復 有 人 於 講 法 處 坐 至 轉 輪 王 所 
T85n2750_001:0189b27	坐之處。第三分坐人。亦是華報也。阿逸多。	坐 之 處 第 三 分 坐 人 亦 是 華 報 也 阿 逸 多 
T85n2750_001:0189b28	若復有人語餘人言。至信受教教誨。第四	若 復 有 人 語 餘 人 言 至 信 受 教 教 誨 第 四 
T85n2750_001:0189b29	勸人聽經。此人相勸之時。和顏悅色。鼓□脣	勸 人 聽 經 此 人 相 勸 之 時 和 顏 悅 色 鼓 脣 
T85n2750_001:0189c01	舌捫今德。諸根具足。悉皆嚴好也。何況一心	舌 捫 今 德 諸 根 具 足 悉 皆 嚴 好 也 何 況 一 心 
T85n2750_001:0189c02	以下。第五況出初依也。初九偈頌第一人。若	以 下 第 五 況 出 初 依 也 初 九 偈 頌 第 一 人 若 
T85n2750_001:0189c03	有勸一人五偈。先頌第四人。故詣僧房二偈。	有 勸 一 人 五 偈 先 頌 第 四 人 故 詣 僧 房 二 偈 
T85n2750_001:0189c04	頌第二人。若於講法處一偈。頌第三人。況復	頌 第 二 人 若 於 講 法 處 一 偈 頌 第 三 人 況 復 
T85n2750_001:0189c05	一心聽一偈。頌第五人也。	一 心 聽 一 偈 頌 第 五 人 也 
T85n2750_001:0189c06	法師功德品	法 師 功 德 品 
T85n2750_001:0189c07	此品所以而來。上雖明弟子。未明師之現報。	此 品 所 以 而 來 上 雖 明 弟 子 未 明 師 之 現 報 
T85n2750_001:0189c08	今明二依菩薩。未來流通大法。化功歸已。經	今 明 二 依 菩 薩 未 來 流 通 大 法 化 功 歸 已 經 
T85n2750_001:0189c09	力勳修。即得現報。六根清淨。所以來也。此品	力 勳 修 即 得 現 報 六 根 清 淨 所 以 來 也 此 品 
T85n2750_001:0189c10	大泮有二段。初總明六根。三根得八百。三根	大 泮 有 二 段 初 總 明 六 根 三 根 得 八 百 三 根 
T85n2750_001:0189c11	得千二百。耳根生識。能聞十方諸佛。所說經	得 千 二 百 耳 根 生 識 能 聞 十方諸佛 所 說 經 
T85n2750_001:0189c12	法。意地思惟分別。生其惠解。舌能說法度	法 意 地 思 惟 分 別 生 其 惠 解 舌 能 說 法 度 
T85n2750_001:0189c13	人。三根入道中勝。偏得千二百。三根發道緣	人 三 根 入 道 中 勝 偏 得 千 二 百 三 根 發 道 緣 
T85n2750_001:0189c14	弱。但得八百也。今解。依舊經。六根齊等。鼻	弱 但 得 八 百 也 今 解 依 舊 經 六 根 齊 等 鼻 
T85n2750_001:0189c15	舌身三根塵到。故知。三根遙囑者也。此當是	舌 身 三 根 塵 到 故 知 三 根 遙 囑 者 也 此 當 是 
T85n2750_001:0189c16	凡夫六根也。今道六根清淨者。此是性地菩	凡 夫 六 根 也 今 道 六 根 清 淨 者 此 是 性 地 菩 
T85n2750_001:0189c17	薩。受持此經。經力勳修。盡皆遙囑。故道遙囑	薩 受 持 此 經 經 力 勳 修 盡 皆 遙 囑 故 道 遙 囑 
T85n2750_001:0189c18	香也。受持得一百。乃至書寫。生五百善。教	香 也 受 持 得 一 百 乃 至 書 寫 生 五 百 善 教 
T85n2750_001:0189c19	人復生五百。是一千善。自性隨喜。教人隨喜。	人 復 生 五 百 是 一 千 善 自 性 隨 喜 教 人 隨 喜 
T85n2750_001:0189c20	復二百。是為千一百也。是善男子以下　別	復 二 百 是 為 千 一 百 也 是 善 男 子 以 下 別 
T85n2750_001:0189c21	明六根也。舌根道變者。食體資身。要侍破	明 六 根 也 舌 根 道 變 者 食 體 資 身 要 侍 破 
T85n2750_001:0189c22	質。得未成身最勝。故道變也。意根道解偈	質 得 未 成 身 最 勝 故 道 變 也 意 根 道 解 偈 
T85n2750_001:0189c23	句。非謂文也。初依人得理尠少。言偈句也。	句 非 謂 文 也 初 依 人 得 理 尠 少 言 偈 句 也 
T85n2750_001:0189c24	心之所行者。識陰也。心所動作者。起相受也。	心之所行 者 識 陰 也 心 所 動 作 者 起 相 受 也 
T85n2750_001:0189c25	心所戲論者。行陰也。雖未得無漏智惠者。未	心 所 戲 論 者 行 陰 也 雖 未 得 無 漏 智 惠 者 未 
T85n2750_001:0189c26	得初住無漏也。	得 初 住 無 漏 也 
T85n2750_001:0189c27	常不輕品	常 不 輕 品 
T85n2750_001:0189c28	此品所以來。上雖復玄談未來之事。現坐未	此 品 所 以 來 上 雖 復 玄 談 未 來 之 事 現 坐 未 
T85n2750_001:0189c29	有得者。猶故難信。勿若引成事來證。昔日	有 得 者 猶 故 難 信 勿 若 引 成 事 來 證 昔 日 
T85n2750_001:0190a01	威音王佛時。窮自受持。即得現報。六根清淨。	威 音 王 佛 時 窮 自 受 持 即 得 現 報 六 根 清 淨 
T85n2750_001:0190a02	此事以成證。未來若爾。必得不虛。所以來也。	此 事 以 成 證 未 來 若 爾 必 得 不 虛 所 以 來 也 
T85n2750_001:0190a03	就此品中。可有六段。第一從初。至有大勢力。	就 此 品 中 可 有 六 段 第 一 從 初 至 有大勢力 
T85n2750_001:0190a04	出不行行之處。獲大罪報者。有如法師品中。	出 不 行 行 之 處 獲 大 罪 報 者 有 如 法 師 品 中 
T85n2750_001:0190a05	毀罵持經。重於罵佛。所得功德。如法師功德	毀 罵 持 經 重 於 罵 佛 所得功德 如 法 師 功 德 
T85n2750_001:0190a06	品所說。何故道二萬威音。正欲取最初威音	品 所 說 何 故 道 二 萬 威 音 正 欲 取 最 初 威 音 
T85n2750_001:0190a07	王佛像正法中。不惜身命。修行法華。復有一	王 佛 像 正 法 中 不惜身命 修 行 法 華 復 有 一 
T85n2750_001:0190a08	意。若以一佛兩佛為證。何必可信。故須多	意 若 以 一 佛 兩 佛 為 證 何 必 可 信 故 須 多 
T85n2750_001:0190a09	佛為證。下皆出不輕行行也。第二爾時有一	佛 為 證 下 皆 出 不 輕 行 行 也 第 二 爾 時 有 一 
T85n2750_001:0190a10	菩薩。至名常不輕。四眾與作不輕名字。流通	菩 薩 至 名 常 不 輕 四 眾 與 作 不 輕 名 字 流 通 
T85n2750_001:0190a11	大乘。行行不同。但見四眾。有舉手擡頭暹	大 乘 行 行 不 同 但 見 四 眾 有 舉 手 擡 頭 暹 
T85n2750_001:0190a12	豪之善。皆是大乘。故言皆當作佛。不專讀誦。	豪 之 善 皆 是 大 乘 故 言 皆 當 作 佛 不 專 讀 誦 
T85n2750_001:0190a13	但行禮拜也。避走遠住者。不輕是初依菩薩。	但 行 禮 拜 也 避 走 遠 住 者 不 輕 是 初 依 菩 薩 
