X33n0629_001:0433a03	 製疏始末	 製 疏 始 末 
X33n0629_001:0433a05	噫　　弘經難矣。弘法華尤難。弘法華而但事演說	噫 弘 經 難 矣 弘 法 華 尤 難 弘 法 華 而 但 事 演 說 
X33n0629_001:0433a06	已難矣。若著疏尤更難。余身歷之。乃深信之。余族出	已 難 矣 若 著 疏 尤 更 難 余 身 歷 之 乃 深 信 之 余 族 出 
X33n0629_001:0433a07	冀屬。家新邑。姓趙氏。父母家寒。不能贍養。八歲捨而	冀 屬 家 新 邑 姓 趙 氏 父 母 家 寒 不 能 贍 養 八 歲 捨 而 
X33n0629_001:0433a08	出家。師近莊農。又不能教。乃就學於祖。始業儒典。二	出 家 師 近 莊 農 又 不 能 教 乃 就 學 於 祖 始 業 儒 典 二 
X33n0629_001:0433a09	載頗識字義。間習諷誦。惟朝夕功課而已。十一歲時。	載 頗 識 字 義 間 習 諷 誦 惟 朝 夕 功 課 而 已 十 一 歲 時 
X33n0629_001:0433a10	隨祖至檀越袁公家。眾僧誦法華經次。公戲謂余曰。	隨 祖 至 檀 越 袁 公 家 眾 僧 誦 法 華 經 次 公 戲 謂 余 曰 
X33n0629_001:0433a11	沙彌受我齋供。能為我誦經乎。余曰諾。因隨眾誦經	沙 彌 受 我 齋 供 能 為 我 誦 經 乎 余 曰 諾 因 隨 眾 誦 經 
X33n0629_001:0433a12	若宿習然。舉眾皆異。祖亦歡喜。乃摩頂而對眾曰。此	若 宿 習 然 舉 眾 皆 異 祖 亦 歡 喜 乃 摩 頂 而 對 眾 曰 此 
X33n0629_001:0433a13	子必從僧中來也。依歲於岫雲圓具。微攻律典。津津	子 必 從 僧 中 來 也 依 歲 於 岫 雲 圓 具 微 攻 律 典 津 津 
X33n0629_001:0433a14	然以聽教為念。初於善應聽彌陀。次於衍法聽楞嚴。	然 以 聽 教 為 念 初 於 善 應 聽 彌 陀 次 於 衍 法 聽 楞 嚴 
X33n0629_001:0433a15	皆茫無所了。後於雍正二年甲辰。覲香嵒。聽法華。每	皆 茫 無 所 了 後 於 雍 正 二 年 甲 辰 覲 香 嵒 聽 法 華 每 
X33n0629_001:0433a16	遇難理會處。輒有新悟。異彼舊說。質之不公。公深許	遇 難 理 會 處 輒 有 新 悟 異 彼 舊 說 質 之 不 公 公 深 許 
X33n0629_001:0433a17	之。於是遂有著經之念。閱明年。隱居妙峯山之石草	之 於 是 遂 有 著 經 之 念 閱 明 年 隱 居 妙 峯 山 之 石 草 
X33n0629_001:0433a18	精舍。援筆始註。至方便品初。雙歎智慧之文。疑情頓	精 舍 援 筆 始 註 至 方 便 品 初 雙 歎 智 慧 之 文 疑 情 頓 
X33n0629_001:0433a19	發。越十五日不能措一詞。白晝翻閱。丙夜思惟。竟至	發 越 十 五 日 不 能 措 一 詞 白 晝 翻 閱 丙 夜 思 惟 竟 至 
X33n0629_001:0433a20	視聽罔然。食不知味。時有人廣修在傍。輒笑之。以為	視 聽 罔 然 食 不 知 味 時 有 人 廣 修 在 傍 輒 笑 之 以 為 
X33n0629_001:0433a21	入魔境矣。一日讀經至如是相處。忽然有省。始信古	入 魔 境 矣 一 日 讀 經 至 如 是 相 處 忽 然 有 省 始 信 古 
X33n0629_001:0433a22	人所謂山河及大地。全露法王身者。不我欺也。自是	人 所 謂 山 河 及 大 地 全 露 法 王 身 者 不 我 欺 也 自 是 
X33n0629_001:0433a23	不但於是經渙然無疑。乃至徧觀諸經。亦皆渙然無	不 但 於 是 經 渙 然 無 疑 乃 至 徧 觀 諸 經 亦 皆 渙 然 無 
X33n0629_001:0433a24	疑矣。及欲續著。是非潛興。賓主失宜。所願不果。繼爾	疑 矣 及 欲 續 著 是 非 潛 興 賓 主 失 宜 所 願 不 果 繼 爾 
X33n0629_001:0433b01	由岫雲。至聖感。足未至閫而猜忌斯生。所賴知是法	由 岫 雲 至 聖 感 足 未 至 閫 而 猜 忌 斯 生 所 賴 知 是 法 
X33n0629_001:0433b02	障。志不少移。岫雲續前槀。聖感錄科判。終以力不勝	障 志 不 少 移 岫 雲 續 前 槀 聖 感 錄 科 判 終 以 力 不 勝 
X33n0629_001:0433b03	任。遁跡西禪。乞食自支。欲終厥志。無何逆緣方殄。順	任 遁 跡 西 禪 乞 食 自 支 欲 終 厥 志 無 何 逆 緣 方 殄 順 
X33n0629_001:0433b04	障旋興。蒙僧錄司舉授萬善殿教習。居二年。與諸沙	障 旋 興 蒙 僧 錄 司 舉 授 萬 善 殿 教 習 居 二 年 與 諸 沙 
X33n0629_001:0433b05	彌為伍。將課業教儀之不暇。尚何心於著述哉。庚戌	彌 為 伍 將 課 業 教 儀 之 不 暇 尚 何 心 於 著 述 哉 庚 戌 
X33n0629_001:0433b06	冬。辭萬善。住遺光。壁不障身。室難蔽日。日馳騁於土	冬 辭 萬 善 住 遺 光 壁 不 障 身 室 難 蔽 日 日 馳 騁 於 土 
X33n0629_001:0433b07	木。時夤緣於奔馳。間雖開講設期。不過勉應來學。而	木 時 夤 緣 於 奔 馳 間 雖 開 講 設 期 不 過 勉 應 來 學 而 
