X60n1129_001:0678a03	 歸戒序	 歸 戒 序 
X60n1129_001:0678a05	夫三寶者。性相常住。體周法界。接物應機。如日曜於	夫 三 寶 者 性相常住 體 周 法 界 接 物 應 機 如 日 曜 於 
X60n1129_001:0678a06	千江。為世舟航。非三畏之可比。故其始心入道。首則	千 江 為 世 舟 航 非 三 畏 之 可 比 故 其 始 心 入 道 首 則 
X60n1129_001:0678a07	歸依三寶。受不殺盜婬妄酒戒。似儒教仁義禮智信	歸 依 三 寶 受 不 殺 盜 婬 妄 酒 戒 似 儒 教 仁 義 禮 智 信 
X60n1129_001:0678a08	之五常。然五常慶在一生。五戒功歸多劫。故云五戒	之 五 常 然 五 常 慶 在 一 生 五 戒 功 歸 多 劫 故 云 五 戒 
X60n1129_001:0678a09	不持。人天路絕。如來三十二相。皆從持戒而得。苟不	不 持 人 天 路 絕 如 來 三十二相 皆 從 持 戒 而 得 苟 不 
X60n1129_001:0678a10	持戒。尚不得疥癩野干之身。況得功德之體。若能持	持 戒 尚 不 得 疥 癩 野 干 之 身 況 得 功 德 之 體 若 能 持 
X60n1129_001:0678a11	戒。現獲名稱。終超有頂。是故現見奉戒去殺。不狥仁	戒 現 獲 名 稱 終 超 有 頂 是 故 現 見 奉 戒 去 殺 不 狥 仁 
X60n1129_001:0678a12	而仁自著。持戒離盜。不崇義而義自敷。守戒除婬。不	而 仁 自 著 持 戒 離 盜 不 崇 義 而 義 自 敷 守 戒 除 婬 不 
X60n1129_001:0678a13	修禮而禮自立。遵戒息妄。不期信而信自成。受戒斷	修 禮 而 禮 自 立 遵 戒 息 妄 不 期 信 而 信 自 成 受 戒 斷 
X60n1129_001:0678a14	酒。不履智而智自明。夫斯之實。可謂振網持綱。萬目	酒 不 履 智 而 智 自 明 夫 斯 之 實 可 謂 振 網 持 綱 萬 目 
X60n1129_001:0678a15	開張。破無明殻。出長夜夢。復何功可以加之。何德可	開 張 破 無 明 殻 出 長 夜 夢 復 何 功 可 以 加 之 何 德 可 
X60n1129_001:0678a16	以配之。若不是修。昧於所欲。徒役慮于名形。勞心乎	以 配 之 若 不 是 修 昧 於 所 欲 徒 役 慮 于 名 形 勞 心 乎 
X60n1129_001:0678a17	百氏。倦形神於宵夜。虛耳目於良晨。何乖道之遠逝。	百 氏 倦 形 神 於 宵 夜 虛 耳 目 於 良 晨 何 乖 道 之 遠 逝 
