T02n0101_001:0493a04	雜阿含經	雜 阿 含 經 
T02n0101_001:0493a06	附吳魏二錄	附 吳 魏 二 錄 
T02n0101_001:0493a07	（一）聞如是：一時佛在拘薩國，多比丘俱行	 一 聞 如 是 一 時 佛 在 拘 薩 國 多 比 丘 俱 行 
T02n0101_001:0493a08	往竹中，一竹中止，行止陬中柏樹間。在時，	往 竹 中 一 竹 中 止 行 止 陬 中 柏 樹 間 在 時 
T02n0101_001:0493a09	佃家婆羅門，姓為蒲盧，一竹外多犁者共會	佃 家 婆 羅 門 姓 為 蒲 盧 一 竹 外 多 犁 者 共 會 
T02n0101_001:0493a10	飯，能五百犁。是時佛念日尚早，今居前一	飯 能 五 百 犁 是 時 佛 念 日 尚 早 今 居 前 一 
T02n0101_001:0493a11	竹中，行到佃家。多犁者飯時會，佛便至佃家	竹 中 行 到 佃 家 多 犁 者 飯 時 會 佛 便 至 佃 家 
T02n0101_001:0493a12	飯會處。佃家見佛從來，已見為說如是：「我為	飯 會 處 佃 家 見 佛 從 來 已 見 為 說 如 是 我 為 
T02n0101_001:0493a13	自犁自種，已自犁自種為食；卿具譚行者，	自 犁 自 種 已 自 犁 自 種 為 食 卿 具 譚 行 者 
T02n0101_001:0493a14	可犁可種，已犁已種當食。」佛報佃家說如是：	可 犁 可 種 已 犁 已 種 當 食 佛 報 佃 家 說 如 是 
T02n0101_001:0493a15	「我亦犁亦種，已犁已種食。」佃家報佛如是：「雖	 我 亦 犁 亦 種 已 犁 已 種 食 佃 家 報 佛 如 是 雖 
T02n0101_001:0493a16	佛說如是，我為犁為種，已犁已種食。我不見	佛 說 如 是 我 為 犁 為 種 已 犁 已 種 食 我 不 見 
T02n0101_001:0493a17	卿種具，若牛、若槅、若轅、若扠鄧，但言佃家	卿 種 具 若 牛 若 槅 若 轅 若 扠 鄧 但 言 佃 家 
T02n0101_001:0493a18	種，從後說絕。我不見種具，說種具令我知種。」	種 從 後 說 絕 我 不 見 種 具 說 種 具 令 我 知 種 
T02n0101_001:0493a19	佛報：「信為種，行為水，慧為牛，慚為犁，心	佛 報 信 為 種 行 為 水 慧 為 牛 慚 為 犁 心 
T02n0101_001:0493a20	為鄧，意為金，身守口守食為壟，至誠治不	為 鄧 意 為 金 身 守 口 守 食 為 壟 至 誠 治 不 
T02n0101_001:0493a21	止為竟，精進不舍槅，行行為安隱，行不復還	止 為 竟 精 進 不 舍 槅 行 行 為 安 隱 行 不 復 還 
T02n0101_001:0493a22	已，行無有憂。如是已種，從是致甘露；如是種，	已 行 無 有 憂 如 是 已 種 從 是 致 甘 露 如 是 種 
T02n0101_001:0493a23	一切從苦得脫。」便佃家滿器飯至佛上：「真佛	一 切 從 苦 得 脫 便 佃 家 滿 器 飯 至 佛 上 真 佛 
T02n0101_001:0493a24	能佃，實佛大佃，願取我飯，哀故。」佛報說如是：	能 佃 實 佛 大 佃 願 取 我 飯 哀 故 佛 報 說 如 是 
T02n0101_001:0493a25	「已說經故不可食，行者自知是法已問。佛說	 已 說 經 故 不 可 食 行 者 自 知 是 法 已 問 佛 說 
T02n0101_001:0493a26	經常法如是，增法不必從是望道，但結盡疑	經 常 法 如 是 增 法 不 必 從 是 望 道 但 結 盡 疑 
T02n0101_001:0493a27	索意止。是飯食飲供養祠，如是地入與中大	索 意 止 是 飯 食 飲 供 養 祠 如 是 地 入 與 中 大 
T02n0101_001:0493a28	福。」婆羅門復白佛：「我今為是食與誰？」佛報	福 婆 羅 門 復 白 佛 我 今 為 是 食 與 誰 佛 報 
T02n0101_001:0493a29	如是：「無有世間若天、若魔、若梵、若沙門，一切	如 是 無 有 世 間 若 天 若 魔 若 梵 若 沙 門 一 切 
T02n0101_001:0493b01	令是飯食不能得消，但佛亦得道者，持是飯	令 是 飯 食 不 能 得 消 但 佛 亦 得 道 者 持 是 飯 
T02n0101_001:0493b02	行，至無有虫水便投中，若空地無有草掘埋。」	行 至 無 有 虫 水 便 投 中 若 空 地 無 有 草 掘 埋 
T02n0101_001:0493b03	婆羅門已受佛言便行，無有虫水投中，已投	婆 羅 門 已 受 佛 言 便 行 無 有 虫 水 投 中 已 投 
T02n0101_001:0493b04	中烟出燃沸大沸作聲，譬喻如揣鐵赤葉鐵	中 烟 出 燃 沸 大 沸 作 聲 譬 喻 如 揣 鐵 赤 葉 鐵 
T02n0101_001:0493b05	一日在火燒，便投水便熱出滊出沸大沸	一 日 在 火 燒 便 投 水 便 熱 出 滊 出 沸 大 沸 
T02n0101_001:0493b06	有聲。如是已婆羅門持飯著水中，便烟出然	有 聲 如 是 已 婆 羅 門 持 飯 著 水 中 便 烟 出 然 
T02n0101_001:0493b07	沸大沸作聲。婆羅門驚怖毛起，便持頭面著	沸 大 沸 作 聲 婆 羅 門 驚 怖 毛 起 便 持 頭 面 著 
T02n0101_001:0493b08	佛足作禮言：「我可從佛得作沙門，離惡受教	佛 足 作 禮 言 我 可 從 佛 得 作 沙 門 離 惡 受 教 
T02n0101_001:0493b09	誡，從佛受行。」佛言：「可淨行道已從是。」婆羅	誡 從 佛 受 行 佛 言 可 淨 行 道 已 從 是 婆 羅 
T02n0101_001:0493b10	門從佛受教誡，竟佛法到得不著道。佛說	門 從 佛 受 教 誡 竟 佛 法 到 得 不 著 道 佛 說 
T02n0101_001:0493b11	如是。	如 是 
T02n0101_001:0493b12	（二）聞如是：一時佛在舍衛國祇樹給孤獨	 二 聞 如 是 一 時 佛 在 舍 衛 國 祇 樹 給 孤 獨 
T02n0101_001:0493b13	園。是時生聞婆羅門到佛。已到為問佛起居，	園 是 時 生 聞 婆 羅 門 到 佛 已 到 為 問 佛 起 居 
T02n0101_001:0493b14	一處坐。已一處坐，生聞為佛說如是：「聞佛	一 處 坐 已 一 處 坐 生 聞 為 佛 說 如 是 聞 佛 
T02n0101_001:0493b15	說：『是但應與我布施，不可與奇布施，與我布	說 是 但 應 與 我 布 施 不 可 與 奇 布 施 與 我 布 
T02n0101_001:0493b16	施大福，與奇布施不大福。但與我弟子布施，	施 大 福 與 奇 布 施 不 大 福 但 與 我 弟 子 布 施 
T02n0101_001:0493b17	莫與奇弟子布施，與我弟子布施大福，與	莫 與 奇 弟 子 布 施 與 我 弟 子 布 施 大 福 與 
T02n0101_001:0493b18	奇弟子布施不大福。』若如是說者，為如是為	奇 弟 子 布 施 不 大 福 若 如 是 說 者 為 如 是 為 
T02n0101_001:0493b19	與我布施，與我弟子布施為大福？設如是說	與 我 布 施 與 我 弟 子 布 施 為 大 福 設 如 是 說 
T02n0101_001:0493b20	者，為不罵佛不論議，為是佛言？不如說不？為	者 為 不 罵 佛 不 論 議 為 是 佛 言 不 如 說 不 為 
T02n0101_001:0493b21	法說不？不犯法不？為無有得長短不？」佛告	法 說 不 不 犯 法 不 為 無 有 得 長 短 不 佛 告 
