T47n1966_001:0120a03	念佛鏡序	念 佛 鏡 序 
T47n1966_001:0120a05	無為子楊傑述	無 為 子 楊 傑 述 
T47n1966_001:0120a06	愛不重，不生娑婆；念不一，不生極樂。娑婆穢	愛 不 重 不 生 娑 婆 念 不 一 不 生 極 樂 娑 婆 穢 
T47n1966_001:0120a07	土也，極樂淨土也；娑婆之壽則有量，彼土之	土 也 極樂淨土 也 娑 婆 之 壽 則 有 量 彼 土 之 
T47n1966_001:0120a08	壽則無量矣；娑婆備諸苦，彼土則安養無苦	壽 則 無 量 矣 娑 婆 備 諸 苦 彼 土 則 安 養 無 苦 
T47n1966_001:0120a09	矣；娑婆隨業轉輪生死，彼土一往則永證無	矣 娑 婆 隨 業 轉 輪 生 死 彼 土 一 往 則 永 證 無 
T47n1966_001:0120a10	生法忍，若願度生，則任意自在，不為諸業	生 法 忍 若 願 度 生 則 任 意 自 在 不 為 諸 業 
T47n1966_001:0120a11	轉矣。其淨穢、壽量、苦樂、生死如是差別，而眾	轉 矣 其 淨 穢 壽 量 苦 樂 生 死 如 是 差 別 而 眾 
T47n1966_001:0120a12	生冥然不知，可不哀哉！	生 冥 然 不 知 可 不 哀 哉 
T47n1966_001:0120a13	阿彌陀佛，淨土攝受之主也；	阿 彌 陀 佛 淨 土 攝 受 之 主 也 
T47n1966_001:0120a14	釋迦如來，指導淨土之師也。觀音、勢至，助佛	釋 迦 如 來 指 導 淨 土 之 師 也 觀 音 勢 至 助 佛 
T47n1966_001:0120a15	揚化者也。是以如來一代教典，處處丁寧勸	揚 化 者 也 是 以 如 來 一 代 教 典 處 處 丁 寧 勸 
T47n1966_001:0120a16	往生也。阿彌陀佛與觀音、勢至，乘大願船	往 生 也 阿 彌 陀 佛 與 觀 音 勢 至 乘 大 願 船 
T47n1966_001:0120a17	泛生死海，不著此岸、不留彼岸、不止中流，唯	泛 生 死 海 不 著 此 岸 不 留 彼 岸 不 止 中 流 唯 
T47n1966_001:0120a18	以濟度為佛事。是故《阿彌陀經》云：「若有善男	以 濟 度 為 佛 事 是 故 阿 彌 陀 經 云 若 有 善 男 
T47n1966_001:0120a19	子、善女人，聞說阿彌陀佛，執持名號，若一日	子 善 女 人 聞 說 阿 彌 陀 佛 執 持 名 號 若 一 日 
T47n1966_001:0120a20	乃至七日，一心不亂。其人臨命終時，阿彌陀	乃至七日 一心不亂 其 人 臨命終時 阿 彌 陀 
T47n1966_001:0120a21	佛與諸聖眾現在其前，是人終時心不顛倒，	佛 與 諸 聖 眾 現 在 其 前 是 人 終 時 心 不 顛 倒 
T47n1966_001:0120a22	即得往生極樂國土。」又經云：「十方眾生聞我	即 得 往 生 極樂國土 又 經 云 十 方 眾 生 聞 我 
T47n1966_001:0120a23	名號，憶念我國，植諸德本，至心迴向，欲生	名 號 憶 念 我 國 植 諸 德 本 至 心 迴 向 欲 生 
T47n1966_001:0120a24	我國，不果遂者，不取正覺。」所以祇洹精舍無	我 國 不 果 遂 者 不取正覺 所 以 祇 洹 精 舍 無 
