X58n1018_001:0580c07	評金錍	評 金 錍 
X58n1018_001:0580c09	嘉禾語溪常樂教寺住持傳教苾蒭善喜因觀金	嘉 禾 語 溪 常 樂 教 寺 住 持 傳 教 苾 蒭 善 喜 因 觀 金 
X58n1018_001:0580c10	錍說無情佛性義始曰不覺寱云(牛世反)無情有性	錍 說 無 情 佛 性 義 始 曰 不 覺 寱 云 牛 世 反 無 情 有 性 
X58n1018_001:0580c11	終曰忽然夢覺所問所答都無所得前代諸師乃	終 曰 忽 然 夢 覺 所 問 所 答 都 無 所 得 前 代 諸 師 乃 
X58n1018_001:0580c12	見始終寐語故不辨也近代有作顯性錄或為注	見 始 終 寐 語 故 不 辨 也 近 代 有 作 顯 性 錄 或 為 注 
X58n1018_001:0580c13	解孟軻曰子誠齊人也知管仲晏子而已矣。	解 孟 軻 曰 子 誠 齊 人 也 知 管 仲 晏 子 而 已 矣 
X58n1018_001:0580c14	金錍云僕野客也容儀麤獷進退不恒逼前平立又	金 錍 云 僕 野 客 也 容 儀 麤 獷 進 退 不 恒 逼 前 平 立 又 
X58n1018_001:0580c15	云於是野客恭退昃跪。	云 於 是 野 客 恭 退 昃 跪 
X58n1018_001:0580c16	評曰出此言是聖耶是凡耶聖必忘情情者凡夫	評 曰 出 此 言 是 聖 耶 是 凡 耶 聖 必 忘 情 情 者 凡 夫 
X58n1018_001:0580c17	也設有破斥當存禮樂義或可取人自服膺豈以	也 設 有 破 斥 當 存 禮 樂 義 或 可 取 人 自 服 膺 豈 以 
X58n1018_001:0580c18	是非情厚勝負氣高自是非彼美己惡人如賢首	是 非 情 厚 勝 負 氣 高 自 是 非 彼 美 己 惡 人 如 賢 首 
X58n1018_001:0580c19	敘十家立教云並是當時法將英悟絕倫歷代明	敘 十 家 立 教 云 並 是 當 時 法 將 英 悟 絕 倫 歷 代 明 
X58n1018_001:0580c20	模階位叵測祇如思禪師及智者禪師神異感通	模 階 位 叵 測 祇 如 思 禪 師 及 智 者 禪 師 神 異 感 通 
X58n1018_001:0580c21	迹參登位靈山聽法憶在於今清涼引韋虗舟傳	迹 參 登 位 靈 山 聽 法 憶 在 於 今 清 涼 引 韋 虗 舟 傳 
X58n1018_001:0580c22	云自佛教東流秘密斯闡思大禪師之所證智者	云 自 佛 教 東 流 秘 密 斯 闡 思 大 禪 師 之 所 證 智 者 
X58n1018_001:0580c23	大師之所弘故思大師一見便云昔日靈山同聽	大 師 之 所 弘 故 思 大 師 一 見 便 云 昔 日 靈 山 同 聽 
X58n1018_001:0580c24	法華宿緣所追今復來矣故知作者之難寧容一	法 華 宿 緣 所 追 今 復 來 矣 故 知 作 者 之 難 寧 容 一 
X58n1018_001:0581a01	家之見斥他宗為非余雖不敏當為剖陳略伸一	家 之 見 斥 他 宗 為 非 余 雖 不 敏 當 為 剖 陳 略 伸 一 
X58n1018_001:0581a02	兩令其自悟耳。	兩 令 其 自 悟 耳 
X58n1018_001:0581a03	金錍云客曰僕忝尋釋教薄究根源盛演斯宗豈過	金 錍 云 客 曰 僕 忝 尋 釋 教 薄 究 根 源 盛 演 斯 宗 豈 過 
X58n1018_001:0581a04	雙林最後極唱究竟之談而云佛性非謂無情仁何	雙 林 最 後 極 唱 究 竟 之 談 而 云 佛 性 非 謂 無 情 仁 何 
X58n1018_001:0581a05	獨言無情有性耶答以子不閑佛性進否教部權實	獨 言 無 情 有 性 耶 答 以 子 不 閑 佛 性 進 否 教 部 權 實 
X58n1018_001:0581a06	故使同於常人疑之今且為子委引經文使後代好	故 使 同 於 常 人 疑 之 今 且 為 子 委 引 經 文 使 後 代 好 
X58n1018_001:0581a07	引此文證佛性非無情者善得經旨故三十一迦葉	引 此 文 證 佛 性 非 無 情 者 善 得 經 旨 故 三 十 一 迦 葉 
X58n1018_001:0581a08	品眾生佛性猶如虗空非內非外若內外者云何得	品 眾 生 佛 性 猶 如 虗 空 非 內 非 外 若 內 外 者 云 何 得 
X58n1018_001:0581a09	名一切處有請觀有之一字虗空何所不收又云非	名 一 切 處 有 請 觀 有 之 一 字 虗 空 何 所 不 收 又 云 非 
X58n1018_001:0581a10	佛性者謂墻壁瓦石故知經文寄方便教說下文又	佛 性 者 謂 墻 壁 瓦 石 故 知 經 文 寄 方 便 教 說 下 文 又 
X58n1018_001:0581a11	云如迦葉所引三皆有者此乃涅槃帶權門說故佛	云 如 迦 葉 所 引 三 皆 有 者 此 乃 涅 槃 帶 權 門 說 故 佛 
X58n1018_001:0581a12	順迦葉三皆是有。	順 迦 葉 三 皆 是 有 
X58n1018_001:0581a13	評曰涅槃經云佛性者名第一義空第一義空名	評 曰 涅 槃 經 云 佛 性 者 名 第一義空 第一義空 名 
X58n1018_001:0581a14	為智慧此二不二以為佛性然第一義空是佛性	為 智 慧 此 二 不 二 以 為 佛 性 然 第一義空 是 佛 性 
X58n1018_001:0581a15	性名為智慧即佛性相第一義空不在智慧但名	性 名 為 智 慧 即 佛 性 相 第一義空 不 在 智 慧 但 名 
X58n1018_001:0581a16	法性由在智慧故名佛性若以性從相則唯眾生	法 性 由 在 智 慧 故 名 佛 性 若 以 性 從 相 則 唯 眾 生 
X58n1018_001:0581a17	得有佛性有智慧故墻壁瓦礫無有智慧故無佛	得 有 佛 性 有 智 慧 故 墻 壁 瓦 礫 無 有 智 慧 故 無 佛 
X58n1018_001:0581a18	性若以相從性第一義空無所不在則墻壁等皆	性 若 以 相 從 性 第一義空 無 所 不 在 則 墻 壁 等 皆 
X58n1018_001:0581a19	第一義空云何非性故華嚴經云知一切法即心	第一義空 云 何 非 性 故 華 嚴 經 云 知一切法 即 心 
X58n1018_001:0581a20	自性起信論云以色性即智性故色體無形說名	自 性 起 信 論 云 以 色 性 即 智 性 故 色 體 無 形 說 名 
X58n1018_001:0581a21	智身以智性即色性故說名法身遍一切處明體	智 身 以 智 性 即 色 性 故 說 名 法 身 遍 一 切 處 明 體 
X58n1018_001:0581a22	本均也今分性相故分二義如何却云教部權實	本 均 也 今 分 性 相 故 分 二 義 如 何 却 云 教 部 權 實 
X58n1018_001:0581a23	耶然種性有無邪正大小權實差別不等如外道	耶 然 種 性 有 無 邪 正 大 小 權 實 差 別 不 等 如 外 道 
X58n1018_001:0581a24	計自然為因能生萬物即是邪因若謂萬物自然	計 自 然 為 因 能 生 萬 物 即 是 邪 因 若 謂 萬 物 自 然 
X58n1018_001:0581b01	而生如鶴之白烏之黑即是無因無因邪因乃成	而 生 如 鶴 之 白 烏 之 黑 即 是 無 因 無 因 邪 因 乃 成 
X58n1018_001:0581b02	大過若小乘種性有六種第六不動中有三品上	大 過 若 小 乘 種 性 有 六 種 第 六 不 動 中 有 三 品 上 
X58n1018_001:0581b03	者佛種性中者獨覺性下者聲聞性雖於此中說	者 佛 種 性 中 者 獨 覺 性 下 者 聲 聞 性 雖 於 此 中 說 
X58n1018_001:0581b04	佛一人有佛種性然非彼大菩提性以於佛功德	佛 一 人 有 佛 種 性 然 非 彼 大 菩 提 性 以 於 佛 功 德 
X58n1018_001:0581b05	不說盡未來際起大用等當知於小乘中除佛一	不 說 盡未來際 起 大 用 等 當 知 於 小 乘 中 除 佛 一 
X58n1018_001:0581b06	人餘一切眾生皆不說有大菩提性如小乘論說	人 餘 一 切 眾 生 皆 不 說 有 大 菩 提 性 如 小 乘 論 說 
X58n1018_001:0581b07	若大乘初教於有為無常法中立種性故即不能	若 大 乘 初 教 於 有 為 無 常 法 中 立 種 性 故 即 不 能 
X58n1018_001:0581b08	遍一切有情五種性中故有一分無性種眾生顯	遍 一切有情 五 種 性 中 故 有 一 分 無 性 種 眾 生 顯 
X58n1018_001:0581b09	揚論云云何種性差別五種道理謂一切界差別	揚 論 云 云 何 種 性 差 別 五 種 道 理 謂 一 切 界 差 別 
X58n1018_001:0581b10	可得故當知一切有情有五種性第五種性無有	可 得 故 當 知 一切有情 有 五 種 性 第 五 種 性 無 有 
X58n1018_001:0581b11	出世功德因故永不滅度由三善根即立三乘種	出 世 功 德 因 故 永 不 滅 度 由 三 善 根 即 立 三 乘 種 
X58n1018_001:0581b12	性若於三行隨一修行未至本位立為不定種性	性 若 於 三 行 隨 一 修 行 未 至 本 位 立 為 不定種性 
X58n1018_001:0581b13	若於三行全未修行立為無性如涅槃經云三種	若 於 三 行 全 未 修 行 立 為 無 性 如 涅 槃 經 云 三 種 
X58n1018_001:0581b14	人中畢竟死者喻一闡提無佛性也若大乘實教	人 中 畢 竟 死 者 喻 一 闡 提 無 佛 性 也 若 大 乘 實 教 
X58n1018_001:0581b15	即就真如性中立種性故則遍一切眾生皆悉有	即 就 真 如 性 中 立 種 性 故 則 遍 一 切 眾 生 皆 悉 有 
X58n1018_001:0581b16	性故智論云白石有銀性黃石有金性水有濕性	性 故 智 論 云 白 石 有 銀 性 黃 石 有 金 性 水 有 濕 性 
X58n1018_001:0581b17	火有熱性一切眾生有涅槃性如經說言眾生亦	火 有 熱 性 一 切 眾 生 有 涅 槃 性 如 經 說 言 眾 生 亦 
X58n1018_001:0581b18	爾悉皆有心凡有心者定當得成阿耨菩提皆是	爾 悉 皆 有 心 凡 有 心 者 定 當 得 成 阿耨菩提 皆 是 
X58n1018_001:0581b19	此義聞引智論云在眾生數中名為佛性非眾生	此 義 聞 引 智 論 云 在 眾 生 數 中 名 為 佛 性 非 眾 生 
X58n1018_001:0581b20	數中名為法性彼云親曾委讀細撿論文都無此	數 中 名 為 法 性 彼 云 親 曾 委 讀 細 撿 論 文 都 無 此 
X58n1018_001:0581b21	說是親曾讀論文乎況自制妙樂云文義四句一	說 是 親 曾 讀 論 文 乎 況 自 制 妙 樂 云 文 義 四 句 一 
X58n1018_001:0581b22	有文有義常人用之二無文有義智者用之等妙	有 文 有 義 常 人 用 之 二 無 文 有 義 智 者 用 之 等 妙 
X58n1018_001:0581b23	樂若是金錍必非也金錍若是妙樂必非也古人	樂 若 是 金 錍 必 非 也 金 錍 若 是 妙 樂 必 非 也 古 人 
X58n1018_001:0581b24	云我買汝矛還刺汝盾入與不入即無詞矣若一	云 我 買 汝 矛 還 刺 汝 盾 入 與 不 入 即 無 詞 矣 若 一 
X58n1018_001:0581c01	乘教種性甚深因果無二通依及正盡三世間該	乘 教 種 性 甚 深 因 果 無 二 通 依 及 正 盡 三 世 間 該 
X58n1018_001:0581c02	通一切理事解行等諸法門本來滿足已成就訖	通 一 切 理 事 解 行 等 諸 法 門 本 來 滿 足 已 成 就 訖 
X58n1018_001:0581c03	華嚴經云菩薩種性甚深廣大與法界虗空等此	華 嚴 經 云 菩薩種性 甚 深 廣 大 與 法 界 虗 空 等 此 
X58n1018_001:0581c04	之謂也況華嚴性海雲臺寶網同演妙音毛孔光	之 謂 也 況 華 嚴 性 海 雲 臺 寶 網 同 演 妙 音 毛 孔 光 
X58n1018_001:0581c05	明皆能說法華香雲樹即法界之法門剎土眾生	明 皆 能 說 法 華 香 雲 樹 即 法 界 之 法 門 剎 土 眾 生 
X58n1018_001:0581c06	本十身之正體于何非性故大經云剎說眾生說	本 十 身 之 正 體 于 何 非 性 故 大 經 云 剎 說 眾 生 說 
X58n1018_001:0581c07	三世一切說又云一切世間諸境界皆悉能令轉	三 世 一 切 說 又 云 一切世間 諸 境 界 皆 悉 能 令 轉 
X58n1018_001:0581c08	法輪等其文非一也問既然如是云何在有情數	法 輪 等 其 文 非 一 也 問 既 然 如 是 云 何 在 有 情 數 
X58n1018_001:0581c09	中名為佛性在非情數中名為法性各唯識云雖	中 名 為 佛 性 在 非 情 數 中 名 為 法 性 各 唯 識 云 雖 
X58n1018_001:0581c10	此身土體無差別而屬佛屬法性相異故謂法性	此 身 土 體 無 差 別 而 屬 佛 屬 法 性 相 異 故 謂 法 性 
X58n1018_001:0581c11	屬佛為法性身法性屬法為法性土性隨相異故	屬 佛 為 法 性 身 法 性 屬 法 為 法 性 土 性 隨 相 異 故 
X58n1018_001:0581c12	云爾也彼謂大部說無情無性此乃帶權門說者	云 爾 也 彼 謂 大 部 說 無 情 無 性 此 乃 帶 權 門 說 者 
X58n1018_001:0581c13	此言非也設或更過涅槃最後極唱亦只此說以	此 言 非 也 設 或 更 過 涅 槃 最 後 極 唱 亦 只 此 說 以 
X58n1018_001:0581c14	性隨相異故說有無相逐性生一切皆有涅槃帶	性 隨 相 異 故 說 有 無 相 逐 性 生 一 切 皆 有 涅 槃 帶 
X58n1018_001:0581c15	權門說者深非經意。	權 門 說 者 深 非 經 意 
X58n1018_001:0581c16	金錍云云何乃以智斷果上緣了佛性以難正因如	金 錍 云 云 何 乃 以 智 斷 果 上 緣 了 佛 性 以 難 正 因 如 
X58n1018_001:0581c17	來是智果涅槃是斷果故智斷果上有緣了性所以	來 是 智 果 涅 槃 是 斷 果 故 智 斷 果 上 有 緣 了 性 所 以 
X58n1018_001:0581c18	迦葉難云如來佛性涅槃是有世人多引涅槃為難	迦 葉 難 云 如 來 佛 性 涅 槃 是 有 世 人 多 引 涅 槃 為 難 
X58n1018_001:0581c19	故廣引之以杜餘論子應不見涅槃之文空効世人	故 廣 引 之 以 杜 餘 論 子 應 不 見 涅 槃 之 文 空 効 世 人 
X58n1018_001:0581c20	瓦石之妨緣了難正殊不相應此即子不知佛性之	瓦 石 之 妨 緣 了 難 正 殊 不 相 應 此 即 子 不 知 佛 性 之 
X58n1018_001:0581c21	進否也況復以空譬正緣了猶局如迦葉所引三皆	進 否 也 況 復 以 空 譬 正 緣 了 猶 局 如 迦 葉 所 引 三 皆 
X58n1018_001:0581c22	有者此乃涅槃帶權說故。	有 者 此 乃 涅 槃 帶 權 說 故 
X58n1018_001:0581c23	評曰然涅槃雖非吾家所宗而正因緣因非所謂	評 曰 然 涅 槃 雖 非 吾 家 所 宗 而 正 因 緣 因 非 所 謂 
X58n1018_001:0581c24	也涅槃具正因緣因其文甚顯自是立意之悞曲	也 涅 槃 具 正 因 緣 因 其 文 甚 顯 自 是 立 意 之 悞 曲 
X58n1018_001:0582a01	說緣了判為權門又為文之質礙展轉枝詞翳其	說 緣 了 判 為 權 門 又 為 文 之 質 礙 展 轉 枝 詞 翳 其 
X58n1018_001:0582a02	正理今為略示令涅槃文義自顯涅槃二十九師	正 理 今 為 略 示 令 涅 槃 文 義 自 顯 涅 槃 二 十 九 師 
X58n1018_001:0582a03	子吼難云如佛所說一切諸法有二種因一者正	子 吼 難 云 如 佛 所 說 一切諸法 有 二 種 因 一 者 正 
X58n1018_001:0582a04	因二者緣因以第一義空為正因佛性故無所有	因 二 者 緣 因 以 第一義空 為 正 因 佛 性 故 無 所 有 
