X65n1279_001:0102a03	 五宗原序	 五 宗 原 序 
X65n1279_001:0102a05	歲乙丑。結夏聖恩禪寺之萬峰關。侍關中者四上座。	歲 乙 丑 結 夏 聖 恩 禪 寺 之 萬 峰 關 侍 關 中 者 四 上 座 
X65n1279_001:0102a06	敏致證徹也。居一日。俱整衣作禮而請曰。甞聞諸方	敏 致 證 徹 也 居 一 日 俱 整 衣 作 禮 而 請 曰 甞 聞 諸 方 
X65n1279_001:0102a07	尊宿。欲抹殺五家宗旨。單傳釋迦拈花一事。謂之直	尊 宿 欲 抹 殺 五 家 宗 旨 單 傳 釋 迦 拈 花 一 事 謂 之 直 
X65n1279_001:0102a08	提向上。然不知五宗之立。果為謬妄者否。願賜一言。	提 向 上 然 不 知 五 宗 之 立 果 為 謬 妄 者 否 願 賜 一 言 
X65n1279_001:0102a09	以通其難。於密曰。命將者必以兵符。悟心者必傳法	以 通 其 難 於 密 曰 命 將 者 必 以 兵 符 悟 心 者 必 傳 法 
X65n1279_001:0102a10	印。符不契即為姧偽。法不同則為外道。自威音已來。	印 符 不 契 即 為 姧 偽 法 不 同 則 為 外 道 自 威 音 已 來 
X65n1279_001:0102a11	無一言一法非五家宗旨之符印也。昔人證之。遂嘿	無 一 言 一 法 非 五 家 宗 旨 之 符 印 也 昔 人 證 之 遂 嘿 
X65n1279_001:0102a12	契其微而不分。後人侶之。故建立其宗以防偽。抹殺	契 其 微 而 不 分 後 人 侶 之 故 建 立 其 宗 以 防 偽 抹 殺 
X65n1279_001:0102a13	五家。而欲單傳者。剖符銷印。自便之渠魁者耳。豈五	五 家 而 欲 單 傳 者 剖 符 銷 印 自 便 之 渠 魁 者 耳 豈 五 
X65n1279_001:0102a14	宗之忠臣。七佛之法將也耶。嗚呼法滅天人憂。政以	宗 之 忠 臣 七 佛 之 法 將 也 耶 嗚 呼 法 滅 天 人 憂 政 以 
X65n1279_001:0102a15	此也。可不畏哉。曰昔時有燒香煉頂密傳宗旨者。大	此 也 可 不 畏 哉 曰 昔 時 有 燒 香 煉 頂 密 傳 宗 旨 者 大 
X65n1279_001:0102a16	慧一榜揭出。以破狐技。然則今之宗旨。又何貴焉。曰	慧 一 榜 揭 出 以 破 狐 技 然 則 今 之 宗 旨 又 何 貴 焉 曰 
X65n1279_001:0102a17	彼所傳者。竊符假信者耳。若夫法法自明心心相印	彼 所 傳 者 竊 符 假 信 者 耳 若 夫 法 法 自 明 心 心 相 印 
X65n1279_001:0102a18	者。豈若室中密授之死法子耶。葢傳宗旨者。不悟宗	者 豈 若 室 中 密 授 之 死 法 子 耶 葢 傳 宗 旨 者 不 悟 宗 
X65n1279_001:0102a19	旨者也。抹宗旨者。不知宗旨者也。茲當操提未破之	旨 者 也 抹 宗 旨 者 不 知 宗 旨 者 也 茲 當 操 提 未 破 之 
X65n1279_001:0102a20	密印。以擒託偽之奸黨。此政今時荷擔如來命脉之	密 印 以 擒 託 偽 之 奸 黨 此 政 今 時 荷 擔 如 來 命 脉 之 
X65n1279_001:0102a21	真子也。豈浮濫者。可混入哉。因原五宗。付諸四子。子	真 子 也 豈 浮 濫 者 可 混 入 哉 因 原 五 宗 付 諸 四 子 子 
X65n1279_001:0102a22	稽首謝。各各願嚴符印。以永真傳云。	稽 首 謝 各 各 願 嚴 符 印 以 永 真 傳 云 
X65n1279_001:0102a23	崇禎戊辰歲春日萬峰法藏於密氏序	崇 禎 戊 辰 歲 春 日 萬 峰 法 藏 於 密 氏 序 
X65n1279_001:0102b06	五宗原	五 宗 原 
X65n1279_001:0102b08	萬峰沙門　法藏　著	萬 峰 沙 門 法 藏 著 
X65n1279_001:0102b09	參學弟子　上履　閱	參 學 弟 子 上 履 閱 
X65n1279_001:0102b10	臨濟宗	臨 濟 宗 
X65n1279_001:0102b11	甞見繪事家圖七佛之始。始于威音王佛。惟大作一	甞 見 繪 事 家 圖 七 佛 之 始 始 于 威 音 王 佛 惟 大 作 一 
X65n1279_001:0102b12	○圓相之後。則七佛各有言詮。言詮雖異。而諸佛之	 圓 相 之 後 則 七 佛 各 有 言 詮 言 詮 雖 異 而 諸 佛 之 
X65n1279_001:0102b13	偈旨。不出圓相也。夫威者。形之外者也。音者。聲之外	偈 旨 不 出 圓 相 也 夫 威 者 形 之 外 者 也 音 者 聲 之 外 
X65n1279_001:0102b14	者也。威音王者。形聲之外。未有出載。無所考據。文字	者 也 威 音 王 者 形 聲 之 外 未 有 出 載 無 所 考 據 文 字 
X65n1279_001:0102b15	已前最上事也。若龍樹所現而仰上。所謂無相三昧。	已 前 最 上 事 也 若 龍 樹 所 現 而 仰 上 所 謂 無相三昧 
X65n1279_001:0102b16	然燈已前是也。圓相出于西天諸祖。七佛偈出于達	然 燈 已 前 是 也 圓 相 出 于 西 天 諸 祖 七 佛 偈 出 于 達 
X65n1279_001:0102b17	磨傳來。葢有所本也。甞試原之。圓相早具五家宗旨	磨 傳 來 葢 有 所 本 也 甞 試 原 之 圓 相 早 具 五 家 宗 旨 
X65n1279_001:0102b18	矣。五宗各出一面。然有正宗。第一先出臨濟宗旨。此	矣 五 宗 各 出 一 面 然 有 正 宗 第 一 先 出 臨 濟 宗 旨 此 
X65n1279_001:0102b19	相拋出直下。斷人命根。于一○中。賓主輥輥。直入首	相 拋 出 直 下 斷 人 命 根 于 一 中 賓 主 輥 輥 直 入 首 
X65n1279_001:0102b20	羅眼中。所謂沿流不止問如何。真照無邊說似他。離	羅 眼 中 所 謂 沿 流 不 止 問 如 何 真 照 無 邊 說 似 他 離 
X65n1279_001:0102b21	相離名人不稟。吹毛用了急須磨是也。次則雲門三	相 離 名 人 不 稟 吹 毛 用 了 急 須 磨 是 也 次 則 雲 門 三 
X65n1279_001:0102b22	句一字關也。溈仰圓相。本于此也。法眼談教義於六	句 一 字 關 也 溈 仰 圓 相 本 于 此 也 法 眼 談 教 義 於 六 
X65n1279_001:0102b23	相之外。曹洞分回互于黑白之交。只一○中。五宗具	相 之 外 曹 洞 分 回 互 于 黑 白 之 交 只 一 中 五 宗 具 
X65n1279_001:0102b24	矣。其餘傍出道理極。則教家玄妙淵微。莫不悉俻。故	矣 其 餘 傍 出 道 理 極 則 教 家 玄 妙 淵 微 莫 不 悉 俻 故 
X65n1279_001:0102c01	七佛各以一偈攝之。毗婆尸佛偈曰。身從無相中受	七 佛 各 以 一 偈 攝 之 毗 婆 尸 佛 偈 曰 身 從 無 相 中 受 
X65n1279_001:0102c02	生。猶如幻出諸形象。幻人心識本來無。罪福皆空無	生 猶 如 幻 出 諸 形 象 幻 人 心 識 本 來 無 罪 福 皆 空 無 
X65n1279_001:0102c03	所住。葢以身有相而無相。直截痛快。臨濟宗也。中間	所 住 葢 以 身 有 相 而 無 相 直 截 痛 快 臨 濟 宗 也 中 間 
X65n1279_001:0102c04	微露其旨。雲門宗也。無相中受圓相。之謂溈仰宗也。	微 露 其 旨 雲 門 宗 也 無 相 中 受 圓 相 之 謂 溈 仰 宗 也 
X65n1279_001:0102c05	身無相六相義。之謂法眼宗也。身兼無相。曹洞五位	身 無 相 六 相 義 之 謂 法 眼 宗 也 身 兼 無 相 曹 洞 五 位 
X65n1279_001:0102c06	之旨也。其餘六佛。及四七諸祖。莫不同此矣。但未明	之 旨 也 其 餘 六 佛 及 四 七 諸 祖 莫 不 同 此 矣 但 未 明 
X65n1279_001:0102c07	言顯示耳。至般若多羅讖曰。二株嫩桂久昌昌。此鉗	言 顯 示 耳 至 般 若 多 羅 讖 曰 二 株 嫩 桂 久 昌 昌 此 鉗 
X65n1279_001:0102c08	記五宗之分。從二家始矣。故有南嶽青原。為五宗之	記 五 宗 之 分 從 二 家 始 矣 故 有 南 嶽 青 原 為 五 宗 之 
X65n1279_001:0102c09	源也。又曰。震旦難濶無別路。要使兒孫脚下行。金鷄	源 也 又 曰 震 旦 難 濶 無 別 路 要 使 兒 孫 脚 下 行 金 鷄 
X65n1279_001:0102c10	解銜一粒粟。供養十方羅漢僧。此記當有馬姓者。出	解 銜 一 粒 粟 供 養 十 方 羅 漢 僧 此 記 當 有 馬 姓 者 出 
