T85n2845_001:1297a03	押座文類	押 座 文 類 
T85n2845_001:1297a05	維摩經押座文	維 摩 經 押 座 文 
T85n2845_001:1297a06	　頂禮上方香積世　　妙喜如來化相身	 頂 禮 上 方 香 積 世 妙 喜 如 來 化 相 身 
T85n2845_001:1297a07	　是有妻兒眷屬徒　　心淨常修於梵行	 是 有 妻 兒 眷 屬 徒 心 淨 常 修 於 梵 行 
T85n2845_001:1297a08	　智力神通難可測　　手搖日月動須彌	 智 力 神 通 難 可 測 手 搖 日 月 動 須 彌 
T85n2845_001:1297a09	(念菩薩佛子)	 念 菩 薩 佛 子 
T85n2845_001:1297a10	　我佛如來在菴薗　　宣說甚深普集教	 我 佛 如 來 在 菴 薗 宣 說 甚 深 普 集 教 
T85n2845_001:1297a11	　長者身心歡喜了　　持其寶蓋詣如來	 長 者 身 心 歡 喜 了 持 其 寶 蓋 詣 如 來 
T85n2845_001:1297a12	(念菩薩佛子)	 念 菩 薩 佛 子 
T85n2845_001:1297a13	　偏偏搖動布金雲鈴　　七寶雙雙香送遠	 偏 偏 搖 動 布 金 雲 鈴 七 寶 雙 雙 香 送 遠 
T85n2845_001:1297a14	　直到菴薗法會上　　捧其寶蓋上如來	 直 到 菴 薗 法 會 上 捧 其 寶 蓋 上 如 來 
T85n2845_001:1297a15	(佛子)	 佛 子 
T85n2845_001:1297a16	　五百花蓋立其前　　聖力合成為壹蓋	 五 百 花 蓋 立 其 前 聖 力 合 成 為 壹 蓋 
T85n2845_001:1297a17	　日月星辰皆總現　　山河大地及龍宮	 日 月 星 辰 皆 總 現 山 河 大 地 及 龍 宮 
T85n2845_001:1297a18	(佛子)	 佛 子 
T85n2845_001:1297a19	　世界搖時寶蓋搖　　世界動時動寶蓋動	 世 界 搖 時 寶 蓋 搖 世 界 動 時 動 寶 蓋 動 
T85n2845_001:1297a20	　一切十方諸淨土　　三世如來悉現中	 一 切 十 方 諸 淨 土 三 世 如 來 悉 現 中 
T85n2845_001:1297a21	(佛子)	 佛 子 
T85n2845_001:1297a22	　毘耶離國地中心　　寶樹光暉金璨爛	 毘 耶 離 國 地 中 心 寶 樹 光 暉 金 璨 爛 
T85n2845_001:1297a23	　多出人賢性慈愍　　欠曾過去早修行	 多 出 人 賢 性 慈 愍 欠 曾 過 去 早 修 行 
T85n2845_001:1297a24	(佛子)	 佛 子 
T85n2845_001:1297a25	　居士維摩眾中尊　　十德圓明人所重	 居 士 維 摩 眾 中 尊 十 德 圓 明 人 所 重 
T85n2845_001:1297a26	　親近無邊三世佛　　故號維摩長者身	 親 近 無 邊 三 世 佛 故 號 維 摩 長 者 身 
T85n2845_001:1297a27	(佛子)	 佛 子 
T85n2845_001:1297a28	　五百聲聞皆被訶　　住相法空分所證	 五 百 聲 聞 皆 被 訶 住 相 法 空 分 所 證 
T85n2845_001:1297a29	　更有光嚴彌勒眾　　身心皆拜道徒中	 更 有 光 嚴 彌 勒 眾 身 心 皆 拜 道 徒 中 
T85n2845_001:1297a30	(佛子)	 佛 子 
T85n2845_001:1297a31	　不二真門性自融　　只有維摩親證悟	 不 二 真 門 性 自 融 只 有 維 摩 親 證 悟 
T85n2845_001:1297a32	　示病室中而獨臥　　廣談六品不思議	 示 病 室 中 而 獨 臥 廣 談 六 品 不 思 議 
T85n2845_001:1297a33	(佛子)	 佛 子 
T85n2845_001:1297a34	　大聖牟尼悲願深　　一一親呼十大眾	 大 聖 牟 尼 悲 願 深 一 一 親 呼 十 大 眾 
T85n2845_001:1297a35	　皆曰不堪而問疾　　唯有文殊千佛師	 皆 曰 不 堪 而 問 疾 唯 有 文 殊 千 佛 師 
T85n2845_001:1297b01	(佛子)	 佛 子 
T85n2845_001:1297b02	　巍巍身動寶星宮　　岌岌珠搖飛寶座	 巍 巍 身 動 寶 星 宮 岌 岌 珠 搖 飛 寶 座 
T85n2845_001:1297b03	　八萬仙人香滿國　　千千聖眾遍長空	 八 萬 仙 人 香 滿 國 千 千 聖 眾 遍 長 空 
T85n2845_001:1297b04	(佛子)	 佛 子 
T85n2845_001:1297b05	　請飯上方香積中　　化座燈王師子吼	 請 飯 上 方 香 積 中 化 座 燈 王 師 子 吼 
T85n2845_001:1297b06	　盡到毘耶方丈室　　作其佛事對弘揚	 盡 到 毘 耶 方 丈 室 作 其 佛 事 對 弘 揚 
T85n2845_001:1297b07	(佛子)	 佛 子 
T85n2845_001:1297b08	　今晨擬說甚深經　　惟願慈悲來至此	 今 晨 擬 說 甚 深 經 惟 願 慈 悲 來 至 此 
T85n2845_001:1297b09	　聽眾聞經罪消滅　　總證菩提法寶身	 聽 眾 聞 經 罪 消 滅 總 證 菩 提 法 寶 身 
T85n2845_001:1297b10	(佛子)	 佛 子 
T85n2845_001:1297b11	　火宅茫茫何日休　　五欲終招生死苦	 火 宅 茫 茫 何 日 休 五 欲 終 招 生 死 苦 
T85n2845_001:1297b12	(重述)	 重 述 
T85n2845_001:1297b13	　不似聽經求解脫　　學佛修行能不能	 不 似 聽 經 求 解 脫 學 佛 修 行 能 不 能 
T85n2845_001:1297b14	　能者虔恭合掌著　　經題名目唱將來	 能 者 虔 恭 合 掌 著 經 題 名 目 唱 將 來 
T85n2845_001:1297b16	三身押坐文	三 身 押 坐 文 
T85n2845_001:1297b17	常嗟多劫處輪迴　末法世中多障難　慚愧	常 嗟 多 劫 處 輪 迴 末 法 世 中 多 障 難 慚 愧 
T85n2845_001:1297b18	我世尊悲願重　唯留佛教在世間	我 世 尊 悲 願 重 唯 留 佛 教 在 世 間 
T85n2845_001:1297b19	向娑婆世界作舟船　五濁劫中為導首　只	向 娑婆世界 作 舟 船 五 濁 劫 中 為 導 首 只 
T85n2845_001:1297b20	是眾生惡業重　敬信之心大曬希	是 眾 生 惡 業 重 敬 信 之 心 大 曬 希 
T85n2845_001:1297b21	見人造惡處強攢頭　聞道說經則伴不採	見 人 造 惡 處 強 攢 頭 聞 道 說 經 則 伴 不 採 
T85n2845_001:1297b22	　今生少善不曾作　來世覓人身大曬難	 今 生 少 善 不 曾 作 來 世 覓 人 身 大 曬 難 
T85n2845_001:1297b23	不知不覺大忙忙　不怕不驚長造罪　若不	不 知 不 覺 大 忙 忙 不 怕 不 驚 長 造 罪 若 不 
T85n2845_001:1297b24	是者死王押頭著　准擬千年餘萬年	是 者 死 王 押 頭 著 准 擬 千 年 餘 萬 年 
T85n2845_001:1297b25	今朝希過大乘經　似見優曇花一種　暫解	今 朝 希 過 大 乘 經 似 見 優 曇 花 一 種 暫 解 
