T46n1942_001:0955c10	法華三昧行事運想補助儀	法華三昧 行 事 運 想 補 助 儀 
T46n1942_001:0955c12	唐國清沙門湛然撰	唐 國 清 沙 門 湛 然 撰 
T46n1942_001:0955c13	夫禮懺法世雖同效。事儀運想多不周旋。或	夫 禮 懺 法 世 雖 同 效 事 儀 運 想 多 不 周 旋 或 
T46n1942_001:0955c14	粗讀懺文半不通利。或推力前拒理觀。一無	粗 讀 懺 文 半 不 通 利 或 推 力 前 拒 理 觀 一 無 
T46n1942_001:0955c15	效精進之風。闕入門之緒。故言勤修苦行非	效 精 進 之 風 闕 入 門 之 緒 故 言 勤 修 苦 行 非 
T46n1942_001:0955c16	涅槃因。但禮念軌儀文非不委。以散情昏重	涅 槃 因 但 禮 念 軌 儀 文 非 不 委 以 散 情 昏 重 
T46n1942_001:0955c17	想運難成。予因天台再有詳補。撮覽樞總使	想 運 難 成 予 因 天 台 再 有 詳 補 撮 覽 樞 總 使 
T46n1942_001:0955c18	隨言作念隨念成想。一一瞻視如對目前。庶	隨 言 作 念 隨 念 成 想 一 一 瞻 視 如 對 目 前 庶 
T46n1942_001:0955c19	時刻不虛事法成辦。依本文總歷十法。結要	時 刻 不 虛 事 法 成 辦 依 本 文 總 歷 十 法 結 要 
T46n1942_001:0955c20	事理。	事 理 
T46n1942_001:0955c21	初嚴淨道場(如無別屋亦可同間絕無己物方可外求)。二淨身(新衣舊衣新染	初 嚴 淨 道 場 如 無 別 屋 亦 可 同 間 絕 無 己 物 方 可 外 求 二 淨 身 新 衣 舊 衣 新 染 
T46n1942_001:0955c22	並得。若無此二澣舊勝者)。三三業供養(若總禮三寶。未須一一隨方想念。但想己身及	並 得 若 無 此 二 澣 舊 勝 者 三 三 業 供 養 若 總 禮 三 寶 未 須 一 一 隨 方 想 念 但 想 己 身 及 
T46n1942_001:0955c23	十方諸佛。實相理體本無能所故。無能禮所禮想。此無能所名法界海。願諸眾生同見此理。名為同入)。	十方諸佛 實 相 理 體 本 無 能 所 故 無 能 禮 所 禮 想 此 無 能 所 名 法 界 海 願 諸 眾 生 同 見 此 理 名 為 同 入 
T46n1942_001:0955c24	次運香(唱至受用作佛事竟。次生想念不起此心。能運到十方。故云一念。想曰。願此香華遍十	次 運 香 唱 至 受 用 作 佛 事 竟 次 生 想 念 不 起 此 心 能 運 到 十 方 故 云 一 念 想 曰 願 此 香 華 遍 十 
T46n1942_001:0955c25	方。以為微妙光明臺。諸天音樂天寶香。諸天餚膳天寶衣。不可思議妙法塵。一一塵出一切塵。一一塵出	方 以 為 微 妙 光 明 臺 諸 天 音 樂 天 寶 香 諸 天 餚 膳 天 寶 衣 不可思議 妙 法 塵 一 一 塵 出 一 切 塵 一 一 塵 出 
T46n1942_001:0955c26	一切法。旋轉無閡互莊嚴。遍至一切三寶前。十方法界三寶前。皆有我身修供養。一一皆悉遍法界。彼彼	一 切 法 旋 轉 無 閡 互 莊 嚴 遍 至 一 切 三 寶 前 十 方 法 界 三 寶 前 皆 有 我 身 修 供 養 一 一 皆 悉 遍 法 界 彼 彼 
T46n1942_001:0955c27	無雜無障閡。盡未來際作佛事普熏法界。諸眾生蒙熏皆發菩提心。同入無生證佛智)。請佛(我三	無 雜 無 障 閡 盡未來際 作 佛 事 普 熏 法 界 諸 眾 生 蒙 熏 皆 發菩提心 同 入 無 生 證 佛 智 請 佛 我 三 
T46n1942_001:0955c28	業性如虛空。釋迦牟尼亦如是。不起真際為眾生。與眾俱來受供養)。次請佛菩薩	業 性 如 虛 空 釋 迦 牟 尼 亦 如 是 不 起 真 際 為 眾 生 與 眾 俱 來 受 供 養 次 請 佛 菩 薩 
T46n1942_001:0955c29	(但改牟尼及形相來處)。五歎佛(偈前一一別想。己身在三寶前立。次口宣偈隨聲運想。我之	 但 改 牟 尼 及 形 相 來 處 五 歎 佛 偈 前 一 一 別 想 己 身 在 三 寶 前 立 次 口 宣 偈 隨 聲 運 想 我 之 
T46n1942_001:0956a01	身心本無生滅。故雖稱歎如影如響)。六禮佛(當唱一心時。先專至敬禮。為事一心。次想能	身 心 本 無 生 滅 故 雖 稱 歎 如 影 如 響 六 禮 佛 當 唱 一 心 時 先 專 至 敬 禮 為 事 一 心 次 想 能 
T46n1942_001:0956a02	所為理一心。應想曰。能禮所禮性空寂。感應道交難思議。我此道場如帝珠。釋迦牟尼影現中。我身影現	所 為 理 一 心 應 想 曰 能 禮 所 禮 性 空 寂 感 應 道 交 難 思 議 我 此 道 場 如 帝 珠 釋 迦 牟 尼 影 現 中 我 身 影 現 
T46n1942_001:0956a03	如來前。頭面接足歸命禮)。多寶佛(多寶如來影現中。我身影現多寶前。餘同上想)。分	如 來 前 頭面接足 歸 命 禮 多 寶 佛 多 寶 如 來 影 現 中 我 身 影 現 多 寶 前 餘 同 上 想 分 
T46n1942_001:0956a04	身(分身諸佛亦同上想。)東方諸佛(東方諸佛影現中。我皆影現諸佛前。乃至十方	身 分 身 諸 佛 亦 同 上 想 東 方 諸 佛 東 方 諸 佛 影 現 中 我 皆 影 現 諸 佛 前 乃 至 十 方 
T46n1942_001:0956a05	一一皆爾)。三世諸佛(乃至過現未來並同上想)。舍利形像等(諸佛法身	一 一 皆 爾 三世諸佛 乃 至 過 現 未 來 並 同 上 想 舍 利 形 像 等 諸 佛 法 身 
T46n1942_001:0956a06	如虛空。化事住世難思議。我皆影現化事前。一一皆悉歸命禮)。妙法(真空法界如虛空。常住	如 虛 空 化 事 住 世 難 思 議 我 皆 影 現 化 事 前 一 一 皆 悉 歸 命 禮 妙 法 真 空 法 界 如 虛 空 常 住 
T46n1942_001:0956a07	法寶難思議。我皆影現法寶前。莫不皆悉歸命禮)。諸菩薩(彼一一菩薩影現中。乃至下方亦	法 寶 難 思 議 我 皆 影 現 法 寶 前 莫 不 皆 悉 歸 命 禮 諸 菩 薩 彼 一 一 菩 薩 影 現 中 乃 至 下 方 亦 
T46n1942_001:0956a08	如是)舍利弗等(先想聲聞皆是本來諸佛。今從初說故云聲聞)。普賢菩薩	如 是 舍 利 弗 等 先 想 聲 聞 皆 是 本 來 諸 佛 今 從 初 說 故 云 聲 聞 普 賢 菩 薩 
T46n1942_001:0956a09	(為滅障故接足禮餘同上)。普為(我及眾生無始常為三業六根重罪所障。不見諸佛。不知出要。但	 為 滅 障 故 接 足 禮 餘 同 上 普 為 我 及 眾 生 無 始 常 為 三 業 六 根 重 罪 所 障 不 見 諸 佛 不 知 出 要 但 
T46n1942_001:0956a10	順生死不知妙理。我今雖知猶與一切眾生同為一切重罪所障。今對普賢十方諸佛前。普為眾生歸命懺悔。	順 生 死 不 知 妙 理 我 今 雖 知 猶 與 一 切 眾 生 同 為 一 切 重 罪 所 障 今 對 普 賢 十方諸佛 前 普 為 眾 生 歸 命 懺 悔 
T46n1942_001:0956a11	惟願加護令障消滅)。七懺悔應運逆順十心云(我與眾生無始來。	惟 願 加 護 令 障 消 滅 七 懺 悔 應 運 逆 順 十 心 云 我 與 眾 生 無 始 來 
T46n1942_001:0956a12	今由愛見故。內計我人外加惡友不隨喜他一毫之善。唯遍三業廣作眾罪。事雖不廣惡心遍布。晝夜相續無	今 由 愛 見 故 內 計 我 人 外 加 惡 友 不 隨 喜 他 一 毫 之 善 唯 遍 三 業 廣 作 眾 罪 事 雖 不 廣 惡 心 遍 布 晝 夜 相 續 無 
T46n1942_001:0956a13	有間斷。覆諱過失不欲人知。不畏惡道無慚無愧。撥無因果。故於今日對十方佛普賢大師。深信因果生重	有 間 斷 覆 諱 過 失 不 欲 人 知 不 畏 惡 道 無慚無愧 撥無因果 故 於 今 日 對 十 方 佛 普 賢 大 師 深 信 因 果 生 重 
