T51n2094_001:1024a16	梁京寺記	梁 京 寺 記 
T51n2094_001:1024a18	闕名	闕 名 
T51n2094_001:1024a19	小莊嚴寺	小 莊 嚴 寺 
T51n2094_001:1024a20	梁小莊嚴寺。在建業定陰里。本是晉零陵王	梁 小 莊 嚴 寺 在 建 業 定 陰 里 本 是 晉 零 陵 王 
T51n2094_001:1024a21	廟地。天監六年度禪師起造。時有邵文立者。	廟 地 天 監 六 年 度 禪 師 起 造 時 有 邵 文 立 者 
T51n2094_001:1024a22	世以烹屠為業。嘗欲殺一鹿。鹿跪而流淚。以	世 以 烹 屠 為 業 嘗 欲 殺 一 鹿 鹿 跪 而 流 淚 以 
T51n2094_001:1024a23	為不祥。鹿懷一麑。尋當產育。就庖哀切。同	為 不 祥 鹿 懷 一 麑 尋 當 產 育 就 庖 哀 切 同 
T51n2094_001:1024a24	被刳割。因斯患疾。眉鬚皆落。身瘡並壞。後乃	被 刳 割 因 斯 患 疾 眉 鬚 皆 落 身 瘡 並 壞 後 乃 
T51n2094_001:1024a25	深起悔責求道。度禪師發大誓願。罄捨家資	深 起 悔 責 求 道 度 禪 師 發 大 誓 願 罄 捨 家 資 
T51n2094_001:1024a26	迴買此地。為立伽藍。	迴 買 此 地 為 立 伽 藍 
T51n2094_001:1024a27	同泰寺	同 泰 寺 
T51n2094_001:1024a28	梁武帝改年號大同。起同泰寺。在臺城內。窮	梁 武 帝 改 年 號 大 同 起 同 泰 寺 在 臺 城 內 窮 
T51n2094_001:1024a29	竭帑藏。造大佛閣七層。為火所焚。武帝捨身	竭 帑 藏 造 大 佛 閣 七 層 為 火 所 焚 武 帝 捨 身 
T51n2094_001:1024b01	施財。以祈佛福。自大通以後。無年不幸。	施 財 以 祈 佛 福 自 大 通 以 後 無 年 不 幸 
T51n2094_001:1024b02	興國禪寺	興 國 禪 寺 
T51n2094_001:1024b03	梁武帝天監十三年。以錢二十萬。易定林前	梁 武 帝 天 監 十 三 年 以 錢 二 十 萬 易 定 林 前 
T51n2094_001:1024b04	前岡獨龍阜。以葬誌公。永定公主以湯沐之	前 岡 獨 龍 阜 以 葬 誌 公 永 定 公 主 以 湯 沐 之 
T51n2094_001:1024b05	資。造浮圖五級於其上。十四年。即塔前建開	資 造 浮 圖 五 級 於 其 上 十 四 年 即 塔 前 建 開 
T51n2094_001:1024b06	善寺。	善 寺 
T51n2094_001:1024b07	昇元寺	昇 元 寺 
T51n2094_001:1024b08	昇元寺即瓦棺寺也。在城西隅瞰江面。後踞	昇 元 寺 即 瓦 棺 寺 也 在 城 西 隅 瞰 江 面 後 踞 
T51n2094_001:1024b09	崇岡最為古跡。累經兵火。略無彷彿。李王時	崇 岡 最 為 古 跡 累 經 兵 火 略 無 彷 彿 李 王 時 
T51n2094_001:1024b10	昇元閣猶在。乃梁朝故物。	昇 元 閣 猶 在 乃 梁 朝 故 物 
T51n2094_001:1024b11	大愛敬寺	大 愛 敬 寺 
T51n2094_001:1024b12	梁武帝普通元年造。在蔣山之北高峯上。	梁 武 帝 普 通 元 年 造 在 蔣 山 之 北 高 峯 上 
T51n2094_001:1024b13	法寶寺	法 寶 寺 
T51n2094_001:1024b14	梁同泰寺基之半也。建康剎錄。梁武帝大通	梁 同 泰 寺 基 之 半 也 建 康 剎 錄 梁 武 帝 大 通 
T51n2094_001:1024b15	元年。創同泰寺。寺處宮後。別開一門。名大	元 年 創 同 泰 寺 寺 處 宮 後 別 開 一 門 名 大 
T51n2094_001:1024b16	通門。帝晨夕講議。多遊此門。	通 門 帝 晨 夕 講 議 多 遊 此 門 
T51n2094_001:1024b17	法光寺	法 光 寺 
T51n2094_001:1024b18	即梁之蕭帝寺。舊傳。天監十三年造。元絳寺	即 梁 之 蕭 帝 寺 舊 傳 天 監 十 三 年 造 元 絳 寺 
T51n2094_001:1024b19	記云。不知從昔之名。故後人以帝氏目之。	記 云 不 知 從 昔 之 名 故 後 人 以 帝 氏 目 之 
T51n2094_001:1024b20	寶林寺	寶 林 寺 
T51n2094_001:1024b21	梁天監中。武帝與寶公。同遊此山。見林巒殊	梁 天 監 中 武 帝 與 寶 公 同 遊 此 山 見 林 巒 殊 
T51n2094_001:1024b22	勝。命建精藍。	勝 命 建 精 藍 
T51n2094_001:1024b23	長于寺	長 于 寺 
T51n2094_001:1024b24	建康南五里有山岡。其間平地。庶民雜居。有	建 康 南 五 里 有 山 岡 其 間 平 地 庶 民 雜 居 有 
T51n2094_001:1024b25	大長于．小長于．東長于．並是地名。小長于在	大 長 于 小 長 于 東 長 于 並 是 地 名 小 長 于 在 
