X32n0615_001:0001a03	妙法蓮華經綸貫	妙法蓮華 經 綸 貫 
X32n0615_001:0001a05	古吳藕益道人　智旭　述	古 吳 藕 益 道 人 智 旭 述 
X32n0615_001:0001a06	妙法蓮華經者諸佛究竟之極談也原夫釋迦牟尼	妙法蓮華 經 者 諸 佛 究 竟 之 極 談 也 原 夫 釋 迦 牟 尼 
X32n0615_001:0001a07	如來實成佛道以來已經不可思議阿僧祇劫為度	如 來 實 成 佛 道 以 來 已 經 不可思議 阿僧祇劫 為 度 
X32n0615_001:0001a08	眾生無有休息數數示生數數示滅未種善根者令	眾 生 無有休息 數 數 示 生 數 數 示 滅 未 種 善 根 者 令 
X32n0615_001:0001a09	種善根已種善根者令其成熟已經成熟者令得解	種 善 根 已 種 善 根 者 令 其 成 熟 已 經 成 熟 者 令 得 解 
X32n0615_001:0001a10	脫所有法味不出藏通別圓等四種所有化儀不出	脫 所 有 法 味 不 出 藏 通 別 圓 等 四 種 所 有 化 儀 不 出 
X32n0615_001:0001a11	頓漸秘密不定等四種且據此番八相成道說法四	頓 漸 秘 密 不 定 等 四 種 且 據 此 番 八相成道 說 法 四 
X32n0615_001:0001a12	十九年略為五時初坐菩提道場為大根眾生說大	十 九 年 略 為 五 時 初 坐 菩提道場 為 大 根 眾 生 說 大 
X32n0615_001:0001a13	乘法名第一華嚴時于化儀為頓譬如日出先照高	乘 法 名 第 一 華 嚴 時 于 化 儀 為 頓 譬 如 日 出 先 照 高 
X32n0615_001:0001a14	山又如從牛出乳于化法為圓兼別圓被界外利根	山 又 如 從 牛 出 乳 于 化 法 為 圓 兼 別 圓 被 界 外 利 根 
X32n0615_001:0001a15	別被界外鈍根此則小機絕分不見不聞所以不動	別 被 界 外 鈍 根 此 則 小 機 絕 分 不 見 不 聞 所 以 不 動 
X32n0615_001:0001a16	寂場而遊鹿苑為五比丘等說四諦法詮生滅理及	寂 場 而 遊 鹿 苑 為 五 比 丘 等 說 四 諦 法 詮 生 滅 理 及 
X32n0615_001:0001a17	說十二因緣事六度等名第二阿含時于化儀為漸	說 十二因緣 事 六 度 等 名 第 二 阿 含 時 于 化 儀 為 漸 
X32n0615_001:0001a18	之始譬如日照幽谷又如從乳出酪于化法為藏但	之 始 譬 如 日 照 幽 谷 又 如 從 乳 出 酪 于 化 法 為 藏 但 
X32n0615_001:0001a19	被界內鈍根令其轉凡成聖次借維摩等諸大士互	被 界 內 鈍 根 令 其 轉 凡 成 聖 次 借 維 摩 等 諸 大 士 互 
X32n0615_001:0001a20	相酬唱彈偏斥小歎大褒圓名第三方等時于化儀	相 酬 唱 彈 偏 斥 小 歎 大 褒 圓 名 第 三 方 等 時 于 化 儀 
X32n0615_001:0001a21	為漸之中譬如食時又如從酪出生酥于化法為四	為 漸 之 中 譬 如 食 時 又 如 從 酪 出 生 酥 于 化 法 為 四 
X32n0615_001:0001a22	教並談對半明滿藏為半字教通別圓為滿字教使	教 並 談 對 半 明 滿 藏 為 半 字 教 通 別 圓 為 滿 字 教 使 
X32n0615_001:0001a23	利根得滿益鈍根得半益先成聖者密得通益次與	利 根 得 滿 益 鈍 根 得 半 益 先 成 聖 者 密 得 通 益 次 與 
X32n0615_001:0001a24	四大弟子共轉法輪會一切法皆摩訶衍名第四般	四 大 弟 子 共 轉 法 輪 會 一 切 法 皆 摩 訶 衍 名 第 四 般 
X32n0615_001:0001b01	若時于化儀為漸之終譬如禺中又如從生穌出熟	若 時 于 化 儀 為 漸 之 終 譬 如 禺 中 又 如 從 生 穌 出 熟 
X32n0615_001:0001b02	酥于化法為帶通別正明圓教使界內機得通教三	酥 于 化 法 為 帶 通 別 正 明 圓 教 使 界 內 機 得 通 教 三 
X32n0615_001:0001b03	乘共般若益界外機得別圓不共般若益先成聖者	乘 共 般 若 益 界 外 機 得 別 圓 不 共 般 若 益 先 成 聖 者 
X32n0615_001:0001b04	密得別益次乃於靈山會上開權顯實開近顯遠名	密 得 別 益 次 乃 於 靈 山 會 上 開 權 顯 實 開近顯遠 名 
