T85n2839_001:1291c17	讚禪門詩	讚 禪 門 詩 
T85n2839_001:1291c19	和三點言。是何物　子言。是佛　和言。佛	和 三 點 言 是 何 物 子 言 是 佛 和 言 佛 
T85n2839_001:1291c20	是西國梵語。此土名覺　所言覺義者。謂心	是 西 國 梵 語 此 土 名 覺 所 言 覺 義 者 謂 心 
T85n2839_001:1291c21	體離念。離念相者等虛空界無所不遍(已上為覺義)	體 離 念 離 念 相 者 等 虛 空 界 無 所 不 遍 已 上 為 覺 義 
T85n2839_001:1291c22	法界一相(已上覺他)即是如來平等法身(是名覺滿)依此法	法 界 一 相 已 上 覺 他 即 是 如 來 平 等 法 身 是 名 覺 滿 依 此 法 
T85n2839_001:1291c23	身說名本覺(名三覺)和言。覺是沒。答。覺是離。	身 說 名 本 覺 名 三 覺 和 言 覺 是 沒 答 覺 是 離 
T85n2839_001:1291c24	離是離念。一一離色心俱離　和言。色是何	離 是 離 念 一 一 離 色 心 俱 離 和 言 色 是 何 
T85n2839_001:1291c25	答。是身。身心俱離。一時遍離。一切常離	答 是 身 身 心 俱 離 一 時 遍 離 一 切 常 離 
T85n2839_001:1291c26	　和言。子得離不　答。得離離。離是佛。佛是	 和 言 子 得 離 不 答 得 離 離 離 是 佛 佛 是 
T85n2839_001:1291c27	沒。佛是覺。覺有三種　一自覺　二覺他	沒 佛 是 覺 覺 有 三 種 一 自 覺 二 覺 他 
T85n2839_001:1291c28	　三覺滿(釋)　離心名自覺　離色名覺他　心	 三 覺 滿 釋 離 心 名 自 覺 離 色 名 覺 他 心 
T85n2839_001:1291c29	色俱離　名覺滿滿者。謂一念離一切離無	色 俱 離 名 覺 滿 滿 者 謂 一 念 離 一 切 離 無 
T85n2839_001:1292a01	離無不離。即是滿淨如來　梵言盧舍。此云	離 無 不 離 即 是 滿 淨 如 來 梵 言 盧 舍 此 云 
T85n2839_001:1292a02	光明遍照平等法性。依此法性說名本離。是	光明遍照 平等法性 依 此 法 性 說 名 本 離 是 
T85n2839_001:1292a03	略名。釋三覺義(廣釋三覺如上側注離念文中)通離念相　和問。	略 名 釋 三 覺 義 廣 釋 三 覺 如 上 側 注 離 念 文 中 通 離 念 相 和 問 
T85n2839_001:1292a04	有相無相　子言。無相。釋云。相無所相。即	有 相 無 相 子 言 無 相 釋 云 相 無 所 相 即 
T85n2839_001:1292a05	是實相。是名離相　通等虛空界(釋)虛空無心	是 實 相 是 名 離 相 通 等 虛 空 界 釋 虛 空 無 心 
T85n2839_001:1292a06	離念無心與虛空合。是名等虛空界(散)虛中無	離 念 無 心 與 虛 空 合 是 名 等 虛 空 界 散 虛 中 無 
T85n2839_001:1292a07	中邊諸佛身亦然。心同虛空遍一切　通無	中 邊 諸 佛 身 亦 然 心 同 虛 空 遍 一 切 通 無 
T85n2839_001:1292a08	所不遍(釋)虛空無心遍一切。離念無心遍一	所 不 遍 釋 虛 空 無 心 遍 一 切 離 念 無 心 遍 一 
T85n2839_001:1292a09	切。是名無所不遍　通法界一相　和問。法	切 是 名 無 所 不 遍 通 法 界 一 相 和 問 法 
T85n2839_001:1292a10	是沒　子言。意知名法。意知五根法所到名	是 沒 子 言 意 知 名 法 意 知 五 根 法 所 到 名 
T85n2839_001:1292a11	界　眼見色。意用知染法界　心不起不同	界 眼 見 色 意 用 知 染 法 界 心 不 起 不 同 
T85n2839_001:1292a12	知淨法界(餘根准上)以通六根陀羅尼。出佛名經第	知 淨 法 界 餘 根 准 上 以 通 六 根 陀 羅 尼 出 佛 名 經 第 
T85n2839_001:1292a13	六卷(若自在並名佛)和言。佛是何　子言。是覺。覺是	六 卷 若 自 在 並 名 佛 和 言 佛 是 何 子 言 是 覺 覺 是 
T85n2839_001:1292a14	離眼。離一切色名眼陀羅尼自在。餘准上	離 眼 離 一 切 色 名 眼 陀 羅 尼 自 在 餘 准 上 
T85n2839_001:1292a15	　眼見色。意用知染法界。心不起不同知淨法	 眼 見 色 意 用 知 染 法 界 心 不 起 不 同 知 淨 法 
T85n2839_001:1292a16	界。悉攝一切色塵。是名總持度門。是名自在。	界 悉 攝 一 切 色 塵 是 名 總 持 度 門 是 名 自 在 
T85n2839_001:1292a17	餘准上　眼界色界眼識界。餘根准上　通	餘 准 上 眼 界 色 界 眼 識 界 餘 根 准 上 通 
T85n2839_001:1292a18	界是藏義。此中含容無邊廣大功德。如唯識	界 是 藏 義 此 中 含 容 無 邊 廣 大 功 德 如 唯 識 
T85n2839_001:1292a19	云。此是無漏界。當善含容無邊功德　通法	云 此 是 無 漏 界 當 善 含 容 無 邊 功 德 通 法 
T85n2839_001:1292a20	界一相。一相謂無相。無相沒相。沒相是無相。	界 一 相 一 相 謂 無 相 無 相 沒 相 沒 相 是 無 相 
T85n2839_001:1292a21	即是實相。是名法界一相　六根解脫門云	即 是 實 相 是 名 法 界 一 相 六 根 解 脫 門 云 
T85n2839_001:1292a22	　眼空無我。無我所性自空。餘准上　耳根	 眼 空 無 我 無 我 所 性 自 空 餘 准 上 耳 根 
