X62n1209_001:0819b06	影響集	影 響 集 
X62n1209_001:0819b08	菩薩比丘尼　量海	菩 薩 比 丘 尼 量 海 
X62n1209_001:0819b09	淨土詩	淨 土 詩 
X62n1209_001:0819b10	能從忍界現西方。只要當人信願強。處處慈尊常接	能 從 忍 界 現 西 方 只 要 當 人 信 願 強 處 處 慈 尊 常 接 
X62n1209_001:0819b11	引。即時演出妙蓮香。	引 即 時 演 出 妙 蓮 香 
X62n1209_001:0819b12	廬山面目舊家風。嫡子親傳道自同。成佛以來今十	廬 山 面 目 舊 家 風 嫡 子 親 傳 道 自 同 成 佛 以 來 今 十 
X62n1209_001:0819b13	劫。彌陀合在我心中。	劫 彌 陀 合 在 我 心 中 
X62n1209_001:0819b14	淨土昭昭在目前。不勞舉步問金仙。樂邦有路誰先	淨 土 昭 昭 在 目 前 不 勞 舉 步 問 金 仙 樂 邦 有 路 誰 先 
X62n1209_001:0819b15	到。咫尺家山落照邊。	到 咫 尺 家 山 落 照 邊 
X62n1209_001:0819b16	瓦礫荊榛真淨土。見聞知覺古彌陀。但能當處忘分	瓦 礫 荊 榛 真 淨 土 見 聞 知 覺 古 彌 陀 但 能 當 處 忘 分 
X62n1209_001:0819b17	別。拍手呵呵唱哩囉。	別 拍 手 呵 呵 唱 哩 囉 
X62n1209_001:0819b18	持戒嚴身福報真。金沙地上玉樓春。但觀自性彌陀	持 戒 嚴 身 福 報 真 金 沙 地 上 玉 樓 春 但 觀 自 性 彌 陀 
X62n1209_001:0819b19	佛。歷劫何嘗染一塵。	佛 歷 劫 何 嘗 染 一 塵 
X62n1209_001:0819b20	要結西方淨土緣。是非人我盡傾蠲。脚頭脚底蓮花	要 結 西方淨土 緣 是 非 人 我 盡 傾 蠲 脚 頭 脚 底 蓮 花 
X62n1209_001:0819b21	國。到岸何須更覓船。	國 到 岸 何 須 更 覓 船 
X62n1209_001:0819b22	佛語禪心兩不差。桃紅李白一般花。琉璃地上鋪金	佛 語 禪 心 兩 不 差 桃 紅 李 白 一 般 花 琉 璃 地 上 鋪 金 
X62n1209_001:0819b23	粟。瑪瑙堦前布玉沙。	粟 瑪 瑙 堦 前 布 玉 沙 
X62n1209_001:0819b24	獨坐幽居萬慮忘。全身渾是法中王。休將迷悟遮心	獨 坐 幽 居 萬 慮 忘 全 身 渾 是 法 中 王 休 將 迷 悟 遮 心 
X62n1209_001:0819c01	眼。正覺花開徧界香。	眼 正 覺 花 開 徧 界 香 
