T14n0449_001:0401a02	  [  ; 灌頂經卷第十二]	 [灌頂經卷第十二] 
T14n0449_001:0401a03	藥師如來本願功德經序	藥 師 如 來 本 願 功 德 經 序 
T14n0449_001:0401a05	藥師如來本願經者，致福消災之要法也；曼	藥 師 如 來 本 願 經 者 致 福 消 災 之 要 法 也 曼 
T14n0449_001:0401a06	殊以慈悲之力請說尊號，如來以利物之心	殊 以 慈 悲 之 力 請 說 尊 號 如 來 以 利 物 之 心 
T14n0449_001:0401a07	盛陳功業；十二大願彰因行之弘遠，七寶莊	盛 陳 功 業 十 二 大 願 彰 因 行 之 弘 遠 七 寶 莊 
T14n0449_001:0401a08	嚴顯果德之純淨；憶念稱名則眾苦咸脫，祈	嚴 顯 果 德 之 純 淨 憶 念 稱 名 則 眾 苦 咸 脫 祈 
T14n0449_001:0401a09	請供養則諸願皆滿；至於病士求救應死更	請 供 養 則 諸 願 皆 滿 至 於 病 士 求 救 應 死 更 
T14n0449_001:0401a10	生，王者攘災轉禍為福；信是消百怪之神	生 王 者 攘 災 轉 禍 為 福 信 是 消 百 怪 之 神 
T14n0449_001:0401a11	符，除九橫之妙術矣。昔宋孝武之世，鹿野寺	符 除 九 橫 之 妙 術 矣 昔 宋 孝 武 之 世 鹿 野 寺 
T14n0449_001:0401a12	沙門慧簡已曾譯出在世流行，但以梵宋不	沙 門 慧 簡 已 曾 譯 出 在 世 流 行 但 以 梵 宋 不 
T14n0449_001:0401a13	融、文辭雜糅，致令轉讀之輩多生疑惑。矩早	融 文 辭 雜 糅 致 令 轉 讀 之 輩 多 生 疑 惑 矩 早 
T14n0449_001:0401a14	學梵書恒披葉典，思遇此經驗其紕謬；開皇	學 梵 書 恒 披 葉 典 思 遇 此 經 驗 其 紕 謬 開 皇 
T14n0449_001:0401a15	十七年初獲一本，猶恐脫誤未敢即翻，至大	十 七 年 初 獲 一 本 猶 恐 脫 誤 未 敢 即 翻 至 大 
T14n0449_001:0401a16	業十一年復得二本，更相讎比方為揩定，遂	業 十 一 年 復 得 二 本 更 相 讎 比 方 為 揩 定 遂 
T14n0449_001:0401a17	與三藏法師達磨笈多，并大隋翻經沙門法行	與 三藏法師 達 磨 笈 多 并 大 隋 翻 經 沙 門 法 行 
T14n0449_001:0401a18	明則、長順海馭等，於東都洛水南上林園翻	明 則 長 順 海 馭 等 於 東 都 洛 水 南 上 林 園 翻 
T14n0449_001:0401a19	經舘重譯此本。深鑑前非方懲後失，故一言	經 舘 重 譯 此 本 深 鑑 前 非 方 懲 後 失 故 一 言 
T14n0449_001:0401a20	出口必三覆乃書，傳度幽旨差無大過；其年	出 口 必 三 覆 乃 書 傳 度 幽 旨 差 無 大 過 其 年 
T14n0449_001:0401a21	十二月八日翻勘方了，仍為一卷。所願此經	十 二 月 八 日 翻 勘 方 了 仍 為 一 卷 所 願 此 經 
T14n0449_001:0401a22	深義人人共解，彼佛名號處處遍聞，十二夜	深 義 人 人 共 解 彼 佛 名 號 處 處 遍 聞 十 二 夜 
T14n0449_001:0401a23	叉念佛恩而護國，七千眷屬承經力以利民，	叉 念 佛 恩 而 護 國 七 千 眷 屬 承 經 力 以 利 民 
T14n0449_001:0401a24	帝祚遐永，群生安樂，式貽來世序云爾。	帝 祚 遐 永 群 生 安 樂 式 貽 來 世 序 云 爾 
T14n0449_001:0401a25	佛說藥師如來本願經	佛 說 藥 師 如 來 本 願 經 
T14n0449_001:0401a26	新翻藥師經，大業十二年十二月八日，沙	新 翻 藥 師 經 大 業 十 二 年 十 二 月 八 日 沙 
T14n0449_001:0401a27	門慧矩等六人，於東都洛水南上林園譯	門 慧 矩 等 六 人 於 東 都 洛 水 南 上 林 園 譯 
T14n0449_001:0401a28	出。此本最定，諸讀誦者願莫更疑，得罪	出 此 本 最 定 諸 讀 誦 者 願 莫 更 疑 得 罪 
T14n0449_001:0401a29	不輕。	不 輕 
T14n0449_001:0401b02	佛說藥師如來本願經	佛 說 藥 師 如 來 本 願 經 
T14n0449_001:0401b04	隋天竺三藏達摩笈多譯	隋 天 竺 三 藏 達 摩 笈 多 譯 
T14n0449_001:0401b05	如是我聞：一時婆伽婆遊行人間至毘舍	如是我聞 一 時 婆 伽 婆 遊 行 人 間 至 毘 舍 
T14n0449_001:0401b06	離國住樂音樹下，與大比丘眾八千人俱、	離 國 住 樂 音 樹 下 與 大 比 丘 眾 八 千 人 俱 
T14n0449_001:0401b07	菩薩三萬六千、國王、大臣、婆羅門、居士、天龍、	菩 薩 三 萬 六 千 國 王 大 臣 婆 羅 門 居 士 天 龍 
T14n0449_001:0401b08	阿修羅、揵達婆、伽樓茶、緊那羅、摩呼羅伽等，	阿 修 羅 揵 達 婆 伽 樓 茶 緊 那 羅 摩 呼 羅 伽 等 
T14n0449_001:0401b09	大眾圍遶於前說法。	大 眾 圍 遶 於 前 說 法 
T14n0449_001:0401b10	爾時，曼殊室利法王子，承佛威神，即從座	爾 時 曼 殊 室 利 法 王 子 承佛威神 即 從 座 
T14n0449_001:0401b11	起，偏露一髆，右膝著地，向婆伽婆合掌曲	起 偏 露 一 髆 右膝著地 向 婆 伽 婆 合 掌 曲 
T14n0449_001:0401b12	躬白言：「世尊！唯願演說諸佛名號及本	躬 白 言 世 尊 唯 願 演 說 諸 佛 名 號 及 本 
T14n0449_001:0401b13	昔所發殊勝大願，令眾生聞已，業障消除，攝	昔 所 發 殊 勝 大 願 令 眾 生 聞 已 業 障 消 除 攝 
T14n0449_001:0401b14	受來世正法壞時諸眾生故。」	受 來 世 正 法 壞 時 諸 眾 生 故 
T14n0449_001:0401b15	爾時，婆伽婆讚曼殊室利童子言：「善哉！善	爾 時 婆 伽 婆 讚 曼 殊 室 利 童 子 言 善 哉 善 
T14n0449_001:0401b16	哉！曼殊室利大慈悲者，起無量悲，勸請我	哉 曼 殊 室 利 大 慈 悲 者 起 無 量 悲 勸 請 我 
T14n0449_001:0401b17	說，為欲義利種種業障所纏眾生，饒益安	說 為 欲 義 利 種 種 業 障 所 纏 眾 生 饒 益 安 
T14n0449_001:0401b18	樂諸天人故。曼殊室利！當善憶念，聽我所	樂 諸 天 人 故 曼 殊 室 利 當 善 憶 念 聽 我 所 
T14n0449_001:0401b19	說。」時曼殊室利童子樂聽佛說，白言：「唯然，	說 時 曼 殊 室 利 童 子 樂 聽 佛 說 白 言 唯 然 
T14n0449_001:0401b20	世尊！」佛告曼殊室利：「東方過此佛土十恒	世 尊 佛 告 曼 殊 室 利 東 方 過 此 佛 土 十 恒 
T14n0449_001:0401b21	河沙等佛土之外，有世界名淨琉璃，彼土	河 沙 等 佛 土 之 外 有 世 界 名 淨 琉 璃 彼 土 
T14n0449_001:0401b22	有佛，名藥師琉璃光如來、應、正遍知、明行足、	有 佛 名 藥師琉璃光 如 來 應 正 遍 知 明 行 足 
T14n0449_001:0401b23	善逝、世間解、無上士、調御丈夫、天人師、佛、世	善 逝 世 間 解 無 上 士 調御丈夫 天 人 師 佛 世 
T14n0449_001:0401b24	尊。「曼殊室利！彼世尊藥師琉璃光如來本行	尊 曼 殊 室 利 彼 世 尊 藥師琉璃光 如 來 本 行 
T14n0449_001:0401b25	菩薩行時，發十二大願。何者十二？	菩 薩 行 時 發 十 二 大 願 何 者 十 二 
T14n0449_001:0401b26	「第一大願：願我來世於佛菩提得正覺時，	 第 一 大 願 願 我 來 世 於 佛 菩 提 得 正 覺 時 
T14n0449_001:0401b27	自身光明熾然，照曜無量無數無邊世界，三	自 身 光 明 熾 然 照 曜 無量無數 無邊世界 三 
T14n0449_001:0401b28	十二丈夫大相及八十小好以為莊嚴；我	十 二 丈 夫 大 相 及 八 十 小 好 以 為 莊 嚴 我 
T14n0449_001:0401b29	身既爾，令一切眾生如我無異。	身 既 爾 令 一 切 眾 生 如 我 無 異 
T14n0449_001:0401c01	「第二大願：願我來世得菩提時，身如琉璃，	 第 二 大 願 願 我 來 世 得 菩 提 時 身 如 琉 璃 
T14n0449_001:0401c02	內外清淨，無復瑕垢，光明曠大，威德熾然，身	內 外 清 淨 無 復 瑕 垢 光 明 曠 大 威 德 熾 然 身 
T14n0449_001:0401c03	善安住，焰網莊嚴，過於日月，若有眾生，生	善 安 住 焰 網 莊 嚴 過 於 日 月 若 有 眾 生 生 
T14n0449_001:0401c04	世界之間，或復人中昏暗及夜，莫知方所，	世 界 之 間 或 復 人 中 昏 暗 及 夜 莫 知 方 所 
