T50n2042_001:0099a12	阿育王傳卷第一	阿育王傳 卷 第 一 
T50n2042_001:0099a14	西晉安息三藏安法欽譯	西 晉 安 息 三 藏 安 法 欽 譯 
T50n2042_001:0099a15	本施土緣	本 施 土 緣 
T50n2042_001:0099a16	歸命一切智婆伽婆。住王舍城迦蘭陀竹林。	歸 命 一 切 智 婆 伽 婆 住 王 舍 城 迦 蘭 陀 竹 林 
T50n2042_001:0099a17	爾時世尊日時已到。著衣持鉢將諸比丘前	爾 時 世 尊 日 時 已 到 著衣持鉢 將 諸 比 丘 前 
T50n2042_001:0099a18	後圍繞。向王舍城次行乞食。說者曰。	後 圍 繞 向 王 舍 城 次 行 乞 食 說 者 曰 
T50n2042_001:0099a19	　不動如金山　　容豫如象王	 不 動 如 金 山 容 豫 如 象 王 
T50n2042_001:0099a20	　圓足如滿月　　比丘眾圍繞	 圓 足 如 滿 月 比 丘 眾 圍 繞 
T50n2042_001:0099a21	　詣王舍大城　　威儀甚庠序	 詣 王 舍 大 城 威 儀 甚 庠 序 
T50n2042_001:0099a22	乃至到城足躡門閫。大地即時六返震動。說	乃 至 到 城 足 躡 門 閫 大 地 即 時 六 返 震 動 說 
T50n2042_001:0099a23	者曰。	者 曰 
T50n2042_001:0099a24	　海以莊嚴地　　山城亦復然	 海 以 莊 嚴 地 山 城 亦 復 然 
T50n2042_001:0099a25	　牟尼足躡閫　　一切皆踊沒	 牟 尼 足 躡 閫 一 切 皆 踊 沒 
T50n2042_001:0099a26	　如是入城時　　男女生淨信	 如 是 入 城 時 男 女 生 淨 信 
T50n2042_001:0099a27	　城中悉變動　　如風吹海浪	 城 中 悉 變 動 如 風 吹 海 浪 
T50n2042_001:0099a28	　皆出和雅聲　　世間未曾有	 皆 出 和 雅 聲 世 間 未 曾 有 
T50n2042_001:0099a29	　當佛入城時　　丘墟悉平整	 當 佛 入 城 時 丘 墟 悉 平 整 
T50n2042_001:0099b01	　無諸砂礫　　荊棘糞穢　　皆沒於地	 無 諸 砂 礫 荊 棘 糞 穢 皆 沒 於 地 
T50n2042_001:0099b02	　盲視聾聽　　瘂言躄申　　狂者得心	 盲 視 聾 聽 瘂 言 躄 申 狂 者 得 心 
T50n2042_001:0099b03	　貧窮得財　　疾病得愈　　一切眾樂	 貧 窮 得 財 疾 病 得 愈 一 切 眾 樂 
T50n2042_001:0099b04	　不鼓自鳴　　寶器相扣　　出種種音	 不 鼓 自 鳴 寶 器 相 扣 出 種 種 音 
T50n2042_001:0099b05	　佛光普照　　如百千日　　明徹內外	 佛 光 普 照 如 百 千 日 明 徹 內 外 
T50n2042_001:0099b06	　皆如金色　　所放光明　　映蔽日月	 皆 如 金 色 所放光明 映 蔽 日 月 
T50n2042_001:0099b07	　照於眾生　　欝蒸涼樂　　譬如栴檀	 照 於 眾 生 欝 蒸 涼 樂 譬 如 栴 檀 
T50n2042_001:0099b08	　塗彼熱病　　無不消滅	 塗 彼 熱 病 無 不 消 滅 
T50n2042_001:0099b09	爾時世尊與阿難在巷中。行見二小兒。一名	爾 時 世 尊 與 阿 難 在 巷 中 行 見 二 小 兒 一 名 
T50n2042_001:0099b10	德勝是上族姓子。二名無勝是次族姓子。弄	德 勝 是 上 族 姓 子 二 名 無 勝 是 次 族 姓 子 弄 
T50n2042_001:0099b11	土而戲以土為城。城中復作舍宅倉儲。以土	土 而 戲 以 土 為 城 城 中 復 作 舍 宅 倉 儲 以 土 
T50n2042_001:0099b12	為[麩夫+少]著於倉中。此二小兒見佛三十二大人	為 [麩夫少] 著 於 倉 中 此 二 小 兒 見 佛 三 十 二 大 人 
T50n2042_001:0099b13	之相莊嚴其身。放金色光照城內外。皆作金	之 相 莊 嚴 其 身 放 金 色 光 照 城 內 外 皆 作 金 
T50n2042_001:0099b14	色無不明徹。見已歡喜。德勝於是掬倉中土	色 無 不 明 徹 見 已 歡 喜 德 勝 於 是 掬 倉 中 土 
T50n2042_001:0099b15	名為[麩夫+少]者奉上世尊。無勝在傍合掌隨喜。德	名 為 [麩夫少] 者 奉 上 世 尊 無 勝 在 傍 合 掌 隨 喜 德 
T50n2042_001:0099b16	勝於是說偈讚曰。	勝 於 是 說 偈 讚 曰 
T50n2042_001:0099b17	　大悲無師覺　　圓光顯照身	 大 悲 無 師 覺 圓 光 顯 照 身 
T50n2042_001:0099b18	　強顏生敬信　　以土施如來	 強 顏 生 敬 信 以 土 施 如 來 
T50n2042_001:0099b19	　稽首於世尊　　已斷生死者	 稽 首 於 世 尊 已 斷 生 死 者 
T50n2042_001:0099b20	爾時德勝童子。施土已訖而發願言。使我將	爾 時 德 勝 童 子 施 土 已 訖 而 發 願 言 使 我 將 
T50n2042_001:0099b21	來蓋於天地。復說偈供養。說者曰。	來 蓋 於 天 地 復 說 偈 供 養 說 者 曰 
T50n2042_001:0099b22	　佛知彼小兒　　心念發正願	 佛 知 彼 小 兒 心 念 發 正 願 
T50n2042_001:0099b23	　以勝福田故　　必獲於大果	 以 勝 福 田 故 必 獲 於 大 果 
T50n2042_001:0099b24	　大悲救世者　　即時受彼土	 大 悲 救 世 者 即 時 受 彼 土 
T50n2042_001:0099b25	　使其心歡喜　　以種王業緣	 使 其 心 歡 喜 以 種 王 業 緣 
T50n2042_001:0099b26	爾時世尊即便微笑。阿難長跪合掌白佛言。	爾 時 世 尊 即 便 微 笑 阿 難 長 跪 合 掌 白 佛 言 
T50n2042_001:0099b27	世尊。佛不以無緣而笑。何因緣故現於微笑。	世 尊 佛 不 以 無 緣 而 笑 何 因 緣 故 現 於 微 笑 
T50n2042_001:0099b28	爾時阿難便作偈言。	爾 時 阿 難 便 作 偈 言 
T50n2042_001:0099b29	　斷憂憍慢者　　世界中最上	 斷 憂 憍 慢 者 世 界 中 最 上 
T50n2042_001:0099c01	　終不無因緣　　現珂藕根齒	 終 不 無 因 緣 現 珂 藕 根 齒 
T50n2042_001:0099c02	　如雲出雷音　　牛王眼相者	 如 雲 出 雷 音 牛 王 眼 相 者 
T50n2042_001:0099c03	　願說施土報　　及與微笑事	 願 說 施 土 報 及 與 微 笑 事 
T50n2042_001:0099c04	佛告阿難。如是如是阿難佛不無緣而微笑	佛 告 阿 難 如是如是 阿 難 佛 不 無 緣 而 微 笑 
T50n2042_001:0099c05	也。汝今見是二小兒不也。已見世尊。佛言	也 汝 今 見 是 二 小 兒 不 也 已 見 世 尊 佛 言 
T50n2042_001:0099c06	我若涅槃百年之後。此小兒者當作轉輪聖	我 若 涅 槃 百 年 之 後 此 小 兒 者 當 作 轉 輪 聖 
T50n2042_001:0099c07	王四分之一。於花氏城作政法王號阿恕伽。	王 四 分 之 一 於 花 氏 城 作 政 法 王 號 阿 恕 伽 
T50n2042_001:0099c08	分我舍利而作八萬四千寶塔饒益眾生。	分 我 舍 利 而 作 八萬四千 寶 塔 饒 益 眾 生 
T50n2042_001:0099c09	爾時世尊即說偈言。	爾 時 世 尊 即 說 偈 言 
T50n2042_001:0099c10	　今吾滅度後　　有王阿恕伽	 今 吾 滅 度 後 有 王 阿 恕 伽 
T50n2042_001:0099c11	　名稱廣流布　　莊嚴吾舍利	 名 稱 廣 流 布 莊 嚴 吾 舍 利 
T50n2042_001:0099c12	　遍滿閻浮提　　人天所供養	 遍 滿 閻 浮 提 人 天 所 供 養 
T50n2042_001:0099c13	　以少土施緣　　受是大果報	 以 少 土 施 緣 受 是 大 果 報 
T50n2042_001:0099c14	佛說偈已便以此。土授與阿難。使塗如來經	佛 說 偈 已 便 以 此 土 授 與 阿 難 使 塗 如 來 經 
T50n2042_001:0099c15	行之地因作是言。阿難。頻婆娑羅王子名阿闍	行 之 地 因 作 是 言 阿 難 頻婆娑羅 王 子 名 阿 闍 
T50n2042_001:0099c16	世。阿闍世子名優陀那拔陀羅。優陀那拔	世 阿 闍 世 子 名 優 陀 那 拔 陀 羅 優 陀 那 拔 
T50n2042_001:0099c17	陀羅子名文荼。文荼子名烏耳。烏耳子名莎	陀 羅 子 名 文 荼 文 荼 子 名 烏 耳 烏 耳 子 名 莎 
