T33n1696_001:0063a25	大品遊意	大 品 遊 意 
T33n1696_001:0063a27	斯道幽微。深遠難測。無知無照。無名無相。	斯 道 幽 微 深 遠 難 測 無 知 無 照 無 名 無 相 
T33n1696_001:0063a28	理絕百非。道亡四句。言語無所厝其辨。情識	理 絕 百 非 道 亡 四 句 言 語 無 所 厝 其 辨 情 識 
T33n1696_001:0063a29	無所沒其慮。雖復一相無相。萬用無虧。至寂	無 所 沒 其 慮 雖 復 一相無相 萬 用 無 虧 至 寂 
T33n1696_001:0063b01	至空。道光法界。故開經宗之始。以不住法住。	至 空 道 光 法 界 故 開 經 宗 之 始 以 不 住 法 住 
T33n1696_001:0063b02	辨其義之終。以無得為得。是故絕相必假言	辨 其 義 之 終 以 無 得 為 得 是 故 絕 相 必 假 言 
T33n1696_001:0063b03	宣。無名要由教顯也。摩訶波若波羅經者。此	宣 無 名 要 由 教 顯 也 摩 訶 波 若 波 羅 經 者 此 
T33n1696_001:0063b04	云名之為大。大者。廣博苞容莫先為義。波	云 名 之 為 大 大 者 廣 博 苞 容 莫 先 為 義 波 
T33n1696_001:0063b05	若者。釋論云。如猛火聚四邊不可觸。觸之皆	若 者 釋 論 云 如 猛 火 聚 四 邊 不 可 觸 觸 之 皆 
T33n1696_001:0063b06	燒。此意正法波若。翻不翻皆不可得也。波羅	燒 此 意 正 法 波 若 翻 不 翻 皆 不 可 得 也 波 羅 
T33n1696_001:0063b07	蜜者。此云度彼岸。經者。訓法訓常。前賢後聖	蜜 者 此 云 度 彼 岸 經 者 訓 法 訓 常 前 賢 後 聖 
T33n1696_001:0063b08	莫能改之。故云常。階摸行人心識。目之為法。	莫 能 改 之 故 云 常 階 摸 行 人 心 識 目 之 為 法 
T33n1696_001:0063b09	故云經耳。	故 云 經 耳 
T33n1696_001:0063b10	般若義有五重。	般 若 義 有 五 重 
T33n1696_001:0063b11	　第一釋名　第二辨宗　第三會教	 第 一 釋 名 第 二 辨 宗 第 三 會 教 
T33n1696_001:0063b12	　第四明緣起　第五出部儻也	 第 四 明 緣 起 第 五 出 部 儻 也 
T33n1696_001:0063b13	第一釋名中有五。第一摩訶。二波若。三波羅	第 一 釋 名 中 有 五 第 一 摩 訶 二 波 若 三 波 羅 
T33n1696_001:0063b14	蜜。四修多羅。五序也。	蜜 四 修 多 羅 五 序 也 
T33n1696_001:0063b15	摩訶有名。謂摩訶摩醯優波。此云大也。龍樹	摩 訶 有 名 謂 摩 訶 摩 醯 優 波 此 云 大 也 龍 樹 
T33n1696_001:0063b16	云。摩訶有三。謂大多勝也。大者。以廣博苞容	云 摩 訶 有 三 謂 大 多 勝 也 大 者 以 廣 博 苞 容 
T33n1696_001:0063b17	莫先為義。如大經中說。明此大義有兩家。招	莫 先 為 義 如 大 經 中 說 明 此 大 義 有 兩 家 招 
T33n1696_001:0063b18	提涅槃師述莊嚴義云。大義有十種。一境。二	提 涅 槃 師 述 莊 嚴 義 云 大 義 有 十 種 一 境 二 
T33n1696_001:0063b19	人。三體。四用。五因。六果。七導。八利益。九斷	人 三 體 四 用 五 因 六 果 七 導 八 利 益 九 斷 
T33n1696_001:0063b20	結。十滅罪也。第一義境遍法界。故名境大。會	結 十 滅 罪 也 第 一 義 境 遍 法 界 故 名 境 大 會 
T33n1696_001:0063b21	此法者。名為人大。故十二門論云。世音大勢	此 法 者 名 為 人 大 故 十 二 門 論 云 世 音 大 勢 
