T85n2753_001:0205b09	華嚴經章	華 嚴 經 章 
T85n2753_001:0205b11	奧妙紹名□□□□□□□□□□□□	奧 妙 紹 名 
T85n2753_001:0205b12	□□□□□無相之相□□□□□□□□	 無 相 之 相 
T85n2753_001:0205b13	□□□□□□□□□□並舉名號以□□	 並 舉 名 號 以 
T85n2753_001:0205b14	□□□□□起□□非在外。所以即□□	 起 非 在 外 所 以 即 
T85n2753_001:0205b15	□□□□□□□□□□□□□□外故。所	 外 故 所 
T85n2753_001:0205b16	以即實故名名號品□□□□□□□□□□	以 即 實 故 名 名 號 品 
T85n2753_001:0205b17	□□。	 
T85n2753_001:0205b18	四諦品第四就此品中前後　□□□□□	四 諦 品 第 四 就 此 品 中 前 後 
T85n2753_001:0205b19	□□□□□准後列十方名號就文可知。其	 准 後 列 十 方 名 號 就 文 可 知 其 
T85n2753_001:0205b20	相旨意□□□□□□□。	相 旨 意 
T85n2753_001:0205b21	光明覺品第五此品所以興者。上之二品	光 明 覺 品 第 五 此 品 所 以 興 者 上 之 二 品 
T85n2753_001:0205b22	廣□□□理旨之相。正明佛果。契實妙用周	廣 理 旨 之 相 正 明 佛 果 契 實 妙 用 周 
T85n2753_001:0205b23	於法界。但義苞潤囑諒非玄悟。要由大聖神	於 法 界 但 義 苞 潤 囑 諒 非 玄 悟 要 由 大 聖 神 
T85n2753_001:0205b24	通道力微見其像。乃有寄心。是以如來從足	通 道 力 微 見 其 像 乃 有 寄 心 是 以 如 來 從 足 
T85n2753_001:0205b25	下相輪放大光明。現真實相含零有心無不	下 相 輪 放大光明 現 真 實 相 含 零 有 心 無 不 
T85n2753_001:0205b26	啟悟。以是義故首[標*寸]名曰光明覺品。	啟 悟 以是義故 首 [標寸] 名 曰 光 明 覺 品 
T85n2753_001:0205b27	明難品第六此品所以興者。上顯光明覺	明 難 品 第 六 此 品 所 以 興 者 上 顯 光 明 覺 
T85n2753_001:0205b28	品現證之驗。但前菩提圓寂真際之實。而顯	品 現 證 之 驗 但 前 菩 提 圓 寂 真 際 之 實 而 顯 
T85n2753_001:0205b29	在於法界名品。然法界名號者。是無相之相。	在 於 法 界 名 品 然 法 界 名 號 者 是 無 相 之 相 
T85n2753_001:0205c01	相即之實。眾生海者。亦復如是。此旨沖妙難	相 即 之 實 眾 生 海 者 亦復如是 此 旨 沖 妙 難 
T85n2753_001:0205c02	中之難。是以文殊師利。與諸方大士詳參爾	中 之 難 是 以 文 殊 師 利 與 諸 方 大 士 詳 參 爾 
T85n2753_001:0205c03	迹且舉十種諮門。一一隨義說正答深旨得	迹 且 舉 十 種 諮 門 一 一 隨 義 說 正 答 深 旨 得 
T85n2753_001:0205c04	彰故曰明難品。	彰 故 曰 明 難 品 
T85n2753_001:0205c05	淨行品第七此品所以興者。上明圓果微	淨 行 品 第 七 此 品 所 以 興 者 上 明 圓 果 微 
T85n2753_001:0205c06	妙非因不對因。雖無量無非淨行故。次明淨	妙 非 因 不 對 因 雖 無 量 無 非 淨 行 故 次 明 淨 
T85n2753_001:0205c07	行品。	行 品 
T85n2753_001:0205c08	賢首菩薩品第八此品所以興者。文殊上	賢 首 菩 薩 品 第 八 此 品 所 以 興 者 文 殊 上 
T85n2753_001:0205c09	明行要清淨。於中廣大深義其相未彰故。問	明 行 要 清 淨 於 中 廣 大 深 義 其 相 未 彰 故 問 
T85n2753_001:0205c10	賢首敷演其奧故。次第八明賢首品。	賢 首 敷 演 其 奧 故 次 第 八 明 賢 首 品 
T85n2753_001:0205c11	佛昇須彌頂品第九此品所以興者。上明	佛 昇 須 彌 頂 品 第 九 此 品 所 以 興 者 上 明 
T85n2753_001:0205c12	佛果真實之德。略辨回行方便。會果之道。自	佛 果 真 實 之 德 略 辨 回 行 方 便 會 果 之 道 自 
T85n2753_001:0205c13	下復明如來至寂虛凝而用周法界。何以知	下 復 明 如 來 至 寂 虛 凝 而 用 周 法 界 何 以 知 
T85n2753_001:0205c14	之。然不起道樹之於六天。乃十方亦復如是。	之 然 不 起 道 樹 之 於 六 天 乃 十 方 亦復如是 
T85n2753_001:0205c15	後欲廣辨菩薩行位超昇有實出要故。次明	後 欲 廣 辨 菩 薩 行 位 超 昇 有 實 出 要 故 次 明 
T85n2753_001:0205c16	昇須彌品。	昇 須 彌 品 
T85n2753_001:0205c17	菩薩雲集品第十此品所以興者。前明十	菩 薩 雲 集 品 第 十 此 品 所 以 興 者 前 明 十 
T85n2753_001:0205c18	方法界一合之相。此品欲明平等真寂一切	方 法 界 一 合 之 相 此 品 欲 明 平 等 真 寂 一 切 
T85n2753_001:0205c19	皆是。是故大士十菩薩。皆據實觀窮玄乃名	皆 是 是 故 大 士 十 菩 薩 皆 據 實 觀 窮 玄 乃 名 
T85n2753_001:0205c20	見佛泯於分別。何故然也。欲明菩薩發菩提	見 佛 泯 於 分 別 何 故 然 也 欲 明 菩 薩 發 菩 提 
T85n2753_001:0205c21	心決定即是與佛無別故。次明雲集品。	心 決 定 即 是 與 佛 無 別 故 次 明 雲 集 品 
T85n2753_001:0205c22	菩薩十住品第十一此品所以興者。前明	菩薩十住 品 第 十 一 此 品 所 以 興 者 前 明 
T85n2753_001:0205c23	真寂無相妙絕分別為開大士菩提圓道。是	真 寂 無 相 妙 絕 分 別 為 開 大 士 菩 提 圓 道 是 
T85n2753_001:0205c24	故有心曉達其趣。創發弘誓心冥大寂安固	故 有 心 曉 達 其 趣 創 發 弘 誓 心 冥 大 寂 安 固 
T85n2753_001:0205c25	不動。謂之為住故。次明十住品也。	不 動 謂 之 為 住 故 次 明 十 住 品 也 
T85n2753_001:0205c26	梵行品第十二此品所以興者。上明心冥	梵 行 品 第 十 二 此 品 所 以 興 者 上 明 心 冥 
T85n2753_001:0205c27	大寂安固不動成就住義。此明真實證修決	大 寂 安 固 不動成就 住 義 此 明 真 實 證 修 決 
T85n2753_001:0205c28	定勝集。初發心時便成正覺故。次明梵行品。	定 勝 集 初 發 心 時 便 成 正 覺 故 次 明 梵 行 品 
T85n2753_001:0205c29	功德品第十三此品所以興者。上明梵行	功 德 品 第 十 三 此 品 所 以 興 者 上 明 梵 行 
