X69n1352_001:0303c06	 白雲禪錄	 白 雲 禪 錄 
X69n1352_001:0303c08	天下之顱圓而裾方者。跡滿山谷。求其所至之學。或	天 下 之 顱 圓 而 裾 方 者 跡 滿 山 谷 求 其 所 至 之 學 或 
X69n1352_001:0303c09	得於心。或得於言。得於心有失於言。非所謂得心。得	得 於 心 或 得 於 言 得 於 心 有 失 於 言 非 所 謂 得 心 得 
X69n1352_001:0303c10	於言有失於心。非所謂得言。是皆明於一偏。而瞽於	於 言 有 失 於 心 非 所 謂 得 言 是 皆 明 於 一 偏 而 瞽 於 
X69n1352_001:0303c11	雙照。若吾端師者。以超拔卓異之資。生於衡湘間。能	雙 照 若 吾 端 師 者 以 超 拔 卓 異 之 資 生 於 衡 湘 間 能 
X69n1352_001:0303c12	以不心而心。何有而不可於心。能以不言而言。何有	以 不 心 而 心 何 有 而 不 可 於 心 能 以 不 言 而 言 何 有 
X69n1352_001:0303c13	而不可於言。用是而巾屨于州者有二。曰江。曰舒。香	而 不 可 於 言 用 是 而 巾 屨 于 州 者 有 二 曰 江 曰 舒 香 
X69n1352_001:0303c14	火于寺者有六。曰承天。曰圓通。曰法華。曰龍門。曰興	火 于 寺 者 有 六 曰 承 天 曰 圓 通 曰 法 華 曰 龍 門 曰 興 
X69n1352_001:0303c15	化。曰海會。所居既廣。所言亦富。其門弟子處凝者。編	化 曰 海 會 所 居 既 廣 所 言 亦 富 其 門 弟 子 處 凝 者 編 
X69n1352_001:0303c16	而為帙。分上中下。以予知師之多。求名其帙。而又俾	而 為 帙 分 上 中 下 以 予 知 師 之 多 求 名 其 帙 而 又 俾 
X69n1352_001:0303c17	序其首。余以師終海會。海會之山曰白雲。故總題曰	序 其 首 余 以 師 終 海 會 海 會 之 山 曰 白 雲 故 總 題 曰 
X69n1352_001:0303c18	白雲禪錄。若其得法之因。語載帙中。此不復道。後之	白 雲 禪 錄 若 其 得 法 之 因 語 載 帙 中 此 不 復 道 後 之 
X69n1352_001:0303c19	人。由余文以推其心。則知心者無閡於言。索其言。則	人 由 余 文 以 推 其 心 則 知 心 者 無 閡 於 言 索 其 言 則 
X69n1352_001:0303c20	知言者無閡於心。然後所以信為吾端師也。太原王	知 言 者 無 閡 於 心 然 後 所 以 信 為 吾 端 師 也 太 原 王 
X69n1352_001:0303c21	孜序。	孜 序 
X69n1352_001:0304a07	白雲端和尚語錄卷一	白 雲 端 和 尚 語 錄 卷 一 
X69n1352_001:0304a09	江州承天禪院語錄	江 州 承 天 禪 院 語 錄 
X69n1352_001:0304a10	參學小師　處凝　編	參 學 小 師 處 凝 編 
X69n1352_001:0304a11	師開堂日。陞座拈香云。此一瓣香。奉為	師 開 堂 日 陞 座 拈 香 云 此 一 瓣 香 奉 為 
X69n1352_001:0304a12	今上　皇帝。伏願。堯風永扇。舜日遐明。次拈香云。此	今 上 皇 帝 伏 願 堯 風 永 扇 舜 日 遐 明 次 拈 香 云 此 
X69n1352_001:0304a13	一瓣香。奉為過現未來。大覺海中。有利及於含生。一	一 瓣 香 奉 為 過 現 未 來 大 覺 海 中 有 利 及 於 含 生 一 
X69n1352_001:0304a14	切聖賢。及生平所參見。諸善知識。眾中衣鉢道友。曾	切 聖 賢 及 生 平 所 參 見 諸 善 知 識 眾 中 衣 鉢 道 友 曾 
X69n1352_001:0304a15	有一言一句。布施我者。師僧父母。一切恩門。聊伸報	有 一 言 一 句 布 施 我 者 師 僧 父 母 一 切 恩 門 聊 伸 報 
X69n1352_001:0304a16	謝。又拈香云。此一瓣香。且道為什麼人。若有所為。雪	謝 又 拈 香 云 此 一 瓣 香 且 道 為 什 麼 人 若 有 所 為 雪 
X69n1352_001:0304a17	上加霜。若無所為。過莫大焉。奉為我先住袁州楊岐。	上 加 霜 若 無 所 為 過 莫 大 焉 奉 為 我 先 住 袁 州 楊 岐 
X69n1352_001:0304a18	後住潭州雲盖。親見慈明來底老古錐。誰知道。今日	後 住 潭 州 雲 盖 親 見 慈 明 來 底 老 古 錐 誰 知 道 今 日 
X69n1352_001:0304a19	向者裏。拋三放兩去也。遂坐。圓通訥和尚白槌云。法	向 者 裏 拋 三 放 兩 去 也 遂 坐 圓 通 訥 和 尚 白 槌 云 法 
X69n1352_001:0304a20	筵龍象眾。當觀第一義。師乃顧視左右云。便恁麼散	筵 龍 象 眾 當 觀 第 一 義 師 乃 顧 視 左 右 云 便 恁 麼 散 
X69n1352_001:0304a21	去。自古自今。如麻似粟。若言更有如何若何。曹溪一	去 自 古 自 今 如 麻 似 粟 若 言 更 有 如 何 若 何 曹 溪 一 
X69n1352_001:0304a22	路平沈。所以從上諸聖。皆向火焰裏。出來垂手。只要	路 平 沈 所 以 從 上 諸 聖 皆 向 火 焰 裏 出 來 垂 手 只 要 
X69n1352_001:0304a23	一切人。眼橫鼻直去。今日眾中。有大家垂手者麼。出	一 切 人 眼 橫 鼻 直 去 今 日 眾 中 有 大 家 垂 手 者 麼 出 
X69n1352_001:0304a24	來看　僧問。師唱誰家曲。宗風嗣阿誰。師云。一手不	來 看 僧 問 師 唱 誰 家 曲 宗 風 嗣 阿 誰 師 云 一 手 不 
X69n1352_001:0304b01	獨拍。兩手鳴劃劃。僧云。真師子兒能師子吼。師云勸	獨 拍 兩 手 鳴 劃 劃 僧 云 真 師 子 兒 能 師 子 吼 師 云 勸 
X69n1352_001:0304b02	君休去便休去。莫待風高更入深　僧問。欲行千里。	君 休 去 便 休 去 莫 待 風 高 更 入 深 僧 問 欲 行 千 里 
X69n1352_001:0304b03	一步為初。如何是最初一步。師云過者邊立。僧云五	一 步 為 初 如 何 是 最 初 一 步 師 云 過 者 邊 立 僧 云 五 
X69n1352_001:0304b04	更侵早行。更有夜行人。師云未敢相許。僧便喝。師云	更 侵 早 行 更 有 夜 行 人 師 云 未 敢 相 許 僧 便 喝 師 云 
X69n1352_001:0304b05	咦　僧問。人天交接。兩得相見。如何是相見底事。師	咦 僧 問 人 天 交 接 兩 得 相 見 如 何 是 相 見 底 事 師 
X69n1352_001:0304b06	云爭敢相謾。僧云恁麼則久經沙塞苦。今日遇良知。	云 爭 敢 相 謾 僧 云 恁 麼 則 久 經 沙 塞 苦 今 日 遇 良 知 
X69n1352_001:0304b07	師云。你脚跟事作麼生。僧云眾水含孤月。群星拱北	師 云 你 脚 跟 事 作 麼 生 僧 云 眾 水 含 孤 月 群 星 拱 北 
X69n1352_001:0304b08	辰。師云李白依前是秀才　僧問。人天普集。為聽潮	辰 師 云 李 白 依 前 是 秀 才 僧 問 人 天 普 集 為 聽 潮 
X69n1352_001:0304b09	音。郡主當筵。合談何事。師云你向甚處去來。僧云恁	音 郡 主 當 筵 合 談 何 事 師 云 你 向 甚 處 去 來 僧 云 恁 
X69n1352_001:0304b10	麼則九江千里內。草木盡霑恩。師云笑殺衲僧。僧將	麼 則 九 江 千 里 內 草 木 盡 霑 恩 師 云 笑 殺 衲 僧 僧 將 
X69n1352_001:0304b11	坐具一拂便出去。師云依稀越國。髣髴楊州　乃云。	坐 具 一 拂 便 出 去 師 云 依 稀 越 國 髣 髴 楊 州 乃 云 
X69n1352_001:0304b12	問話且止。問之與答。俱是贏得邊事。古者道。動則起	問 話 且 止 問 之 與 答 俱 是 贏 得 邊 事 古 者 道 動 則 起 
X69n1352_001:0304b13	生死之本。靜則沈昏醉之鄉。動靜雙泯。則落空亡。動	生 死 之 本 靜 則 沈 昏 醉 之 鄉 動 靜 雙 泯 則 落 空 亡 動 
