T24n1460_001:0659a03	解脫戒經	解 脫 戒 經 
T24n1460_001:0659a05	僧昉述	僧 昉 述 
T24n1460_001:0659a06	譯經緣起	譯 經 緣 起 
T24n1460_001:0659a07	戒律者，建定慧之妙幢、殄闇惑之明燈，度	戒 律 者 建 定 慧 之 妙 幢 殄 闇 惑 之 明 燈 度 
T24n1460_001:0659a08	危嶮之蹊徑、開憺怕之梁津。寶殿之功罔	危 嶮 之 蹊 徑 開 憺 怕 之 梁 津 寶 殿 之 功 罔 
T24n1460_001:0659a09	初弗起、踰越重閣非梯靡昇，正法住滅驗	初 弗 起 踰 越 重 閣 非 梯 靡 昇 正 法 住 滅 驗 
T24n1460_001:0659a10	之常典，大聖泯暉邁餘千紀，法澤遐流猶未	之 常 典 大 聖 泯 暉 邁 餘 千 紀 法 澤 遐 流 猶 未 
T24n1460_001:0659a11	周備，令文學之徒異論競興、薄俗之士訕音	周 備 令 文 學 之 徒 異 論 競 興 薄 俗 之 士 訕 音 
T24n1460_001:0659a12	滿世。余聽斯談輒[門@視]慈範，昧攬玄言乃囑大	滿 世 余 聽 斯 談 輒 [門視] 慈 範 昧 攬 玄 言 乃 囑 大 
T24n1460_001:0659a13	集，聖所嗟歎言迦葉毘，妙觀我人善摧惱結、	集 聖 所 嗟 歎 言 迦 葉 毘 妙 觀 我 人 善 摧 惱 結 
T24n1460_001:0659a14	閑邪辯正極聖冲典。每尋斯文慨五數闕，敢	閑 邪 辯 正 極 聖 冲 典 每 尋 斯 文 慨 五 數 闕 敢 
T24n1460_001:0659a15	以追訪獲斯戒本，雖未廣具，敬以洗心，剪	以 追 訪 獲 斯 戒 本 雖 未 廣 具 敬 以 洗 心 剪 
T24n1460_001:0659a16	世浮辭。大魏武定癸亥之年，在鄴京都，侍中	世 浮 辭 大 魏 武 定 癸 亥 之 年 在 鄴 京 都 侍 中 
T24n1460_001:0659a17	尚書令高澄請為出焉。	尚 書 令 高 澄 請 為 出 焉 
T24n1460_001:0659a18	羯磨中，外國云「若僧到時」(漢地迴文言「時到」)「僧忍聽」(言僧	羯 磨 中 外 國 云 若 僧 到 時 漢 地 迴 文 言 時 到 僧 忍 聽 言 僧 
T24n1460_001:0659a19	至我作法時，莫遮我所作，故言「聽」)外國耳聽(遮聽，言音字別，漢用一字，所以致或)。	至 我 作 法 時 莫 遮 我 所 作 故 言 聽 外 國 耳 聽 遮 聽 言 音 字 別 漢 用 一 字 所 以 致 或 
T24n1460_001:0659a22	解脫戒經(出迦葉毘部)	解 脫 戒 經 出 迦 葉 毘 部 
T24n1460_001:0659a24	元魏婆羅門瞿曇般若流支譯	元 魏 婆 羅 門 瞿 曇 般 若 流 支 譯 
T24n1460_001:0659a25	　是解脫戒經，　　億劫難得聞，	 是 解 脫 戒 經 億 劫 難 得 聞 
T24n1460_001:0659a26	　攝受正修行，　　斯事倍復難。	 攝 受 正 修 行 斯 事 倍 復 難 
T24n1460_001:0659a27	　有佛興世樂，　　興世說法樂，	 有 佛 興 世 樂 興 世 說 法 樂 
T24n1460_001:0659a28	　眾僧和合樂，　　和合持戒樂。	 眾 僧 和 合 樂 和 合 持 戒 樂 
T24n1460_001:0659a29	「諸大德！時分一月過三月在，老死欲至，佛法	 諸 大 德 時 分 一 月 過 三 月 在 老 死 欲 至 佛 法 
