T51n2095_001:1024c03	廬山記序	廬 山 記 序 
T51n2095_001:1024c05	余昔者讀書山中。愛其泉石塔廟之　志之	余 昔 者 讀 書 山 中 愛 其 泉 石 塔 廟 之 志 之 
T51n2095_001:1024c06	不詳遺古略近。或出於愚夫野老之語。言□	不 詳 遺 古 略 近 或 出 於 愚 夫 野 老 之 語 言 
T51n2095_001:1024c07	辭贅。可取者無幾。將討論刪次之。未皇暇	辭 贅 可 取 者 無 幾 將 討 論 刪 次 之 未 皇 暇 
T51n2095_001:1024c08	也。後二十年。讎書祕閣得廬山記。欣然以喜。	也 後 二 十 年 讎 書 祕 閣 得 廬 山 記 欣 然 以 喜 
T51n2095_001:1024c09	以為夙願獲遂。而考其所載。疏略尤甚。熙寧	以 為 夙 願 獲 遂 而 考 其 所 載 疏 略 尤 甚 熙 寧 
T51n2095_001:1024c10	五年。嘉禾陳令舉舜俞謫官山前。酷嗜遊覽。	五 年 嘉 禾 陳 令 舉 舜 俞 謫 官 山 前 酷 嗜 遊 覽 
T51n2095_001:1024c11	以六十日之力。盡南北高深之勝。晝行山間。	以 六 十 日 之 力 盡 南 北 高 深 之 勝 晝 行 山 間 
T51n2095_001:1024c12	援毫折簡。旁鈔四詰。小大弗擇。夜則發書攻	援 毫 折 簡 旁 鈔 四 詰 小 大 弗 擇 夜 則 發 書 攻 
T51n2095_001:1024c13	之。至可傳而後已。其高下廣狹。山石水泉。與	之 至 可 傳 而 後 已 其 高 下 廣 狹 山 石 水 泉 與 
T51n2095_001:1024c14	夫浮屠老子之宮廟。逸人達士之居舍。廢興	夫 浮 屠 老 子 之 宮 廟 逸 人 達 士 之 居 舍 廢 興 
T51n2095_001:1024c15	衰盛。碑刻詩什。莫不畢載。而又作俯視之圖	衰 盛 碑 刻 詩 什 莫 不 畢 載 而 又 作 俯 視 之 圖 
T51n2095_001:1024c16	紀。尋山先後之次。泓泉塊石。無使遺者。成書	紀 尋 山 先 後 之 次 泓 泉 塊 石 無 使 遺 者 成 書 
T51n2095_001:1024c17	凡五卷。後三年。余守吳興。令舉扁舟相過。	凡 五 卷 後 三 年 余 守 吳 興 令 舉 扁 舟 相 過 
T51n2095_001:1024c18	以余山前之人也。出[葶丁+呆]見授。請鏤諸板。藏之	以 余 山 前 之 人 也 出 [葶丁呆] 見 授 請 鏤 諸 板 藏 之 
T51n2095_001:1024c19	山間。會余蒙恩移濟南。遽與之別。令舉尋復	山 間 會 余 蒙 恩 移 濟 南 遽 與 之 別 令 舉 尋 復 
T51n2095_001:1024c20	物故。余益以事役。犇走四方。思一旋歸。茫不	物 故 余 益 以 事 役 犇 走 四 方 思 一 旋 歸 茫 不 
T51n2095_001:1024c21	可得。輒序其譔述之勤貽。好事君子。庶幾成	可 得 輒 序 其 譔 述 之 勤 貽 好 事 君 子 庶 幾 成 
T51n2095_001:1024c22	令舉之志。	令 舉 之 志 
T51n2095_001:1024c23	充祕閣校理李常序	充 祕 閣 校 理 李 常 序 
T51n2095_001:1024c24	予雅愛廬山之勝。棄官歸南。遂得　之陽游	予 雅 愛 廬 山 之 勝 棄 官 歸 南 遂 得 之 陽 游 
T51n2095_001:1024c25	覽既久。遇景亦多。或賦或錄。雜為　將欲	覽 既 久 遇 景 亦 多 或 賦 或 錄 雜 為 將 欲 
T51n2095_001:1024c26	次之。而未暇也。熙寧中。會陳令舉。以言事□	次 之 而 未 暇 也 熙 寧 中 會 陳 令 舉 以 言 事 
T51n2095_001:1024c27	於是邦山林之嗜既同。相與乘黃犢。往來山	於 是 邦 山 林 之 嗜 既 同 相 與 乘 黃 犢 往 來 山 
T51n2095_001:1024c28	間。歲月之積。遂得窮探極觀無所不究。令舉	間 歲 月 之 積 遂 得 窮 探 極 觀 無 所 不 究 令 舉 
T51n2095_001:1024c29	乃採子所錄。及古今之所紀。耆舊之所傳。與	乃 採 子 所 錄 及 古 今 之 所 紀 耆 舊 之 所 傳 與 
T51n2095_001:1025a01	夫耳目之所經見。類而次之。以為記其詳。蓋	夫 耳 目 之 所 經 見 類 而 次 之 以 為 記 其 詳 蓋 
T51n2095_001:1025a02	足以傳後。予材不可以應時宜。退老於林野。	足 以 傳 後 予 材 不 可 以 應 時 宜 退 老 於 林 野 
T51n2095_001:1025a03	令舉以制策擢上第。名聲赫赫驚世。仕不二	令 舉 以 制 策 擢 上 第 名 聲 赫 赫 驚 世 仕 不 二 
T51n2095_001:1025a04	十歲。乃廢於筦庫。而與予共見於此記。甚可	十 歲 乃 廢 於 筦 庫 而 與 予 共 見 於 此 記 甚 可 
T51n2095_001:1025a05	惜也。然推古以較今。豈特一令舉為可惜哉。	惜 也 然 推 古 以 較 今 豈 特 一 令 舉 為 可 惜 哉 
T51n2095_001:1025a06	江西劉渙序。	江 西 劉 渙 序 
