X31n0610_001:0516a03	妙法蓮華經擊節	妙法蓮華 經 擊 節 
X31n0610_001:0516a05	明海印沙門釋　德清　述	明 海 印 沙 門 釋 德 清 述 
X31n0610_001:0516a06	原夫世尊唯以此一大事因緣故出現於世。所謂開	原 夫 世 尊 唯 以 此 一 大 事 因 緣 故 出 現 於 世 所 謂 開 
X31n0610_001:0516a07	示一切眾生各各本有佛之知見。令其悟入。即得現	示 一 切 眾 生 各 各 本 有 佛 之 知 見 令 其 悟 入 即 得 現 
X31n0610_001:0516a08	前實證。唯此一事。更無餘事。悟此知見即登佛地。故	前 實 證 唯 此 一 事 更 無 餘 事 悟 此 知 見 即 登 佛 地 故 
X31n0610_001:0516a09	名一乘。既如來出世唯為此一大事。故所說之法唯	名 一 乘 既 如 來 出 世 唯 為 此 一 大 事 故 所 說 之 法 唯 
X31n0610_001:0516a10	有一乘。更無餘乘。而一代時教其所顯者。唯一乘理	有 一 乘 更 無 餘 乘 而 一 代 時 教 其 所 顯 者 唯 一 乘 理 
X31n0610_001:0516a11	行因果而已。由前四十年中根機未熟。故所開示者	行 因 果 而 已 由 前 四 十 年 中 根 機 未 熟 故 所 開 示 者 
X31n0610_001:0516a12	特三乘理行。由顯理未圓。故行匪真行。而果非真果。	特 三 乘 理 行 由 顯 理 未 圓 故 行 匪 真 行 而 果 非 真 果 
X31n0610_001:0516a13	皆非究竟佛慧。但為資發前導。皆為方便權設。以為	皆 非 究 竟 佛 慧 但 為 資 發 前 導 皆 為 方 便 權 設 以 為 
X31n0610_001:0516a14	入佛智慧之門耳。然言雖方便。而意實指歸一乘寂	入 佛 智 慧 之 門 耳 然 言 雖 方 便 而 意 實 指 歸 一 乘 寂 
X31n0610_001:0516a15	滅場地。如標月指。故云我今知諸眾生有種種欲深	滅 場 地 如 標 月 指 故 云 我 今 知 諸 眾 生 有 種 種 欲 深 
X31n0610_001:0516a16	心所著。隨其本性。以種種因緣譬喻言詞方便力而	心 所 著 隨 其 本 性 以 種種因緣 譬 喻 言 詞 方 便 力 而 
X31n0610_001:0516a17	為說法。如此皆為得一佛乘一切種智故。是則凡所	為 說 法 如 此 皆 為 得 一 佛 乘 一切種智 故 是 則 凡 所 
X31n0610_001:0516a18	言說皆為一乘。奈彼劣解之機。如言取執。不得離言	言 說 皆 為 一 乘 奈 彼 劣 解 之 機 如 言 取 執 不 得 離 言 
X31n0610_001:0516a19	之旨。故佛於般若會上。多方淘汰。根機漸熟。故前此	之 旨 故 佛 於 般 若 會 上 多 方 淘 汰 根 機 漸 熟 故 前 此 
X31n0610_001:0516a20	於楞伽會上。說離心意識自覺聖智境界。以破外道	於 楞 伽 會 上 說 離 心 意 識 自覺聖智 境 界 以 破 外 道 
X31n0610_001:0516a21	妄想之見。以袪小乘名言之執。直示究竟一乘實相	妄 想 之 見 以 袪 小 乘 名 言 之 執 直 示 究 竟 一 乘 實 相 
X31n0610_001:0516a22	離言之道。直欲眾生現前頓證諸佛自覺聖智之地。	離 言 之 道 直 欲 眾 生 現 前 頓 證 諸 佛 自覺聖智 之 地 
X31n0610_001:0516a23	今則已蒙直指人人本有佛之知見。即是諸佛自覺	今 則 已 蒙 直 指 人 人 本 有 佛 之 知 見 即 是 諸 佛 自 覺 
X31n0610_001:0516a24	聖智。則諸聞者易信易入。根機已熟。故於此法華會	聖 智 則 諸 聞 者 易 信 易 入 根 機 已 熟 故 於 此 法 華 會 
X31n0610_001:0516b01	上。依前智境。直示妙行以為真因。將欲依此真因。頓	上 依 前 智 境 直 示 妙 行 以 為 真 因 將 欲 依 此 真 因 頓 
X31n0610_001:0516b02	契真果。故最初建言即云說無量義經。入無量義處	契 真 果 故 最 初 建 言 即 云 說 無 量 義 經 入 無 量 義 處 
X31n0610_001:0516b03	三昧。於無量義者。殊非多多之謂也。葢顯示此一乘	三 昧 於 無 量 義 者 殊 非 多 多 之 謂 也 葢 顯 示 此 一 乘 
X31n0610_001:0516b04	自覺聖智境界。離心意識限量故。此則頓以離言之	自覺聖智 境 界 離 心 意 識 限 量 故 此 則 頓 以 離 言 之 
X31n0610_001:0516b05	智。直示眾生。令其默識而悟入之。可謂先以定動者	智 直 示 眾 生 令 其 默 識 而 悟 入 之 可 謂 先 以 定 動 者 
X31n0610_001:0516b06	矣。然此智境。非中道妙智不能入。故放眉間白毫相	矣 然 此 智 境 非 中 道 妙 智 不 能 入 故 放 眉間白毫相 
X31n0610_001:0516b07	光。要顯示眾生日用根塵識界。即諸佛自覺聖智境	光 要 顯 示 眾 生 日 用 根 塵 識 界 即 諸 佛 自覺聖智 境 
X31n0610_001:0516b08	界。故光照萬八千土。然生死涅槃。本來平等。故光中	界 故 光 照 萬 八 千 土 然 生死涅槃 本 來 平 等 故 光 中 
X31n0610_001:0516b09	圓現法界事相。生佛始終。昭然在目。意在顯此實相	圓 現 法 界 事 相 生 佛 始 終 昭 然 在 目 意 在 顯 此 實 相 
X31n0610_001:0516b10	心境。乃諸佛所證。眾生所迷。即今欲令眾生現證。故	心 境 乃 諸 佛 所 證 眾 生 所 迷 即 今 欲 令 眾 生 現 證 故 
X31n0610_001:0516b11	直指現前。纖毫不昧。至若天雨四華。地搖六震。可謂	直 指 現 前 纖 毫 不 昧 至 若 天 雨 四 華 地 搖 六 震 可 謂 
X31n0610_001:0516b12	通身吐露。徹底掀翻。意要人人不言而悟。當下薦取。	通 身 吐 露 徹 底 掀 翻 意 要 人 人 不 言 而 悟 當 下 薦 取 
X31n0610_001:0516b13	由吾人未離心識。依然眼鈍頭迷。難免分別。不能諦	由 吾 人 未 離 心 識 依 然 眼 鈍 頭 迷 難 免 分 別 不 能 諦 
X31n0610_001:0516b14	信。以依識分別。故彌勒騰疑。所以必問文殊者。意顯	信 以 依 識 分 別 故 彌 勒 騰 疑 所 以 必 問 文 殊 者 意 顯 
X31n0610_001:0516b15	此實相妙境。非智莫證故也。及啟問文殊。廼引燈明	此 實 相 妙 境 非 智 莫 證 故 也 及 啟 問 文 殊 廼 引 燈 明 
X31n0610_001:0516b16	之本始。證今日之瑞相。此則曲唱傍通。已為指點分	之 本 始 證 今 日 之 瑞 相 此 則 曲 唱 傍 通 已 為 指 點 分 
X31n0610_001:0516b17	明說破。可謂後以智拔者矣。奈何吾人知見未忘。故	明 說 破 可 謂 後 以 智 拔 者 矣 奈 何 吾 人 知 見 未 忘 故 
X31n0610_001:0516b18	於不言之道。終難領會。仍須復以言說而開導之。是	於 不 言 之 道 終 難 領 會 仍 須 復 以 言 說 而 開 導 之 是 
X31n0610_001:0516b19	則凡涉語言。皆方便也。故世尊出定。不得已而又假	則 凡 涉 語 言 皆 方 便 也 故 世 尊 出 定 不 得 已 而 又 假 
X31n0610_001:0516b20	言說以窾啟之。爾廼明告之曰。諸佛智慧甚深無量。	言 說 以 窾 啟 之 爾 廼 明 告 之 曰 諸 佛 智 慧 甚 深 無 量 
X31n0610_001:0516b21	其智慧門難解難入。不獨一往四十年中所說皆為	其 智 慧 門 難解難入 不 獨 一 往 四 十 年 中 所 說 皆 為 
X31n0610_001:0516b22	智慧之門。即今日入定放光現瑞之事皆入智慧之	智 慧 之 門 即 今 日 入 定 放 光 現 瑞 之 事 皆 入 智 慧 之 
X31n0610_001:0516b23	門也。惟此離言之道。唯佛與佛乃能究盡。殊非心識	門 也 惟 此 離 言 之 道 唯 佛 與 佛 乃 能 究 盡 殊 非 心 識 
X31n0610_001:0516b24	思量分別可到。既曰無量。豈心量可知耶。昔時曲說。	思 量 分 別 可 到 既 曰 無 量 豈 心 量 可 知 耶 昔 時 曲 說 
X31n0610_001:0516c01	容可不悟。今特直示。尚爾瞢然。信乎。此智慧門真難	容 可 不 悟 今 特 直 示 尚 爾 瞢 然 信 乎 此 智 慧 門 真 難 
X31n0610_001:0516c02	解入也。何者。以前無量無邊方便。譬喻因緣。種種言	解 入 也 何 者 以 前 無量無邊 方 便 譬 喻 因 緣 種 種 言 
X31n0610_001:0516c03	詞。皆為顯示一乘。欲令究竟皆得佛智慧故。奈何聞	詞 皆 為 顯 示 一 乘 欲 令 究 竟 皆 得 佛 智 慧 故 奈 何 聞 
