X25n0475_001:0071a03	 金剛鎞序	 金 剛 鎞 序 
X25n0475_001:0071a05	帝堯不可無虞舜。文王不可無孔子。道有所傳故也。	帝 堯 不 可 無 虞 舜 文 王 不 可 無 孔 子 道 有 所 傳 故 也 
X25n0475_001:0071a06	迦葉不能無迦文。迦文不能無彌勒。亦道有所傳故	迦 葉 不 能 無 迦 文 迦 文 不 能 無 彌 勒 亦 道 有 所 傳 故 
X25n0475_001:0071a07	也。是以道之不見於堯者。得聞於舜。不見於文者。得	也 是 以 道 之 不 見 於 堯 者 得 聞 於 舜 不 見 於 文 者 得 
X25n0475_001:0071a08	聞於孔。而不悟於迦文者。得明於彌勒。乃有外彌勒	聞 於 孔 而 不 悟 於 迦 文 者 得 明 於 彌 勒 乃 有 外 彌 勒 
X25n0475_001:0071a09	以明迦文。是猶却孔子而究文王。舍大舜以辨唐堯	以 明 迦 文 是 猶 却 孔 子 而 究 文 王 舍 大 舜 以 辨 唐 堯 
X25n0475_001:0071a10	矣。有是理乎。況迦文所演金剛一經。最為微妙不可	矣 有 是 理 乎 況 迦 文 所 演 金 剛 一 經 最 為 微 妙 不 可 
X25n0475_001:0071a11	思議。登地大聖。猶然難之。而求明於彌勒。博地凡夫。	思 議 登 地 大 聖 猶 然 難 之 而 求 明 於 彌 勒 博 地 凡 夫 
X25n0475_001:0071a12	何乃叛其說。任己見以為之解耶。辭愈新而義愈匿。	何 乃 叛 其 說 任 己 見 以 為 之 解 耶 辭 愈 新 而 義 愈 匿 
X25n0475_001:0071a13	文彌彩而旨彌昏。鬪諍競起。壇幟橫興。末法之弊極	文 彌 彩 而 旨 彌 昏 鬪 諍 競 起 壇 幟 橫 興 末 法 之 弊 極 
X25n0475_001:0071a14	矣。雲棲空大師。遠窮大藏。深究微言。反復諸家。博綜	矣 雲 棲 空 大 師 遠 窮 大 藏 深 究 微 言 反 復 諸 家 博 綜 
X25n0475_001:0071a15	羣典。依彼本論。求通彌勒之偈。復循彌勒。用達迦文	羣 典 依 彼 本 論 求 通 彌 勒 之 偈 復 循 彌 勒 用 達 迦 文 
X25n0475_001:0071a16	之經。取其意以解文。引其言而證解。辭不欲華。恐翳	之 經 取 其 意 以 解 文 引 其 言 而 證 解 辭 不 欲 華 恐 翳 
X25n0475_001:0071a17	理也。言不欲多。恐憚繁也。科不欲細。恐間隔其文勢	理 也 言 不 欲 多 恐 憚 繁 也 科 不 欲 細 恐 間 隔 其 文 勢 
X25n0475_001:0071a18	也。庶天下後世。知彌勒之偈。不異於迦文之經。空師	也 庶 天 下 後 世 知 彌 勒 之 偈 不 異 於 迦 文 之 經 空 師 
X25n0475_001:0071a19	之解。盡由於彌勒之偈。由解以知偈。因偈以知經。則	之 解 盡 由 於 彌 勒 之 偈 由 解 以 知 偈 因 偈 以 知 經 則 
X25n0475_001:0071a20	後之不明於迦文者。得明於彌勒。得明於彌勒者。乃	後 之 不 明 於 迦 文 者 得 明 於 彌 勒 得 明 於 彌 勒 者 乃 
X25n0475_001:0071a21	所以善明於迦文也。失其意者。非此解。非非空師。得	所 以 善 明 於 迦 文 也 失 其 意 者 非 此 解 非 非 空 師 得 
X25n0475_001:0071a22	其意者。是此解。是是彌勒也。於戲。古今註金剛者。無	其 意 者 是 此 解 是 是 彌 勒 也 於 戲 古 今 註 金 剛 者 無 
X25n0475_001:0071a23	慮千百函。獨我雲棲大師摸象一記。寔得慈氏不傳	慮 千 百 函 獨 我 雲 棲 大 師 摸 象 一 記 寔 得 慈 氏 不 傳 
X25n0475_001:0071a24	之秘。而空師即法門龍象。親承提命。俾註斯經。會淵	之 秘 而 空 師 即 法 門 龍 象 親 承 提 命 俾 註 斯 經 會 淵 
X25n0475_001:0071b01	匠既傾。亡羊多岐。廣揞忝附禪誦之末。往來從臾。空	匠 既 傾 亡 羊 多 岐 廣 揞 忝 附 禪 誦 之 末 往 來 從 臾 空 
X25n0475_001:0071b02	師因之鈎玄纂要。搉一刪繁。集諸家之大成。補摸象	師 因 之 鈎 玄 纂 要 搉 一 刪 繁 集 諸 家 之 大 成 補 摸 象 
X25n0475_001:0071b03	之未備。心燈相照。如印印泥。然後知迦文同彌勒。同	之 未 備 心 燈 相 照 如 印 印 泥 然 後 知 迦 文 同 彌 勒 同 
X25n0475_001:0071b04	百千諸佛。言中之意。與夫言之所不能盡。意之所不	百 千 諸 佛 言 中 之 意 與 夫 言 之 所 不 能 盡 意 之 所 不 
X25n0475_001:0071b05	能致者。無不咸歸於大同。近可證之於雲棲。遠可證	能 致 者 無 不 咸 歸 於 大 同 近 可 證 之 於 雲 棲 遠 可 證 
X25n0475_001:0071b06	之於兜率。述者之旨。豈徒爾哉。	之 於 兜 率 述 者 之 旨 豈 徒 爾 哉 
X25n0475_001:0071b07	萬曆戊午秋日虎林洪瞻祖廣揞撰	萬 曆 戊 午 秋 日 虎 林 洪 瞻 祖 廣 揞 撰 
X25n0475_001:0071b13	金剛般若波羅蜜經鎞卷上	金 剛 般若波羅蜜經 鎞 卷 上 
X25n0475_001:0071b15	古杭雲棲弟子　廣伸　述	古 杭 雲 棲 弟 子 廣 伸 述 
X25n0475_001:0071b16	△將釋此經總分為三。初題目。二譯人。三本文。	 將 釋 此 經 總 分 為 三 初 題 目 二 譯 人 三 本 文 
X25n0475_001:0071b17	初題目。	初 題 目 
X25n0475_001:0071b18	金剛般若波羅蜜經	金 剛 般若波羅蜜經 
X25n0475_001:0071b19	金剛者。金中之剛。最堅至利。五金莫及。天帝所有	金 剛 者 金 中 之 剛 最 堅 至 利 五 金 莫 及 天 帝 所 有 
X25n0475_001:0071b20	之寶。力士所持之杵也。般若者。眾生之心。而有實	之 寶 力 士 所 持 之 杵 也 般 若 者 眾 生 之 心 而 有 實 
X25n0475_001:0071b21	相觀照之殊。實相者。心本無相。以遠離虗妄。真實	相 觀 照 之 殊 實 相 者 心 本 無 相 以 遠 離 虗 妄 真 實 
X25n0475_001:0071b22	有體。不可破壞。無相之相。強名實相。所謂本來面	有 體 不可破壞 無 相 之 相 強 名 實 相 所 謂 本 來 面 
X25n0475_001:0071b23	目是也。觀照者。心本非照。以遠離分別。真明皎然。	目 是 也 觀 照 者 心 本 非 照 以 遠 離 分 別 真 明 皎 然 
X25n0475_001:0071b24	妍醜自現。無照之照。強名觀照。所謂照本來面目	妍 醜 自 現 無 照 之 照 強 名 觀 照 所 謂 照 本 來 面 目 
X25n0475_001:0071c01	是也。喻如珠體珠光。從體發光。光還照體。體用交	是 也 喻 如 珠 體 珠 光 從 體 發 光 光 還 照 體 體 用 交 
X25n0475_001:0071c02	輝。不一不異。波羅蜜者。云彼岸到。謂到真空實際	輝 不 一 不 異 波 羅 蜜 者 云 彼 岸 到 謂 到 真 空 實 際 
X25n0475_001:0071c03	之彼岸也。金剛般若者。般若如金剛也。蓋言觀照	之 彼 岸 也 金 剛 般 若 者 般 若 如 金 剛 也 蓋 言 觀 照 
X25n0475_001:0071c04	之用。全依實相體起。體既堅利。用亦堅利。堅故不	之 用 全 依 實 相 體 起 體 既 堅 利 用 亦 堅 利 堅 故 不 
X25n0475_001:0071c05	為一切所壞。利故能壞一切。猶如金剛。莫可嬰鋒。	為 一 切 所 壞 利 故 能 壞 一 切 猶如金剛 莫 可 嬰 鋒 
X25n0475_001:0071c06	是故觸有有壞。觸空空敗。觸著中道。粉虀爛碎。無	是 故 觸 有 有 壞 觸 空 空 敗 觸 著 中 道 粉 虀 爛 碎 無 
X25n0475_001:0071c07	明結業。擬之則當下冰消。生死涅槃。觸處則隨鋒	明 結 業 擬 之 則 當 下 冰 消 生死涅槃 觸 處 則 隨 鋒 
