T42n1827_001:0232a03	百論序疏	百 論 序 疏 
T42n1827_001:0232a05	大業四年十月因講次直疏出不事訪也。肇	大 業 四 年 十 月 因 講 次 直 疏 出 不 事 訪 也 肇 
T42n1827_001:0232a06	公是京兆郡人。家貧常以傭書為業。因是歷	公 是 京 兆 郡 人 家 貧 常 以 傭 書 為 業 因 是 歷 
T42n1827_001:0232a07	觀經史。每讀老子莊周之書。喟然歎曰。美則	觀 經 史 每 讀 老 子 莊 周 之 書 喟 然 歎 曰 美 則 
T42n1827_001:0232a08	美矣。然期神冥累之方猶未盡矣。末見古維	美 矣 然 期 神 冥 累 之 方 猶 未 盡 矣 末 見 古 維 
T42n1827_001:0232a09	摩經觀喜頂戴謂親友曰。吾知所歸極矣。羅	摩 經 觀 喜 頂 戴 謂 親 友 曰 吾 知 所 歸 極 矣 羅 
T42n1827_001:0232a10	什至京師因從請業。著不真空等四論。著注	什 至 京 師 因 從 請 業 著 不 真 空 等 四 論 著 注 
T42n1827_001:0232a11	淨名及諸經論序。什歎曰。秦人解空第一者	淨 名 及 諸 經 論 序 什 歎 曰 秦 人 解 空 第 一 者 
T42n1827_001:0232a12	僧肇其人也。若肇公名肇可謂玄宗之始。年	僧 肇 其 人 也 若 肇 公 名 肇 可 謂 玄 宗 之 始 年 
T42n1827_001:0232a13	三十一亡。但百論有二序。一叡師所制。二肇	三 十 一 亡 但 百 論 有 二 序 一 叡 師 所 制 二 肇 
T42n1827_001:0232a14	公所作。興皇和上每講常讀肇師序。正為其	公 所 作 興 皇 和 上 每 講 常 讀 肇 師 序 正 為 其 
T42n1827_001:0232a15	人言巧意玄妙符論旨。親覩時事。所以稟承。	人 言 巧 意 玄 妙 符 論 旨 親 覩 時 事 所 以 稟 承 
T42n1827_001:0232a16	又叡師序是弘始四年前翻。什師初至方言	又 叡 師 序 是 弘 始 四 年 前 翻 什 師 初 至 方 言 
T42n1827_001:0232a17	未融為此作序。猶未中詣。肇師序即是此文	未 融 為 此 作 序 猶 未 中 詣 肇 師 序 即 是 此 文 
T42n1827_001:0232a18	六年重翻。文義既正。作序亦好。所以恒讀肇	六 年 重 翻 文 義 既 正 作 序 亦 好 所 以 恒 讀 肇 
T42n1827_001:0232a19	公序也。余年十四虛心翫之。登乎弱冠於寺	公 序 也 余 年 十 四 虛 心 翫 之 登 乎 弱 冠 於 寺 
T42n1827_001:0232a20	覆述。生起此次第者。論即是教。以教化物前	覆 述 生 起 此 次 第 者 論 即 是 教 以 教 化 物 前 
T42n1827_001:0232a21	須歎教。雖復歎教但未知何時造。故第二明	須 歎 教 雖 復 歎 教 但 未 知 何 時 造 故 第 二 明 
T42n1827_001:0232a22	時節。雖明時節未知何人所造。故第三明能	時 節 雖 明 時 節 未 知 何 人 所 造 故 第 三 明 能 
T42n1827_001:0232a23	造之人。雖明能造之人未知何故造論。故第	造 之 人 雖 明 能 造 之 人 未 知 何 故 造 論 故 第 
T42n1827_001:0232a24	四明造論意為緣。雖明能造之論所為之緣	四 明 造 論 意 為 緣 雖 明 能 造 之 論 所 為 之 緣 
T42n1827_001:0232a25	竟未知名字何等。故第五釋論名題。雖識名	竟 未 知 名 字 何 等 故 第 五 釋 論 名 題 雖 識 名 
T42n1827_001:0232a26	目未知是誰注釋。故第六出注論婆數。注釋	目 未 知 是 誰 注 釋 故 第 六 出 注 論 婆 數 注 釋 
T42n1827_001:0232a27	雖竟未知旨趣如何。故第七明論大宗。此之	雖 竟 未 知 旨 趣 如 何 故 第 七 明 論 大 宗 此 之 
T42n1827_001:0232a28	七章並化行天竺益天竺之緣。從第八已去	七 章 並 化 行 天 竺 益 天 竺 之 緣 從 第 八 已 去 
T42n1827_001:0232a29	傳流震旦益於此土。故有第八什師遠齎梵	傳 流 震 旦 益 於 此 土 故 有 第 八 什 師 遠 齎 梵 
T42n1827_001:0232b01	本來此翻譯。雖有解法弟子必須有篤信檀	本 來 此 翻 譯 雖 有 解 法 弟 子 必 須 有 篤 信 檀 
T42n1827_001:0232b02	越。故第九明檀越姚嵩。雖有此九條猶未知	越 故 第 九 明 檀 越 姚 嵩 雖 有 此 九 條 猶 未 知 
T42n1827_001:0232b03	論偈多少。故有第十定品偈多小也。開此一	論 偈 多 少 故 有 第 十 定 品 偈 多 小 也 開 此 一 
T42n1827_001:0232b04	序以為十章。一歎論功能。二明造論時節。三	序 以 為 十 章 一 歎 論 功 能 二 明 造 論 時 節 三 
T42n1827_001:0232b05	歎造論之人。四陳外道興世。即是造論意。五	歎 造 論 之 人 四 陳 外 道 興 世 即 是 造 論 意 五 
T42n1827_001:0232b06	釋論題目。六述注論婆數。七敘論大宗。八明	釋 論 題 目 六 述 注 論 婆 數 七 敘 論 大 宗 八 明 
T42n1827_001:0232b07	翻論羅什。九辨檀越姚嵩。十定品偈多少。章	翻 論 羅 什 九 辨 檀 越 姚 嵩 十 定 品 偈 多 少 章 
T42n1827_001:0232b08	雖有十不出人法二義。開人為五。辨法亦然。	雖 有 十 不 出 人 法 二 義 開 人 為 五 辨 法 亦 然 
T42n1827_001:0232b09	故成十矣。人五者。一造論人。二所為人。三注	故 成 十 矣 人 五 者 一 造 論 人 二 所 為 人 三 注 
T42n1827_001:0232b10	論人。四翻論人。五請譯人。四為內弘。終一為	論 人 四 翻 論 人 五 請 譯 人 四 為 內 弘 終 一 為 
T42n1827_001:0232b11	外護。涅槃經云。有二因緣佛法久住。謂解法	外 護 涅 槃 經 云 有 二 因 緣 佛 法 久 住 謂 解 法 
T42n1827_001:0232b12	弟子及篤信檀越即其事也。法五者。一歎論	弟 子 及 篤 信 檀 越 即 其 事 也 法 五 者 一 歎 論 
T42n1827_001:0232b13	功能。二造論時節。三釋論名題。四敘論大宗。	功 能 二 造 論 時 節 三 釋 論 名 題 四 敘 論 大 宗 
T42n1827_001:0232b14	五定品偈多小。就初歎論功能凡有四義。一	五 定 品 偈 多 小 就 初 歎 論 功 能 凡 有 四 義 一 
T42n1827_001:0232b15	境智。二智諦。三人法。四法喻。言境智者通聖	境 智 二 智 諦 三 人 法 四 法 喻 言 境 智 者 通 聖 
T42n1827_001:0232b16	心謂正觀也。開真諦謂正境也。非正境無以	心 謂 正 觀 也 開 真 諦 謂 正 境 也 非 正 境 無 以 
T42n1827_001:0232b17	發正觀。非正觀無以鑒正境。故略題斯二則	發 正 觀 非 正 觀 無 以 鑒 正 境 故 略 題 斯 二 則 
T42n1827_001:0232b18	義無不含。問應前明正境後因境發觀。今何	義 無 不 含 問 應 前 明 正 境 後 因 境 發 觀 今 何 
T42n1827_001:0232b19	故前辨正觀後明正境。答因緣境智非前後	故 前 辨 正 觀 後 明 正 境 答 因 緣 境 智 非 前 後 
T42n1827_001:0232b20	一時。但大士出世為令眾生得於正觀。正觀	一 時 但 大 士 出 世 為 令 眾 生 得 於 正 觀 正 觀 
T42n1827_001:0232b21	要因正境故後明正境也。如法華十方三世	要 因 正 境 故 後 明 正 境 也 如 法 華 十 方 三 世 
T42n1827_001:0232b22	諸佛為開示悟入諸佛智見。諸佛智見即正	諸 佛 為 開 示 悟 入 諸 佛 智 見 諸 佛 智 見 即 正 
T42n1827_001:0232b23	觀也。在佛既爾。菩薩亦然。問此論云何明正	觀 也 在 佛 既 爾 菩 薩 亦 然 問 此 論 云 何 明 正 
T42n1827_001:0232b24	境及正觀耶。答如始捨罪福終破於空。橫淨	境 及 正 觀 耶 答 如 始 捨 罪 福 終 破 於 空 橫 淨 
T42n1827_001:0232b25	十條竪窮四句。即一實諦為正境也。如斯而	十 條 竪 窮 四 句 即 一 實 諦 為 正 境 也 如 斯 而 
T42n1827_001:0232b26	悟稱為聖心。問為通眾生聖心。為通佛菩薩	悟 稱 為 聖 心 問 為 通 眾 生 聖 心 為 通 佛 菩 薩 
T42n1827_001:0232b27	聖心耶。答具有三義。一令眾生得悟正觀。名	聖 心 耶 答 具 有 三 義 一 令 眾 生 得 悟 正 觀 名 
T42n1827_001:0232b28	通眾生聖心。二邪教既除正經便顯暢悅佛	通 眾 生 聖 心 二 邪 教 既 除 正 經 便 顯 暢 悅 佛 
T42n1827_001:0232b29	心。名通佛聖心。三眾生病息大士患除。故通	心 名 通 佛 聖 心 三 眾 生 病 息 大 士 患 除 故 通 
T42n1827_001:0232c01	菩薩聖心也。問云何能通所通能壅所壅。答	菩 薩 聖 心 也 問 云 何 能 通 所 通 能 壅 所 壅 答 
T42n1827_001:0232c02	以斷常為能壅。正觀為所壅。百論為能通。聖	以 斷 常 為 能 壅 正 觀 為 所 壅 百 論 為 能 通 聖 
T42n1827_001:0232c03	心為所通也。以邪教為能覆。正教為所覆。百	心 為 所 通 也 以 邪 教 為 能 覆 正 教 為 所 覆 百 
T42n1827_001:0232c04	論為能開。正教為所開也。第二智諦一雙者。	論 為 能 開 正 教 為 所 開 也 第 二 智 諦 一 雙 者 
T42n1827_001:0232c05	通聖心明二智。開真諦辨二諦。二諦是三世	通 聖 心 明 二 智 開 真 諦 辨 二 諦 二 諦 是 三 世 
T42n1827_001:0232c06	佛祖父母。二智為三世佛父母。如淨名云。智	佛 祖 父 母 二 智 為 三 世 佛 父 母 如 淨 名 云 智 
T42n1827_001:0232c07	度菩薩母。方便以為父。一切眾導師無不由	度 菩 薩 母 方 便 以 為 父 一 切 眾 導 師 無 不 由 
T42n1827_001:0232c08	是生。若無智諦則世出世並壞。斯二若成則	是 生 若 無 智 諦 則 世 出 世 並 壞 斯 二 若 成 則 
T42n1827_001:0232c09	一切皆成。既為大事故論明之。問既是申二	一 切 皆 成 既 為 大 事 故 論 明 之 問 既 是 申 二 
T42n1827_001:0232c10	諦。何故偏言真諦。答二義。一者雖具明二諦	諦 何 故 偏 言 真 諦 答 二 義 一 者 雖 具 明 二 諦 
T42n1827_001:0232c11	意在於真。如涅槃云。欲令深識第一義故說	意 在 於 真 如 涅 槃 云 欲 令 深 識 第 一 義 故 說 
T42n1827_001:0232c12	世諦耳。二者對外道諸諦皆偽故。佛二諦俱	世 諦 耳 二 者 對 外 道 諸 諦 皆 偽 故 佛 二 諦 俱 
T42n1827_001:0232c13	真也。問智諦與境智何異而更明耶。答境智	真 也 問 智 諦 與 境 智 何 異 而 更 明 耶 答 境 智 
T42n1827_001:0232c14	取其發照。智諦明其說行。說行者。如說而行	取 其 發 照 智 諦 明 其 說 行 說 行 者 如 說 而 行 
T42n1827_001:0232c15	名為二智。如行而說稱為二諦。稟二諦教發	名 為 二 智 如 行 而 說 稱 為 二 諦 稟 二 諦 教 發 
T42n1827_001:0232c16	生二智則教轉名境。如境而照故稱為智。約	生 二 智 則 教 轉 名 境 如 境 而 照 故 稱 為 智 約 
T42n1827_001:0232c17	義不同故分兩也。問與中論題何異。答開真	義 不 同 故 分 兩 也 問 與 中 論 題 何 異 答 開 真 
T42n1827_001:0232c18	諦要論即中道也。通聖心謂正觀。問若爾便	諦 要 論 即 中 道 也 通 聖 心 謂 正 觀 問 若 爾 便 
T42n1827_001:0232c19	是一。何名為兩。答一切論通明中道明正觀。	是 一 何 名 為 兩 答 一 切 論 通 明 中 道 明 正 觀 
T42n1827_001:0232c20	故一切論皆是一論。一切經亦通明中道通	故 一 切 論 皆 是 一 論 一 切 經 亦 通 明 中 道 通 
T42n1827_001:0232c21	明正觀。則一切經是一經。又一切經猶是一	明 正 觀 則 一 切 經 是 一 經 又 一 切 經 猶 是 一 
T42n1827_001:0232c22	切論。以經論皆為顯道。道既無二。豈有經論	切 論 以 經 論 皆 為 顯 道 道 既 無 二 豈 有 經 論 
T42n1827_001:0232c23	異哉。然本有於二可言有一。竟未曾二何有	異 哉 然 本 有 於 二 可 言 有 一 竟 未 曾 二 何 有 
T42n1827_001:0232c24	一耶。如是亦一亦二非一非二。故言亡慮寂	一 耶 如 是 亦 一 亦 二 非 一 非 二 故 言 亡 慮 寂 
T42n1827_001:0232c25	矣。問一切經皆是一經。何故有多經多論耶。	矣 問 一 切 經 皆 是 一 經 何 故 有 多 經 多 論 耶 
T42n1827_001:0232c26	答蓋是諸佛為緣轉勢說法故有多經。四依	答 蓋 是 諸 佛 為 緣 轉 勢 說 法 故 有 多 經 四 依 
T42n1827_001:0232c27	轉勢說法故有多論。猶如一食將適病人迴	轉 勢 說 法 故 有 多 論 猶 如 一 食 將 適 病 人 迴 
T42n1827_001:0232c28	變食味也。次明人法一雙者通聖心明人。開	變 食 味 也 次 明 人 法 一 雙 者 通 聖 心 明 人 開 
T42n1827_001:0232c29	真諦辨法。于時九十六道各稱世尊。故是人	真 諦 辨 法 于 時 九 十 六 道 各 稱 世 尊 故 是 人 
T42n1827_001:0233a01	亂。各謂己道為實則法亂。提婆今欲正於人	亂 各 謂 己 道 為 實 則 法 亂 提 婆 今 欲 正 於 人 
T42n1827_001:0233a02	法故。唯佛為聖人。餘非聖人。佛法為真法。餘	法 故 唯 佛 為 聖 人 餘 非 聖 人 佛 法 為 真 法 餘 
T42n1827_001:0233a03	非真法也。問此依何文耶。答論首三番問答	非 真 法 也 問 此 依 何 文 耶 答 論 首 三 番 問 答 
T42n1827_001:0233a04	諍人。佛說何等善法相去竟論諍法。即其證	諍 人 佛 說 何 等 善 法 相 去 竟 論 諍 法 即 其 證 
T42n1827_001:0233a05	也。四就法喻釋者。通聖心之津途者喻也。百	也 四 就 法 喻 釋 者 通 聖 心 之 津 途 者 喻 也 百 
T42n1827_001:0233a06	論為聖心之玄津正觀之幽路。開真諦要論	論 為 聖 心 之 玄 津 正 觀 之 幽 路 開 真 諦 要 論 
T42n1827_001:0233a07	者法說也。佛泥曰後第二明造論時節。問提	者 法 說 也 佛 泥 曰 後 第 二 明 造 論 時 節 問 提 
T42n1827_001:0233a08	婆與龍樹相見不。答經傳不同。叡師成實論	婆 與 龍 樹 相 見 不 答 經 傳 不 同 叡 師 成 實 論 
T42n1827_001:0233a09	序是什師去世後作之。述什師語云。佛滅後	序 是 什 師 去 世 後 作 之 述 什 師 語 云 佛 滅 後 
T42n1827_001:0233a10	三百五十年馬鳴出世。五百三十年龍樹出	三 百 五 十 年 馬 鳴 出 世 五 百 三 十 年 龍 樹 出 
T42n1827_001:0233a11	世。又云。馬鳴興正法之末。龍樹起像法之初。	世 又 云 馬 鳴 興 正 法 之 末 龍 樹 起 像 法 之 初 
T42n1827_001:0233a12	梁武帝發菩提心因緣中云。敬禮興正法馬	梁 武 帝 發菩提心 因 緣 中 云 敬 禮 興 正 法 馬 
T42n1827_001:0233a13	鳴菩薩。歸命興像法龍樹菩薩。肇叡並云。提	鳴 菩 薩 歸 命 興 像 法 龍 樹 菩 薩 肇 叡 並 云 提 
T42n1827_001:0233a14	婆出八百餘年。則理不相見。依三文分明相	婆 出 八 百 餘 年 則 理 不 相 見 依 三 文 分 明 相 
T42n1827_001:0233a15	見。一提婆傳云。提婆出天眼竟將伏外道詣	見 一 提 婆 傳 云 提 婆 出 天 眼 竟 將 伏 外 道 詣 
T42n1827_001:0233a16	龍樹所受出家法。故應相見。二摩耶經明七	龍 樹 所 受 出 家 法 故 應 相 見 二 摩 耶 經 明 七 
T42n1827_001:0233a17	百年龍樹出。今明八百年提婆出。亦得相見。	百 年 龍 樹 出 今 明 八 百 年 提 婆 出 亦 得 相 見 
T42n1827_001:0233a18	三付法藏經分明相見。龍樹將去世告大弟	三 付 法 藏 經 分 明 相 見 龍 樹 將 去 世 告 大 弟 
T42n1827_001:0233a19	子加那提婆。善男子聽。婆伽婆以無上正法	子 加 那 提 婆 善 男 子 聽 婆 伽 婆 以 無 上 正 法 
T42n1827_001:0233a20	付屬迦葉。乃至次第付囑於我。我今去世以	付 屬 迦 葉 乃 至 次 第 付 囑 於 我 我 今 去 世 以 
T42n1827_001:0233a21	付屬汝。汝當興慈悲雲注甘露法。提婆長跪	付 屬 汝 汝 當 興 慈 悲 雲 注 甘 露 法 提 婆 長 跪 
T42n1827_001:0233a22	答曰。敬如尊教。故知相見也。問諸菩薩何故	答 曰 敬 如 尊 教 故 知 相 見 也 問 諸 菩 薩 何 故 
T42n1827_001:0233a23	出世。答大明二義。一破小執。二破邪迷。如智	出 世 答 大 明 二 義 一 破 小 執 二 破 邪 迷 如 智 
T42n1827_001:0233a24	度論云。三百餘年有迦旃延出世造八健度。	度 論 云 三 百 餘 年 有 迦 旃 延 出 世 造 八 健 度 
T42n1827_001:0233a25	馬鳴於此而出世。即知迦旃延執小為病。馬	馬 鳴 於 此 而 出 世 即 知 迦 旃 延 執 小 為 病 馬 
T42n1827_001:0233a26	鳴破小病故出世弘大。亦可旃延逗于時小	鳴 破 小 病 故 出 世 弘 大 亦 可 旃 延 逗 于 時 小 
T42n1827_001:0233a27	緣而明小。令凡學小即迴凡取聖。次馬鳴出	緣 而 明 小 令 凡 學 小 即 迴 凡 取 聖 次 馬 鳴 出 
T42n1827_001:0233a28	世破小。令迴小悟大教。故二人俱弘道利物	世 破 小 令 迴 小 悟 大 教 故 二 人 俱 弘 道 利 物 
T42n1827_001:0233a29	也。六百年初五百羅漢於北天竺罽賓國釋	也 六 百 年 初 五 百 羅 漢 於 北 天 竺 罽 賓 國 釋 
T42n1827_001:0233b01	八健度造毘婆沙。龍樹於此時而出。具前二	八 健 度 造 毘 婆 沙 龍 樹 於 此 時 而 出 具 前 二 
T42n1827_001:0233b02	義。爾時五百部盛興執小違拒大乘。故智度	義 爾 時 五 百 部 盛 興 執 小 違 拒 大 乘 故 智 度 
T42n1827_001:0233b03	論云。五百部各執諸法有決定相。聞畢竟空	論 云 五 百 部 各 執 諸 法 有 決 定 相 聞 畢 竟 空 
T42n1827_001:0233b04	如刀傷心。龍樹欲破此小迷申乎大教。二者	如 刀 傷 心 龍 樹 欲 破 此 小 迷 申 乎 大 教 二 者 
