T47n1963_001:0083b03	淨土論序	淨 土 論 序 
T47n1963_001:0083b05	帝京弘法寺釋迦才撰	帝 京 弘 法 寺 釋 迦 才 撰 
T47n1963_001:0083b06	夫淨土玄門。十方咸讚。彌陀寶界。凡聖同欣。	夫 淨 土 玄 門 十 方 咸 讚 彌 陀 寶 界 凡 聖 同 欣 
T47n1963_001:0083b07	然則二八弘規。盛乎西土。一九之教。陵遲東	然 則 二 八 弘 規 盛 乎 西 土 一 九 之 教 陵 遲 東 
T47n1963_001:0083b08	夏。余每披閱群典。詳撿聖言。此之一宗。竊為	夏 余 每 披 閱 群 典 詳 撿 聖 言 此 之 一 宗 竊 為 
T47n1963_001:0083b09	要路矣。其達之者。觖之稽頴。未悟者。矚而躊	要 路 矣 其 達 之 者 觖 之 稽 頴 未 悟 者 矚 而 躊 
T47n1963_001:0083b10	躇。若不馮此栖神。終恐沈淪永夜。今者總閱	躇 若 不 馮 此 栖 神 終 恐 沈 淪 永 夜 今 者 總 閱 
T47n1963_001:0083b11	群經。披諸異論。撮其機要。撰為一部。名淨土	群 經 披 諸 異 論 撮 其 機 要 撰 為 一 部 名 淨 土 
T47n1963_001:0083b12	論。然上古之先匠。遠法師。謝靈運等。雖以僉	論 然 上 古 之 先 匠 遠 法 師 謝 靈 運 等 雖 以 僉 
T47n1963_001:0083b13	期西境。終是獨善一身。後之學者。無所承習。	期 西 境 終 是 獨 善 一 身 後 之 學 者 無 所 承 習 
T47n1963_001:0083b14	近代有綽禪師。撰安樂集一卷。雖廣引眾經	近 代 有 綽 禪 師 撰 安 樂 集 一 卷 雖 廣 引 眾 經 
T47n1963_001:0083b15	略申道理。其文義參雜。章品混淆。後之讀之	略 申 道 理 其 文 義 參 雜 章 品 混 淆 後 之 讀 之 
T47n1963_001:0083b16	者。亦躊躇未決。今乃搜撿群籍。備引道理。勒	者 亦 躊 躇 未 決 今 乃 搜 撿 群 籍 備 引 道 理 勒 
T47n1963_001:0083b17	為九章。令文義區分。品目殊位。使覽之者。宛	為 九 章 令 文 義 區 分 品 目 殊 位 使 覽 之 者 宛 
T47n1963_001:0083b18	如掌中耳。所願三福之教長弘。四誓之經永	如 掌 中 耳 所 願 三 福 之 教 長 弘 四 誓 之 經 永 
T47n1963_001:0083b19	範。二八之觀齊闊。一九之生同歸。庶令六	範 二 八 之 觀 齊 闊 一 九 之 生 同 歸 庶 令 六 
T47n1963_001:0083b20	道孜孜長辭穢剎。四生擾擾。永處蓮臺。未及	道 孜 孜 長 辭 穢 剎 四 生 擾 擾 永 處 蓮 臺 未 及 
T47n1963_001:0083b21	餘輝。俱遊淨域矣。	餘 輝 俱 遊 淨 域 矣 
T47n1963_001:0083b22	　稽首西方極樂界　　阿彌陀仙佛世尊	 稽 首 西方極樂 界 阿 彌 陀 仙 佛 世 尊 
T47n1963_001:0083b23	　巧立弘誓救群生　　我願往生頭面禮	 巧 立 弘 誓 救 群 生 我 願 往 生 頭 面 禮 
T47n1963_001:0083b24	　端處蓮華臺王座　　身放八方妙光明	 端 處 蓮 華 臺 王 座 身 放 八 方 妙 光 明 
T47n1963_001:0083b25	　五眼遍視無餘界　　我願往生頭面禮	 五 眼 遍 視 無 餘 界 我 願 往 生 頭 面 禮 
T47n1963_001:0083b26	　五分圓明性常住　　大悲應接壽無量	 五 分 圓 明 性 常 住 大 悲 應 接 壽 無 量 
T47n1963_001:0083b27	　以無緣慈攝眾生　　我願往生頭面禮	 以 無 緣 慈 攝 眾 生 我 願 往 生 頭 面 禮 
T47n1963_001:0083b28	　寶界莊嚴含萬色　　皆從如意珠玉生	 寶 界 莊 嚴 含 萬 色 皆 從 如 意 珠 玉 生 
