T18n0900_001:0781c22	十八契印	十 八 契 印 
T18n0900_001:0781c24	從師獲灌頂。既蒙印可已不久當成就。弟子	從 師 獲 灌 頂 既 蒙 印 可 已 不 久 當 成 就 弟 子 
T18n0900_001:0781c25	具此相方可為傳授此。即如意寶。能成就諸	具 此 相 方 可 為 傳 授 此 即 如 意 寶 能 成 就 諸 
T18n0900_001:0781c26	事業。如經說處所。山間及流水清淨阿蘭若	事 業 如 經 說 處 所 山 間 及 流 水 清 淨 阿 蘭 若 
T18n0900_001:0781c27	隨樂之澗谷。離諸厄怖難。隨力嚴供具。行人	隨 樂 之 澗 谷 離 諸 厄 怖 難 隨 力 嚴 供 具 行 人 
T18n0900_001:0781c28	面於本方拜禮本尊。次禮餘方佛。以五輪著	面 於 本 方 拜 禮 本 尊 次 禮 餘 方 佛 以 五 輪 著 
T18n0900_001:0781c29	地。如教之敬禮。雙膝長跪已。合掌虛心住誠	地 如 教 之 敬 禮 雙 膝 長 跪 已 合 掌 虛 心 住 誠 
T18n0900_001:0782a01	心。盡說陳三業一切罪。	心 盡 說 陳 三 業 一 切 罪 
T18n0900_001:0782a02	我從過去世流轉於生死。今對大聖尊盡心	我 從 過 去 世 流 轉 於 生 死 今 對 大 聖 尊 盡 心 
T18n0900_001:0782a03	而懺悔。如先佛所懺我今如亦是。願垂加持	而 懺 悔 如 先 佛 所 懺 我 今 如 亦 是 願 垂 加 持 
T18n0900_001:0782a04	力眾生悉清淨。以此大願故自他獲無垢。	力 眾 生 悉 清 淨 以 此 大 願 故 自 他 獲 無 垢 
T18n0900_001:0782a05	密言曰。	密 言 曰 
T18n0900_001:0782a06	唵薩嚩(二合)婆嚩輸馱薩嚩達磨薩嚩(二合)婆	唵 薩 嚩 二 合 婆 嚩 輸 馱 薩 嚩 達 磨 薩 嚩 二 合 婆 
T18n0900_001:0782a07	嚩輸度唅	嚩 輸 度 唅 
T18n0900_001:0782a08	次對本尊前。結跏趺坐或半跏趺坐。起大悲	次 對 本 尊 前 結跏趺坐 或 半 跏 趺 坐 起 大 悲 
T18n0900_001:0782a09	心。我修此法為一切眾生。速證無上正等菩	心 我 修 此 法 為 一 切 眾 生 速 證 無 上 正 等 菩 
T18n0900_001:0782a10	提。先磨諸香以用塗手。然後結於佛部三昧	提 先 磨 諸 香 以 用 塗 手 然 後 結 於 佛 部 三 昧 
T18n0900_001:0782a11	耶陀羅尼印。以二手虛心合掌。開二頭指屈	耶 陀 羅 尼 印 以 二 手 虛 心 合 掌 開 二 頭 指 屈 
T18n0900_001:0782a12	輔二中指上節。二大指屈輔二頭指下節。其	輔 二 中 指 上 節 二 大 指 屈 輔 二 頭 指 下 節 其 
T18n0900_001:0782a13	印成。置印當心想於如來三十二相八十種	印 成 置 印 當 心 想 於 如 來 三十二相 八 十 種 
T18n0900_001:0782a14	好。分明如對目前。至心誦真言七遍。真言	好 分 明 如 對 目 前 至 心 誦 真 言 七 遍 真 言 
T18n0900_001:0782a15	曰。	曰 
T18n0900_001:0782a16	唵怛他(引)蘖都納婆(二合)嚩(引)也娑嚩(二合引)訶(引)	唵 怛 他 引 蘖 都 納 婆 二 合 嚩 引 也 娑 嚩 二 合 引 訶 引 
T18n0900_001:0782a17	由結此印及誦真言故。即警覺一切如來。悉	由 結 此 印 及 誦 真 言 故 即 警 覺 一 切 如 來 悉 
T18n0900_001:0782a18	當護念加持行者。以光明照觸。所有罪障皆	當 護 念 加 持 行 者 以 光 明 照 觸 所 有 罪 障 皆 
T18n0900_001:0782a19	得消滅。壽命長遠福慧增長。佛部聖眾擁護	得 消 滅 壽 命 長 遠 福 慧 增 長 佛 部 聖 眾 擁 護 
T18n0900_001:0782a20	歡喜。生生世世離諸惡趣。蓮華化生速證無	歡 喜 生生世世 離諸惡趣 蓮 華 化 生 速 證 無 
T18n0900_001:0782a21	上正等菩提。	上 正等菩提 
T18n0900_001:0782a22	次蓮華部三昧耶　以二手虛心合掌。散開	次 蓮 華 部 三 昧 耶 以 二 手 虛 心 合 掌 散 開 
T18n0900_001:0782a23	二頭指二中指二無名指。屈如蓮華形安於	二 頭 指 二 中 指 二 無 名 指 屈 如 蓮 華 形 安 於 
T18n0900_001:0782a24	當心。想觀自在菩薩相好具足。誦真言七遍	當 心 想 觀 自 在 菩 薩 相好具足 誦 真 言 七 遍 
T18n0900_001:0782a25	於頂右散真言曰。唵跛娜謨(二合)納婆(二合)嚩	於 頂 右 散 真 言 曰 唵 跛 娜 謨 二 合 納 婆 二 合 嚩 
T18n0900_001:0782a26	(引)也娑嚩(二合引)訶(引)	 引 也 娑 嚩 二 合 引 訶 引 
