T85n2773_001:0423c07	維摩經抄	維 摩 經 抄 
T85n2773_001:0423c09	維摩經卷第一　佛國品第一	維 摩 經 卷 第 一 佛 國 品 第 一 
T85n2773_001:0423c10	夫佛法大綱須識宗趣□□□□具陳。且總	夫 佛 法 大 綱 須 識 宗 趣 具 陳 且 總 
T85n2773_001:0423c11	為二宗。大乘小乘。且大乘之中分為三。一	為 二 宗 大 乘 小 乘 且 大 乘 之 中 分 為 三 一 
T85n2773_001:0423c12	法相宗。經論之中廣立法無邊無量。五蘊．十	法 相 宗 經 論 之 中 廣 立 法 無 邊 無 量 五 蘊 十 
T85n2773_001:0423c13	二處．十八界．十二因緣．六波羅蜜等□□八	二 處 十 八 界 十二因緣 六波羅蜜 等 八 
T85n2773_001:0423c14	萬四千門。即解深密經瑜伽論等多說法相。	萬 四 千 門 即 解 深 密 經 瑜 伽 論 等 多 說 法 相 
T85n2773_001:0423c15	但經論之中說諸相差別名數皆此宗攝。二	但 經 論 之 中 說 諸 相 差 別 名 數 皆 此 宗 攝 二 
T85n2773_001:0423c16	破相宗。即諸部般若經中十二門論等說一切	破 相 宗 即 諸 部 般 若 經 中 十 二 門 論 等 說 一 切 
T85n2773_001:0423c17	法性相俱空有無雙遣。三法性宗。即花嚴涅	法 性 相 俱 空 有 無 雙 遣 三 法 性 宗 即 花 嚴 涅 
T85n2773_001:0423c18	槃維摩楞伽等經起信論等說一切法非空非	槃 維 摩 楞 伽 等 經 起 信 論 等 說 一 切 法 非 空 非 
T85n2773_001:0423c19	有。亦有亦空。所謂迷真起妄一切皆有。攝妄	有 亦 有 亦 空 所 謂 迷 真 起 妄 一 切 皆 有 攝 妄 
T85n2773_001:0423c20	歸真一切皆空。就俗諦則有。就真諦則空睡	歸 真 一切皆空 就 俗 諦 則 有 就 真 諦 則 空 睡 
T85n2773_001:0423c21	夢則有覺悟。即空諸法無我。即空因果不亡	夢 則 有 覺 悟 即 空 諸法無我 即 空 因 果 不 亡 
T85n2773_001:0423c22	還有。空不離有有即是空。有不離空即空是	還 有 空 不 離 有 有 即 是 空 有 不 離 空 即 空 是 
T85n2773_001:0423c23	有。如是廣說空有無邊。所以諸佛菩薩慈悲	有 如 是 廣 說 空 有 無 邊 所 以 諸佛菩薩 慈 悲 
T85n2773_001:0423c24	故入有。智慧故觀空。觀空故雖入有而不染。	故 入 有 智 慧 故 觀 空 觀 空 故 雖 入 有 而 不 染 
T85n2773_001:0423c25	慈悲故雖證空而不著。凡夫多著有。二乘多	慈 悲 故 雖 證 空 而 不 著 凡 夫 多 著 有 二 乘 多 
T85n2773_001:0423c26	著空。雙離此二真大乘也。第二小乘有二十	著 空 雙 離 此 二 真 大 乘 也 第 二 小 乘 有 二 十 
T85n2773_001:0423c27	部宗趣不同。□□□故略之也。今此維摩經	部 宗 趣 不 同 故 略 之 也 今 此 維 摩 經 
T85n2773_001:0423c28	即當第三法性宗所攝。由此經芥子納須彌	即 當 第 三 法 性 宗 所 攝 由 此 經 芥 子 納 須 彌 
T85n2773_001:0423c29	方丈容世界。皆表法性圓融無礙之義也。若	方 丈 容 世 界 皆 表 法 性 圓 融 無 礙 之 義 也 若 
T85n2773_001:0424a01	能悟入此第三宗則於佛法無所滯等論。諸	能 悟 入 此 第 三 宗 則 於 佛 法 無 所 滯 等 論 諸 
T85n2773_001:0424a02	佛說有有不妨空。諸佛說有有不妨空。諸佛	佛 說 有 有 不 妨 空 諸 佛 說 有 有 不 妨 空 諸 佛 
T85n2773_001:0424a03	說空空不妨有故中論偈云。不生亦不滅。不	說 空 空 不 妨 有 故 中 論 偈 云 不生亦不滅 不 
T85n2773_001:0424a04	常亦不斷。不一亦不異。不來亦不去。能說是	常 亦 不 斷 不 一 亦 不 異 不 來 亦 不 去 能 說 是 
T85n2773_001:0424a05	因緣。善滅諸戲論。我稽首禮佛。諸說中第一。	因 緣 善 滅 諸 戲 論 我 稽 首 禮 佛 諸 說 中 第 一 
T85n2773_001:0424a06	自此已下別就此經曲明宗意。古來賢聖皆	自 此 已 下 別 就 此 經 曲 明 宗 意 古 來 賢 聖 皆 
T85n2773_001:0424a07	斷此經。以不思議解脫為宗。只緣前說法性	斷 此 經 以 不思議解脫 為 宗 只 緣 前 說 法 性 
T85n2773_001:0424a08	無礙。非空非有亦有亦空。不常不斷等故名	無 礙 非 空 非 有 亦 有 亦 空 不 常 不 斷 等 故 名 
T85n2773_001:0424a09	為不可思議解脫。非凡小等之所測量。心言	為 不可思議 解 脫 非 凡 小 等 之 所 測 量 心 言 
T85n2773_001:0424a10	路絕名不思議。不滯空有等。名為解脫。然此	路 絕 名 不 思 議 不 滯 空 有 等 名 為 解 脫 然 此 
T85n2773_001:0424a11	經上下總有五種不可思議攝之略盡。何等	經 上 下 總 有 五 種 不可思議 攝 之 略 盡 何 等 
T85n2773_001:0424a12	為五。一理不思議。二行不思議。三報不思議。	為 五 一 理 不 思 議 二 行 不 思 議 三 報 不 思 議 
T85n2773_001:0424a13	四用不思議。五教不思議。第一理不思議者。	四 用 不 思 議 五 教 不 思 議 第 一 理 不 思 議 者 
T85n2773_001:0424a14	即非空非有不常不斷等真如法性中道之理	即 非 空 非 有 不 常 不 斷 等 真 如 法 性 中 道 之 理 
T85n2773_001:0424a15	　經云。一切法皆如也。乃至彌勒亦如也。不	 經 云 一 切 法 皆 如 也 乃 至 彌 勒 亦 如 也 不 
T85n2773_001:0424a16	來相而來。不見相而見等。皆是理不思議。第	來 相 而 來 不 見 相 而 見 等 皆 是 理 不 思 議 第 
T85n2773_001:0424a17	二行不思議者。即說菩薩無住之行　經云。	二 行 不 思 議 者 即 說 菩 薩 無 住 之 行 經 云 
T85n2773_001:0424a18	在於生死不為□行。住於涅槃不永滅度。是	在 於 生 死 不 為 行 住 於 涅 槃 不 永 滅 度 是 
T85n2773_001:0424a19	菩薩行非凡夫行非賢聖行。菩薩行非淨行	菩 薩 行 非 凡 夫 行 非 賢 聖 行 菩 薩 行 非 淨 行 
T85n2773_001:0424a20	非垢行。是菩薩行等皆是行不思議。第三	非 垢 行 是 菩 薩 行 等 皆 是 行 不 思 議 第 三 
T85n2773_001:0424a21	報不思議即下經說佛身功德十方淨土等。	報 不 思 議 即 下 經 說 佛 身 功 德 十 方 淨 土 等 
T85n2773_001:0424a22	是報不思議。第四用不思議者。下經說神通	是 報 不 思 議 第 四 用 不 思 議 者 下 經 說 神 通 
T85n2773_001:0424a23	變化合蓋現土常擎大眾取飯香積借座須彌	變 化 合 蓋 現 土 常 擎 大 眾 取 飯 香 積 借 座 須 彌 
T85n2773_001:0424a24	等。皆用不思議。第五教不思議者。即名句	等 皆 用 不 思 議 第 五 教 不 思 議 者 即 名 句 
T85n2773_001:0424a25	文字巧妙言詞善能詮顯不思議理。是故經	文 字 巧 妙 言 詞 善 能 詮 顯 不 思 議 理 是 故 經 
T85n2773_001:0424a26	云。一四句偈所有功德無量無邊。是名教	云 一四句偈 所 有 功 德 無量無邊 是 名 教 
T85n2773_001:0424a27	不思議。此之五種不思議前後次第者。一切	不 思 議 此 之 五 種 不 思 議 前 後 次 第 者 一 切 
T85n2773_001:0424a28	諸法理為其本。是故第一理不思議欲悟其	諸 法 理 為 其 本 是 故 第 一 理 不 思 議 欲 悟 其 
T85n2773_001:0424a29	理必資起行。是故第二行不思議行不空備	理 必 資 起 行 是 故 第 二 行 不 思 議 行 不 空 備 
T85n2773_001:0424b01	必能感報。是故第三報不思議報不徒然必	必 能 感 報 是 故 第 三 報 不 思 議 報 不 徒 然 必 
T85n2773_001:0424b02	能起用。是故第四用不思議用不空設必能	能 起 用 是 故 第 四 用 不 思 議 用 不 空 設 必 能 
T85n2773_001:0424b03	起教。是故第五教不思議略說如是。餘在經	起 教 是 故 第 五 教 不 思 議 略 說 如 是 餘 在 經 
T85n2773_001:0424b04	文　經曰如是　述曰。一切經首皆有此之	文 經 曰 如 是 述 曰 一 切 經 首 皆 有 此 之 
T85n2773_001:0424b05	二字。蓋有深意。此之二字亦乃包括一切佛	二 字 蓋 有 深 意 此 之 二 字 亦 乃 包 括 一 切 佛 
T85n2773_001:0424b06	法議理皆盡。略作三釋。第一云。三世諸佛所	法 議 理 皆 盡 略 作 三 釋 第 一 云 三世諸佛 所 
T85n2773_001:0424b07	說不異。名之為如。稱理無非故稱為是。第二	說 不 異 名 之 為 如 稱 理 無 非 故 稱 為 是 第 二 
T85n2773_001:0424b08	釋云。諸法實相古今不易。名之為如。如而說	釋 云 諸法實相 古 今 不 易 名 之 為 如 如 而 說 
T85n2773_001:0424b09	故稱為是。第三釋云。何難所傳與佛無異故	故 稱 為 是 第 三 釋 云 何 難 所 傳 與 佛 無 異 故 
T85n2773_001:0424b10	名為如。離諸過失故稱為是　經曰佛　述	名 為 如 離 諸 過 失 故 稱 為 是 經 曰 佛 述 
T85n2773_001:0424b11	曰。佛者佛陀漢翻為覺。覺有二種。一本覺。二	曰 佛 者 佛 陀 漢 翻 為 覺 覺 有 二 種 一 本 覺 二 
T85n2773_001:0424b12	始覺。即法身佛真如法性以為其體。本性清	始 覺 即 法 身 佛 真 如 法 性 以 為 其 體 本 性 清 
T85n2773_001:0424b13	淨如摩尼珠。一切眾生悉皆平等。只緣眾生	淨 如 摩 尼 珠 一 切 眾 生 悉 皆 平 等 只 緣 眾 生 
T85n2773_001:0424b14	無始已來從真起妄。沿流昧源。逐末失本。垢	無始已來 從 真 起 妄 沿 流 昧 源 逐 末 失 本 垢 
T85n2773_001:0424b15	障蒙覆自性。真佛遂作凡夫。多受苦惱。一念	障 蒙 覆 自 性 真 佛 遂 作 凡 夫 多 受 苦 惱 一 念 
T85n2773_001:0424b16	覺時垢妄斯遣。本性湛然。即名為佛。更無所	覺 時 垢 妄 斯 遣 本 性 湛 然 即 名 為 佛 更 無 所 
T85n2773_001:0424b17	得。是故經言。乃至無□□法可得。是法平等	得 是 故 經 言 乃 至 無 法 可 得 是 法 平 等 
T85n2773_001:0424b18	無有高下。是名阿耨多羅三藐三菩提。此經	無有高下 是 名 阿耨多羅三藐三菩提 此 經 
T85n2773_001:0424b19	亦云。若彌勒得菩提。一切眾生皆亦應得。所	亦 云 若 彌 勒 得 菩 提 一 切 眾 生 皆 亦 應 得 所 
T85n2773_001:0424b20	以者何。一切眾生亦當滅度。所以者何。諸	以 者 何 一 切 眾 生 亦 當 滅 度 所以者何 諸 
T85n2773_001:0424b21	佛知一切眾生。畢竟寂滅不復更滅。乃至云	佛 知 一 切 眾 生 畢 竟 寂 滅 不 復 更 滅 乃 至 云 
T85n2773_001:0424b22	寂滅。是菩提滅諸相故。花嚴等經說云。佛及	寂 滅 是 菩 提 滅 諸 相 故 花 嚴 等 經 說 云 佛 及 
T85n2773_001:0424b23	眾生心如是三種法不即亦不離。不一亦不	眾 生 心 如 是 三 種 法 不 即 亦 不 離 不 一 亦 不 
T85n2773_001:0424b24	二。眾生不離佛。佛不離眾生。如是等文名本	二 眾 生 不 離 佛 佛 不 離 眾 生 如 是 等 文 名 本 
T85n2773_001:0424b25	覺佛。斷煩惱障得。二始覺佛者。即盧舍那報	覺 佛 斷 煩 惱 障 得 二 始 覺 佛 者 即 盧 舍 那 報 
T85n2773_001:0424b26	身如來以四智為體。剋性而論智為佛體。智	身 如 來 以 四 智 為 體 剋 性 而 論 智 為 佛 體 智 
T85n2773_001:0424b27	為能證覺之體故相從而論。即功德相好無	為 能 證 覺 之 體 故 相 從 而 論 即 功 德 相 好 無 
T85n2773_001:0424b28	漏五蘊總名為佛。廣在經論所明一切菩薩	漏 五 蘊 總 名 為 佛 廣 在 經 論 所 明 一切菩薩 
T85n2773_001:0424b29	經三大劫十地滿足。斷所知障名始覺佛。	經 三 大 劫 十 地 滿 足 斷 所 知 障 名 始 覺 佛 
T85n2773_001:0424c01	經曰。眾人不請友而安之　述曰。小乘凡夫	經 曰 眾 人 不 請 友 而 安 之 述 曰 小 乘 凡 夫 
T85n2773_001:0424c02	悲薄智微。要待勤請方為說法。菩薩不然。觀	悲 薄 智 微 要 待 勤 請 方 為 說 法 菩 薩 不 然 觀 
T85n2773_001:0424c03	見眾生緣合根熟。為不請之友能令眾生出	見 眾 生 緣 合 根 熟 為 不請之友 能 令 眾 生 出 
T85n2773_001:0424c04	生死之危險。與涅槃之安隱。如有影均於湛	生 死 之 危 險 與 涅 槃 之 安 隱 如 有 影 均 於 湛 
T85n2773_001:0424c05	水。慈母赴於嬰兒　經曰。逮無所得不起法	水 慈 母 赴 於 嬰 兒 經 曰 逮 無 所 得 不 起 法 
T85n2773_001:0424c06	忍　述曰。此明菩薩證無生法忍。逮者及也	忍 述 曰 此 明 菩 薩 證 無生法忍 逮 者 及 也 
T85n2773_001:0424c07	至也。起者生也。忍者忍了亦即許之義。此明	至 也 起 者 生 也 忍 者 忍 了 亦 即 許 之 義 此 明 
T85n2773_001:0424c08	菩薩位。登八地至無所得無生之位忍了。印	菩 薩 位 登 八 地 至 無 所 得 無 生 之 位 忍 了 印 
T85n2773_001:0424c09	證一切諸法本來如如無生無滅無法可得。	證 一切諸法 本 來 如 如 無生無滅 無 法 可 得 
T85n2773_001:0424c10	是故作忍辱仙節節支解其心不動。亦作摩	是 故 作 忍 辱 仙 節 節 支 解 其 心 不 動 亦 作 摩 
T85n2773_001:0424c11	納仙人燃燈授記皆此位也　經曰。深入緣起	納 仙 人 燃 燈 授 記 皆 此 位 也 經 曰 深 入 緣 起 
T85n2773_001:0424c12	斷諸邪見。有無二邊無復餘習　述曰。佛法	斷 諸 邪 見 有 無 二 邊 無 復 餘 習 述 曰 佛 法 
T85n2773_001:0424c13	大宗因緣。是本異諸外道撥無因果邪僻斷	大 宗 因 緣 是 本 異 諸 外 道 撥無因果 邪 僻 斷 
T85n2773_001:0424c14	見故有此文。言緣起者。即十二因緣及十因	見 故 有 此 文 言 緣 起 者 即 十二因緣 及 十 因 
T85n2773_001:0424c15	六因四緣。一切因緣莫過此門。若入佛法因	六 因 四 緣 一切因緣 莫 過 此 門 若 入 佛 法 因 
T85n2773_001:0424c16	緣深理即名正見。故云斷諸邪見。言有無二	緣 深 理 即 名 正 見 故 云 斷 諸 邪 見 言 有 無 二 
T85n2773_001:0424c17	邊者。因緣無主則非有。業果不亡則非無定	邊 者 因 緣 無 主 則 非 有 業 果 不 亡 則 非 無 定 
T85n2773_001:0424c18	執有無皆名邊見。故下文云。無我無造無。受	執 有 無 皆 名 邊 見 故 下 文 云 無 我 無 造 無 受 
T85n2773_001:0424c19	者。善惡之業亦不亡。經之斷字該於邪見及	者 善 惡 之 業 亦 不 亡 經 之 斷 字 該 於 邪 見 及 
T85n2773_001:0424c20	有二邊。是則離有無之二邊契。非有非無之	有 二 邊 是 則 離 有 無 之 二 邊 契 非有非無 之 
T85n2773_001:0424c21	中道菩薩之正見也。淨盡不殘。故云無復餘	中 道 菩 薩 之 正 見 也 淨 盡 不 殘 故 云 無 復 餘 
T85n2773_001:0424c22	習。習者習氣　經曰。善知眾生往來所趣及	習 習 者 習 氣 經 曰 善 知 眾 生 往 來 所 趣 及 
T85n2773_001:0424c23	心所行　述曰。往者過去。來者未來及所心	心 所 行 述 曰 往 者 過 去 來 者 未 來 及 所 心 
T85n2773_001:0424c24	行現在。菩薩以宿命智知眾生過去之事。善	行 現 在 菩 薩 以 宿 命 智 知 眾 生 過 去 之 事 善 
T85n2773_001:0424c25	知生也。以死生智知眾生未來之事。善智來	知 生 也 以 死 生 智 知 眾 生 未 來 之 事 善 智 來 
T85n2773_001:0424c26	也。以他心智知眾生現在心所行也。緣處故	也 以 他 心 智 知 眾 生 現 在 心 所 行 也 緣 處 故 
T85n2773_001:0424c27	云心所。趣者趣向。所謂知三世之事趣向也	云 心 所 趣 者 趣 向 所 謂 知 三 世 之 事 趣 向 也 
T85n2773_001:0424c28	　經曰。諸有所作亦不唐捐　述曰。唐者虛	 經 曰 諸 有 所 作 亦 不 唐 捐 述 曰 唐 者 虛 
T85n2773_001:0424c29	也捐者棄也。菩薩用心無一念棄也　經曰。	也 捐 者 棄 也 菩 薩 用 心 無 一 念 棄 也 經 曰 
T85n2773_001:0425a01	佛之威神令諸寶蓋合成。一蓋遍覆三千大	佛 之 威 神 令 諸 寶 蓋 合 成 一 蓋 遍 覆 三 千 大 
T85n2773_001:0425a02	千世界　述曰。此合多為一。展小為大也。且	千 世 界 述 曰 此 合 多 為 一 展 小 為 大 也 且 
T85n2773_001:0425a03	合多為一者。合五百為一蓋也。此來真如法	合 多 為 一 者 合 五 百 為 一 蓋 也 此 來 真 如 法 
T85n2773_001:0425a04	性圓融融無定無有二相故。能合多為一展	性 圓 融 融 無 定 無 有 二 相 故 能 合 多 為 一 展 
T85n2773_001:0425a05	小為大。多不定多。菩薩觀乎。一蓋一不定一。	小 為 大 多 不 定 多 菩 薩 觀 乎 一 蓋 一 不 定 一 
T85n2773_001:0425a06	凡小觀乎。五百雖合為一五百宛然。五百宛	凡 小 觀 乎 五 百 雖 合 為 一 五 百 宛 然 五 百 宛 
T85n2773_001:0425a07	然只自為一。其猶方丈之室文殊等入中寬	然 只 自 為 一 其 猶 方 丈 之 室 文 殊 等 入 中 寬 
T85n2773_001:0425a08	如容十方世界。凡小不及。只自見乎。方丈對	如 容 十方世界 凡 小 不 及 只 自 見 乎 方 丈 對 
T85n2773_001:0425a09	凡小而不減。對文殊而不增。圓融法性其在	凡 小 而 不 減 對 文 殊 而 不 增 圓 融 法 性 其 在 
T85n2773_001:0425a10	慈乎。下諸文理皆同此。展小為大義亦准之。	慈 乎 下 諸 文 理 皆 同 此 展 小 為 大 義 亦 准 之 
T85n2773_001:0425a11	又可更表空有二門。多表其有。一表其空。空	又 可 更 表 空 有 二 門 多 表 其 有 一 表 其 空 空 
T85n2773_001:0425a12	不定空。展一為多。有不定有。合多為一。有	不 定 空 展 一 為 多 有 不 定 有 合 多 為 一 有 
T85n2773_001:0425a13	不離空。即五百而見一。有不離空即五百而	不 離 空 即 五 百 而 見 一 有 不 離 空 即 五 百 而 
T85n2773_001:0425a14	見一。空不離有不離一而見多。維摩要旨始	見 一 空 不 離 有 不 離 一 而 見 多 維 摩 要 旨 始 
T85n2773_001:0425a15	終如是　經曰。能善分別諸法相。於第一義	終 如 是 經 曰 能 善 分別諸法 相 於 第 一 義 
T85n2773_001:0425a16	而不動　述曰。八萬四千名諸法相。二空真	而 不 動 述 曰 八萬四千 名 諸 法 相 二 空 真 
T85n2773_001:0425a17	如名第一義。此之二句有其三門。一空有門。	如 名 第 一 義 此 之 二 句 有 其 三 門 一 空 有 門 
T85n2773_001:0425a18	二寂用門。三自他門。第一門者分別法相有	二 寂 用 門 三 自 他 門 第 一 門 者 分 別 法 相 有 
T85n2773_001:0425a19	也。第一不動空也。說而不動。有不妨空。不動	也 第 一 不 動 空 也 說 而 不 動 有 不 妨 空 不 動 
T85n2773_001:0425a20	而說空。不動妨有。異於凡小空而不有。有而	而 說 空 不 動 妨 有 異 於 凡 小 空 而 不 有 有 而 
T85n2773_001:0425a21	不空。第二門者分別法相用也。第一義不動	不 空 第 二 門 者 分 別 法 相 用 也 第 一 義 不 動 
T85n2773_001:0425a22	寂也。寂而常用。雖不動而說。法用而常寂。雖	寂 也 寂 而 常 用 雖 不 動 而 說 法 用 而 常 寂 雖 
T85n2773_001:0425a23	說法而不動。凡夫則動而不寂。小乘則寂而	說 法 而 不 動 凡 夫 則 動 而 不 寂 小 乘 則 寂 而 
T85n2773_001:0425a24	不動。第三門者自利故證而不動。利他故說	不 動 第 三 門 者 自 利 故 證 而 不 動 利 他 故 說 
T85n2773_001:0425a25	而不著。說而不有亦不無。意亦同此。離有無	而 不 著 說 而 不 有 亦 不 無 意 亦 同 此 離 有 無 
T85n2773_001:0425a26	二邊行於中道　經曰。始在佛樹力降魔得	二 邊 行 於 中 道 經 曰 始 在 佛 樹 力 降 魔 得 
T85n2773_001:0425a27	甘露滅覺道成　述曰。言佛樹者亦名菩提	甘 露 滅 覺 道 成 述 曰 言 佛 樹 者 亦 名 菩 提 
T85n2773_001:0425a28	樹。佛此樹下得菩提果。名菩提樹。樹下成佛	樹 佛 此 樹 下 得 菩 提 果 名 菩 提 樹 樹 下 成 佛 
T85n2773_001:0425a29	名為佛樹。言降魔者伏四魔也。菩提佛果沷	名 為 佛 樹 言 降 魔 者 伏 四 魔 也 菩 提 佛 果 沷 
T85n2773_001:0425b01	潤身心永除熱惱。名為甘露。生死大息名之	潤 身 心 永 除 熱 惱 名 為 甘 露 生 死 大 息 名 之 
T85n2773_001:0425b02	為滅覺。即是佛名為成也　經曰。以無心意	為 滅 覺 即 是 佛 名 為 成 也 經 曰 以 無 心 意 
T85n2773_001:0425b03	無受行。而悉摧伏諸外道　述曰。積集故名	無 受 行 而 悉 摧 伏 諸 外 道 述 曰 積 集 故 名 
T85n2773_001:0425b04	心。思量故名意。領納故名受。造作故名行。證	心 思 量 故 名 意 領 納 故 名 受 造 作 故 名 行 證 
T85n2773_001:0425b05	佛果時如如不動。此等皆息故名無也。以斯	佛 果 時 如 如 不 動 此 等 皆 息 故 名 無 也 以 斯 
T85n2773_001:0425b06	妙理伏諸外道。豈云覽力而降伏乎　經曰。	妙 理 伏 諸 外 道 豈 云 覽 力 而 降 伏 乎 經 曰 
