T51n2091_001:0997c03	燉煌錄	燉 煌 錄 
T51n2091_001:0997c05	効穀城本是漁澤。漢孝帝時。崔不意教人力	効 穀 城 本 是 漁 澤 漢 孝 帝 時 崔 不 意 教 人 力 
T51n2091_001:0997c06	田得穀。因名。後為縣。貳師泉去沙城東三程。	田 得 穀 因 名 後 為 縣 貳 師 泉 去 沙 城 東 三 程 
T51n2091_001:0997c07	漢時李廣利軍行渴乏。祝山神以劍劄山。因	漢 時 李 廣 利 軍 行 渴 乏 祝 山 神 以 劍 劄 山 因 
T51n2091_001:0997c08	之水下。流向西數十里黃章泊。後有將。渴甚	之 水 下 流 向 西 數 十 里 黃 章 泊 後 有 將 渴 甚 
T51n2091_001:0997c09	飲水。泉側而終。水遂不流。祇及平地。後來若	飲 水 泉 側 而 終 水 遂 不 流 祇 及 平 地 後 來 若 
T51n2091_001:0997c10	人多即水多。若人少即水少。若郡眾大噉水	人 多 即 水 多 若 人 少 即 水 少 若 郡 眾 大 噉 水 
T51n2091_001:0997c11	則猛下。至今如然。其二師廟在路傍。久廢。但	則 猛 下 至 今 如 然 其 二 師 廟 在 路 傍 久 廢 但 
T51n2091_001:0997c12	有積石。駝馬行人祈福之所。次東入瓜州界。	有 積 石 駝 馬 行 人 祈 福 之 所 次 東 入 瓜 州 界 
T51n2091_001:0997c13	州南有莫高窟。去州二十五里。中過石磧。帶	州 南 有 莫 高 窟 去 州 二 十 五 里 中 過 石 磧 帶 
T51n2091_001:0997c14	山坡至彼。斗下谷中。其東即三危山。西即	山 坡 至 彼 斗 下 谷 中 其 東 即 三 危 山 西 即 
T51n2091_001:0997c15	鳴沙山。中有自南流水。名之宕泉。古寺僧舍	鳴 沙 山 中 有 自 南 流 水 名 之 宕 泉 古 寺 僧 舍 
T51n2091_001:0997c16	絕多。亦有洪鐘。其谷南北兩頭有天王堂及	絕 多 亦 有 洪 鐘 其 谷 南 北 兩 頭 有 天 王 堂 及 
